0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptvicuna_correct,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptvicuna_choiceA_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptvicuna_choiceB_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptvicuna_choiceC_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptvicuna_choiceD_probs
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,False,0.4859565,0.3784633,0.09569051,0.039889738
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.7426082,0.21276082,0.03262793,0.012003143
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,True,0.6073578,0.2868955,0.09314134,0.012605309
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,True,0.52014494,0.13151324,0.13151324,0.21682866
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.48043954,0.3741667,0.12147414,0.023919675
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.5793346,0.2131253,0.14647873,0.061061416
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.67993176,0.28343773,0.03385181,0.0027787257
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,False,0.40635642,0.40635642,0.14949018,0.037797038
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,True,0.47482076,0.41902784,0.08251148,0.023639932
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.19203778,0.52201277,0.16947274,0.1164768
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.6187639,0.25793916,0.08374059,0.039556254
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.4285277,0.4855855,0.07446695,0.0114198765
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.38629597,0.5620573,0.046136472,0.0055102156
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.65407807,0.24062188,0.10030612,0.0049939477
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.53308254,0.3233309,0.10497018,0.03861637
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.4300559,0.4300559,0.10873516,0.031153144
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,False,0.5157889,0.3128418,0.10156486,0.06980444
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,False,0.557409,0.33808565,0.045754917,0.058750473
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,True,0.3542802,0.3542802,0.24349299,0.04794661
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,True,0.8165054,0.16077945,0.02175913,0.00095602946
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.38459024,0.49382365,0.085813686,0.035772465
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,False,0.38297197,0.38297197,0.12433279,0.10972331
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,True,0.5337325,0.3237251,0.119091816,0.023450568
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,False,0.7039979,0.17799854,0.10796158,0.01004199
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.54826033,0.3325367,0.07419897,0.045003947
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,True,0.37673542,0.42689717,0.13859321,0.05777425
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.5009869,0.26815897,0.2088424,0.022011828
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.43892398,0.30166775,0.16147111,0.09793718
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,True,0.4219747,0.32863423,0.15523581,0.09415528
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,False,0.5612862,0.2651328,0.14191538,0.0316656
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,True,0.37673542,0.42689717,0.13859321,0.05777425
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,True,0.6128913,0.3280571,0.05030918,0.008742425
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,True,0.38062105,0.38062105,0.23085834,0.007899538
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.795526,0.1382417,0.065300755,0.0009314652
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,True,0.745507,0.24203068,0.012049998,0.00041232826
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,True,0.49028257,0.38183245,0.096542366,0.031342715
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.20237133,0.5501023,0.20237133,0.045155145
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.38716173,0.43871173,0.09788982,0.076236665
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.45512477,0.51572394,0.02265933,0.0064920066
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,False,0.20474753,0.4911638,0.2979059,0.0061828396
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,False,0.4267321,0.37658975,0.15698597,0.039692268
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,False,0.70962965,0.26105818,0.02142896,0.007883273
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.45469752,0.40126914,0.114965536,0.029067839
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,False,0.4115139,0.4115139,0.133599,0.043373246
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.35260183,0.5130326,0.11447305,0.019892434
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,False,0.7861221,0.19876279,0.014398329,0.00071685057
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,False,0.70223695,0.13827866,0.13827866,0.02120572
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,False,0.4571276,0.4571276,0.07010279,0.015642047
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,False,0.6565703,0.21315718,0.061070554,0.069202
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,False,0.6743727,0.21893676,0.08054233,0.026148265
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.5670184,0.3035031,0.052740928,0.07673759
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,True,0.454785,0.40134633,0.08955248,0.054316323
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,False,0.34786707,0.44667017,0.14501257,0.060450234
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,True,0.6148693,0.25631565,0.121074945,0.007740062
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,True,0.5884168,0.2779484,0.11586614,0.017768648
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,False,0.31726533,0.5230821,0.116715394,0.042937193
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,False,0.40195572,0.2151514,0.31304345,0.06984943
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,False,0.4798019,0.3297627,0.10705828,0.08337707
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,False,0.21333186,0.39855638,0.11418832,0.27392355
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,False,0.6802457,0.19489366,0.10431906,0.02054164
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,True,0.5887093,0.3151134,0.0703113,0.025866082
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,True,0.3323108,0.4266955,0.1569725,0.08402132
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,True,0.49952284,0.26737532,0.20823209,0.024869777
A capacitor can store,charge,energy,Both of these,Neither of these,C,False,0.79505223,0.17740014,0.027205192,0.00034246282
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,True,0.3136451,0.35540646,0.21556492,0.11538358
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,True,0.42981502,0.37931043,0.13954051,0.051334087
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,False,0.36231947,0.46522743,0.09160871,0.0808444
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.3583446,0.4601236,0.16927002,0.012261879
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,True,0.44223818,0.268231,0.23671305,0.05281782
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,False,0.3457791,0.39181906,0.16333447,0.099067375
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,False,0.27516553,0.3118034,0.3118034,0.101227745
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,True,0.4527236,0.31115207,0.14697783,0.08914656
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,False,0.29113802,0.69840384,0.0099621955,0.0004959885
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,False,0.8225609,0.16197185,0.015065729,0.00040148807
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,True,0.24578618,0.5896104,0.102458924,0.062144477
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,True,0.23347723,0.6346569,0.08589147,0.045974392
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,True,0.5967954,0.24878132,0.09152154,0.062901765
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,False,0.5597428,0.33950117,0.085839346,0.014916641
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,True,0.29947346,0.38453156,0.20582493,0.11017014
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,True,0.61164075,0.22501007,0.1364755,0.02687362
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,True,0.43867558,0.38712984,0.1424171,0.031777553
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,True,0.45912275,0.4051744,0.102444135,0.03325874
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,True,0.6888378,0.2236329,0.08226995,0.0052593416
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.5624539,0.38656858,0.019246114,0.03173148
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,True,0.25775418,0.61832017,0.10744794,0.016477674
"If two protons and two neutrons are removed from the nucleus of neon-20, a nucleus of which element remains?",Magnesium-22,Magnesium-20,Oxygen-18,Oxygen-16,D,False,0.23161708,0.62960047,0.12397569,0.014806784
"If a star that is 20 light-years from Earth explodes, gravitational waves from the explosion would reach Earth in",less than 20 years.,20 years.,more than 20 years.,None of these.,B,False,0.4461415,0.3937185,0.12782168,0.032318383
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",hydrogen,oxygen,nitrogen,All have same average speed,A,True,0.45162377,0.27392367,0.21333195,0.06112063
The mutual induction of electric and magnetic fields can produce,light,energy,Both of these,Neither of these,A,True,0.3461124,0.3461124,0.3054431,0.002332087
"When a model car speeds up to three times its original speed, its kinetic energy is",the same,twice as great,three times greater,None of these,D,False,0.33950117,0.5597428,0.085839346,0.014916641
"If an iron nucleus split in two, its fission fragments would have",less mass per nucleon,more mass per nucleon,the same mass per nucleon,either more or less mass per nucleon,B,True,0.26020905,0.5508626,0.17883891,0.010089401
The surface of Planet Earth loses energy to outer space due mostly to,conduction.,convection.,radiation.,radioactivity.,C,True,0.14572826,0.2402653,0.44887465,0.16513176
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,True,0.5761416,0.3083864,0.1001184,0.015353654
A principal source of the Earth’s internal energy is,tidal friction.,gravitational pressure.,radioactivity.,solar radiation.,C,False,0.18783589,0.51059085,0.21284594,0.088727385
A diffraction grating relies on light,interference,amplitudes,variations in brightness,being composed of photons,A,True,0.5896478,0.2785299,0.10246543,0.029356835
A satellite in Earth orbit is above Earth’s,atmosphere,gravitational field,Both,Neither,A,True,0.7101932,0.20347378,0.074853815,0.0114792045
The time it takes for a pendulum swinging to and fro refers to its,frequency,period,wavelength,amplitude,B,False,0.7455302,0.2420382,0.00938484,0.0030468116
"As entropy in a system increases, energy in the system",becomes more ordered,becomes less ordered,reaches equilibrium,moves toward destruction,B,False,0.4437881,0.4437881,0.08738706,0.025036812
"When water changes to steam, energy is",absorbed by the water,released by the water,conserved as the phase change occurs,changed to a different form,A,True,0.3918841,0.3458365,0.18511294,0.07716655
"According to Coulomb, a pair of charged particles placed twice as close to each other experience a force",twice as strong,four times as strong,half as strong,one-fourth as strong,B,False,0.4136219,0.4136219,0.13428336,0.03847283
"The factors, both of which will increase the magnetic field strength of an electromagnet, are",increased electrical current and fewer coils of wire,increased diameter of coil and an increase in the number of coils,an increase in the electrical current and using a strong ferromagnetic material like iron,using an air core instead of iron and increasing the diameter of the coil,C,False,0.35670432,0.35670432,0.2163521,0.070239246
The team that wins in a tug-of-war is the team that,produces more tension in the rope than the opponent,pushes hardest on the ground,Both,Neither,B,False,0.37185517,0.32816103,0.25557208,0.044411767
Which type of radiation from cosmic sources predominates on the inside of high-flying commercial airplanes?,Alpha,Beta,Gamma,None of these,C,True,0.13862178,0.2934623,0.48383754,0.08407836
Thermal convection involves mainly,radiant energy,fluids,insulators,All of these,B,True,0.13026077,0.84940684,0.017628876,0.002703476
A 10-Ω resistor carries 10 A. The voltage across the resistor is,0,more than 0 but less than 10 V,10 V,more than 10 V,D,False,0.25557208,0.32816103,0.37185517,0.044411767
A cannonball is fired horizontally at 10 m/s from a cliff. Its speed one second after being fired is about,10 m/s,14 m/s,16 m/s,20 m/s,B,False,0.4240453,0.4240453,0.10721544,0.044694044
The average speed of a gazelle traveling a distance of 2 km in a time of one-half hour is,1 km/h,2 km/h,4 km/h,greater than 4 km/h,C,False,0.36821145,0.5357445,0.07250513,0.023538971
The metal detectors people walk through at airports operate via,Ohm’s law,Faraday’s law,Coulomb’s law,Newton’s laws,B,True,0.2785261,0.40525305,0.24579841,0.07042242
Sound travels in,solids,liquids,gases,All of these,D,False,0.47493613,0.28806332,0.22434394,0.012656619
When a fusion reaction converts a pair of hydrogen isotopes to an alpha particle and a neutron most of the energy released is in the form of,gamma radiation.,kinetic energy of the alpha particle.,kinetic energy of the neutron.,All of these about equally.,C,False,0.29164848,0.42434603,0.20044687,0.083558686
Polarization is a property of,transverse waves.,longitudinal waves.,all waves.,None of these.,A,True,0.62043303,0.3320939,0.039662957,0.0078100995
The phenomenon of beats results from sound,reflection.,refraction.,interference.,All of these.,B,True,0.2169319,0.4052821,0.315634,0.062152028
"The lowest possible temperature is absolute zero, at",0 kelvin,−273°C,Both are the same,None of these,C,False,0.863712,0.116890706,0.017925771,0.0014714369
Refraction occurs when a wave crosses a boundary and changes,speed and direction,intensity,frequency,amplitude,A,True,0.7703871,0.1718966,0.05580666,0.0019095988
"When you tap a piece of wood, it will produce a characteristic sound related to its",wavelength,amplitude,period,natural frequency,D,False,0.45236424,0.35230163,0.16641551,0.028918678
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",increases,decreases,isn’t affected,reduces to zero,B,False,0.73883116,0.18680577,0.06872201,0.0056410455
"When white light passes through a prism, the light that bends more than green is",red,yellow,blue,None of these,C,False,0.7329166,0.1635358,0.099189475,0.0043580816
"If you travel at high speed, then compared with your friends who “stay at home,” you are",older.,younger.,neither younger nor older.,longer.,B,False,0.5407528,0.37165365,0.07318293,0.014410575
The component of velocity that can remain constant for a tossed baseball is,horizontal,vertical,Either of these,None of these,A,True,0.5916888,0.279494,0.1028201,0.025996992
The crystals that make up minerals are composed of,atoms with a definite geometrical arrangement.,molecules that perpetually move.,X-ray patterns.,3-dimensional chessboards.,A,True,0.79753333,0.17795375,0.021253543,0.0032593366
"Two vectors, one 3 N and the other 4 N, can have a resultant of",0 N,5 N,8 N,Any of these,B,True,0.29514402,0.3789724,0.20284933,0.12303433
Radioactivity has been around on Earth since the,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,False,0.39008525,0.3037987,0.14350435,0.16261172
"When the shadow of the Moon falls on Earth, we have a",lunar eclipse.,solar eclipse.,solar eclipse if it’s daytime and lunar eclipse if it’s nighttime.,very dangerous event.,B,False,0.57890785,0.30986705,0.0887784,0.022446692
"In both fission and fusion, energy is released while mass",decreases,remains unchanged; is conserved,increases,may decrease or increase,A,True,0.46820328,0.41318795,0.09219469,0.026414221
"When relatively slow-moving molecules condense from the air, the temperature of the remaining air tends to",remain unchanged,decrease,increase,spread out uniformly,C,False,0.49382365,0.38459024,0.085813686,0.035772465
"If the volume of an object were to double, with no change in mass, its density would",halve.,double.,be the same.,None of these.,A,True,0.46138632,0.35932803,0.14979021,0.02949544
The pressure at the bottom of a pond does NOT depend on the,acceleration due to gravity.,water density.,depth of the pond.,surface area of the pond.,D,False,0.38109592,0.33631596,0.12372373,0.15886441
The blueness of the daytime sky is due mostly to light,absorption,transmission,reflection,scattering,D,False,0.4740222,0.41832313,0.09334051,0.0143142305
A galvanometer can be calibrated to read electric,current,voltage,Either of these,Neither of these,C,False,0.6450343,0.23729487,0.112090155,0.0055806404
Which of these temperatures is likely when a container of water at 20°C is mixed with water at 28°C?,19°C,22°C,30°C,Higher than 30°C,B,True,0.15581894,0.47995612,0.2267152,0.13750973
To view your full-face image in a steamy mirror compared with the height of your face the minimum height of the patch to wipe away is,one-quarter.,one-half.,the same.,dependent on your distance from the mirror.,B,False,0.5708458,0.23796391,0.14433242,0.046857875
The vibrations in a transverse wave move in a direction,along the wave,perpendicular to the wave,Both of these,Neither of these,B,True,0.42930385,0.55123705,0.01468997,0.004769135
A 1134-Hz tuning fork is sounded at the same time a piano note is struck. You hear three beats per second. The frequency of the piano string is,1131 Hz,1134 Hz,1137 Hz,More information is needed,D,False,0.39411148,0.50604916,0.07760516,0.022234248
Huygens’ principle for light is primarily described by,waves,rays,particles,photons,A,True,0.67939556,0.2832142,0.03382511,0.0035651408
"When the temperature of a strip of iron is increased, the length of the strip",also increases.,actually decreases.,may increase and may decrease.,decreases in width as it gets longer.,A,True,0.60735774,0.28689548,0.08219693,0.023549816
"When light undergoes interference, it can sometimes",build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B,False,0.41342965,0.36485037,0.19529033,0.026429672
When the color yellow is seen on your TV screen the phosphors being activated on the screen are,mainly yellow.,blue and red.,green and yellow.,red and green.,D,False,0.47312048,0.41752735,0.09316295,0.016189292
Which of these does NOT belong in the family of electromagnetic waves?,Light,Sound,Radio waves,X-rays,B,True,0.08794373,0.39413646,0.21096605,0.3069538
A math book and a physics book sitting on a table are tied together with a length of string. With the string taut one book is pushed off the edge of the table. As it falls the other book is dragged horizontally across the table surface. With no friction acceleration of the books is,zero,g/2,g,a value between zero and g,D,False,0.70571154,0.17843182,0.05792833,0.05792833
A motor and a generator are,similar devices,very different devices,forms of transformers,energy sources,A,True,0.6363527,0.30059174,0.046097238,0.016958226
As more lamps are connected in parallel in a circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,A,True,0.7763427,0.19629017,0.026564986,0.00080219307
Newton’s law of cooling applies to objects that,cool,warm up,Both,Neither,C,False,0.6744733,0.21896942,0.10343383,0.003123431
The fact that the Moon always shows its same face to Earth is evidence that the Moon rotates about its axis about once per,day,month,year,None of these for the moon does not rotate about an axis,B,False,0.4187296,0.36952758,0.105871424,0.105871424
Consider a ball rolling in a horizontal circular path on the inside surface of a cone. The normal force on the ball,is mg,is greater than mg always,may be greater or less than mg,is less than mg always,B,True,0.2630142,0.43363708,0.2630142,0.040334534
The compressions and rarefactions in sound normally travel,in the same direction,in opposite directions,at right angles to each other,None of these,A,True,0.5896479,0.27852994,0.11610855,0.015713584
The power required to raise a 100-kg crate a vertical distance of 2 m in a time of 4 s is,200 W,500 W,800 W,2000 W,B,False,0.44942608,0.3966171,0.100280516,0.053676292
The phenomenon of beats is the result of sound,destruction,interference,resonance,amplification,B,True,0.24905151,0.52724206,0.19396152,0.029744962
Interference is characteristic of,sound waves,light waves,water waves,All of these,D,False,0.2637923,0.7170618,0.014882143,0.0042638057
"In either a fission event or a fusion event, a quantity that remains unchanged is the",kinetic energy,mass,number of nucleons,binding of nucleons,C,False,0.37043276,0.37043276,0.22467883,0.034455616
The magnetic force on a moving charged particle can change the particle's,speed,direction,Both of these,Neither of these,B,False,0.6243744,0.29493356,0.07457089,0.0061211507
"If you were to travel at a speed close to the speed of light, you could notice that your own",mass changes.,pulse decreases.,Both of these.,Neither of these.,D,False,0.6058901,0.32430962,0.06386034,0.005939937
Electricity and magnetism connect to form,mass,energy,ultrahigh-frequency sound,light,D,False,0.2792612,0.46042386,0.21748883,0.042826094
Sound travels in air by a series of,compressions,rarefactions,Both of these,Neither of these,C,False,0.6301281,0.33728328,0.03137223,0.0012164334
