0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_dolly_2000_correct,llama_7B_llamatokenizer_alpacacode_dolly_2000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_dolly_2000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_dolly_2000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_dolly_2000_choiceD_probs
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,False,0.87117296,0.011673724,0.07378022,0.043373145
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.9401809,0.01669021,0.01383667,0.02929223
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,True,0.8873833,0.0032004039,0.003433532,0.105982825
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,True,0.9825586,0.010746015,0.0025524022,0.004142958
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.7362523,0.062353693,0.047067035,0.15432687
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.2030789,0.5026251,0.1311176,0.16317847
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,False,0.00040443323,1.0446183e-05,0.99947625,0.000108851724
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.99988735,6.604906e-05,2.3004972e-05,2.355052e-05
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.3260986,0.12770204,0.48953196,0.05666744
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.93630236,0.030097391,0.023439871,0.010160432
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.97044253,0.0043218764,0.0071814563,0.01805418
What kind of animal is a peregrine?,moose,cat,bird,fish,C,False,0.9884489,0.002608139,0.007546901,0.0013960362
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,False,0.7949444,0.0016854325,0.20099342,0.0023768407
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.3914463,0.08598934,0.3914463,0.13111809
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.4928513,0.4928513,0.006813851,0.0074835513
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.9928792,0.0001455092,0.0027887933,0.0041864747
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.0103632845,0.025251716,0.01682127,0.9475637
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.9262271,0.044695348,0.015446299,0.013631311
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.8283761,0.032119628,0.060007367,0.07949684
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,False,0.29054323,0.30928165,0.100409046,0.29976603
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,False,0.8773627,0.023380924,0.08160745,0.017648848
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.010635652,0.00052951794,0.98778176,0.0010530722
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.9987577,4.534353e-05,0.001169425,2.7502241e-05
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.29194498,0.545425,0.13790503,0.02472501
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.57209265,0.27023742,0.11622767,0.041442253
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.7605348,0.10956544,0.039066758,0.090832934
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,False,0.12942295,0.3744977,0.12158161,0.3744977
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.12520178,0.094507255,0.47994745,0.30034345
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.83645356,0.07659609,0.0778023,0.0091480985
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.5437187,0.24893256,0.08602879,0.12132005
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,False,0.50866467,0.24790336,0.050364625,0.19306733
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.9427315,0.0056056865,0.018380338,0.033282492
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,False,0.16286616,0.07004786,0.6441482,0.12293783
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.9622943,0.0041863127,0.019357314,0.014162113
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,False,0.9792972,0.0006137517,0.0042602816,0.015828865
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,False,0.33712256,0.2975096,0.102816574,0.2625513
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.8479201,0.10126962,0.01844257,0.032367714
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.23382571,0.56091875,0.18210365,0.02315188
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.978956,0.014407324,0.0032147085,0.0034220393
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.4170892,0.02666362,0.11225803,0.44398913
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.78046066,0.01953845,0.1274067,0.07259415
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.14575337,0.06673075,0.047319185,0.74019665
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.0819706,0.003032798,0.005755239,0.9092414
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,False,0.98497134,0.014955999,2.0473222e-05,5.2280207e-05
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.26311132,0.26311132,0.21474521,0.25903216
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.7758247,0.07681705,0.012540039,0.13481812
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,True,0.07501105,0.16383922,0.5372081,0.22394164
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.047123864,0.7371413,0.19839889,0.017335903
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,False,0.4667605,0.044099182,0.36351344,0.12562688
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.1275133,0.07734074,0.33595285,0.45919308
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.99335104,0.0003438101,0.005212628,0.0010926261
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.6099061,0.0066184914,0.15910351,0.22437191
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.7620188,0.068698086,0.12056888,0.04871423
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.97492075,0.010497175,0.011174185,0.0034079337
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,False,0.99742424,0.0010971064,0.0009095332,0.0005691713
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.8776335,0.08163264,0.009749628,0.030984253
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.99635065,0.0026289888,0.00053411146,0.000486314
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,False,0.996128,0.000999579,0.00231503,0.0005574372
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,False,0.99880457,0.0004302276,0.0004302276,0.0003350616
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,False,0.8098594,0.015789744,0.16975576,0.0045950776
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,False,0.8045968,0.0888737,0.008920822,0.09760866
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.16812527,0.006318358,0.023475548,0.8020808
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,False,0.33267212,0.27579486,0.07901655,0.31251654
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.09787993,0.67942137,0.20721182,0.015486854
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,False,0.4562098,0.11900944,0.20244187,0.2223389
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,False,0.0351033,0.0034756972,0.05609491,0.905326
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,False,0.97239316,0.0130300755,0.002336164,0.012240623
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.97824335,0.009295296,0.003997857,0.008463464
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.7784528,0.09896918,0.112146765,0.010431273
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,False,0.12189218,0.08917823,0.018547302,0.7703823
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,False,0.9737839,0.016754877,0.0053551802,0.0041059596
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.0009958352,0.002043321,0.99433726,0.002623676
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,True,0.1155331,0.0019878568,0.105194084,0.777285
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.89564294,0.014476719,0.032623794,0.057256535
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,True,0.029412106,0.29705173,0.34728867,0.3262475
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,False,0.72602993,0.16199918,0.055985417,0.055985417
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,True,0.22228755,0.115321256,0.25988045,0.40251073
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,False,0.989617,0.0040443386,0.004305176,0.002033621
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,False,0.13332511,0.0102809295,0.6562492,0.20014471
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,False,0.33108515,0.057533972,0.12965481,0.48172605
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.00066606357,0.0001792686,0.9983759,0.0007787072
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,False,0.249284,0.029772729,0.67762417,0.04331906
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,False,0.044467796,0.002932969,0.21214399,0.74045527
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,False,0.9330127,0.010528058,0.026467534,0.029991645
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.7970654,0.009425669,0.026434941,0.16707398
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,False,0.9770181,0.009882398,0.010038023,0.0030614242
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,False,0.8747252,0.0013568419,0.11838119,0.0055367616
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,False,0.92374533,0.027036462,0.018581871,0.030636324
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,0.06861625,0.5070093,0.37093598,0.053438388
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.11203463,0.1681839,0.6651802,0.054601315
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,False,0.40798157,0.57534623,0.008336113,0.008336113
How many sides does a rhombus have?,4,6,8,10,A,True,0.9998795,8.663685e-06,7.966976e-05,3.2189488e-05
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.70400685,0.026457457,0.04097811,0.22855756
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,False,0.5060167,0.075212665,0.37020972,0.048560943
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,False,0.77274084,0.10959796,0.022440812,0.09522036
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,False,0.3912443,0.4719307,0.043896396,0.09292867
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,False,0.16020152,0.25600132,0.39650258,0.18729456
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,False,0.5255915,0.29947302,0.11016996,0.06476558
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,False,0.027442975,0.90878654,0.0618437,0.0019267993
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,False,0.999928,2.4629899e-06,5.144116e-05,1.8057544e-05
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,False,0.21079819,0.0018816541,0.00410991,0.7832103
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,False,0.82894474,0.05320007,0.04283103,0.07502413
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,False,0.11763325,0.16078559,0.044648547,0.67693263
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,True,0.024011819,0.34199503,0.19486289,0.4391303
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,False,0.9284799,0.010641897,0.05752955,0.0033486215
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,False,0.37902495,0.45719138,0.115596086,0.048187613
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,False,0.00620119,0.97969496,0.00055905426,0.013544645
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,True,0.0061683226,0.9745024,0.0003294731,0.01899977
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,False,0.2570288,0.2912518,0.42376885,0.027950587
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,True,0.018321998,0.0074027563,0.96956974,0.004705478
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,False,0.78996676,0.03581049,0.13727564,0.03694724
In British currency how many pence make a pound?,10,100,500,1000,B,False,0.97916543,0.003759179,0.0095994,0.00747602
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,False,0.38773432,0.18315272,0.32144302,0.10766993
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,False,0.77738893,0.0599458,0.1438025,0.018862782
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,False,0.16075349,0.3856276,0.219724,0.23389496
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,True,0.94989586,0.024535041,0.011589533,0.013979645
How many stars are on the American flag?,13,48,50,51,C,False,0.926557,0.030729573,0.025475712,0.01723773
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,True,0.44114503,0.01683986,0.08686661,0.4551485
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,True,0.29127744,0.038207285,0.61663437,0.053880908
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,True,0.23911649,0.047084827,0.53885734,0.17494136
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,False,0.122319125,0.111372836,0.26716956,0.4991384
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,False,0.04810806,0.936547,0.0042698327,0.011075104
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,False,0.09818147,0.10129808,0.2355251,0.56499535
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,True,0.8777534,0.072050385,0.006495539,0.043700766
In the children's game what color is 'Rover'?,Green,black,red,blue,C,False,0.5697488,0.0820801,0.1418217,0.20634934
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,True,0.00035694844,3.42553e-05,0.9995808,2.795836e-05
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,False,0.9608518,0.0117232045,0.013284132,0.014140884
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,False,0.86201954,0.021920076,0.09671591,0.0193444
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,False,0.31780714,0.10317687,0.2804638,0.2985522
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,False,0.41186032,0.22745088,0.086330615,0.27435812
What is your hallux?,earlobe,tongue,eyelid,big toe,D,False,0.5883822,0.108839765,0.12333161,0.17944643
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,False,0.9671163,0.0013238825,0.00047204486,0.031087903
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,True,0.20825404,0.116819926,0.5317953,0.14313076
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,False,0.8331747,0.013894504,0.0470045,0.10592628
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.41206262,0.030797247,0.028041212,0.52909887
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,False,0.79804265,0.027307518,0.05603139,0.11861845
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.9881136,0.0011751815,0.005104756,0.0056064776
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,True,0.04931628,0.024034835,0.052496906,0.874152
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,True,0.003534871,0.0040055336,0.98012173,0.012337912
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,False,0.96913034,0.004487964,0.002119964,0.024261702
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,False,0.32929236,0.13943115,0.46437663,0.0668998
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,True,0.2164205,0.6666221,0.014727602,0.10222981
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,False,0.20450485,0.08795644,0.24667995,0.4608588
According to a popular slogan what state should people not 'mess with'?,New York,Texas,Montana,Rhode Island,B,False,0.87308985,0.035756283,0.044153113,0.047000747
Each year in pro baseball the player voted as the best fielder at his position wins what?,a brand new car,the Gold Glove,the Silver Bat,the Brass Baseball,B,False,0.9930143,0.0026201853,0.0017454197,0.0026201853
