0,1,2,3,4,5,llama_7B_llamatokenizer_ds_alpaca_combine_6k_52000/epoch3_correct,llama_7B_llamatokenizer_ds_alpaca_combine_6k_52000/epoch3_choiceA_probs,llama_7B_llamatokenizer_ds_alpaca_combine_6k_52000/epoch3_choiceB_probs,llama_7B_llamatokenizer_ds_alpaca_combine_6k_52000/epoch3_choiceC_probs,llama_7B_llamatokenizer_ds_alpaca_combine_6k_52000/epoch3_choiceD_probs
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,1.8866675e-05,0.002180691,0.0009090473,0.99689144
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,False,0.18926768,0.24302451,0.40067968,0.16702813
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,False,0.29057857,0.19971155,0.030626757,0.4790831
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,True,0.1152956,0.1152956,0.45600292,0.31340593
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.059734013,0.0049032667,0.9343972,0.00096551044
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.624913,0.074635215,0.03994935,0.2605025
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,False,0.5501667,0.13910393,0.10833425,0.20239504
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,True,0.0710899,0.048859328,0.013998432,0.8660523
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,False,0.024418684,0.91630435,0.01901729,0.040259603
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,True,0.5740064,0.23928146,0.022256643,0.1644556
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.11538614,0.089862816,0.6640014,0.13074963
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,True,0.4294984,0.55148685,0.010100834,0.008913955
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,True,0.002423676,0.11677925,0.017908677,0.86288846
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,True,0.27702668,0.115481906,0.0899374,0.517554
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,True,0.9280608,0.059328943,0.010309825,0.0023004329
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,False,0.42819446,0.54981256,0.0166029,0.0053901724
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.0026419677,0.09913911,0.8300816,0.06813724
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.0105409,0.94886154,0.028653136,0.011944404
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.009675559,0.002772094,0.0006185378,0.9869338
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,True,0.00042588523,0.009693103,0.001157676,0.9887234
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,False,0.0038533295,0.07739619,0.5718848,0.34686568
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,False,0.023213236,0.19436206,0.10403451,0.6783902
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,False,0.2236818,0.25346467,0.19739848,0.32545507
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,True,0.0066347886,0.98468995,0.008519237,0.00015603527
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,True,0.908135,0.05123347,0.039900668,0.0007308062
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,True,0.022761986,0.9678642,0.008373667,0.0010000918
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,True,0.35792774,0.04844025,0.59012306,0.0035090002
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,True,0.10901887,0.7108923,0.0401058,0.139983
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,True,0.002182401,0.9976731,0.00012312263,2.1395506e-05
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,False,0.10330412,0.029597124,0.86495477,0.0021440086
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,True,0.22026199,0.11789774,0.59873414,0.06310611
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,False,0.005728298,0.85015476,0.13037546,0.013741472
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,True,0.62442195,0.334229,0.035227478,0.0061216173
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,True,0.065659374,0.33344582,0.5497592,0.051135574
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,False,0.39413646,0.3069538,0.08794373,0.21096605
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,True,0.0078043817,0.12208108,0.07404592,0.7960686
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,False,0.3766886,0.42684412,0.12229289,0.07417439
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,False,0.24265438,0.24265438,0.11462182,0.40006945
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,True,0.0013243088,0.9981371,0.000487186,5.1349027e-05
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,True,0.73959136,0.14563417,0.077952355,0.036822084
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,True,0.11181296,0.0528167,0.8261922,0.009178166
What is the term for the extent to which competition in one country is influenced by competition in other countries?,International trade,Global economics,Global competition,Globalisation,D,False,0.07628606,0.43899596,0.18300074,0.30171722
As what are key factors that reflect the situation of an organisation referred to?,Administrations,Processes,Activities,Contingencies,D,True,0.079661585,0.24537498,0.21654265,0.45842078
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,True,0.42981482,0.13954043,0.09590465,0.3347401
What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D,False,0.0035533502,0.9852455,0.0045625917,0.006638532
What does the acronym SMART stand for?,"Suitable, measurable, actionable, rewarded and timely","Specific, measurable, actionable, resourced and timely","Standardised, measurable, achievable, rewarded, and timely","Specific, measurable, achievable, rewarded and timely",D,False,0.22990575,0.3790505,0.09583897,0.29520482
Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?,Merton,Weber,Gouldner,Mayo,C,False,0.031918615,0.9327987,0.031918615,0.0033641974
What is the optimal span of control?,2,5,7,None of the above,D,True,0.008472749,0.1169627,0.28057894,0.5939856
What one of these is not a recognised type of authority?,Executive,Functional,Line management,Supplier,D,True,0.043996867,0.023549825,0.32509533,0.607358
Which one of the following is not a characteristic of a team?,Minimal and formal knowledge sharing,Collective output,Individual and collective responsibility,Fluid dimension to roles and tasks,A,True,0.8107902,0.1408942,0.007948707,0.040366866
Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?,Ethical,Economic,Discretionary,Technical,D,False,0.1295238,0.3520822,0.16631185,0.3520822
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,Product development,Market penetration,Diversification,Market development,B,True,0.011655225,0.9258892,0.040680733,0.021774827
What is characteristic for the location of a virtual team?,In the same building,In the same industry,In the same country,remotely,D,True,4.5172186e-05,0.002794704,0.0021765176,0.99498355
"According to the Five Factor model, 'extraversion' as a personality type is characterised by what type of people?",Good natured,Calm and self-confident,Sensitive and curious,Assertive and sociable,D,True,0.029763974,0.1940855,0.008527521,0.767623
What is the overriding philosophy underpinning the strategic direction of an organisation?,Vision statement,Mission statement,Strategy statement,Business statement,B,False,0.8241457,0.046495117,0.12638684,0.0029723335
What is the term for the action in which managers at an organisation analyse the current situation of their organisation and then develop plans to accomplish its mission and achieve its goals?,Synergy planning,Strategy formulation,Functional planning,SWOT analysis,B,True,0.042045616,0.95695376,0.00067960407,0.00032102223
What is Frank Gilbreth`s work most noted for?,Working conditions,Time and motion studies,Work psychology,Work as a social setting,B,True,0.13223441,0.8622767,0.0027444377,0.0027444377
What is another name for contingency planning?,Synergy planning,Ad hoc planning,Business level planning,Scenario planning,D,True,0.0026293858,0.03629755,0.024946917,0.9361262
Which feature does not form one of Fayol's 14 principles of management?,Esprit de corps,Initiative,Order,Individualism,D,False,0.4179598,0.17423157,0.08230117,0.32550743
What one of the following is not a characteristic of the job characteristics model?,Task identity,Autonomy,Reward,Feedback,C,True,0.19494388,0.016001968,0.46764606,0.32140812
Workers' acceptance of change is characteristic of what type of culture?,Team culture,Collaborative culture,Group culture,Collective culture,B,True,0.07625606,0.3872602,0.30159855,0.23488519
What is a virtual organisation?,An organisation that uses information and communications technologies (ICT's) to coordinate activities without physical boundaries between different functions,An organisation that uses internet technologies to sell products to customers,An organisation that manages the supply chain using digital technologies,An organisation that coordinates the workforce via video conferencing,A,True,0.9900511,0.0016866707,0.007559133,0.0007031089
From what does a chain of command extend?,Bottom to top,Top to bottom,Diagonally,Laterally,B,True,0.44622672,0.5056411,0.019605832,0.02852632
"What do you call a style of leadership that takes account of others' views, opinions and ideas?",Laissez-faire,People-oriented,Democratic,Autocratic,C,False,9.315113e-05,0.75481147,0.2450514,4.400148e-05
What is the guiding principle of scientific management?,Experimentation,Fluid working relationships,Freedom of association,One best way to do a job,D,True,0.00013814493,0.01097421,0.0010207605,0.9878669
What is the term Tuckman uses for reaching consensus as a group?,Storming,Performing,Forming,Norming,D,False,0.12077746,0.7875679,0.05705123,0.03460332
What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,Expectancy,Instrumental,Classical,Contingency,A,False,0.015725164,0.24598297,0.27873522,0.45955667
What is the term for decisions limited by human capacity to absorb and analyse information?,Cognitive rationality,Conscious rationality,Bounded rationality,Restricted rationality,C,True,0.0053424845,0.29168975,0.69972736,0.0032403804
What is a definition of an objective?,A defined specified outcome to be achieved in the long-term,A clear set of goals to be attained given a set number of resources,A clearly defined and measurable outcome to be achieved over a specified timeframe,A set standard of performance agreed by workers and managers,C,True,0.28684464,0.023545641,0.6881045,0.0015052225
What is not a purpose of an organisational structure?,To coordinate people and resources,To organise lines of communication,To formalise authority,To limit workers' rights,D,False,0.48902234,0.2617548,0.10911564,0.14010724
To what time-frame do strategic plans relate?,Long-term,Medium-term,Short-term,Unspecified time it takes to achieve an aim,A,True,0.6505758,0.06051298,0.21121104,0.077700205
What is the term for organisational development through a formally designed organisational structure?,Organic,Mechanistic,Formal,Structured,B,False,0.00031904783,0.0473509,0.9510682,0.0012618587
'There is no discernible link between planning and performance'. Who is this position held by?,Michael Porter,Milton Friedman,Gary Hamel,Henry Mintzberg,D,True,0.009883964,0.050194915,0.050194915,0.88972616
What does situational theory of leadership emphasise?,Personality traits,Events,Environment,Political situation,B,False,0.03295475,0.21489196,0.7500466,0.0021067266
What is intuitive decision making based on?,Guesswork,Gambling,Instinct,Rationality,C,False,0.0041120094,0.014352323,0.093588896,0.8879468
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D,False,0.017325392,0.036677852,0.9459343,6.2485116e-05
Which 18th century writer produced a famous book called 'The Wealth of Nations'?,Frederick Taylor,Henry Mintzberg,Adam Smith,Dr Samuel Johnson,C,True,0.19310287,0.043087073,0.76373667,7.340399e-05
Which one of these characteristics is most commonly associated with the 'rational goal' model of management?,Worker welfare,Health and safety,Interpersonal relationships,Productivity,D,True,9.570436e-05,0.0035912797,0.0005507406,0.9957623
In what order do managers typically perform the managerial functions?,"organising, planning, controlling, leading","organising, leading, planning, controlling","planning, organising, leading, controlling","planning, organising, controlling, leading",C,False,0.52271616,0.35925722,0.037865434,0.080161124
How does lateral communication in an organisation occur?,Information passes upwards.,Information passes downwards.,Information is a two-way process.,Information passes between different departments and functions.,D,True,0.00034134008,0.008803276,0.29152447,0.69933087
Of what is advertising a form?,Focusing strategy,Differentiation,Cost leadership,Growth,B,False,0.26747528,0.12634638,0.3030892,0.3030892
What is not a component of an agile organisation?,Market focus and position,Human resources: multi-skilling,Organisational structure,Project-based culture,D,False,0.1271864,0.20969492,0.64590585,0.017212808
Of what is worker autonomy in decision making an example?,Worker freedom,Greater worker negotiation,Worker empowerment,Increased worker power,C,True,0.09266325,0.36649027,0.5332402,0.007606263
Vertical integration forwards is when a firm mergers or acquires another,Towards the source of supply,Towards the consumer,At the same stage of the supply chain,In another industry,B,False,0.17234299,0.09224856,0.41342935,0.3219791
What is the term for an autonomous business entity within an overall corporate enterprise which is set apart from other areas of the business?,Subsidiary,Strategic partnership,Strategic alliance,Strategic business unit,D,False,0.92718047,0.01167148,0.046161596,0.014986476
What is not a characteristic of a corporate social responsibility framework?,Retaining the status quo,Understanding society,Harnessing diversity,Building capacity,A,True,0.7704979,0.17192133,0.014112162,0.043468516
What is a whistleblower?,Someone who reports illegal or unethical acts,Someone who commits illegal or unethical acts,Someone who benefits from illegal or unethical acts,Someone who devises illegal or unethical acts,A,True,0.99157566,0.0040523433,0.0019141914,0.0024578704
What is T-group training?,A group whose aim is transformational change,A group brought together to deliver training programmes,Team training for the purposes of advancing technology,Team building activities involving learning,D,True,0.04938059,0.25077534,0.018166102,0.681678
What is a social enterprise concerned with?,Profit maximisation,Maximising market share,Providing public service,Running a business to create social benefits,D,False,0.0010789669,0.07564142,0.81322193,0.11005762
Which of the following is not part of Schein's model of the formation of culture?,Shared values,Pre-conceptions,Shared beliefs,Norms,B,True,0.43322903,0.4909128,0.035561606,0.040296577
What is not one of the layers of cultural influence?,Social,Business,Organisational,Company,D,False,0.88649887,0.082457244,0.012645227,0.018398697
