0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_alpacagpt4_52000_correct,llama_7B_llamatokenizer_alpacacode_alpacagpt4_52000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_alpacagpt4_52000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_alpacagpt4_52000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_alpacagpt4_52000_choiceD_probs
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,True,0.88754576,0.10600223,0.0036271967,0.0028248637
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,True,0.58202267,0.21411417,0.11460706,0.08925607
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,True,0.82465583,0.098491095,0.017115185,0.05973787
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,True,0.20242378,0.62350917,0.10834965,0.065717384
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.83089477,0.12742184,0.019540772,0.022142595
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,False,0.093926795,0.8911527,0.01271161,0.0022089467
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,True,0.019531881,0.94109875,0.022132521,0.017236825
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.0015866117,0.26682708,0.72531116,0.006275171
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.9311798,0.059528332,0.008056284,0.0012354711
When was the current Dalai Lama born?,1935,2000,1965,1975,A,True,0.81160885,0.14103647,0.045787837,0.0015667736
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.017440995,0.100366004,0.84035426,0.041838773
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,False,0.0039073457,0.95609593,0.017511507,0.022485223
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,True,0.99333113,0.0046000355,0.0011630711,0.0009058007
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,False,0.0004897068,0.13578212,0.78137213,0.08235601
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,False,0.22784865,0.6193568,0.12195859,0.030835958
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,False,0.064446546,0.69286567,0.1062544,0.13643335
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,False,0.11489356,0.3538971,0.40101793,0.13019146
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,False,0.5899128,0.40544075,0.0035077496,0.0011387996
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,False,0.0057756766,0.66757745,0.27828768,0.04835915
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,False,0.5147151,0.31219047,0.14746834,0.025626155
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,False,0.0945005,0.6982695,0.17655018,0.03067982
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,True,0.7322972,0.23774208,0.010445658,0.019515058
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,True,0.0010105286,0.97796476,0.01791205,0.0031126477
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.011088883,0.10520839,0.8808991,0.0028037087
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,False,0.020045677,0.9658549,0.0083562825,0.005743183
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,False,0.0021613215,0.98803663,0.003144704,0.0066573382
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,True,0.015845716,0.9803397,0.0016701262,0.0021444845
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,True,0.13193575,0.670025,0.14950278,0.04853645
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.00090995315,0.9978848,0.00090995315,0.00029541852
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.001814849,0.8296486,0.04130577,0.12723073
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.0144761,0.8956046,0.073515706,0.01640357
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.006668676,0.9897193,0.002453269,0.0011588421
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,False,0.335059,0.62597257,0.027503315,0.0114650875
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,False,0.028609665,0.836097,0.08812397,0.047169365
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.84465665,0.12953229,0.008280722,0.017530289
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,True,0.08204371,0.77840906,0.10534621,0.034200907
 How many books are in the New Testament?,30,29,27,47,C,False,0.013548201,0.8381975,0.12854175,0.019712517
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,True,0.008456036,0.19245851,0.76118815,0.037897326
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,True,0.01393,0.8618186,0.033416335,0.09083501
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.65680003,0.31025037,0.015446457,0.017503127
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,True,0.10437445,0.87391657,0.01813756,0.0035714973
How many Jinas have appeared during our age?,7,42,24,13,C,False,0.040373962,0.81093276,0.09685211,0.051841196
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.113434374,0.838173,0.0286807,0.01971194
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.008244764,0.03695047,0.95296514,0.0018396556
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.0008919464,0.1323766,0.86320376,0.0035277165
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,True,0.22723114,0.2005308,0.5450992,0.02713889
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.00846074,0.9779286,0.010863805,0.0027468
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.0058686393,0.9869533,0.0058686393,0.0013094704
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.0009927527,0.037252773,0.96076167,0.0009927527
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.15565963,0.7905048,0.039356917,0.0144786015
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.54119223,0.42148092,0.0209843,0.01634259
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,False,0.20924734,0.73034495,0.032089118,0.028318547
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.012521603,0.3659349,0.60332465,0.018218827
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,False,0.07837826,0.84264565,0.041952856,0.037023265
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.7353971,0.2106948,0.036613263,0.017294882
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.0011513971,0.9833609,0.009640531,0.0058472776
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,True,0.03847088,0.8755932,0.055974796,0.02996115
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.003559255,0.98688275,0.008538209,0.0010197436
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.036477175,0.30541965,0.570599,0.0875042
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.07656742,0.18367569,0.72645146,0.013305423
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,True,0.005201323,0.11838157,0.19517821,0.6812389
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,False,0.28991833,0.61375713,0.03923618,0.057088308
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.88754576,0.10600223,0.0036271967,0.0028248637
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.7942495,0.08371328,0.09485958,0.027177721
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.66478443,0.24456052,0.048156824,0.042498246
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.030093571,0.8794631,0.072190724,0.018252673
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,True,0.16585201,0.7432971,0.037006583,0.053844262
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,True,0.38206637,0.2045054,0.38206637,0.03136192
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.88759565,0.09355189,0.01117318,0.0076792073
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.9684863,0.029245753,0.0011339808,0.0011339808
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.018416256,0.8873449,0.050060574,0.0441783
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.91841197,0.07538784,0.005461077,0.00073907647
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,False,0.3086676,0.50890684,0.06887305,0.113552466
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.0017135057,0.10601085,0.88761795,0.0046577915
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.008721474,0.19849983,0.78508204,0.0076966733
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.0036129195,0.10558498,0.8840522,0.006749822
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.07303466,0.8897443,0.016296236,0.02092478
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,False,0.03639586,0.56932706,0.20944372,0.18483344
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.7779562,0.19669813,0.014248765,0.011096949
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.09434897,0.8951581,0.0068346164,0.0036583068
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.017759724,0.969648,0.009506094,0.0030861772
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,False,0.018364182,0.60813814,0.36885443,0.004643192
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.00940911,0.74745816,0.18898702,0.05414569
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.016630024,0.29477423,0.48600057,0.20259517
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.8262265,0.16269363,0.008100039,0.002979838
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.00042885114,0.995609,0.0027964606,0.0011657382
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.99706954,0.0028005631,8.4569685e-05,4.5266886e-05
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.028426584,0.8307466,0.12739912,0.013427768
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.03320761,0.85643554,0.048316788,0.062039986
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,False,0.9277926,0.05234248,0.01499637,0.004868609
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.2865927,0.60671675,0.072461985,0.034228615
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.040404603,0.8115482,0.14102593,0.0070212674
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.038642097,0.4154417,0.32354632,0.22236992
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.0051207333,0.975839,0.013919596,0.0051207333
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.020808931,0.88481826,0.06409602,0.030276814
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.009129465,0.43988222,0.49845186,0.05253644
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.07610668,0.18257044,0.7220801,0.019242782
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.11525896,0.85165495,0.025717752,0.007368259
When was the State of Israel established?,1947,1948,1945,1949,B,True,0.020248719,0.9756379,0.0031052418,0.0010081243
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,False,0.011250191,0.61423963,0.37255517,0.0019549902
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.046833917,0.30539548,0.503512,0.14425862
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,True,0.20091672,0.7946411,0.0032475165,0.0011946945
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,False,0.13880084,0.79874367,0.051061973,0.011393466
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.99196494,0.0075737457,0.0003770746,8.413672e-05
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,False,0.0015052225,0.6881045,0.28684464,0.023545641
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.10057212,0.84208,0.041924693,0.015423234
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,False,0.011253016,0.78889734,0.1553431,0.044506542
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.0034582657,0.24244314,0.7467775,0.0073211486
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,False,0.0397854,0.33311906,0.33311906,0.29397655
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.000681764,0.9599952,0.037223052,0.002099981
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,True,0.011240243,0.7880019,0.10664446,0.09411341
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.0004753489,0.022903593,0.97388554,0.0027354439
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.05955121,0.20785414,0.7254822,0.0071123773
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.5033165,0.3919833,0.0991089,0.0055913413
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,False,0.002534356,0.13837115,0.48296276,0.37613177
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,False,0.004588,0.874318,0.071768396,0.049325645
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.4642201,0.5260303,0.0066217445,0.0031278906
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.028799336,0.57845014,0.35084775,0.041902788
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,True,0.061491635,0.8488658,0.06967915,0.019963412
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.66550326,0.31436148,0.01773506,0.0024001796
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,False,0.06409253,0.6890596,0.072626345,0.17422156
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,False,0.0017365263,0.5456003,0.33092332,0.12173989
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.21185488,0.57588124,0.16499275,0.04727121
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.08036296,0.8639832,0.026090033,0.02956388
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,True,0.29781985,0.63048464,0.03138998,0.040305533
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,True,0.015606365,0.10176629,0.7519568,0.1306705
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.002170711,0.99232906,0.004595395,0.000904887
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.9179748,0.07535196,0.0029217128,0.0037515534
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.0072193253,0.23907124,0.73639125,0.017318262
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.043980323,0.88336843,0.063990995,0.008660239
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,False,0.37123853,0.61206883,0.0067994706,0.0098931715
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,False,0.39687088,0.5095923,0.078148514,0.015388354
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,False,0.16419251,0.649394,0.16419251,0.02222104
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,False,0.016674729,0.91040933,0.05820052,0.014715396
 The theological term homoousios means which of the following?,of a similar substance,of the same substance,of like substance,of human substance,B,True,0.11853282,0.8758457,0.0045960164,0.0010255098
"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?",Es,Izanagi,Izanami,Kami,B,True,0.075358294,0.91805196,0.0048174947,0.0017722573
