0,1,2,3,4,5,llama_7B_sharegpt_xc_20000/ckp20k_correct,llama_7B_sharegpt_xc_20000/ckp20k_choiceA_probs,llama_7B_sharegpt_xc_20000/ckp20k_choiceB_probs,llama_7B_sharegpt_xc_20000/ckp20k_choiceC_probs,llama_7B_sharegpt_xc_20000/ckp20k_choiceD_probs
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,False,0.37993598,0.26112592,0.17946905,0.17946905
What is the term for the extent to which competition in one country is influenced by competition in other countries?,International trade,Global economics,Global competition,Globalisation,D,False,0.72122145,0.18235333,0.08613762,0.010287671
As what are key factors that reflect the situation of an organisation referred to?,Administrations,Processes,Activities,Contingencies,D,False,0.85691357,0.07033975,0.07033975,0.0024068938
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,True,0.39646965,0.04178759,0.39646965,0.16527313
What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D,False,0.92996854,0.028082617,0.040859967,0.0010888812
What does the acronym SMART stand for?,"Suitable, measurable, actionable, rewarded and timely","Specific, measurable, actionable, resourced and timely","Standardised, measurable, achievable, rewarded, and timely","Specific, measurable, achievable, rewarded and timely",D,False,0.9556647,0.012030044,0.028858574,0.0034466651
Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?,Merton,Weber,Gouldner,Mayo,C,False,0.8986172,0.023947338,0.07376299,0.003672443
What is the optimal span of control?,2,5,7,None of the above,D,False,0.4701323,0.2516437,0.22207476,0.056149296
What one of these is not a recognised type of authority?,Executive,Functional,Line management,Supplier,D,False,0.6801519,0.055830266,0.17196932,0.09204855
Which one of the following is not a characteristic of a team?,Minimal and formal knowledge sharing,Collective output,Individual and collective responsibility,Fluid dimension to roles and tasks,A,True,0.4227611,0.12112309,0.19969821,0.25641757
Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?,Ethical,Economic,Discretionary,Technical,D,False,0.44229883,0.2682678,0.12672074,0.16271265
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,Product development,Market penetration,Diversification,Market development,B,True,0.43341494,0.49112347,0.008995241,0.06646633
What is characteristic for the location of a virtual team?,In the same building,In the same industry,In the same country,remotely,D,True,0.122877814,0.010086426,0.06577175,0.801264
"According to the Five Factor model, 'extraversion' as a personality type is characterised by what type of people?",Good natured,Calm and self-confident,Sensitive and curious,Assertive and sociable,D,False,0.8607232,0.10279873,0.03337386,0.0031042525
What is the overriding philosophy underpinning the strategic direction of an organisation?,Vision statement,Mission statement,Strategy statement,Business statement,B,False,0.91661835,0.0069984673,0.07524061,0.0011424684
What is the term for the action in which managers at an organisation analyse the current situation of their organisation and then develop plans to accomplish its mission and achieve its goals?,Synergy planning,Strategy formulation,Functional planning,SWOT analysis,B,False,0.7491807,0.24322335,0.007344709,0.0002513221
What is Frank Gilbreth`s work most noted for?,Working conditions,Time and motion studies,Work psychology,Work as a social setting,B,False,0.6270418,0.02431305,0.3356313,0.013013837
What is another name for contingency planning?,Synergy planning,Ad hoc planning,Business level planning,Scenario planning,D,False,0.8373595,0.113324285,0.04724059,0.0020756067
Which feature does not form one of Fayol's 14 principles of management?,Esprit de corps,Initiative,Order,Individualism,D,False,0.66547924,0.03754377,0.14848849,0.14848849
What one of the following is not a characteristic of the job characteristics model?,Task identity,Autonomy,Reward,Feedback,C,False,0.75331575,0.02920922,0.1019502,0.11552472
Workers' acceptance of change is characteristic of what type of culture?,Team culture,Collaborative culture,Group culture,Collective culture,B,False,0.92729926,0.031730436,0.040742688,0.00022758677
What is a virtual organisation?,An organisation that uses information and communications technologies (ICT's) to coordinate activities without physical boundaries between different functions,An organisation that uses internet technologies to sell products to customers,An organisation that manages the supply chain using digital technologies,An organisation that coordinates the workforce via video conferencing,A,True,0.67343765,0.06263946,0.19294313,0.070979804
From what does a chain of command extend?,Bottom to top,Top to bottom,Diagonally,Laterally,B,False,0.9278572,0.035976928,0.035976928,0.00018878959
"What do you call a style of leadership that takes account of others' views, opinions and ideas?",Laissez-faire,People-oriented,Democratic,Autocratic,C,False,0.47509065,0.19804725,0.32652473,0.0003373972
What is the guiding principle of scientific management?,Experimentation,Fluid working relationships,Freedom of association,One best way to do a job,D,False,0.7200502,0.26489168,0.0079990355,0.007059124
What is the term Tuckman uses for reaching consensus as a group?,Storming,Performing,Forming,Norming,D,False,0.7505387,0.11509884,0.13042407,0.003938466
What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,Expectancy,Instrumental,Classical,Contingency,A,True,0.9195346,0.011575233,0.066610865,0.0022792986
What is the term for decisions limited by human capacity to absorb and analyse information?,Cognitive rationality,Conscious rationality,Bounded rationality,Restricted rationality,C,False,0.9352764,0.017130185,0.04656467,0.0010287475
What is a definition of an objective?,A defined specified outcome to be achieved in the long-term,A clear set of goals to be attained given a set number of resources,A clearly defined and measurable outcome to be achieved over a specified timeframe,A set standard of performance agreed by workers and managers,C,False,0.8447028,0.015471271,0.11431809,0.025507813
What is not a purpose of an organisational structure?,To coordinate people and resources,To organise lines of communication,To formalise authority,To limit workers' rights,D,False,0.66848576,0.07983924,0.14915934,0.102515616
To what time-frame do strategic plans relate?,Long-term,Medium-term,Short-term,Unspecified time it takes to achieve an aim,A,True,0.9737094,0.015738547,0.009545911,0.0010061316
What is the term for organisational development through a formally designed organisational structure?,Organic,Mechanistic,Formal,Structured,B,False,0.34800118,0.041562814,0.57375693,0.03667905
'There is no discernible link between planning and performance'. Who is this position held by?,Michael Porter,Milton Friedman,Gary Hamel,Henry Mintzberg,D,False,0.27792147,0.037612583,0.666699,0.017766926
What does situational theory of leadership emphasise?,Personality traits,Events,Environment,Political situation,B,False,0.4885617,0.12352774,0.38049224,0.0074184174
What is intuitive decision making based on?,Guesswork,Gambling,Instinct,Rationality,C,False,0.6606705,0.019950522,0.18928528,0.13009374
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D,False,0.052936368,0.008118055,0.93831956,0.0006259972
Which 18th century writer produced a famous book called 'The Wealth of Nations'?,Frederick Taylor,Henry Mintzberg,Adam Smith,Dr Samuel Johnson,C,True,0.022872312,0.004503825,0.97255546,6.838698e-05
Which one of these characteristics is most commonly associated with the 'rational goal' model of management?,Worker welfare,Health and safety,Interpersonal relationships,Productivity,D,False,0.5325506,0.19591442,0.04953492,0.2220001
In what order do managers typically perform the managerial functions?,"organising, planning, controlling, leading","organising, leading, planning, controlling","planning, organising, leading, controlling","planning, organising, controlling, leading",C,False,0.98328465,0.014025802,0.0018981859,0.00079128164
How does lateral communication in an organisation occur?,Information passes upwards.,Information passes downwards.,Information is a two-way process.,Information passes between different departments and functions.,D,False,0.14124529,0.040467452,0.81281054,0.0054766745
Of what is advertising a form?,Focusing strategy,Differentiation,Cost leadership,Growth,B,False,0.84779286,0.10125442,0.03724942,0.013703295
What is not a component of an agile organisation?,Market focus and position,Human resources: multi-skilling,Organisational structure,Project-based culture,D,False,0.5969846,0.03816395,0.19381253,0.17103897
Of what is worker autonomy in decision making an example?,Worker freedom,Greater worker negotiation,Worker empowerment,Increased worker power,C,False,0.9656591,0.008354588,0.025733942,0.0002522867
Vertical integration forwards is when a firm mergers or acquires another,Towards the source of supply,Towards the consumer,At the same stage of the supply chain,In another industry,B,False,0.7603321,0.19224206,0.037854705,0.009571169
What is the term for an autonomous business entity within an overall corporate enterprise which is set apart from other areas of the business?,Subsidiary,Strategic partnership,Strategic alliance,Strategic business unit,D,False,0.91190624,0.058296215,0.027537182,0.0022603897
What is not a characteristic of a corporate social responsibility framework?,Retaining the status quo,Understanding society,Harnessing diversity,Building capacity,A,True,0.79593474,0.03497093,0.09506085,0.07403347
What is a whistleblower?,Someone who reports illegal or unethical acts,Someone who commits illegal or unethical acts,Someone who benefits from illegal or unethical acts,Someone who devises illegal or unethical acts,A,True,0.99002224,0.0040459945,0.0027807688,0.003151024
What is T-group training?,A group whose aim is transformational change,A group brought together to deliver training programmes,Team training for the purposes of advancing technology,Team building activities involving learning,D,False,0.9413313,0.028425744,0.028425744,0.001817197
What is a social enterprise concerned with?,Profit maximisation,Maximising market share,Providing public service,Running a business to create social benefits,D,False,0.093497165,0.012653465,0.88707644,0.006772912
Which of the following is not part of Schein's model of the formation of culture?,Shared values,Pre-conceptions,Shared beliefs,Norms,B,False,0.80565315,0.123550914,0.03539793,0.03539793
What is not one of the layers of cultural influence?,Social,Business,Organisational,Company,D,False,0.70029,0.2576223,0.030768597,0.011319133
