0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptllama2chat_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptllama2chat_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptllama2chat_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptllama2chat_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptllama2chat_choiceD_probs
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.26470497,0.33988792,0.38514346,0.010263725
How many Jinas have appeared during our age?,7,42,24,13,C,True,0.06984103,0.101618096,0.58477175,0.24376912
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.11607089,0.3575235,0.3575235,0.16888215
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.00392886,0.0121017415,0.9613604,0.02260903
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.002428174,0.004003382,0.97959524,0.013973176
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,True,0.024559394,0.007973268,0.9215844,0.045882985
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.02414262,0.9059451,0.01880229,0.051109925
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.022637,0.9625497,0.006485609,0.008327686
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.0016846667,0.0027775457,0.9888748,0.006662986
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.24152297,0.51130414,0.1464911,0.10068176
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,True,0.20866026,0.18414204,0.30359888,0.30359888
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,True,0.9745068,0.009553728,0.010825792,0.0051137423
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.019070778,0.010207852,0.05183975,0.9188816
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,False,0.30900928,0.16540074,0.39677578,0.12881424
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.9974299,0.0013233705,0.001030642,0.0002160343
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.03183311,0.03607164,0.111108474,0.82098675
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.4173366,0.32502207,0.034257077,0.2233842
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.02415869,0.9065482,0.045134377,0.02415869
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.02883321,0.014498249,0.7436183,0.21305022
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.0016614185,0.012276314,0.9752284,0.010833809
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,True,0.21185486,0.047271207,0.16499272,0.5758812
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.33075425,0.33075425,0.13787888,0.20061259
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.94956553,0.032492343,0.0043973606,0.013544824
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,False,0.1978376,0.009849754,0.7824629,0.009849754
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.20345806,0.23054817,0.3354456,0.23054817
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.16292238,0.2091965,0.23705068,0.3908305
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,True,0.05939063,0.56348264,0.26617035,0.11095631
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.2696514,0.12737429,0.099199206,0.5037751
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.9908942,0.0051997355,0.0035737224,0.00033240797
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.52009404,0.35745507,0.04269192,0.07975901
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,True,0.029845707,0.026338745,0.87221944,0.07159613
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.9481634,0.022298666,0.007239317,0.022298666
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.9354275,0.021999147,0.006302861,0.03627046
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.008428356,0.0065640095,0.9741854,0.010822223
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.0077472525,0.006422698,0.9532129,0.03261715
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.0031252466,0.0025909205,0.9819233,0.0123605905
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.036439434,0.8293577,0.087413654,0.046789158
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,True,0.99179006,0.0052044364,0.0013158877,0.0016896332
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.8158315,0.046026062,0.05215436,0.085988
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.010866131,0.97813797,0.0035277165,0.0074681756
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.00756472,0.9907828,0.00090347696,0.00074900873
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.0040094587,0.0040094587,0.9810822,0.010898839
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.062854044,0.062854044,0.40985984,0.46443206
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,True,0.029621676,0.013144538,0.03573056,0.92150325
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.99485564,0.0020443862,0.0014050849,0.0016948559
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,True,0.003051026,0.0093978215,0.02894733,0.95860386
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.91832334,0.021596896,0.024472488,0.03560726
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,True,0.012858482,0.014570569,0.54675657,0.42581445
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.011111117,0.056426905,0.04979657,0.88266534
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,True,0.008457648,0.0031113948,0.9775711,0.010859834
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,True,0.1233449,0.15837798,0.48783854,0.2304386
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.019837793,0.022479163,0.8435244,0.11415861
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.067926764,0.14380097,0.6444712,0.14380097
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.0093007125,0.94869846,0.019689608,0.02231125
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.07159613,0.87221944,0.026338745,0.029845707
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,True,0.022020789,0.028275251,0.013356282,0.9363477
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.0039486075,0.012162568,0.9661924,0.017696433
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.12892345,0.6547273,0.02876671,0.18758251
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.49027264,0.49027264,0.0079245195,0.011530108
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.0071634776,0.041222967,0.9382304,0.013383137
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.005784998,0.0035087788,0.9728871,0.017819049
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,True,0.26521176,0.72092026,0.008008701,0.0058592902
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.97851425,0.013957756,0.003998964,0.0035290734
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.9867568,0.0040326496,0.0040326496,0.0051780245
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,True,0.0016421616,0.0014492025,0.032983698,0.96392494
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.47020087,0.17297724,0.22210716,0.13471481
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,True,0.11422563,0.11422563,0.6573231,0.11422563
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.012246607,0.006977906,0.97286844,0.007907003
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,True,0.0027621132,0.0014784527,0.012378933,0.98338044
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.04821352,0.8546051,0.04254828,0.054633074
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.27262422,0.16535495,0.3966659,0.16535495
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.002544257,0.0027083477,0.75094974,0.24379769
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.055523127,0.020425819,0.8685279,0.055523127
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.010439339,0.9397194,0.036436874,0.013404377
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.00516296,0.0024388097,0.008512282,0.983886
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,True,0.007327914,0.00392235,0.02898246,0.9597673
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,True,0.37894925,0.12302682,0.4865805,0.011443277
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.08957602,0.24349287,0.312651,0.35428002
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,True,0.015862046,0.8660383,0.055363975,0.06273561
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.8977248,0.08350142,0.008800984,0.009972822
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,True,0.008483865,0.0024306683,0.008483865,0.98060155
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,True,0.0029491244,0.0033417956,0.06712176,0.9265873
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.16038576,0.045951292,0.29964006,0.49402294
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,True,0.033717047,0.033717047,0.8695741,0.06299174
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,True,0.06354751,0.68320006,0.13453007,0.11872237
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,True,0.05218984,0.06701308,0.4951634,0.38563365
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.0060287965,0.614954,0.0060287965,0.37298846
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.95817035,0.01988619,0.015487381,0.006456101
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.66921866,0.04847804,0.09056889,0.19173436
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.14243676,0.5633483,0.05937647,0.2348385
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,False,0.111076176,0.8207481,0.04630344,0.021872196
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,False,0.3069538,0.39413646,0.08794373,0.21096605
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,False,0.12393624,0.06633829,0.096521646,0.71320385
