0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_correct,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_choiceA_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_choiceB_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_choiceC_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_choiceD_probs
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,False,0.34231928,0.38789856,0.18323031,0.086551875
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.27774546,0.5188968,0.054691322,0.14866643
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.15710118,0.4839057,0.065489516,0.29350364
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.0653157,0.90165544,0.016514396,0.016514396
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,True,0.25069243,0.68145263,0.033927526,0.033927526
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.07432888,0.25943327,0.33311892,0.33311892
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.11418832,0.39855638,0.27392355,0.21333186
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.14124864,0.2990234,0.12465149,0.43507645
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.053598393,0.34950542,0.08836881,0.5085274
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.1904708,0.4032267,0.1904708,0.21583171
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.49254876,0.49254876,0.0115836365,0.0033187675
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.3745737,0.3745737,0.094707064,0.15614554
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,True,0.088727385,0.51059085,0.18783589,0.21284594
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.3986894,0.35184214,0.061141,0.18832752
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.30566788,0.6470989,0.022142507,0.025090747
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,False,0.35647324,0.4577207,0.054666944,0.13113917
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.31741112,0.46183047,0.070824,0.1499344
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,True,0.119601,0.6882562,0.119601,0.07254167
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.08399483,0.7969208,0.044959195,0.074125186
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.07657493,0.26727277,0.38887957,0.26727277
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,True,0.09040854,0.27847788,0.3155568,0.3155568
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.02590285,0.10244776,0.013864796,0.85778457
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,False,0.04988068,0.2235497,0.253315,0.4732547
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.096932895,0.7162426,0.045787856,0.14103654
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,True,0.18919975,0.35347164,0.21439138,0.24293727
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,False,0.17712785,0.4814834,0.08366927,0.25771952
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,True,0.31444588,0.45751604,0.07950437,0.14853372
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.30283552,0.64110285,0.015077294,0.040984333
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.15054877,0.5954319,0.10347056,0.15054877
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,False,0.120797545,0.47776356,0.17575939,0.22567952
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.13613568,0.78340673,0.030375974,0.050081514
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,False,0.1512532,0.5279255,0.24937434,0.07144695
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,False,0.19090945,0.4041553,0.04826947,0.35666582
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,True,0.16041066,0.33958936,0.16041066,0.33958936
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,False,0.15390794,0.47406983,0.1976217,0.17440055
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,True,0.1640457,0.50529635,0.14476983,0.18588814
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,False,0.11094208,0.49720788,0.12571384,0.2661362
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,False,0.51331306,0.35279456,0.032815006,0.10107733
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.11252062,0.30586275,0.07733422,0.5042824
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,False,0.19861889,0.37106892,0.17528054,0.2550317
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.24977615,0.41181126,0.117985904,0.2204267
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,True,0.11577959,0.66626555,0.11577959,0.10217513
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,False,0.057774246,0.42689714,0.3767354,0.13859321
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,False,0.37444818,0.37444818,0.05067605,0.20042768
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.1488167,0.40452573,0.1686314,0.2780262
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,False,0.16282034,0.50152194,0.09875553,0.23690219
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.017039038,0.12590241,0.82098687,0.036071647
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,True,0.13821225,0.37569985,0.25821447,0.22787347
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,0.05857932,0.80866253,0.06637906,0.06637906
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.016257638,0.25431225,0.47511783,0.25431225
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,False,0.17070024,0.59580237,0.06279711,0.17070024
How many sides does a rhombus have?,4,6,8,10,A,True,0.44534507,0.3468351,0.022172425,0.18564744
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.0901792,0.19090936,0.3147563,0.4041551
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,True,0.334606,0.62512624,0.021390643,0.018877177
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,False,0.25133324,0.41437846,0.04949045,0.28479788
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,True,0.041314565,0.12725782,0.18515904,0.64626855
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,False,0.13821225,0.25821447,0.22787347,0.37569985
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,True,0.07735682,0.27000183,0.34668922,0.30595216
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,False,0.12294149,0.5509855,0.06580584,0.2602671
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,True,0.08322861,0.37300473,0.12109691,0.42266974
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,False,0.33253652,0.48383778,0.04500393,0.13862185
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,False,0.26023668,0.4861861,0.09573572,0.1578415
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,True,0.18614168,0.39406195,0.112900645,0.30689576
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,False,0.018794484,0.42776048,0.25944984,0.2939952
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.09731377,0.8147982,0.035799734,0.0520883
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,True,0.7948179,0.20096144,0.002866561,0.0013540676
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,False,0.16041066,0.33958936,0.16041066,0.33958936
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,True,0.055607844,0.8698531,0.00313718,0.07140189
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,True,0.21583615,0.75334215,0.0107458485,0.020075887
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,False,0.41939652,0.5385158,0.023660734,0.018426998
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,False,0.1585377,0.3356243,0.0748879,0.43095013
In British currency how many pence make a pound?,10,100,500,1000,B,False,0.44729003,0.44729003,0.017343316,0.08807663
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,True,0.20500466,0.55726045,0.09683735,0.14089751
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,False,0.09181255,0.4114753,0.13358647,0.36312568
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,False,0.32633564,0.41902325,0.05670863,0.19793256
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.13361834,0.3632123,0.28287002,0.2202994
How many stars are on the American flag?,13,48,50,51,C,False,0.57126904,0.3057783,0.010463158,0.112489544
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,False,0.47840664,0.42219236,0.03465566,0.0647453
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,False,0.228871,0.4275873,0.08419693,0.25934482
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,True,0.031938486,0.18379328,0.44089717,0.34337106
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,True,0.15073937,0.31911525,0.24852721,0.2816182
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,False,0.13101353,0.40355006,0.061886407,0.40355006
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,False,0.22592203,0.3287146,0.15527378,0.2900896
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,False,0.23115803,0.43186003,0.040169243,0.29681277
In the children's game what color is 'Rover'?,Green,black,red,blue,C,False,0.3741825,0.42400432,0.09460815,0.10720508
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,False,0.14572828,0.44887468,0.24026531,0.16513178
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,False,0.12822981,0.39497563,0.12822981,0.34856477
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,True,0.13357744,0.528309,0.11788167,0.22023195
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,True,0.1832715,0.34239623,0.26665846,0.20767382
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,False,0.12562051,0.49683878,0.0761927,0.30134794
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.13909134,0.20237671,0.0351678,0.62336415
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,True,0.055522505,0.46488422,0.11754114,0.3620522
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,False,0.22023195,0.528309,0.11788167,0.13357744
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,0.12359226,0.33595857,0.10906978,0.43137935
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.008156574,0.12759031,0.03225988,0.8319933
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,True,0.07064756,0.3166204,0.09071326,0.5220188
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.17712785,0.25771952,0.08366927,0.4814834
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,False,0.2682678,0.44229883,0.16271265,0.12672074
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,False,0.09220616,0.7720327,0.09220616,0.043555103
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,True,0.3579533,0.45962113,0.07987018,0.10255534
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,True,0.064502366,0.54007167,0.10634642,0.28907955
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,True,0.021077294,0.79091966,0.0505618,0.13744123
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,True,0.3795847,0.48739642,0.024266038,0.10875285
According to a popular slogan what state should people not 'mess with'?,New York,Texas,Montana,Rhode Island,B,True,0.17395459,0.53581786,0.09311118,0.19711637
