0,1,2,3,4,5,llama_7B_alpaca_20000_2/ckp20k_correct,llama_7B_alpaca_20000_2/ckp20k_choiceA_probs,llama_7B_alpaca_20000_2/ckp20k_choiceB_probs,llama_7B_alpaca_20000_2/ckp20k_choiceC_probs,llama_7B_alpaca_20000_2/ckp20k_choiceD_probs
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.47412926,0.13584031,0.06416642,0.32586396
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.4790514,0.25641775,0.06483256,0.19969833
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.69417906,0.1548923,0.056981687,0.09394692
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,False,0.45513162,0.18972708,0.079090014,0.27605128
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,True,0.49393356,0.20590213,0.06684664,0.23331769
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,True,0.27593872,0.24351506,0.07905777,0.40148845
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.5971291,0.17108035,0.08081263,0.15097788
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.34699592,0.1539785,0.10582778,0.3931979
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.53406394,0.17338517,0.11916578,0.17338517
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.50971645,0.1288765,0.08857544,0.27283156
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.72457105,0.11111657,0.03840086,0.12591156
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.53514564,0.17373635,0.06803614,0.22308189
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,False,0.6778638,0.117795065,0.04333438,0.16100675
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,True,0.29337496,0.17794092,0.04499051,0.48369354
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,True,0.61444676,0.120991744,0.088519454,0.17604195
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,True,0.49708933,0.12568386,0.23480837,0.14241847
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.37320176,0.3293494,0.12116087,0.17628802
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,False,0.67364055,0.04879836,0.058862053,0.21869907
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,True,0.59374523,0.11691537,0.070912756,0.21842667
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,False,0.32456526,0.10537091,0.15331377,0.41675004
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.45962113,0.07987018,0.10255534,0.3579533
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,False,0.18910499,0.16688456,0.12996984,0.51404065
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.3753369,0.13807872,0.061272062,0.4253124
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.6025632,0.15235184,0.0494614,0.19562362
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,False,0.19829725,0.19829725,0.064377695,0.5390278
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,False,0.4377364,0.11067709,0.11067709,0.34090945
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,False,0.56672883,0.18398991,0.08691069,0.16237053
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,True,0.5199028,0.13145202,0.0703612,0.27828395
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,True,0.6223762,0.07433224,0.07433224,0.22895941
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.5732747,0.08791452,0.12791488,0.21089597
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,True,0.6471407,0.09924224,0.06820812,0.18540892
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,True,0.4578707,0.14864884,0.115767844,0.2777126
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,False,0.4136434,0.18355314,0.11851082,0.28429267
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.3913344,0.14396389,0.119350255,0.3453514
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.65056294,0.12810344,0.056845553,0.16448808
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,False,0.38754812,0.26635766,0.1110344,0.23505981
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,False,0.36981326,0.08251649,0.07282055,0.4748496
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,False,0.5733975,0.08793336,0.09964155,0.23902765
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.4124582,0.14254175,0.19483146,0.25016856
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,False,0.71508783,0.08540507,0.058697984,0.14080915
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.5746625,0.14529744,0.06863365,0.21140653
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,False,0.46249577,0.12447905,0.13250726,0.28051788
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,True,0.3035031,0.052740928,0.07673759,0.5670184
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,False,0.35289252,0.35289252,0.14710748,0.14710748
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,False,0.4820193,0.13810085,0.121873565,0.25800636
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,False,0.5722793,0.16396075,0.053230267,0.21052979
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,True,0.37300473,0.12109691,0.08322861,0.42266974
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,True,0.6186373,0.17724256,0.04770419,0.15641601
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,False,0.40861562,0.36060202,0.08046119,0.15032129
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,False,0.33631593,0.123723716,0.1588644,0.3810959
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,False,0.27100182,0.07764332,0.14505681,0.506298
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,False,0.1925406,0.08026286,0.055163804,0.6720327
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,False,0.1640185,0.1640185,0.099482246,0.5724808
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,False,0.49607632,0.11068959,0.05228606,0.34094796
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,True,0.4352901,0.03573079,0.03573079,0.4932483
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,False,0.5958096,0.1329431,0.05206126,0.2191861
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,True,0.6285467,0.085064545,0.0243714,0.26201725
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,False,0.5980144,0.10391933,0.10391933,0.19414686
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,True,0.47432235,0.13589562,0.13589562,0.25388646
A capacitor can store,charge,energy,Both of these,Neither of these,C,False,0.43892398,0.09793718,0.16147111,0.30166775
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,False,0.3827715,0.29810274,0.1595629,0.1595629
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,True,0.3501044,0.30896604,0.10030659,0.240623
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,True,0.4443878,0.34608957,0.08220348,0.12731923
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.386718,0.16120805,0.11079656,0.34127745
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,True,0.52764297,0.08091667,0.07140871,0.32003164
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,False,0.7250844,0.1111953,0.052524943,0.1111953
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,False,0.6147666,0.06479592,0.094277516,0.22616
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,True,0.55400527,0.14007446,0.07497646,0.23094375
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,False,0.40428436,0.09020804,0.14872791,0.3567797
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,False,0.4915116,0.116744235,0.23217364,0.15957046
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,False,0.46323574,0.19310538,0.062692136,0.28096667
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,False,0.43327403,0.15939261,0.10954883,0.2977846
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,True,0.6147668,0.094277546,0.03468277,0.2562729
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,False,0.44710895,0.050164234,0.08270685,0.42001998
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,False,0.6811218,0.12599488,0.040904544,0.15197882
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,True,0.49574053,0.16094339,0.16094339,0.18237275
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,True,0.49501294,0.16070718,0.11045232,0.23382755
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,True,0.42000514,0.37065324,0.07298595,0.1363557
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,True,0.5132584,0.12977205,0.11452343,0.2424461
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.5546901,0.024371384,0.15892139,0.26201704
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,False,0.39935994,0.18864428,0.10097401,0.31102183
"If two protons and two neutrons are removed from the nucleus of neon-20, a nucleus of which element remains?",Magnesium-22,Magnesium-20,Oxygen-18,Oxygen-16,D,True,0.2718779,0.2718779,0.060664162,0.39558002
"If a star that is 20 light-years from Earth explodes, gravitational waves from the explosion would reach Earth in",less than 20 years.,20 years.,more than 20 years.,None of these.,B,True,0.26426658,0.4357019,0.06681705,0.23321444
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",hydrogen,oxygen,nitrogen,All have same average speed,A,False,0.14675285,0.053987358,0.053987358,0.74527246
The mutual induction of electric and magnetic fields can produce,light,energy,Both of these,Neither of these,A,True,0.42089212,0.0645459,0.22528733,0.28927466
"When a model car speeds up to three times its original speed, its kinetic energy is",the same,twice as great,three times greater,None of these,D,False,0.3647621,0.3647621,0.098174386,0.17230141
"If an iron nucleus split in two, its fission fragments would have",less mass per nucleon,more mass per nucleon,the same mass per nucleon,either more or less mass per nucleon,B,False,0.45169547,0.18829468,0.14664404,0.21336582
The surface of Planet Earth loses energy to outer space due mostly to,conduction.,convection.,radiation.,radioactivity.,C,False,0.26039475,0.20279564,0.1579374,0.37887213
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,True,0.73663336,0.08264797,0.060466547,0.120252095
A principal source of the Earth’s internal energy is,tidal friction.,gravitational pressure.,radioactivity.,solar radiation.,C,False,0.66786736,0.0703927,0.0703927,0.19134721
A diffraction grating relies on light,interference,amplitudes,variations in brightness,being composed of photons,A,True,0.6456442,0.04393664,0.041274652,0.26914454
A satellite in Earth orbit is above Earth’s,atmosphere,gravitational field,Both,Neither,A,True,0.6251503,0.13948989,0.09586991,0.13948989
The time it takes for a pendulum swinging to and fro refers to its,frequency,period,wavelength,amplitude,B,False,0.7295141,0.11187462,0.059882164,0.098729
"As entropy in a system increases, energy in the system",becomes more ordered,becomes less ordered,reaches equilibrium,moves toward destruction,B,False,0.7295141,0.098729,0.059882164,0.11187462
"When water changes to steam, energy is",absorbed by the water,released by the water,conserved as the phase change occurs,changed to a different form,A,True,0.57925844,0.12925003,0.07839411,0.21309727
"According to Coulomb, a pair of charged particles placed twice as close to each other experience a force",twice as strong,four times as strong,half as strong,one-fourth as strong,B,False,0.37554434,0.33141673,0.06525982,0.22777916
"The factors, both of which will increase the magnetic field strength of an electromagnet, are",increased electrical current and fewer coils of wire,increased diameter of coil and an increase in the number of coils,an increase in the electrical current and using a strong ferromagnetic material like iron,using an air core instead of iron and increasing the diameter of the coil,C,False,0.47020087,0.22210716,0.13471481,0.17297724
The team that wins in a tug-of-war is the team that,produces more tension in the rope than the opponent,pushes hardest on the ground,Both,Neither,B,False,0.48006666,0.25696117,0.107117355,0.15585482
Which type of radiation from cosmic sources predominates on the inside of high-flying commercial airplanes?,Alpha,Beta,Gamma,None of these,C,False,0.27702668,0.115481906,0.0899374,0.517554
Thermal convection involves mainly,radiant energy,fluids,insulators,All of these,B,False,0.3339639,0.08443929,0.095682256,0.4859146
A 10-Ω resistor carries 10 A. The voltage across the resistor is,0,more than 0 but less than 10 V,10 V,more than 10 V,D,False,0.61036724,0.15432501,0.060434543,0.17487314
A cannonball is fired horizontally at 10 m/s from a cliff. Its speed one second after being fired is about,10 m/s,14 m/s,16 m/s,20 m/s,B,False,0.40771165,0.35980427,0.06252461,0.1699595
The average speed of a gazelle traveling a distance of 2 km in a time of one-half hour is,1 km/h,2 km/h,4 km/h,greater than 4 km/h,C,False,0.32003385,0.4109316,0.04907878,0.21995583
The metal detectors people walk through at airports operate via,Ohm’s law,Faraday’s law,Coulomb’s law,Newton’s laws,B,False,0.4420442,0.12664779,0.087043665,0.34426436
Sound travels in,solids,liquids,gases,All of these,D,True,0.37300494,0.083228655,0.06481854,0.47894782
When a fusion reaction converts a pair of hydrogen isotopes to an alpha particle and a neutron most of the energy released is in the form of,gamma radiation.,kinetic energy of the alpha particle.,kinetic energy of the neutron.,All of these about equally.,C,False,0.38685688,0.06722565,0.049183335,0.49673408
Polarization is a property of,transverse waves.,longitudinal waves.,all waves.,None of these.,A,False,0.33410597,0.10846833,0.17883404,0.37859166
The phenomenon of beats results from sound,reflection.,refraction.,interference.,All of these.,B,False,0.3087438,0.060795255,0.05365163,0.57680935
"The lowest possible temperature is absolute zero, at",0 kelvin,−273°C,Both are the same,None of these,C,False,0.41957125,0.087946914,0.072910555,0.41957125
Refraction occurs when a wave crosses a boundary and changes,speed and direction,intensity,frequency,amplitude,A,True,0.66338444,0.14802109,0.031026905,0.1575676
"When you tap a piece of wood, it will produce a characteristic sound related to its",wavelength,amplitude,period,natural frequency,D,False,0.6172824,0.03073268,0.09466332,0.25732157
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",increases,decreases,isn’t affected,reduces to zero,B,False,0.38336772,0.23252428,0.085540906,0.2985671
"When white light passes through a prism, the light that bends more than green is",red,yellow,blue,None of these,C,False,0.58874226,0.051443722,0.19113663,0.16867748
"If you travel at high speed, then compared with your friends who “stay at home,” you are",older.,younger.,neither younger nor older.,longer.,B,False,0.6656445,0.11567167,0.070158415,0.14852537
The component of velocity that can remain constant for a tossed baseball is,horizontal,vertical,Either of these,None of these,A,True,0.6071452,0.06399263,0.10550602,0.22335623
The crystals that make up minerals are composed of,atoms with a definite geometrical arrangement.,molecules that perpetually move.,X-ray patterns.,3-dimensional chessboards.,A,True,0.73479795,0.06420593,0.04697406,0.15402202
"Two vectors, one 3 N and the other 4 N, can have a resultant of",0 N,5 N,8 N,Any of these,B,False,0.36853176,0.12736118,0.13557526,0.36853176
Radioactivity has been around on Earth since the,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,True,0.34985164,0.1652582,0.08845635,0.39643383
"When the shadow of the Moon falls on Earth, we have a",lunar eclipse.,solar eclipse.,solar eclipse if it’s daytime and lunar eclipse if it’s nighttime.,very dangerous event.,B,False,0.7858533,0.07309575,0.04719416,0.0938568
"In both fission and fusion, energy is released while mass",decreases,remains unchanged; is conserved,increases,may decrease or increase,A,True,0.66211647,0.11505859,0.06555841,0.15726644
"When relatively slow-moving molecules condense from the air, the temperature of the remaining air tends to",remain unchanged,decrease,increase,spread out uniformly,C,False,0.43892398,0.16147111,0.09793718,0.30166775
"If the volume of an object were to double, with no change in mass, its density would",halve.,double.,be the same.,None of these.,A,True,0.40525305,0.2785261,0.07042242,0.24579841
The pressure at the bottom of a pond does NOT depend on the,acceleration due to gravity.,water density.,depth of the pond.,surface area of the pond.,D,False,0.42877102,0.12284496,0.06999495,0.3783891
The blueness of the daytime sky is due mostly to light,absorption,transmission,reflection,scattering,D,False,0.4980398,0.18321861,0.111127704,0.20761387
A galvanometer can be calibrated to read electric,current,voltage,Either of these,Neither of these,C,False,0.43653944,0.06288947,0.1605939,0.33997726
Which of these temperatures is likely when a container of water at 20°C is mixed with water at 28°C?,19°C,22°C,30°C,Higher than 30°C,B,False,0.41342935,0.17234299,0.09224856,0.3219791
To view your full-face image in a steamy mirror compared with the height of your face the minimum height of the patch to wipe away is,one-quarter.,one-half.,the same.,dependent on your distance from the mirror.,B,False,0.7428289,0.088718265,0.03936849,0.1290843
The vibrations in a transverse wave move in a direction,along the wave,perpendicular to the wave,Both of these,Neither of these,B,False,0.5364028,0.15368198,0.05653644,0.25337875
A 1134-Hz tuning fork is sounded at the same time a piano note is struck. You hear three beats per second. The frequency of the piano string is,1131 Hz,1134 Hz,1137 Hz,More information is needed,D,False,0.43157518,0.11615688,0.11615688,0.3361111
Huygens’ principle for light is primarily described by,waves,rays,particles,photons,A,True,0.6966939,0.07343099,0.053723264,0.1761518
"When the temperature of a strip of iron is increased, the length of the strip",also increases.,actually decreases.,may increase and may decrease.,decreases in width as it gets longer.,A,True,0.65541273,0.13738197,0.060962882,0.14624235
"When light undergoes interference, it can sometimes",build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B,False,0.47406983,0.15390794,0.17440055,0.1976217
When the color yellow is seen on your TV screen the phosphors being activated on the screen are,mainly yellow.,blue and red.,green and yellow.,red and green.,D,False,0.7101657,0.07031593,0.07967838,0.13983992
Which of these does NOT belong in the family of electromagnetic waves?,Light,Sound,Radio waves,X-rays,B,False,0.15724498,0.015569363,0.12246252,0.7047231
A math book and a physics book sitting on a table are tied together with a length of string. With the string taut one book is pushed off the edge of the table. As it falls the other book is dragged horizontally across the table surface. With no friction acceleration of the books is,zero,g/2,g,a value between zero and g,D,False,0.6042524,0.13482694,0.038628563,0.22229204
A motor and a generator are,similar devices,very different devices,forms of transformers,energy sources,A,True,0.81279474,0.024544274,0.03801492,0.12464611
As more lamps are connected in parallel in a circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,A,True,0.52274513,0.109573334,0.21791258,0.149769
Newton’s law of cooling applies to objects that,cool,warm up,Both,Neither,C,False,0.41818747,0.15384258,0.2536435,0.17432646
The fact that the Moon always shows its same face to Earth is evidence that the Moon rotates about its axis about once per,day,month,year,None of these for the moon does not rotate about an axis,B,True,0.1571011,0.42704505,0.122350454,0.2935035
Consider a ball rolling in a horizontal circular path on the inside surface of a cone. The normal force on the ball,is mg,is greater than mg always,may be greater or less than mg,is less than mg always,B,False,0.70304036,0.15686952,0.044943865,0.095146164
The compressions and rarefactions in sound normally travel,in the same direction,in opposite directions,at right angles to each other,None of these,A,True,0.4391498,0.23505996,0.05943246,0.2663578
The power required to raise a 100-kg crate a vertical distance of 2 m in a time of 4 s is,200 W,500 W,800 W,2000 W,B,False,0.51742554,0.24441451,0.089915074,0.1482449
The phenomenon of beats is the result of sound,destruction,interference,resonance,amplification,B,False,0.34540135,0.09895915,0.1121354,0.44350412
Interference is characteristic of,sound waves,light waves,water waves,All of these,D,True,0.35102317,0.069120556,0.069120556,0.5107357
"In either a fission event or a fusion event, a quantity that remains unchanged is the",kinetic energy,mass,number of nucleons,binding of nucleons,C,False,0.6708023,0.085282944,0.05172672,0.19218808
The magnetic force on a moving charged particle can change the particle's,speed,direction,Both of these,Neither of these,B,False,0.31122968,0.18877034,0.18877034,0.31122968
"If you were to travel at a speed close to the speed of light, you could notice that your own",mass changes.,pulse decreases.,Both of these.,Neither of these.,D,True,0.3395845,0.1506897,0.12492616,0.38479966
Electricity and magnetism connect to form,mass,energy,ultrahigh-frequency sound,light,D,False,0.774812,0.034042865,0.038575616,0.15256953
Sound travels in air by a series of,compressions,rarefactions,Both of these,Neither of these,C,False,0.4125157,0.15175605,0.07168448,0.36404383
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",amounts of force,accelerations,Both,Neither,A,True,0.53581786,0.17395459,0.09311118,0.19711637
The nucleus of an electrically neutral iron atom contains 26 protons. The number of electrons this iron atom has is,52,26,24,None.,B,False,0.5070709,0.2714155,0.05689178,0.16462182
To say that a rose petal is red is to say that it,absorbs red,reflects red,emits red,transmits red,B,False,0.6264294,0.04004629,0.037620008,0.29590428
