0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_Tptalpaca_correct,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_Tptalpaca_choiceA_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_Tptalpaca_choiceB_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_Tptalpaca_choiceC_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_Tptalpaca_choiceD_probs
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.45657137,0.51736313,0.017703192,0.008362396
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.24878132,0.5967954,0.09152154,0.062901765
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,False,0.03134018,0.55551803,0.3818016,0.03134018
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.013703294,0.10125441,0.8477928,0.037249416
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.07737385,0.23832823,0.5717197,0.11257829
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.21967255,0.52696705,0.21967255,0.033687875
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.19872831,0.6936299,0.0345338,0.073108055
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.26665846,0.34239623,0.1832715,0.20767382
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.061106518,0.39846456,0.08890946,0.4515195
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,False,0.28814396,0.47506908,0.08255462,0.15423235
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,True,0.20524758,0.29863346,0.2635431,0.23257597
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.2812967,0.67479575,0.03806937,0.0058381273
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.13511355,0.3672767,0.17348923,0.32412055
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.26617035,0.56348264,0.05939063,0.11095631
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,False,0.2538866,0.53747797,0.13589571,0.072739735
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.5679901,0.39037353,0.028278563,0.013357848
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.30889943,0.3500289,0.12876844,0.21230327
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.039914995,0.29493415,0.4862642,0.1788866
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.033017002,0.85151976,0.02571367,0.08974952
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.49297276,0.43504694,0.040465668,0.031514693
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.12876844,0.30889943,0.21230327,0.3500289
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.529667,0.4125051,0.04926671,0.00856127
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.29863346,0.2635431,0.20524758,0.23257597
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.53973985,0.32736877,0.09379272,0.039098624
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.30819196,0.57577837,0.047262765,0.06876692
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.13725765,0.6970519,0.044561036,0.12112945
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.07491788,0.91268665,0.0069684484,0.005427033
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,True,0.45588344,0.5165836,0.013766487,0.013766487
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.1595629,0.29810274,0.3827715,0.1595629
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,True,0.14286421,0.34271342,0.38834518,0.12607722
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.1334804,0.24937421,0.1512531,0.46589234
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,False,0.0943499,0.42284688,0.22633363,0.2564696
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.28517848,0.36617643,0.15264504,0.19600013
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.8123219,0.18125352,0.005473382,0.0009511311
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.49088004,0.23187532,0.18058468,0.09666001
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,True,0.11097344,0.5635696,0.14249271,0.18296427
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.6442052,0.304301,0.015150255,0.03634357
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.33820266,0.6318457,0.016838118,0.013113539
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.6952327,0.225709,0.0346136,0.044444736
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.33731064,0.49078408,0.07526418,0.096641116
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,True,0.1171144,0.67394686,0.19308901,0.015849711
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.08724368,0.8277451,0.03209516,0.05291597
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.09152154,0.24878132,0.5967954,0.062901765
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,False,0.15420106,0.3699091,0.3699091,0.10598074
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.006109948,0.025723841,0.0028861351,0.96528006
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,False,0.06215202,0.315634,0.21693188,0.40528208
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.080796756,0.868647,0.012390583,0.038165685
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,True,0.2918031,0.33065623,0.17698753,0.20055315
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,False,0.15407519,0.6093792,0.15407519,0.0824705
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,True,0.32512814,0.47305864,0.082205266,0.119607955
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.11760871,0.86901736,0.005855393,0.0075184735
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.17604758,0.6962817,0.044511795,0.08315899
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,False,0.1856427,0.5046292,0.21036074,0.09936738
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.10455167,0.8754004,0.01414953,0.0058984016
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.051167578,0.29444906,0.6233487,0.031034704
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,False,0.28102168,0.4088841,0.09123438,0.2188599
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.32731417,0.32731417,0.120412156,0.22495952
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,False,0.22990575,0.3790505,0.29520482,0.09583897
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,True,0.22693728,0.54439425,0.12147078,0.10719758
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,False,0.21556492,0.35540646,0.11538358,0.3136451
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,False,0.5789081,0.3511255,0.022446701,0.04751967
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.07360376,0.22671552,0.083403975,0.6162767
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,True,0.3247916,0.3247916,0.15342069,0.19699608
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.48866534,0.2963905,0.14000496,0.07493926
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,True,0.16505654,0.6528113,0.12854616,0.053586014
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,0.024090255,0.25899464,0.70402044,0.012894585
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,True,0.34540135,0.44350412,0.09895915,0.1121354
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.21392198,0.45287284,0.16660261,0.16660261
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,False,0.22023195,0.528309,0.11788167,0.13357744
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.00568412,0.032709848,0.95592195,0.00568412
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,True,0.17946905,0.37993598,0.26112592,0.17946905
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,0.07074829,0.8618906,0.03786883,0.029492274
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.007762282,0.15590961,0.6987384,0.13758975
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,False,0.22289531,0.6865659,0.0341821,0.056356758
How many sides does a rhombus have?,4,6,8,10,A,True,0.48554018,0.33370656,0.057989508,0.12276378
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.1420148,0.20663032,0.26531857,0.38603625
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,False,0.5874266,0.40373203,0.0057589277,0.003082532
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,False,0.38594994,0.38594994,0.086117074,0.14198305
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,False,0.062319838,0.16940288,0.5217976,0.24647972
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,False,0.23054817,0.3354456,0.20345806,0.23054817
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,False,0.20279567,0.3788722,0.2603948,0.15793742
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,False,0.14493914,0.64957213,0.07758033,0.12790833
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,True,0.07735682,0.27000183,0.30595216,0.34668922
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,True,0.51626015,0.40206382,0.020017577,0.061658483
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,False,0.2617311,0.62786025,0.03542145,0.07498722
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,True,0.3069538,0.39413646,0.08794373,0.21096605
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,False,0.026524566,0.4701592,0.2516581,0.2516581
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.15705714,0.79760194,0.021255372,0.024085492
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,True,0.95774555,0.042080402,0.00011819519,5.5831453e-05
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,False,0.17528054,0.37106892,0.19861889,0.2550317
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,True,0.009609914,0.98023796,0.0005421543,0.009609914
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,True,0.22006762,0.76811147,0.005175494,0.006645466
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,False,0.6252686,0.33468217,0.03527524,0.0047739847
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,False,0.14080052,0.29807472,0.26305002,0.29807472
In British currency how many pence make a pound?,10,100,500,1000,B,False,0.49638996,0.4380626,0.013228344,0.052319113
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,True,0.28907958,0.5400717,0.10634643,0.06450237
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,False,0.10537092,0.41675007,0.15331379,0.3245653
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,False,0.38297218,0.43396434,0.058730688,0.12433287
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.27764887,0.4039767,0.21623316,0.102141306
How many stars are on the American flag?,13,48,50,51,C,False,0.7037289,0.22846733,0.010038153,0.05776559
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,False,0.58168197,0.3997838,0.0120724235,0.006461903
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,False,0.18926768,0.40067968,0.16702813,0.24302451
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,True,0.05458047,0.16811968,0.58679533,0.19050455
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,True,0.20366672,0.2963333,0.20366672,0.2963333
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,False,0.110677086,0.34090942,0.110677086,0.43773636
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,False,0.30340108,0.3895747,0.09849991,0.20852432
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,False,0.2985671,0.38336772,0.085540906,0.23252428
In the children's game what color is 'Rover'?,Green,black,red,blue,C,False,0.33728337,0.55608624,0.07525809,0.031372238
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,False,0.18300074,0.43899596,0.30171722,0.07628606
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,False,0.14562345,0.5759519,0.11341165,0.16501299
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,True,0.11845685,0.6816721,0.081414126,0.11845685
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,True,0.2236818,0.32545507,0.25346467,0.19739848
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,False,0.15815389,0.62551075,0.058181565,0.15815389
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.17289476,0.28505525,0.07207326,0.46997666
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,False,0.08551938,0.38327128,0.096906155,0.43430325
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,False,0.19954503,0.61464196,0.12103018,0.06478278
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,0.119878605,0.3258638,0.13584025,0.41841742
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.0052054147,0.06341494,0.055963483,0.87541616
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,True,0.09181255,0.36312568,0.13358647,0.4114753
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.23816717,0.26987875,0.09928284,0.39267126
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,False,0.34032035,0.49516317,0.09750341,0.06701305
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,False,0.1397072,0.70949167,0.123291165,0.027509976
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,False,0.509642,0.3969096,0.06086806,0.032580324
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,True,0.074039996,0.5470857,0.17761272,0.2012616
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,True,0.009144384,0.9327526,0.02193624,0.036166742
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,False,0.47905436,0.47905436,0.011266279,0.03062492
According to a popular slogan what state should people not 'mess with'?,New York,Texas,Montana,Rhode Island,B,True,0.16947274,0.52201277,0.1164768,0.19203778
Each year in pro baseball the player voted as the best fielder at his position wins what?,a brand new car,the Gold Glove,the Silver Bat,the Brass Baseball,B,True,0.26171714,0.71142095,0.007903173,0.018958727
