0,1,2,3,4,5,llama_7B_ga_sharegpt_xc_20000/ckp5000_correct,llama_7B_ga_sharegpt_xc_20000/ckp5000_choiceA_probs,llama_7B_ga_sharegpt_xc_20000/ckp5000_choiceB_probs,llama_7B_ga_sharegpt_xc_20000/ckp5000_choiceC_probs,llama_7B_ga_sharegpt_xc_20000/ckp5000_choiceD_probs
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.31325445,0.5852363,0.03982583,0.06168345
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,True,0.208413,0.2848668,0.18392384,0.32279637
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.4569529,0.29503098,0.045244467,0.20277162
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.15086667,0.6761375,0.055500746,0.11749508
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.4346331,0.55807996,0.0027511038,0.0045358036
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.37660828,0.33235565,0.089452304,0.20158389
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.58202267,0.11460706,0.08925607,0.21411417
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.31121695,0.5814298,0.042118635,0.06523462
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,False,0.66701233,0.13134252,0.07030258,0.13134252
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,True,0.26826796,0.16271272,0.06782875,0.5011905
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,False,0.20481254,0.3376788,0.15950817,0.29800048
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,True,0.5209894,0.31599605,0.031287845,0.13172676
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.51386315,0.35317263,0.054160774,0.07880347
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,False,0.13105747,0.6655648,0.04529225,0.15808548
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,False,0.3733978,0.42311513,0.057262406,0.14622469
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,False,0.42597637,0.42597637,0.0740236,0.0740236
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.34224492,0.4979634,0.033886835,0.12590486
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,True,0.31810585,0.46284124,0.048783105,0.17026979
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.38023287,0.38023287,0.04834119,0.19119309
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.29085568,0.32958266,0.08870597,0.29085568
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,False,0.19644922,0.415883,0.06377773,0.32389
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,False,0.3583276,0.27906582,0.116331935,0.24627472
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,True,0.26021597,0.5508772,0.05806203,0.1308448
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,True,0.8633813,0.1031162,0.009010193,0.024492243
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,False,0.24167733,0.2132795,0.39845854,0.1465847
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.69308275,0.28891987,0.011202639,0.0067947437
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,True,0.7955643,0.13824834,0.024023961,0.042163365
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,True,0.47627592,0.42031202,0.015309865,0.08810219
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.09549356,0.7995578,0.0094551435,0.09549356
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.21568476,0.51740086,0.051229622,0.21568476
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.29991454,0.6349191,0.019172896,0.045993388
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,False,0.3136116,0.45630217,0.03987124,0.19021504
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,True,0.28669629,0.32486945,0.13542573,0.25300857
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,True,0.24520619,0.13124943,0.035325304,0.5882191
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.59220296,0.27973688,0.031385608,0.09667448
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,False,0.34130523,0.5627172,0.0096820835,0.08629548
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.27306432,0.39730623,0.08865101,0.24097842
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,False,0.89663774,0.09450492,0.004705123,0.0041522565
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,False,0.38177374,0.4902072,0.042833827,0.08518524
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,True,0.23696671,0.7299089,0.01108308,0.02204134
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,False,0.9047103,0.045042872,0.012904999,0.03734185
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,False,0.902054,0.044910625,0.02899648,0.024038926
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.96854156,0.024246963,0.0037183922,0.0034931065
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,True,0.6025632,0.19562362,0.0494614,0.15235184
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,False,0.85581756,0.0902025,0.031173153,0.022806766
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,False,0.37094167,0.47629854,0.016298039,0.13646182
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,True,0.45252085,0.27446777,0.03079443,0.24221696
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,False,0.8492022,0.11492702,0.021259362,0.014611331
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,False,0.4575116,0.51842856,0.007394986,0.016664859
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,False,0.7118183,0.15882812,0.020192731,0.10916087
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,False,0.26452988,0.38488868,0.0109184515,0.33966306
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,False,0.7556693,0.19106312,0.007886117,0.045381468
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,False,0.24977615,0.2204267,0.117985904,0.41181126
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,True,0.16038576,0.49402294,0.045951292,0.29964006
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,False,0.24403849,0.70614874,0.01465565,0.035157073
A capacitor can store,charge,energy,Both of these,Neither of these,C,False,0.61371076,0.3722344,0.00991971,0.0041351505
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,False,0.4227611,0.25641757,0.12112309,0.19969821
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,True,0.68231255,0.28443018,0.015074248,0.018183013
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,False,0.15135509,0.598621,0.029803583,0.22022037
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.17870004,0.6237244,0.039873365,0.15770222
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,True,0.32136378,0.22086988,0.25027835,0.20748806
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,False,0.20178367,0.5485049,0.047927823,0.20178367
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,False,0.2582802,0.54677916,0.047777027,0.14716361
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,True,0.89762616,0.08349224,0.012028197,0.0068534603
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,False,0.14281243,0.7252614,0.005894573,0.12603153
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,True,0.30509982,0.4439176,0.04129077,0.20969182
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,True,0.2568909,0.32985443,0.08340026,0.32985443
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,True,0.2986834,0.43458176,0.085574225,0.18116063
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,True,0.97883326,0.010873855,0.0048252437,0.005467718
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,False,0.28826693,0.28826693,0.053324025,0.37014207
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,False,0.4872169,0.23014496,0.07953597,0.20310222
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,False,0.31824923,0.5945678,0.011592226,0.07559081
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,True,0.82026786,0.08645559,0.033856496,0.05942001
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,True,0.46397594,0.40945733,0.04593984,0.08062693
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,True,0.59980243,0.19472733,0.071636185,0.13383402
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.27015665,0.6088074,0.0152411945,0.10579486
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,True,0.15230595,0.77347344,0.018190352,0.05603023
"If two protons and two neutrons are removed from the nucleus of neon-20, a nucleus of which element remains?",Magnesium-22,Magnesium-20,Oxygen-18,Oxygen-16,D,False,0.25480846,0.47604483,0.04427907,0.22486766
"If a star that is 20 light-years from Earth explodes, gravitational waves from the explosion would reach Earth in",less than 20 years.,20 years.,more than 20 years.,None of these.,B,False,0.44115275,0.44115275,0.0410336,0.07666086
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",hydrogen,oxygen,nitrogen,All have same average speed,A,False,0.14799131,0.585317,0.022695202,0.24399643
The mutual induction of electric and magnetic fields can produce,light,energy,Both of these,Neither of these,A,False,0.17452784,0.690271,0.015250074,0.11995112
"When a model car speeds up to three times its original speed, its kinetic energy is",the same,twice as great,three times greater,None of these,D,False,0.21858875,0.4627524,0.24769352,0.07096538
"If an iron nucleus split in two, its fission fragments would have",less mass per nucleon,more mass per nucleon,the same mass per nucleon,either more or less mass per nucleon,B,True,0.17796798,0.33248794,0.15705618,0.33248794
The surface of Planet Earth loses energy to outer space due mostly to,conduction.,convection.,radiation.,radioactivity.,C,False,0.3465532,0.5042319,0.049925722,0.09928916
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,True,0.6817599,0.22133502,0.040942863,0.05596226
A principal source of the Earth’s internal energy is,tidal friction.,gravitational pressure.,radioactivity.,solar radiation.,C,False,0.28313962,0.6792166,0.0058763754,0.031767387
A diffraction grating relies on light,interference,amplitudes,variations in brightness,being composed of photons,A,True,0.6377703,0.15148371,0.02802167,0.18272425
A satellite in Earth orbit is above Earth’s,atmosphere,gravitational field,Both,Neither,A,False,0.20184128,0.70449525,0.014621332,0.07904218
The time it takes for a pendulum swinging to and fro refers to its,frequency,period,wavelength,amplitude,B,True,0.21718495,0.7580499,0.0057877824,0.018977407
"As entropy in a system increases, energy in the system",becomes more ordered,becomes less ordered,reaches equilibrium,moves toward destruction,B,False,0.8368587,0.12833644,0.016316146,0.018488618
"When water changes to steam, energy is",absorbed by the water,released by the water,conserved as the phase change occurs,changed to a different form,A,False,0.26694715,0.4987229,0.026431346,0.20789863
"According to Coulomb, a pair of charged particles placed twice as close to each other experience a force",twice as strong,four times as strong,half as strong,one-fourth as strong,B,False,0.510184,0.350644,0.078239255,0.06093279
"The factors, both of which will increase the magnetic field strength of an electromagnet, are",increased electrical current and fewer coils of wire,increased diameter of coil and an increase in the number of coils,an increase in the electrical current and using a strong ferromagnetic material like iron,using an air core instead of iron and increasing the diameter of the coil,C,False,0.5217976,0.24647972,0.062319838,0.16940288
The team that wins in a tug-of-war is the team that,produces more tension in the rope than the opponent,pushes hardest on the ground,Both,Neither,B,False,0.8891767,0.093718536,0.009877861,0.0072267973
Which type of radiation from cosmic sources predominates on the inside of high-flying commercial airplanes?,Alpha,Beta,Gamma,None of these,C,False,0.12968202,0.61867833,0.05078421,0.20085545
Thermal convection involves mainly,radiant energy,fluids,insulators,All of these,B,True,0.10036653,0.7416139,0.011987072,0.14603244
A 10-Ω resistor carries 10 A. The voltage across the resistor is,0,more than 0 but less than 10 V,10 V,more than 10 V,D,False,0.21951321,0.41010463,0.15086907,0.21951321
A cannonball is fired horizontally at 10 m/s from a cliff. Its speed one second after being fired is about,10 m/s,14 m/s,16 m/s,20 m/s,B,False,0.8746155,0.09218379,0.018152066,0.0150485905
The average speed of a gazelle traveling a distance of 2 km in a time of one-half hour is,1 km/h,2 km/h,4 km/h,greater than 4 km/h,C,False,0.40041083,0.5141377,0.02404654,0.061404992
The metal detectors people walk through at airports operate via,Ohm’s law,Faraday’s law,Coulomb’s law,Newton’s laws,B,True,0.27171245,0.44797808,0.068699665,0.21160986
Sound travels in,solids,liquids,gases,All of these,D,False,0.26725566,0.44063008,0.024858648,0.26725566
When a fusion reaction converts a pair of hydrogen isotopes to an alpha particle and a neutron most of the energy released is in the form of,gamma radiation.,kinetic energy of the alpha particle.,kinetic energy of the neutron.,All of these about equally.,C,False,0.23257595,0.20524755,0.26354307,0.29863343
Polarization is a property of,transverse waves.,longitudinal waves.,all waves.,None of these.,A,True,0.9660338,0.017693527,0.007375759,0.008896864
The phenomenon of beats results from sound,reflection.,refraction.,interference.,All of these.,B,False,0.15182507,0.28364655,0.15182507,0.4127033
"The lowest possible temperature is absolute zero, at",0 kelvin,−273°C,Both are the same,None of these,C,False,0.95695937,0.034857243,0.0064479415,0.00173544
Refraction occurs when a wave crosses a boundary and changes,speed and direction,intensity,frequency,amplitude,A,True,0.9247557,0.059117652,0.0070605967,0.009065986
"When you tap a piece of wood, it will produce a characteristic sound related to its",wavelength,amplitude,period,natural frequency,D,False,0.19591053,0.36600903,0.07207145,0.36600903
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",increases,decreases,isn’t affected,reduces to zero,B,False,0.53253114,0.2850434,0.06360178,0.11882376
"When white light passes through a prism, the light that bends more than green is",red,yellow,blue,None of these,C,False,0.4612378,0.3170038,0.029485945,0.19227251
"If you travel at high speed, then compared with your friends who “stay at home,” you are",older.,younger.,neither younger nor older.,longer.,B,True,0.28169253,0.5963431,0.024614017,0.09735034
The component of velocity that can remain constant for a tossed baseball is,horizontal,vertical,Either of these,None of these,A,True,0.6016829,0.3884757,0.003157342,0.0066840933
The crystals that make up minerals are composed of,atoms with a definite geometrical arrangement.,molecules that perpetually move.,X-ray patterns.,3-dimensional chessboards.,A,True,0.9652421,0.012934251,0.012934251,0.008889572
"Two vectors, one 3 N and the other 4 N, can have a resultant of",0 N,5 N,8 N,Any of these,B,True,0.13121924,0.45800015,0.09600205,0.3147786
Radioactivity has been around on Earth since the,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,True,0.17348923,0.13511355,0.32412055,0.3672767
"When the shadow of the Moon falls on Earth, we have a",lunar eclipse.,solar eclipse.,solar eclipse if it’s daytime and lunar eclipse if it’s nighttime.,very dangerous event.,B,False,0.88822395,0.06434273,0.025196975,0.02223625
"In both fission and fusion, energy is released while mass",decreases,remains unchanged; is conserved,increases,may decrease or increase,A,False,0.26419708,0.2993745,0.097192675,0.33923575
"When relatively slow-moving molecules condense from the air, the temperature of the remaining air tends to",remain unchanged,decrease,increase,spread out uniformly,C,False,0.16920486,0.59058297,0.048478004,0.19173421
"If the volume of an object were to double, with no change in mass, its density would",halve.,double.,be the same.,None of these.,A,False,0.22025438,0.6784313,0.02980819,0.07150613
The pressure at the bottom of a pond does NOT depend on the,acceleration due to gravity.,water density.,depth of the pond.,surface area of the pond.,D,False,0.15489216,0.6126104,0.056981646,0.17551583
The blueness of the daytime sky is due mostly to light,absorption,transmission,reflection,scattering,D,False,0.18419088,0.68435216,0.012534347,0.11892258
A galvanometer can be calibrated to read electric,current,voltage,Either of these,Neither of these,C,False,0.17819598,0.798619,0.009444041,0.013740998
Which of these temperatures is likely when a container of water at 20°C is mixed with water at 28°C?,19°C,22°C,30°C,Higher than 30°C,B,False,0.41596285,0.3670859,0.08190794,0.13504337
To view your full-face image in a steamy mirror compared with the height of your face the minimum height of the patch to wipe away is,one-quarter.,one-half.,the same.,dependent on your distance from the mirror.,B,False,0.4377727,0.4377727,0.03825215,0.086202554
The vibrations in a transverse wave move in a direction,along the wave,perpendicular to the wave,Both of these,Neither of these,B,True,0.32832575,0.61339325,0.0046833153,0.053597704
A 1134-Hz tuning fork is sounded at the same time a piano note is struck. You hear three beats per second. The frequency of the piano string is,1131 Hz,1134 Hz,1137 Hz,More information is needed,D,False,0.41803718,0.3689165,0.11976966,0.0932767
Huygens’ principle for light is primarily described by,waves,rays,particles,photons,A,True,0.58522147,0.35495478,0.0053897034,0.05443408
"When the temperature of a strip of iron is increased, the length of the strip",also increases.,actually decreases.,may increase and may decrease.,decreases in width as it gets longer.,A,False,0.19404839,0.3625301,0.08089141,0.3625301
"When light undergoes interference, it can sometimes",build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B,False,0.16857384,0.3149374,0.058257565,0.4582312
When the color yellow is seen on your TV screen the phosphors being activated on the screen are,mainly yellow.,blue and red.,green and yellow.,red and green.,D,False,0.929349,0.040832747,0.01811942,0.011698778
Which of these does NOT belong in the family of electromagnetic waves?,Light,Sound,Radio waves,X-rays,B,False,0.22444281,0.08789307,0.07756536,0.6100988
A math book and a physics book sitting on a table are tied together with a length of string. With the string taut one book is pushed off the edge of the table. As it falls the other book is dragged horizontally across the table surface. With no friction acceleration of the books is,zero,g/2,g,a value between zero and g,D,False,0.22663708,0.5787381,0.028813671,0.16581124
A motor and a generator are,similar devices,very different devices,forms of transformers,energy sources,A,True,0.9699592,0.02013086,0.005418148,0.0044918023
As more lamps are connected in parallel in a circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,A,False,0.30791214,0.44800952,0.0324537,0.21162471
Newton’s law of cooling applies to objects that,cool,warm up,Both,Neither,C,False,0.9296628,0.033862967,0.033862967,0.0026112315
The fact that the Moon always shows its same face to Earth is evidence that the Moon rotates about its axis about once per,day,month,year,None of these for the moon does not rotate about an axis,B,False,0.45444635,0.45444635,0.02563811,0.065469205
Consider a ball rolling in a horizontal circular path on the inside surface of a cone. The normal force on the ball,is mg,is greater than mg always,may be greater or less than mg,is less than mg always,B,False,0.3583276,0.27906582,0.116331935,0.24627472
The compressions and rarefactions in sound normally travel,in the same direction,in opposite directions,at right angles to each other,None of these,A,True,0.40826365,0.31795606,0.055252478,0.2185278
The power required to raise a 100-kg crate a vertical distance of 2 m in a time of 4 s is,200 W,500 W,800 W,2000 W,B,False,0.7221505,0.23444794,0.03172908,0.011672475
The phenomenon of beats is the result of sound,destruction,interference,resonance,amplification,B,True,0.13845654,0.7031403,0.019946557,0.13845654
Interference is characteristic of,sound waves,light waves,water waves,All of these,D,False,0.13529363,0.7785611,0.0040855138,0.08205973
"In either a fission event or a fusion event, a quantity that remains unchanged is the",kinetic energy,mass,number of nucleons,binding of nucleons,C,False,0.30609614,0.5718628,0.03434303,0.087698005
The magnetic force on a moving charged particle can change the particle's,speed,direction,Both of these,Neither of these,B,True,0.18951435,0.66147006,0.018764462,0.13025118
"If you were to travel at a speed close to the speed of light, you could notice that your own",mass changes.,pulse decreases.,Both of these.,Neither of these.,D,False,0.46601036,0.28264958,0.11782587,0.13351421
Electricity and magnetism connect to form,mass,energy,ultrahigh-frequency sound,light,D,False,0.09928178,0.5713272,0.02358149,0.30580944
Sound travels in air by a series of,compressions,rarefactions,Both of these,Neither of these,C,False,0.28026274,0.59331626,0.009590064,0.1168309
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",amounts of force,accelerations,Both,Neither,A,True,0.53187805,0.41422704,0.021953229,0.03194176
The nucleus of an electrically neutral iron atom contains 26 protons. The number of electrons this iron atom has is,52,26,24,None.,B,True,0.092130825,0.8211531,0.01931167,0.06740435
To say that a rose petal is red is to say that it,absorbs red,reflects red,emits red,transmits red,B,True,0.18806408,0.51121116,0.027093198,0.27363163
