0,1,2,3,4,5,llama_7B_alpacalong_20000_2/ckp20k_correct,llama_7B_alpacalong_20000_2/ckp20k_choiceA_probs,llama_7B_alpacalong_20000_2/ckp20k_choiceB_probs,llama_7B_alpacalong_20000_2/ckp20k_choiceC_probs,llama_7B_alpacalong_20000_2/ckp20k_choiceD_probs
What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,Expectancy,Instrumental,Classical,Contingency,A,True,0.62387276,0.05802921,0.26006886,0.05802921
What is the term for decisions limited by human capacity to absorb and analyse information?,Cognitive rationality,Conscious rationality,Bounded rationality,Restricted rationality,C,False,0.20461263,0.058622498,0.18057,0.5561948
What is a definition of an objective?,A defined specified outcome to be achieved in the long-term,A clear set of goals to be attained given a set number of resources,A clearly defined and measurable outcome to be achieved over a specified timeframe,A set standard of performance agreed by workers and managers,C,False,0.23505996,0.05943246,0.2663578,0.4391498
What is not a purpose of an organisational structure?,To coordinate people and resources,To organise lines of communication,To formalise authority,To limit workers' rights,D,True,0.32633558,0.05670862,0.19793253,0.4190232
To what time-frame do strategic plans relate?,Long-term,Medium-term,Short-term,Unspecified time it takes to achieve an aim,A,False,0.18301152,0.12578185,0.052433677,0.63877296
What is the term for organisational development through a formally designed organisational structure?,Organic,Mechanistic,Formal,Structured,B,False,0.3632123,0.13361834,0.2202994,0.28287002
'There is no discernible link between planning and performance'. Who is this position held by?,Michael Porter,Milton Friedman,Gary Hamel,Henry Mintzberg,D,True,0.08776193,0.053230304,0.21052994,0.64847785
What does situational theory of leadership emphasise?,Personality traits,Events,Environment,Political situation,B,False,0.6267179,0.084817044,0.1795577,0.108907245
What is intuitive decision making based on?,Guesswork,Gambling,Instinct,Rationality,C,False,0.47357792,0.026717437,0.17421958,0.32548502
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D,True,0.20461263,0.058622498,0.18057,0.5561948
Which 18th century writer produced a famous book called 'The Wealth of Nations'?,Frederick Taylor,Henry Mintzberg,Adam Smith,Dr Samuel Johnson,C,True,0.38910538,0.043656413,0.44091415,0.12632403
Which one of these characteristics is most commonly associated with the 'rational goal' model of management?,Worker welfare,Health and safety,Interpersonal relationships,Productivity,D,False,0.27314454,0.0254064,0.35072452,0.35072452
In what order do managers typically perform the managerial functions?,"organising, planning, controlling, leading","organising, leading, planning, controlling","planning, organising, leading, controlling","planning, organising, controlling, leading",C,False,0.36617643,0.19600013,0.15264504,0.28517848
How does lateral communication in an organisation occur?,Information passes upwards.,Information passes downwards.,Information is a two-way process.,Information passes between different departments and functions.,D,False,0.20663032,0.1420148,0.38603625,0.26531857
Of what is advertising a form?,Focusing strategy,Differentiation,Cost leadership,Growth,B,False,0.5292216,0.015981108,0.13380818,0.32098913
What is not a component of an agile organisation?,Market focus and position,Human resources: multi-skilling,Organisational structure,Project-based culture,D,False,0.4334147,0.008995235,0.12417539,0.4334147
Of what is worker autonomy in decision making an example?,Worker freedom,Greater worker negotiation,Worker empowerment,Increased worker power,C,False,0.19793253,0.05670862,0.32633558,0.4190232
Vertical integration forwards is when a firm mergers or acquires another,Towards the source of supply,Towards the consumer,At the same stage of the supply chain,In another industry,B,False,0.140638,0.024439218,0.20462707,0.63029575
What is the term for an autonomous business entity within an overall corporate enterprise which is set apart from other areas of the business?,Subsidiary,Strategic partnership,Strategic alliance,Strategic business unit,D,False,0.28658,0.06394464,0.32473767,0.32473767
What is not a characteristic of a corporate social responsibility framework?,Retaining the status quo,Understanding society,Harnessing diversity,Building capacity,A,True,0.5199402,0.033238664,0.31535968,0.13146147
What is a whistleblower?,Someone who reports illegal or unethical acts,Someone who commits illegal or unethical acts,Someone who benefits from illegal or unethical acts,Someone who devises illegal or unethical acts,A,True,0.33311906,0.0397854,0.29397655,0.33311906
What is T-group training?,A group whose aim is transformational change,A group brought together to deliver training programmes,Team training for the purposes of advancing technology,Team building activities involving learning,D,True,0.2541151,0.038969815,0.28795016,0.41896498
What is a social enterprise concerned with?,Profit maximisation,Maximising market share,Providing public service,Running a business to create social benefits,D,False,0.12787864,0.036637843,0.6494213,0.18606232
Which of the following is not part of Schein's model of the formation of culture?,Shared values,Pre-conceptions,Shared beliefs,Norms,B,False,0.47249886,0.043949243,0.19696683,0.28658506
What is not one of the layers of cultural influence?,Social,Business,Organisational,Company,D,False,0.64890355,0.012651605,0.12777668,0.21066813
