0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_Tptllama2chat_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_Tptllama2chat_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_Tptllama2chat_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_Tptllama2chat_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_Tptllama2chat_choiceD_probs
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.0004281845,0.9940613,0.005216355,0.00029428658
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.0005332555,0.96414864,0.017659,0.017659
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,True,0.04420397,0.011176514,0.8878605,0.05675902
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.9791226,0.017933257,0.0014720513,0.0014720513
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.01096134,0.026294889,0.19429441,0.7684493
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,True,0.00017940764,0.00033517758,0.9991503,0.00033517758
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,True,0.23604764,0.028191872,0.23604764,0.49971288
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,False,0.0009323165,0.083924465,0.012870233,0.902273
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,False,0.114545785,0.028961709,0.5817115,0.27478105
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.9946543,0.0016945128,0.0031657668,0.00048548603
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,True,0.07923375,0.07923375,0.7517489,0.08978361
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.000619347,0.0001774459,0.988225,0.010978187
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,4.7266803e-05,0.9780423,0.01791347,0.0039970353
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.9888748,0.006662986,0.0027775457,0.0016846667
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.019089174,0.0010769375,0.26351792,0.716316
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,True,0.000544885,0.014052769,0.9851752,0.00022714185
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.09388988,0.28920117,0.32770786,0.28920117
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.99693644,0.0014988333,0.0014988333,6.585414e-05
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,True,0.013206124,0.031679846,0.72102994,0.23408414
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.00032870486,0.0074812886,0.012334559,0.9798554
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.00033423997,0.9963553,0.0031711806,0.00013933195
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.98129547,0.013997427,0.0040103304,0.00069689093
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,True,0.008099471,0.93617153,0.03629931,0.01942962
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,True,0.051828653,0.013104335,0.81073654,0.124330476
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,True,0.08495056,0.04547076,0.4888567,0.380722
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.00047084538,0.00028558215,0.14793523,0.8513084
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,True,0.017667886,0.042383056,0.58508,0.35486898
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.98950547,0.003568714,0.0066672354,0.00025851678
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,False,0.04058735,0.024617473,0.2999022,0.634893
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.0026066713,0.016997632,0.92803925,0.052356392
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.707345,0.20265774,0.024204014,0.065793335
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.3909872,0.568883,0.028323015,0.01180679
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.9922713,0.0035786892,0.0024595947,0.001690453
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.0005360909,0.022795167,0.45785314,0.5188156
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,False,0.0024996654,0.07305093,0.8899425,0.034506816
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.0007787352,0.96769387,0.013803411,0.017723931
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.0001231901,0.00062561093,0.99821967,0.001031458
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,True,0.00029457817,5.1190018e-05,0.99504626,0.0046079783
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.00051934336,0.032130636,0.9389948,0.028355187
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,True,0.0028575119,0.0047112405,0.8978035,0.09462779
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.007056433,0.81561273,0.11038118,0.06694957
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,False,0.004936309,0.07721686,0.7326132,0.18523362
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,True,0.001486804,0.0010218645,0.9889353,0.008555966
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,True,0.0026944187,0.7470876,0.061324686,0.18889333
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.64532113,0.16316274,0.16316274,0.028353432
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.00041680582,0.96764493,0.029220344,0.0027179155
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,True,5.1431012e-05,0.000108879445,0.99973077,0.000108879445
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.0002854182,0.96410507,0.029113451,0.006496089
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,1.8920378e-05,2.1439599e-05,0.9997291,0.0002304974
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,True,9.516465e-05,5.0937968e-05,0.009707058,0.9901468
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.039190654,0.018512353,0.89197516,0.050321795
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,False,0.005093382,0.07031198,0.16866966,0.75592494
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,True,0.30407012,0.4424194,0.12675528,0.12675528
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,True,7.836646e-05,0.00014640781,0.07584112,0.92393404
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,False,0.028362365,0.3915304,0.56967336,0.010433932
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.009897058,0.0052975137,0.09390067,0.8909048
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,False,0.02316121,0.01591845,0.76699394,0.19392644
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.012474625,0.1722069,0.77177775,0.04354072
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,True,0.0004146797,0.96270895,0.032942086,0.0039343713
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,1.4734981e-05,1.0127195e-05,0.99971384,0.0002611838
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,False,0.009523169,0.19127797,0.756519,0.042679884
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.39564237,0.1455487,0.27192077,0.18688822
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,True,0.0019631211,0.0077642947,0.29135302,0.69891953
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,3.1190033e-05,4.5381228e-05,0.9995881,0.00033532444
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,True,0.06747438,0.43998823,0.0525491,0.43998823
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,3.9588995e-05,0.98811185,0.009687107,0.0021614858
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,5.1350384e-05,8.4662475e-05,0.9981635,0.0017004912
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,False,0.051902004,0.009019216,0.01909368,0.91998506
How many sides does a rhombus have?,4,6,8,10,A,False,0.031771593,0.028038332,0.928502,0.011688116
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.001922094,0.00048598147,0.22216387,0.77542806
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,True,2.5844438e-05,0.9990853,0.0008039969,8.4740655e-05
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,True,2.4292644e-05,1.6696074e-05,0.00029594498,0.9996631
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,False,0.00059974164,0.000412196,0.95694286,0.042045135
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,True,0.6200359,0.0240414,0.0240414,0.3318813
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,True,0.05008152,0.03037598,0.78340685,0.1361357
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,False,0.12664779,0.087043665,0.34426436,0.4420442
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,False,0.0015343978,0.0028666325,0.90066916,0.09492983
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,True,0.7095424,0.084742755,0.13971718,0.06599773
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,False,0.0046921433,0.030596618,0.42237327,0.542338
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,False,0.9896974,0.007556433,0.0024532147,0.0002929947
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,True,0.0001231119,0.000108645865,0.0021822106,0.997586
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.0005447343,0.9849027,0.012398095,0.002154466
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,True,0.9984127,0.0008034557,0.00070904713,7.473302e-05
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,True,0.028617365,0.06864949,0.16468157,0.7380516
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,True,8.436751e-05,0.9946859,0.0046063093,0.00062339625
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,True,0.00010829671,0.99438006,0.0046048933,0.00090675725
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,True,0.000801371,0.0009080723,0.9958222,0.0024683964
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,True,0.0014965509,0.000907704,0.9954183,0.0021774687
In British currency how many pence make a pound?,10,100,500,1000,B,True,0.0023681428,0.74404836,0.24155714,0.012026422
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,False,0.09064608,0.31638592,0.5910867,0.0018812994
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,True,0.030437091,0.009881478,0.4201711,0.53951037
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,True,0.0009078957,0.00029475056,0.0031688674,0.9956285
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.002910179,0.1588904,0.806912,0.031287372
How many stars are on the American flag?,13,48,50,51,C,True,0.05989577,0.0023224112,0.9369275,0.0008543673
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,True,0.00010090811,0.006242964,0.06711819,0.926538
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,True,0.012173902,0.0034878815,0.85345644,0.13088179
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,True,0.2634505,0.045780834,0.6319849,0.058783755
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,False,0.016087314,0.15263219,0.7751302,0.056150246
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,True,0.003959132,0.0014564832,0.9687676,0.025816781
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,True,0.013631821,0.028858563,0.7442722,0.21323755
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,False,0.14932476,0.013889367,0.24619491,0.5905909
In the children's game what color is 'Rover'?,Green,black,red,blue,C,True,0.08307929,0.17587885,0.541745,0.19929686
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,True,0.0003343595,0.0010298997,0.9967116,0.001924106
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,True,0.00034289464,0.0025336677,0.9020482,0.095075175
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,False,0.012973685,0.0073921834,0.96818495,0.011449237
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,True,0.004466863,0.85123336,0.13054086,0.013758906
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,True,6.602299e-05,1.0777958e-05,0.000430524,0.99949265
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.0002031145,3.529601e-05,0.0015008243,0.9982608
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,True,6.5500346e-05,0.99158055,0.005896154,0.0024578825
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,True,0.030244315,0.023554295,0.4731007,0.4731007
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,1.4737061e-05,6.9612947e-06,0.0001233919,0.9998549
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,1.4733871e-05,1.147475e-05,0.00033534132,0.99963844
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,True,0.023247669,0.023247669,0.081142336,0.8723623
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.12744416,0.015221036,0.2101199,0.6472149
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,False,0.3536076,0.015536433,0.58300036,0.047855582
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,True,5.1387517e-05,3.1168107e-05,0.99888533,0.0010321458
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,True,0.0004256474,0.9881712,0.01097759,0.0004256474
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,True,0.02485512,0.641022,0.098303914,0.23581883
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,True,0.00053065806,0.5819372,0.3999592,0.01757298
