0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_alpaca_combine_6k_52000_correct,llama_7B_llamatokenizer_alpacacode_alpaca_combine_6k_52000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_alpaca_combine_6k_52000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_alpaca_combine_6k_52000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_alpaca_combine_6k_52000_choiceD_probs
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.77987045,0.19718213,0.014283826,0.008663578
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.17980362,0.8058239,0.010143827,0.004228576
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.9608848,0.01759922,0.009420183,0.012095755
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,True,0.920523,0.066682465,0.0048304615,0.007964084
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,True,0.87200963,0.07157891,0.018097982,0.03831343
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.9786386,0.01581822,0.0010112249,0.004531996
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.45487344,0.45487344,0.047943305,0.042309824
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.9849496,0.0058567245,0.0051685413,0.0040252637
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.8133648,0.11007696,0.05199667,0.024561489
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.44065458,0.44065458,0.086770035,0.03192091
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.8472421,0.101188645,0.022578238,0.02899103
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.9731075,0.022885296,0.0018785394,0.0021286642
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.43729237,0.052227125,0.49551716,0.014963322
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.0035246192,0.017899493,0.9772792,0.0012966349
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.9318409,0.059570592,0.0062786946,0.0023098027
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.9628889,0.02566012,0.0057255467,0.0057255467
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.9602888,0.02258383,0.012088252,0.005039133
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.17876947,0.62396675,0.05803795,0.13922581
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.86755013,0.07121285,0.038117494,0.023119427
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.22262344,0.22262344,0.5340459,0.020707205
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.0009962599,0.02911498,0.96415573,0.0057330797
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.017281769,0.019582808,0.94355255,0.019582808
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,False,0.74454564,0.07847453,0.047597207,0.12938263
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.8894244,0.056858998,0.026858289,0.026858289
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,False,0.51540214,0.45484078,0.01763609,0.012121097
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.42588618,0.25831303,0.138265,0.17753577
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.031769104,0.031769104,0.008032488,0.92842937
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.9175265,0.0664654,0.0029202858,0.013087812
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.8401189,0.11369772,0.017436111,0.028747287
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.97850686,0.01581609,0.004531386,0.0011457137
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.87595314,0.07190261,0.018179826,0.033964388
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,False,0.72385144,0.23500015,0.019289987,0.02185842
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.9921346,0.0045944946,0.00048425616,0.0027867018
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.82740206,0.14378092,0.024985377,0.0038316315
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.85047823,0.06981151,0.037367407,0.042342816
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,False,0.41245788,0.1948313,0.17193802,0.2207728
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.11757191,0.86874545,0.008516881,0.005165749
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.89457,0.08320797,0.0036559033,0.018566208
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.89039916,0.044330362,0.02094018,0.044330362
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.91088384,0.0747699,0.00892999,0.0054163137
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.93122447,0.05253609,0.0071099866,0.009129403
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.99139166,0.0058950307,0.0016889545,0.0010244027
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.7779545,0.17358512,0.03016457,0.018295737
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.0746811,0.010106988,0.005409881,0.9098021
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.07558004,0.92075336,0.0022823196,0.0013842967
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.9321559,0.05959073,0.0033618791,0.0048915055
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,True,0.3720527,0.6134112,0.0068143825,0.007721707
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.27783656,0.31483006,0.19095409,0.21637933
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.23694138,0.5016049,0.18453014,0.07692361
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,False,0.8570182,0.102356225,0.02283876,0.017786844
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.2935197,0.6213812,0.057797458,0.027301585
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.99512535,0.0035889824,0.0009074369,0.000378276
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.85643554,0.062039986,0.048316788,0.03320761
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.5281225,0.2826836,0.13353027,0.055663697
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.9742614,0.02022015,0.004511725,0.001006702
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,False,0.9310625,0.059520833,0.0071087503,0.0023078735
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.9854032,0.0051709213,0.0019022757,0.007523646
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.9113652,0.06601908,0.0147308465,0.007884854
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,True,0.39133668,0.5693915,0.022077704,0.017194133
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.11842737,0.8750665,0.004591928,0.0019142003
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.010758199,0.017737273,0.96842223,0.0030822759
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,False,0.7949542,0.06525381,0.044848245,0.09494374
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.45162377,0.06112063,0.27392367,0.21333195
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,False,0.06557019,0.9051685,0.014630686,0.014630686
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.15443245,0.7842727,0.026836334,0.034458537
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,True,0.21159948,0.575187,0.113261044,0.09995252
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,False,0.92065966,0.035697848,0.01910768,0.024534749
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,False,0.97959536,0.015833683,0.0021428561,0.0024281743
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.9687007,0.025814999,0.0024011692,0.0030831622
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.179346,0.803773,0.011465206,0.00541578
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,False,0.9439842,0.046998207,0.0056131356,0.0034045386
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.012401062,0.98513836,0.0013070622,0.0011534784
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.000703112,0.0040461305,0.99005544,0.005195334
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,True,0.0011575499,0.003565505,0.00666124,0.9886157
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.9162252,0.05168989,0.01306925,0.019015647
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,False,0.24501954,0.45775676,0.14861186,0.14861186
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,False,0.7465229,0.18875055,0.010648577,0.05407794
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,True,0.04821352,0.054633074,0.04254828,0.8546051
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,False,0.90662026,0.07441992,0.008888192,0.010071641
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,False,0.7068862,0.074505255,0.039879788,0.17872882
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,True,0.947856,0.028622773,0.008200562,0.015320665
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.6672173,0.21661374,0.09029804,0.025870822
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,True,0.0019644871,0.8980549,0.083532125,0.01644845
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,0.0065611354,0.013889923,0.9737588,0.005790182
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,False,0.6533484,0.27235612,0.0325283,0.041767165
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.93524665,0.03200238,0.013340577,0.019410424
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,False,0.9264989,0.05226949,0.013215796,0.008015786
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.00012316811,0.0015004947,0.9980415,0.00033480563
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,True,0.38000062,0.43059713,0.06603421,0.123368144
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,0.0021671944,0.99072146,0.0051988293,0.0019125424
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.03483686,0.12159258,0.7928832,0.050687328
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,True,0.9205393,0.05884811,0.00902465,0.01158788
How many sides does a rhombus have?,4,6,8,10,A,True,0.9820926,0.009628097,0.0031257856,0.005153549
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.02135907,0.03521515,0.03521515,0.9082107
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,True,0.007570309,0.9915148,0.0006214088,0.0002935327
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,False,0.85028255,0.089619115,0.012128629,0.047969658
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,True,0.3069538,0.21096605,0.08794373,0.39413646
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,True,0.6963875,0.25618666,0.034671094,0.012754783
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,False,0.28836337,0.6917478,0.011181061,0.0087078195
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,True,0.89205456,0.06462022,0.004131032,0.039194144
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,True,0.0040345606,0.0051804786,0.0035604874,0.98722446
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,True,0.8589789,0.1317287,0.0027339417,0.006558385
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,False,0.8418436,0.11393114,0.015418904,0.028806303
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,False,0.681091,0.2505594,0.038424525,0.02992505
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,True,0.0020067599,0.040306848,0.040306848,0.9173796
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.13067298,0.8520948,0.010726291,0.006505824
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,True,0.97520965,0.02023983,0.0021332626,0.0024173032
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,False,0.8181384,0.14217114,0.02470564,0.014984728
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,False,0.803179,0.17921346,0.002896716,0.014710737
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,True,0.16209942,0.8232088,0.009145023,0.0055467375
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,False,0.9700907,0.025852041,0.0016526658,0.0024046146
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,False,0.79101956,0.057301268,0.04462627,0.107052855
In British currency how many pence make a pound?,10,100,500,1000,B,False,0.9527449,0.036941927,0.0038936508,0.0064195446
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,False,0.6612149,0.3123358,0.01996696,0.0064823222
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,False,0.4826237,0.37586772,0.08386742,0.057641182
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,False,0.9333848,0.036191255,0.005550109,0.024873862
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,True,0.41098398,0.32007465,0.11774889,0.15119256
How many stars are on the American flag?,13,48,50,51,C,False,0.8941443,0.08316838,0.009933046,0.012754283
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,False,0.9238198,0.05905782,0.011629175,0.0054932334
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,False,0.9443008,0.036614515,0.013469727,0.005615018
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,False,0.68895197,0.15372597,0.06408252,0.09323951
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,False,0.66479826,0.1904679,0.029209197,0.11552461
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,False,0.72100943,0.23407748,0.016956517,0.02795657
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,False,0.1915068,0.27864078,0.07045142,0.45940095
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,True,0.98173034,0.009624545,0.001149488,0.0074956035
In the children's game what color is 'Rover'?,Green,black,red,blue,C,False,0.9467787,0.036710594,0.009281891,0.0072287447
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,False,0.5987343,0.24958959,0.11789778,0.03377828
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,False,0.7322403,0.18513934,0.041310173,0.041310173
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,False,0.6470989,0.30566788,0.022142507,0.025090747
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,True,0.25145122,0.5323223,0.13459215,0.08163427
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,False,0.28620762,0.5347062,0.043891355,0.1351949
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.0019025458,0.008526619,0.00402769,0.98554313
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,True,0.03666528,0.94561005,0.0072198217,0.0105047785
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,False,0.81101847,0.15969901,0.010209216,0.019073326
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,0.053980734,0.053980734,0.04763783,0.84440076
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.00013942753,0.0014989871,0.0013228514,0.9970387
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,False,0.46990392,0.15255547,0.092529565,0.28501114
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.79073954,0.17643784,0.016411275,0.016411275
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,True,0.007236792,0.025258884,0.019671638,0.94783264
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,True,0.010285029,0.052231688,0.9258288,0.0116544645
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,True,0.019187657,0.92451316,0.0460288,0.010270413
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,False,0.5721777,0.30626467,0.06833688,0.05322082
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,True,0.0666396,0.9199313,0.007958965,0.0054701115
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,False,0.86875296,0.117572926,0.0040231245,0.009650974
According to a popular slogan what state should people not 'mess with'?,New York,Texas,Montana,Rhode Island,B,False,0.9664587,0.02575525,0.0027145834,0.0050715096
Each year in pro baseball the player voted as the best fielder at his position wins what?,a brand new car,the Gold Glove,the Silver Bat,the Brass Baseball,B,True,0.16329874,0.8292994,0.0018140851,0.0055877753
