0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptvicuna_correct,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptvicuna_choiceA_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptvicuna_choiceB_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptvicuna_choiceC_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptvicuna_choiceD_probs
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia,Babylonia and Europe,Palestine and Spain,Spain and France,A,False,0.23012061,0.29548073,0.33482352,0.1395752
" In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism,Hinduism,Judaism,Islam,A,False,0.11842085,0.3647619,0.3647619,0.15205537
"According to Hindu tradition, which age are we in currently?",Kali yuga,Maha yuga,Krita yuga,Satya yuga,A,False,0.1455487,0.27192077,0.39564237,0.18688822
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,False,0.2529349,0.2866128,0.2866128,0.17383946
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,False,0.05896985,0.20582502,0.43573156,0.29947364
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,False,0.26665846,0.20767382,0.34239623,0.1832715
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,False,0.19824126,0.28843936,0.41967678,0.09364255
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.50111747,0.14357257,0.26822886,0.08708116
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,True,0.1229596,0.29496476,0.48631465,0.09576103
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,False,0.10292632,0.217895,0.46128374,0.217895
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.043484718,0.104314424,0.6802155,0.1719854
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,False,0.18780005,0.18780005,0.51049346,0.11390649
When was the current Dalai Lama born?,1935,2000,1965,1975,A,False,0.13074952,0.1678857,0.5859787,0.11538605
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.10563081,0.19734432,0.4734044,0.2236204
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,True,0.052023508,0.29937464,0.38440463,0.2641972
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,False,0.22248258,0.25210577,0.39046907,0.1349425
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,False,0.025145583,0.08776671,0.64851314,0.23857465
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,False,0.07912659,0.21508837,0.5159702,0.18981482
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,False,0.17297724,0.22210716,0.47020087,0.13471481
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,False,0.106483735,0.14554602,0.5080055,0.2399648
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,True,0.09376512,0.47617856,0.25488,0.17517631
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,True,0.05200666,0.12475748,0.55912423,0.26411158
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,True,0.08040749,0.13256955,0.59413546,0.19288754
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,False,0.0824705,0.15407519,0.6093792,0.15407519
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,False,0.27382973,0.27382973,0.3516043,0.10073633
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,False,0.05055309,0.22656325,0.6158627,0.10702089
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.053220253,0.18575695,0.6483554,0.11266728
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,False,0.0779625,0.16504662,0.4486432,0.30834767
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,False,0.16403794,0.30646324,0.3935066,0.13599224
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,False,0.16271265,0.2682678,0.44229883,0.12672074
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.1617928,0.26675123,0.38812074,0.18333524
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.083782695,0.4254836,0.4254836,0.06525003
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.10461008,0.25094652,0.32222173,0.32222173
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,False,0.12737429,0.2696514,0.5037751,0.099199206
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,True,0.14286421,0.34271342,0.38834518,0.12607722
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,False,0.2132795,0.24167733,0.39845854,0.1465847
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,False,0.07717608,0.20978633,0.50325125,0.20978633
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.3468667,0.23839776,0.27014005,0.14459555
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,False,0.12603849,0.30235064,0.3882259,0.18338493
 How many books are in the New Testament?,30,29,27,47,C,True,0.068730935,0.21170618,0.5078567,0.21170618
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,True,0.042511232,0.10197915,0.66498756,0.19052213
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,False,0.083558686,0.20044687,0.42434603,0.29164848
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,False,0.26247722,0.38190207,0.23163532,0.12398545
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.06731858,0.1829909,0.63870096,0.110989586
How many Jinas have appeared during our age?,7,42,24,13,C,True,0.07048431,0.19159622,0.5208125,0.21710695
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,True,0.27607712,0.24363722,0.31283638,0.16744925
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.06820819,0.09924233,0.7333071,0.09924233
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.007923144,0.11642975,0.7592173,0.11642975
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,True,0.1384778,0.15691592,0.54769033,0.15691592
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.10972331,0.38297197,0.38297197,0.12433279
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.035592575,0.55676156,0.298013,0.10963286
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.017515326,0.06927446,0.8439357,0.06927446
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,True,0.12403356,0.18046775,0.43291965,0.26257905
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,True,0.17739859,0.13815817,0.61918193,0.0652613
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,False,0.12996984,0.16688456,0.51404065,0.18910499
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.07048432,0.21710698,0.5208126,0.19159624
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,False,0.13641883,0.2887987,0.4201996,0.1545828
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,False,0.28960097,0.25557196,0.371855,0.082972065
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.07837039,0.3099609,0.51103914,0.100629576
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.04740989,0.18750975,0.5775707,0.18750975
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,True,0.047597207,0.12938263,0.74454564,0.07847453
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.11916578,0.17338517,0.53406394,0.17338517
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.078754365,0.21407655,0.6594022,0.047766935
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,False,0.057774246,0.13859321,0.42689714,0.3767354
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,False,0.09932245,0.26998642,0.44513234,0.18555877
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,False,0.17704698,0.3748085,0.29190114,0.15624341
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,False,0.18191467,0.1416753,0.49449533,0.18191467
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.13471481,0.22210716,0.47020087,0.17297724
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.124885894,0.23331757,0.43589458,0.20590201
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,True,0.20055315,0.33065623,0.2918031,0.17698753
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.056981646,0.17551583,0.6126104,0.15489216
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,False,0.27382973,0.27382973,0.3516043,0.10073633
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.32731417,0.22495952,0.32731417,0.120412156
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,True,0.16446821,0.23929982,0.47590452,0.12032751
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,False,0.11017012,0.29947343,0.3845315,0.20582488
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,False,0.24141292,0.24141292,0.35125372,0.16592051
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.04853645,0.14950278,0.670025,0.13193575
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.100940004,0.18858075,0.5808696,0.12960954
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.020049771,0.05119889,0.5504399,0.37831146
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.21556492,0.35540646,0.3136451,0.11538358
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,False,0.04953492,0.19591442,0.5325506,0.2220001
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,False,0.18076567,0.20483434,0.4336343,0.18076567
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.34508952,0.4431037,0.14385471,0.067952156
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.12433279,0.38297197,0.38297197,0.10972331
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.035560828,0.1406458,0.7142583,0.10953506
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,True,0.068958364,0.24068832,0.44966498,0.24068832
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.12388386,0.12388386,0.48997018,0.26226214
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,False,0.23252428,0.2985671,0.38336772,0.085540906
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.050983883,0.42688283,0.42688283,0.095250435
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.3677918,0.28643656,0.25277936,0.09299233
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,True,0.09364255,0.28843936,0.41967678,0.19824126
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,True,0.074039996,0.2012616,0.5470857,0.17761272
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,True,0.17517631,0.25488,0.47617856,0.09376512
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,True,0.08868679,0.18774992,0.45038867,0.27317455
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.03093231,0.15708722,0.7040161,0.10796437
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,True,0.06872237,0.18680675,0.34900096,0.3954699
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.10443317,0.5303554,0.2838788,0.08133264
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,True,0.097062044,0.16002825,0.632924,0.1099857
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.044943836,0.15686938,0.62043047,0.17775631
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.07038201,0.1489987,0.5893013,0.19131811
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.07561815,0.20555145,0.55874676,0.16008364
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.0841197,0.22866105,0.5485293,0.13868994
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.07922018,0.16770913,0.6633025,0.08976823
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.05200666,0.12475748,0.55912423,0.26411158
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,False,0.21644855,0.27792543,0.35686332,0.14876276
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,False,0.17437139,0.28748983,0.41829523,0.119843595
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,False,0.1966118,0.1966118,0.47164723,0.1351292
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,False,0.03325874,0.102444135,0.45912275,0.4051744
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,True,0.124088116,0.18054715,0.49077803,0.20458671
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,True,0.10253798,0.26183993,0.43170103,0.20392112
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.07623117,0.23480852,0.56327635,0.12568395
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,False,0.114893556,0.13019145,0.4010179,0.35389706
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,False,0.046532743,0.3034316,0.44149038,0.20854528
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.15793742,0.2603948,0.3788722,0.20279567
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.0057292297,0.054357417,0.8502931,0.08962023
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.12661904,0.16258207,0.64302456,0.06777429
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,True,0.053629734,0.27235427,0.50882477,0.16519122
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,False,0.010300093,0.086241625,0.562366,0.34109223
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,False,0.05735786,0.107158594,0.54419625,0.29128727
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,True,0.08868679,0.27317455,0.45038867,0.18774992
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,True,0.08423351,0.22897041,0.48473036,0.20206568
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,False,0.10594562,0.32633546,0.36978653,0.19793248
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.24097842,0.27306432,0.39730623,0.08865101
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,False,0.11075816,0.2069235,0.34115916,0.34115916
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,False,0.04977704,0.23747298,0.4436579,0.2690921
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,True,0.094004236,0.19900696,0.6129846,0.094004236
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,True,0.1455487,0.27192077,0.39564237,0.18688822
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.15486352,0.22532511,0.4209627,0.1988487
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,True,0.02852663,0.1278475,0.5729727,0.27065313
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.035401504,0.33588013,0.48870268,0.14001566
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.67117757,0.14975996,0.11663317,0.06242924
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.08860111,0.18756855,0.5777518,0.14607854
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.10090661,0.3990934,0.3990934,0.10090661
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,True,0.3118034,0.3118034,0.27516553,0.101227745
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,False,0.1015648,0.3128416,0.45518184,0.13041179
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,False,0.1748777,0.1748777,0.47536686,0.1748777
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,True,0.14192696,0.26515445,0.49537373,0.09754487
 The theological term homoousios means which of the following?,of a similar substance,of the same substance,of like substance,of human substance,B,False,0.32623175,0.32623175,0.25406954,0.09346696
