0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptalpaca_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptalpaca_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptalpaca_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptalpaca_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptalpaca_choiceD_probs
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.2628692,0.27982283,0.29786983,0.15943824
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.113629,0.15531243,0.42218295,0.30887565
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,True,0.077401444,0.27015758,0.6480743,0.0043666903
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.028290456,0.032057285,0.9368512,0.0028011345
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.03378607,0.06312069,0.8713542,0.031739075
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.3093593,0.3972252,0.25646788,0.0369477
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.41750598,0.13554434,0.22347486,0.22347486
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.15417023,0.1979585,0.3936875,0.25418374
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.14784947,0.37754685,0.2594839,0.21511972
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.41137943,0.2827367,0.23439695,0.071487024
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.17303379,0.41508648,0.34411877,0.067761004
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.030028822,0.028209466,0.93416923,0.0075924746
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.014757125,0.011492861,0.9718739,0.0018761579
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.14162615,0.26459247,0.5601423,0.03363916
What do you call a young cow?,mare,lamb,kid,calf,D,True,0.029371308,0.022874398,0.3578158,0.5899385
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.10927783,0.7585384,0.10927783,0.022905877
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.106149256,0.7843428,0.082669124,0.026838735
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,True,0.19479504,0.07166109,0.4123811,0.32116273
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.6057241,0.34513122,0.038722645,0.010422058
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.1726138,0.2511516,0.41407898,0.16215566
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,True,0.16402362,0.17460224,0.648726,0.012648143
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.34182414,0.2662129,0.2662129,0.12575008
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,False,0.07950437,0.31444588,0.14853372,0.45751604
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,False,0.26738006,0.38903567,0.25118032,0.09240407
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.92899597,0.052410364,0.015984258,0.0026093584
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.35173622,0.29159954,0.29159954,0.06506466
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.06359467,0.08165717,0.82470816,0.030039994
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.01197232,0.9510792,0.03254414,0.00440437
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.6943388,0.18687876,0.088275276,0.030507118
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,True,0.19747733,0.06824634,0.536799,0.19747733
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.12660696,0.50074023,0.3663494,0.0063033896
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,True,0.20229669,0.31332323,0.29433993,0.19004014
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.8712121,0.08103535,0.04617255,0.0015799379
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.23813693,0.44489834,0.22370893,0.09325576
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.030852996,0.03284284,0.0892761,0.8470281
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.025627485,0.96166426,0.012105566,0.0006027007
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.65212554,0.28937894,0.050286524,0.008209049
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,True,0.18866618,0.7009799,0.09486731,0.015486664
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.18024823,0.40619564,0.2971791,0.116377
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.3326082,0.35405958,0.25903553,0.054296795
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.040308822,0.03139254,0.06645801,0.86184055
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,True,0.19256382,0.33796,0.35975656,0.10971956
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.7534542,0.17896105,0.05810015,0.009484589
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,False,0.2590268,0.27573258,0.27573258,0.18950805
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.13584302,0.30612698,0.44541213,0.11261782
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.6076194,0.26962948,0.099191144,0.023559961
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.17786272,0.4266705,0.22838026,0.16708656
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.81421524,0.110192046,0.045934882,0.029657789
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.14885905,0.51956916,0.26125577,0.07031604
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,False,0.152499,0.23619509,0.26764408,0.34366181
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.104307644,0.72403854,0.104307644,0.06734608
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.06286053,0.11032367,0.81518775,0.011628028
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,True,0.1576885,0.06997385,0.7522898,0.020047843
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,True,0.10538484,0.44368675,0.3455436,0.10538484
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,True,0.17637928,0.21275401,0.4231119,0.18775477
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.18268785,0.72254443,0.071541585,0.023226153
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,True,0.16917098,0.45985436,0.31605297,0.054921772
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,True,0.2830227,0.20706382,0.43835413,0.07155935
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,True,0.21713047,0.6282878,0.13169627,0.022885382
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.6364852,0.2824386,0.07141166,0.009664517
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.16628082,0.6576534,0.15620637,0.019859413
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,True,0.13891162,0.17836605,0.66271025,0.020012116
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.073742256,0.7447704,0.146654,0.03483338
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.025595294,0.010023261,0.9604563,0.0039251656
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,True,0.006465953,0.0030542999,0.030847337,0.95963246
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.24360722,0.29384637,0.3544464,0.10810005
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,False,0.17321955,0.25203297,0.18439125,0.39035627
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,True,0.32572606,0.50449437,0.11982791,0.04995171
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,True,0.017015623,0.029863346,0.18293518,0.7701859
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,True,0.22764196,0.618795,0.13807182,0.015491229
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.14950278,0.04853645,0.13193575,0.670025
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,False,0.22514144,0.22514144,0.47662443,0.07309273
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.1832715,0.26665846,0.34239623,0.20767382
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,True,0.07974021,0.85728806,0.05148415,0.0114876665
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,0.010775765,0.014728726,0.97000355,0.0044920077
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,False,0.1593168,0.31683928,0.43306792,0.09077597
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.26094297,0.37966976,0.19090994,0.16847743
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,True,0.18578646,0.19776864,0.19776864,0.41867623
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.031629853,0.08597885,0.86835563,0.014035662
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,False,0.27982283,0.2628692,0.15943824,0.29786983
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,0.03639807,0.9387187,0.022076547,0.002806718
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.009948421,0.032619614,0.9532849,0.004147119
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,True,0.5157702,0.215005,0.13040712,0.13881767
How many sides does a rhombus have?,4,6,8,10,A,True,0.482706,0.33175868,0.16681874,0.018716542
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,True,0.20524779,0.19281247,0.3383964,0.2635434
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,True,0.028848281,0.9553239,0.015441372,0.00038656718
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,True,0.027914805,0.0070579676,0.0406158,0.92441136
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,False,0.19636555,0.17329198,0.34463227,0.2857102
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,True,0.3698506,0.3066169,0.21073453,0.112798065
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,True,0.188386,0.2574931,0.5120862,0.042034596
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,True,0.32205653,0.2508179,0.14291172,0.2842139
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,False,0.20136914,0.22818112,0.3118866,0.25856307
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,True,0.38411263,0.2639965,0.18144195,0.17044894
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,True,0.18511316,0.14416628,0.3458369,0.3248837
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,False,0.74030435,0.19925022,0.05362747,0.006817967
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,True,0.05783212,0.069758855,0.1224306,0.74997836
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.10319663,0.81170434,0.075500265,0.009598781
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,True,0.985601,0.00852712,0.0051719593,0.0006999486
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,False,0.3017445,0.1615122,0.3017445,0.23499885
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,True,0.056846943,0.88923585,0.047127772,0.0067893993
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,True,0.016839921,0.9787266,0.004257799,0.00017574037
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,True,0.07237581,0.038739983,0.8817179,0.0071661756
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,True,0.08319928,0.034682617,0.8402829,0.041835222
In British currency how many pence make a pound?,10,100,500,1000,B,True,0.2345603,0.41166613,0.24968813,0.1040855
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,True,0.24349898,0.45491597,0.27592048,0.025664603
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,True,0.2695314,0.17402256,0.2695314,0.28691468
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,True,0.17380592,0.0873951,0.09303161,0.64576733
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.2007505,0.45239824,0.25776875,0.089082494
How many stars are on the American flag?,13,48,50,51,C,False,0.44370118,0.32461873,0.20958959,0.02209058
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,True,0.044672053,0.06499746,0.14647403,0.7438565
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,True,0.16203383,0.1724841,0.60202867,0.063453354
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,False,0.3791394,0.2773843,0.29527405,0.04820217
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,True,0.17199029,0.3875861,0.36410344,0.07632022
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,True,0.15355685,0.07253512,0.73257875,0.041329265
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,True,0.16642843,0.29209098,0.37505224,0.16642843
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,True,0.38632202,0.14211993,0.15128587,0.32027218
In the children's game what color is 'Rover'?,Green,black,red,blue,C,True,0.22272879,0.25238478,0.4429491,0.08193734
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,True,0.18341579,0.28407994,0.49857578,0.033928506
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,True,0.16794607,0.29475453,0.4288653,0.10843413
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,True,0.32435635,0.4164818,0.2094202,0.04974166
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,True,0.22199607,0.60344785,0.15257551,0.021980587
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,True,0.18500915,0.04979454,0.11945089,0.6457454
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.028882552,0.018647976,0.05395971,0.8985098
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,True,0.069107935,0.84190696,0.073565006,0.015420064
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,False,0.26010007,0.29473197,0.22953749,0.21563053
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,0.041261584,0.068028845,0.112160616,0.77854896
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.013286074,0.011724919,0.043563362,0.9314257
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,True,0.17699106,0.121644065,0.15619406,0.54517084
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,True,0.25708377,0.5442464,0.13760704,0.061062753
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,False,0.21629086,0.26089656,0.27772295,0.24508965
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,True,0.041339487,0.0134209655,0.9408824,0.00435715
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,True,0.10490764,0.8251625,0.0636297,0.0063001933
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,True,0.22017163,0.38641322,0.28270596,0.11070924
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,True,0.041825745,0.7891939,0.1554015,0.013578831
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,True,0.07953148,0.85504395,0.05466113,0.010763415
According to a popular slogan what state should people not 'mess with'?,New York,Texas,Montana,Rhode Island,B,False,0.22707285,0.25730726,0.2417178,0.27390215
