0,1,2,3,4,5,llama_7B_alpaca_20000/ckp29k_correct,llama_7B_alpaca_20000/ckp29k_choiceA_probs,llama_7B_alpaca_20000/ckp29k_choiceB_probs,llama_7B_alpaca_20000/ckp29k_choiceC_probs,llama_7B_alpaca_20000/ckp29k_choiceD_probs
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,False,0.35666582,0.19090945,0.04826947,0.4041553
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.44350412,0.09895915,0.1121354,0.34540135
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.79224586,0.09462028,0.039443597,0.07369035
How many Jinas have appeared during our age?,7,42,24,13,C,False,0.7646356,0.17061327,0.015869506,0.04888152
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.45513162,0.18972708,0.079090014,0.27605128
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,False,0.37453896,0.29169124,0.003240397,0.33052948
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,False,0.65407807,0.24062188,0.0049939477,0.10030612
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,False,0.35241017,0.18863156,0.0064546173,0.45250362
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,False,0.5348863,0.41656986,0.009796784,0.038747035
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,False,0.44351885,0.30482575,0.014256891,0.23739854
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.15537569,0.19950633,0.61452276,0.030595286
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.084196925,0.22887099,0.2593448,0.42758727
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.20044687,0.29164848,0.083558686,0.42434603
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,True,0.63208145,0.04578783,0.14103644,0.18109438
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,True,0.32908005,0.32908005,0.012759818,0.32908005
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,False,0.06915095,0.30991307,0.04194217,0.5789938
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,False,0.17017421,0.59396636,0.043026783,0.19283265
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,True,0.85334533,0.101917565,0.0022516523,0.04248556
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.8798898,0.105087854,0.0024714293,0.012550953
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.27074304,0.3939288,0.028536107,0.30679205
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.1456101,0.73946905,0.0015195776,0.11340126
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,False,0.64851314,0.09945271,0.013459461,0.23857465
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,True,0.39348796,0.087799035,0.013464417,0.50524855
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.47357792,0.32548502,0.026717437,0.17421958
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.62387276,0.05802921,0.26006886,0.05802921
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.48855564,0.17972958,0.035390854,0.29632398
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,True,0.2603064,0.20272683,0.20272683,0.33424002
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,True,0.33248794,0.15705618,0.17796798,0.33248794
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,True,0.261829,0.33619508,0.14014696,0.261829
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.25406954,0.32623175,0.09346696,0.32623175
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.5989249,0.28291208,0.026314924,0.091848105
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.7968134,0.074115194,0.021234358,0.10783697
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.31469983,0.40408257,0.0034959991,0.2777216
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,False,0.2727357,0.44966513,0.03691076,0.24068841
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,False,0.055663697,0.2826836,0.13353027,0.5281225
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,False,0.28939846,0.19890045,0.034563717,0.4771374
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,False,0.34993201,0.16529618,0.2122445,0.27252734
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,False,0.7380062,0.060579237,0.036743164,0.16467144
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,False,0.24434873,0.21563701,0.022727974,0.5172863
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,False,0.17187135,0.22068718,0.0075515,0.59988993
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.52432233,0.13256945,0.15022087,0.19288741
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,False,0.37844634,0.2295393,0.05803663,0.33397773
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,False,0.682232,0.029975183,0.19546275,0.09233006
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,False,0.20701528,0.72255427,0.018088792,0.05234166
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.09265639,0.68464327,0.049595393,0.17310493
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.80057377,0.10834587,0.016615378,0.07446496
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.932237,0.040959638,0.011735133,0.015068208
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,True,0.33051956,0.107303984,0.13778104,0.4243955
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.9420562,0.034314394,0.018367171,0.005262283
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.7397715,0.11344764,0.07797134,0.06880947
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.93159914,0.03187757,0.0004012794,0.036122017
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,False,0.8079587,0.15909651,0.0035148996,0.029429896
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.29832152,0.491849,0.08547054,0.1243589
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.67993236,0.018119583,0.081206344,0.22074172
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,True,0.1422274,0.024715416,0.11076681,0.72229034
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,False,0.36447063,0.25049677,0.020562027,0.36447063
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.5280592,0.11782593,0.07146504,0.28264973
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,True,0.34426436,0.087043665,0.12664779,0.4420442
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,False,0.09994305,0.21157943,0.03676699,0.6517105
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,True,0.28814396,0.15423235,0.08255462,0.47506908
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.8416713,0.11390782,0.0025165516,0.041904345
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,False,0.53242964,0.15254365,0.030037625,0.28498906
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,False,0.86395496,0.06258469,0.010875588,0.06258469
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,False,0.63208145,0.18109438,0.04578783,0.14103644
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,False,0.12283133,0.15771854,0.09566114,0.62378895
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.6244359,0.22971714,0.0065165735,0.13933049
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,False,0.3456577,0.20965199,0.099032596,0.3456577
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.09274614,0.53371716,0.0067185075,0.3668181
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,False,0.26611698,0.08639553,0.009106021,0.6383814
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,False,0.31894505,0.281468,0.08064194,0.31894505
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,False,0.9006221,0.039570574,0.002232419,0.057574846
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,False,0.40006945,0.24265438,0.11462182,0.24265438
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.049186114,0.05573517,0.023233876,0.87184477
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,False,0.22210716,0.17297724,0.13471481,0.47020087
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,False,0.47495148,0.25422323,0.07283617,0.19798923
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.64566004,0.3049882,0.03214552,0.017206257
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.054300915,0.35408643,0.007822787,0.5837898
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,False,0.13763048,0.42393172,0.014506145,0.42393172
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.40016857,0.40016857,0.032847837,0.16681507
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.6449288,0.041228916,0.009199415,0.3046428
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,False,0.26237974,0.05854483,0.29731518,0.38176024
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.22132178,0.22132178,0.026433118,0.53092337
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,True,0.16386972,0.0602843,0.041432753,0.73441315
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,False,0.41673687,0.2527637,0.005944432,0.324555
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.23271461,0.18123832,0.027793797,0.55825335
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.9139056,0.02759756,7.281941e-05,0.05842403
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.37817347,0.1786365,0.014663377,0.4285267
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,False,0.63249826,0.05191862,0.26366448,0.05191862
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.107047684,0.79098135,0.0186021,0.083368815
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.9140274,0.04550674,0.018970033,0.021495864
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.5843741,0.06979354,0.06979354,0.2760388
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.4236383,0.13753523,0.3738595,0.06496704
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,True,0.93007696,0.031825483,0.0020345352,0.036062997
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,False,0.29548073,0.33482352,0.23012061,0.1395752
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,True,0.3860056,0.3860056,0.06707772,0.16091107
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,False,0.27306432,0.24097842,0.08865101,0.39730623
 The theological term homoousios means which of the following?,of a similar substance,of the same substance,of like substance,of human substance,B,False,0.92871684,0.046238087,0.008034975,0.017010042
"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?",Es,Izanagi,Izanami,Kami,B,False,0.15593627,0.20022614,0.027097661,0.6167399
 The numen of Augustus referred to which of the following characteristics?,Divine power,Sexual virility,Military acumen,Philosophical intellect,A,False,0.20700456,0.12555462,0.029821837,0.63761896
