0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_correct,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_choiceA_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_choiceB_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_choiceC_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_choiceD_probs
"According to Jaina traditions, what does the term ajiva mean?",Soul,Sound,Non-matter,Non-soul,D,False,0.23012061,0.1395752,0.33482352,0.29548073
" In the Japanese Zen tradition, what is zazen?",A collection of statues,Veneration of ancestors,Seated meditation,Funeral rituals,C,True,0.013927268,0.033409778,0.76040304,0.19226
 What is a central component of tantric Buddhism?,Asceticism,Bodily pleasure,Music,Sexual union,D,True,0.070264705,0.16855626,0.3568336,0.40434545
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",Loving and forgiving,Wrathful and merciful,Judging and vengeful,Transcendent and immanent,B,False,0.06980455,0.18974844,0.4276047,0.3128423
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia,Babylonia and Europe,Palestine and Spain,Spain and France,A,True,0.30758184,0.23954497,0.30758184,0.14529137
" In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism,Hinduism,Judaism,Islam,A,False,0.04362939,0.44064122,0.34317175,0.17255758
"According to Hindu tradition, which age are we in currently?",Kali yuga,Maha yuga,Krita yuga,Satya yuga,A,False,0.10598074,0.15420106,0.3699091,0.3699091
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,False,0.12876844,0.21230327,0.3500289,0.30889943
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,False,0.11838213,0.19517915,0.36464265,0.321796
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,False,0.15855986,0.1687861,0.31533393,0.35732016
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,False,0.3435931,0.23614785,0.3435931,0.07666598
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.4872169,0.20310222,0.23014496,0.07953597
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,True,0.08281023,0.25507346,0.6118894,0.05022694
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,False,0.032257184,0.18562728,0.5717723,0.21034327
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.028070047,0.086461835,0.7239361,0.16153198
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,False,0.31836995,0.13271634,0.46322554,0.085688114
When was the current Dalai Lama born?,1935,2000,1965,1975,A,False,0.19470254,0.104216754,0.52925634,0.17182438
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.06525982,0.22777916,0.37554434,0.33141673
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,True,0.013042387,0.16913624,0.45975995,0.3580614
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,False,0.23832364,0.27005607,0.3060136,0.18560664
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,False,0.013847656,0.10232111,0.66721743,0.21661378
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,False,0.07457101,0.17888655,0.48626405,0.2602784
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,False,0.04424529,0.12027117,0.6107874,0.22469613
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,False,0.06700552,0.110473424,0.38559014,0.43693087
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,True,0.07842044,0.39825183,0.31015885,0.21316886
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,True,0.053026967,0.16333455,0.39181924,0.39181924
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,True,0.049704336,0.076983586,0.56883603,0.304476
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,False,0.071446955,0.24937436,0.52792555,0.15125321
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,False,0.17163265,0.13366765,0.41172534,0.28297442
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,False,0.058525994,0.2622953,0.5552792,0.12389954
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.025777815,0.13091056,0.7533382,0.08997342
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,False,0.039311837,0.113752574,0.44990015,0.39703548
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,False,0.073661804,0.39821196,0.35142082,0.17670548
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,False,0.058869507,0.117075995,0.15032856,0.67372584
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.17238449,0.18350232,0.3220566,0.3220566
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,False,0.10439975,0.3643909,0.412909,0.118300416
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.030353948,0.22428702,0.32633567,0.4190233
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,False,0.053698223,0.29028985,0.5423328,0.11367913
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.109473035,0.4608987,0.29757857,0.1320497
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,False,0.2582093,0.29258946,0.29258946,0.15661186
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,False,0.089146554,0.14697783,0.45272356,0.31115207
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.35286197,0.12981066,0.27480918,0.24251826
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,False,0.14253695,0.23500371,0.3874556,0.23500371
 How many books are in the New Testament?,30,29,27,47,C,True,0.07735682,0.27000183,0.34668922,0.30595216
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,True,0.024533998,0.109953746,0.63274014,0.2327721
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,False,0.024245735,0.16829875,0.40372774,0.40372774
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.3704759,0.2546241,0.2546241,0.12027591
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.06351075,0.1621804,0.5660652,0.20824376
How many Jinas have appeared during our age?,7,42,24,13,C,True,0.070264705,0.16855626,0.40434545,0.3568336
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,True,0.14459555,0.27014005,0.3468667,0.23839776
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.057389576,0.11413281,0.6991482,0.12932941
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.005597872,0.23802757,0.5709985,0.18537606
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,True,0.06474457,0.14590414,0.5770621,0.21228927
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.086117074,0.38594994,0.38594994,0.14198305
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.030350138,0.6095988,0.2541186,0.10593239
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.0030946417,0.048408337,0.85805833,0.09043868
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,True,0.11067709,0.11067709,0.4377364,0.34090945
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,True,0.20239504,0.10833425,0.5501667,0.13910393
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,False,0.10813838,0.22892895,0.4846426,0.17829005
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.14664404,0.21336582,0.45169547,0.18829468
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,False,0.17238429,0.28421363,0.32205623,0.2213458
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.4410271,0.2360648,0.2360648,0.08684339
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.052475538,0.26649278,0.49787405,0.18315764
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.056727424,0.15420114,0.3699093,0.41916212
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,True,0.040183462,0.12377378,0.71226895,0.12377378
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.07497646,0.14007446,0.55400527,0.23094375
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.09942862,0.11266739,0.73468363,0.053220306
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,True,0.01632771,0.10001936,0.30808133,0.57557166
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,False,0.07625606,0.30159855,0.3872602,0.23488519
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,False,0.26635766,0.38754812,0.23505981,0.1110344
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,False,0.2773529,0.13101223,0.314282,0.2773529
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.13471481,0.17297724,0.47020087,0.22210716
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.0891431,0.2579441,0.42527792,0.22763488
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,False,0.17834014,0.22899327,0.33318323,0.25948337
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.073603705,0.22671537,0.5438619,0.15581906
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.39643383,0.1652582,0.34985164,0.08845635
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.33631596,0.15886441,0.38109592,0.12372373
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,True,0.055388093,0.2994252,0.5593999,0.08578676
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,False,0.07166109,0.4123811,0.32116273,0.19479504
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,False,0.23054817,0.23054817,0.3354456,0.20345806
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.021026857,0.1067832,0.78902704,0.08316284
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.047105018,0.12804472,0.7368465,0.08800377
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.0088551575,0.05424442,0.58318245,0.35371804
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.11318058,0.3076567,0.3076567,0.2715061
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,False,0.13832484,0.20126146,0.48280114,0.17761262
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,False,0.119350255,0.14396389,0.3913344,0.3453514
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.24846093,0.36150852,0.17076454,0.219266
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.13471481,0.47020087,0.22210716,0.17297724
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.015683856,0.14880428,0.6668945,0.16861734
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,True,0.0155883515,0.22906917,0.3776712,0.3776712
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.06756613,0.104648456,0.4138927,0.4138927
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,False,0.22787347,0.25821447,0.37569985,0.13821225
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.043656413,0.44091415,0.38910538,0.12632403
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.47889918,0.17617717,0.25633627,0.08858744
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.05540276,0.52564675,0.17065251,0.24829793
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,True,0.17979774,0.21687748,0.3575705,0.24575438
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,True,0.21230327,0.30889943,0.3500289,0.12876844
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.084021315,0.15697248,0.33231074,0.42669544
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.069094256,0.14627255,0.6555481,0.12908508
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,True,0.036912274,0.15540648,0.32899553,0.47868565
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.06676423,0.6334414,0.23303007,0.06676423
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,True,0.072780736,0.19783854,0.6093856,0.11999514
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.041559484,0.14505686,0.5062982,0.30708537
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.039816022,0.10823118,0.6228274,0.22912541
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.07630945,0.3419952,0.43913054,0.14256482
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.08043519,0.19295397,0.40848356,0.31812733
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.06633832,0.14043823,0.71320415,0.08001929
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.012491964,0.06343942,0.6018965,0.32217202
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,True,0.22375575,0.36891085,0.25354847,0.15378492
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,False,0.09072991,0.21764973,0.5221146,0.16950579
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,False,0.1412732,0.1600835,0.4930919,0.20555128
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,True,0.017568735,0.0892214,0.3114133,0.5817966
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.15378492,0.22375575,0.25354847,0.36891085
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,True,0.096970454,0.20528644,0.4924566,0.20528644
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.047776993,0.22793129,0.54677874,0.17751306
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,True,0.12077456,0.073253475,0.32829928,0.47767264
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.03177755,0.43867552,0.38712978,0.14241709
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.0943499,0.2564696,0.42284688,0.22633363
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.0030884016,0.0702917,0.8563282,0.0702917
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.13341728,0.13341728,0.6775488,0.055616595
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.20481254,0.3376788,0.29800048,0.15950817
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,False,0.018689733,0.07391933,0.4820146,0.4253764
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,True,0.018689733,0.07391933,0.4253764,0.4820146
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,True,0.14046311,0.1803582,0.38181832,0.29736042
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,True,0.049078777,0.21995582,0.41093156,0.32003382
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,False,0.041379154,0.25347805,0.41791463,0.28722826
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.30896604,0.240623,0.3501044,0.10030659
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,False,0.08089141,0.19404839,0.3625301,0.3625301
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,True,0.03646461,0.127274,0.39203152,0.4442299
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,True,0.054275937,0.2146655,0.5835213,0.14753729
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,True,0.11293584,0.14501248,0.3941848,0.34786686
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.22263888,0.15301731,0.4713265,0.15301731
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,True,0.012279237,0.07066212,0.67042357,0.24663505
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.02628821,0.4112168,0.4112168,0.15127821
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.74135935,0.068957165,0.12882894,0.06085448
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.14476983,0.18588814,0.50529635,0.1640457
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,True,0.113520995,0.2723227,0.44898424,0.16517207
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,False,0.25831303,0.17753577,0.42588618,0.138265
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,False,0.11712428,0.28096655,0.4088039,0.1931053
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,False,0.1268516,0.119166054,0.50170785,0.25227454
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,True,0.15368254,0.1635942,0.44469514,0.23802817
 The theological term homoousios means which of the following?,of a similar substance,of the same substance,of like substance,of human substance,B,True,0.19828953,0.28850955,0.28850955,0.22469147
