0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_6500_correct,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_6500_choiceA_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_6500_choiceB_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_6500_choiceC_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_6500_choiceD_probs
What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?,6%,16%,36%,66%,C,False,0.2087246,0.3441287,0.14345418,0.30369252
"As of 2018, about what percentage of US adults say computer programs will always reflect human bias?",43%,58%,73%,88%,B,False,0.24846093,0.219266,0.17076454,0.36150852
"As of 2017, the share of GDP spent on the military by China is about",0.50%,2%,6%,12%,B,True,0.23054817,0.3354456,0.20345806,0.23054817
"The conjecture that inequality first increases with development, then decreases with further development (known as the “inverted U hypothesis”) has, as of 2020, been",strongly supported by most studies,"supported mainly by cross-section, not time-series studies","supported mainly by time-series, not cross-section studies",generally repudiated by empirical studies,B,False,0.4430448,0.18468855,0.16298708,0.20927955
"Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?",12 years,9 years,6 years,3 years,B,True,0.2941415,0.42797336,0.1389426,0.1389426
"As of 2017, the share of deaths in Greenland by suicide is about",0.90%,1.80%,3.60%,7.20%,D,False,0.30601364,0.23832366,0.18560666,0.2700561
"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?",14%,24%,34%,44%,A,False,0.25180578,0.32332504,0.17306343,0.25180578
"As of 2019, about what percentage of Americans say the relationship between the U.S. and Germany is good?",60%,75%,90%,45%,B,False,0.2900896,0.22592203,0.15527378,0.3287146
"As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?",50%,60%,70%,80%,D,False,0.33482352,0.23012061,0.1395752,0.29548073
In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?,2%,25%,50%,75%,D,False,0.23500371,0.3874556,0.14253695,0.23500371
"In Sub-Saharan Africa, as of 2020,",no nation has been able to grow in the past years.,the Democratic Republic of Congo has become poorer than it initially was in 1980.,some countries have had relatively significant growth rates.,"some countries have had relatively significant growth rates, but the Democratic Republic of Congo has become poorer than it initially was in 1980.",C,False,0.28096652,0.117124274,0.19310528,0.40880388
"World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?",15.50%,34.80%,48.10%,65.20%,B,True,0.20814733,0.4406479,0.20814733,0.14305742
How many children between the ages of 5-14 worked globally as of 2012?,5 million,30 million,150 million,500 million,C,False,0.3037987,0.16261172,0.14350435,0.39008525
"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,","Colombia, Peru, Uruguay, and Costa Rica.","Bhutan, Niger, Cambodia, and Costa Rica.","Uruguay, Costa Rica, Timor-Leste, and Pakistan.","Bhutan, Cambodia, Uruguay and Costa Rica.",A,True,0.5120516,0.16623881,0.04762822,0.27408147
The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,10%,20%,40%,80%,B,True,0.25300857,0.32486945,0.13542573,0.28669629
The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,38%,58%,78%,98%,C,False,0.34040636,0.30040756,0.12522851,0.23395765
"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?","True, True","True, False","False, True","False, False",B,False,0.4622655,0.31771013,0.103145376,0.116879016
"In 2017, about how many people died from terrorism globally?",260,"2,600","26,000","260,000",C,False,0.4507224,0.12913413,0.06912052,0.35102296
In 1935 roughly how many Americans were in favor of Social Security act?,90%,70%,50%,30%,A,True,0.32214925,0.32214925,0.13429178,0.22140972
Which of the following countries emitted the most CO2 per capita in 2017?,Japan,Canada,Russia,Iran,B,False,0.20122956,0.095054105,0.15671773,0.5469986
"As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?",59%,69%,79%,89%,C,False,0.36150852,0.219266,0.17076454,0.24846093
"What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",9%,19%,39%,59%,B,False,0.20481254,0.29800048,0.15950817,0.3376788
The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,18%,38%,58%,78%,B,False,0.31649017,0.31649017,0.14949937,0.21752031
"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",24%,39%,54%,69%,A,False,0.24721283,0.28012884,0.28012884,0.19252954
"As of 2015, the global fertility rate was about",1.5 children per woman,2.5 children per woman,3.5 children per woman,4.5 children per woman,B,False,0.66677696,0.21647078,0.06201992,0.054732386
What is the median international income as of 2020?,$300 ,"$1,000 ","$10,000 ","$30,000 ",C,False,0.13511355,0.17348923,0.32412055,0.3672767
Before being reelected for a third term as president how many Americans approved of running a third time?,20%,40%,60%,80%,C,False,0.28421366,0.32205626,0.1723843,0.22134583
"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?",41%,56%,71%,86%,B,False,0.34040636,0.30040756,0.12522851,0.23395765
Public spending on education in the world is about what percentage of global GDP as of 2017?,1%,2%,4%,8%,C,False,0.31911525,0.24852721,0.15073937,0.2816182
"As of 2013, which of the following countries had the highest per capita rate of homelessness?",US,Chile,Ireland,Spain,A,False,0.2091965,0.16292238,0.23705068,0.3908305
"Overall, the growth rate of average incomes in less developed countries between 1960 and 1995",was approximately zero,exceeded that of high income countries,exceeded that of Britain during the industrial revolution,was approximately 3.0% per year,C,False,0.31444588,0.14853372,0.07950437,0.45751604
"As of 2015, about what percentage of the world’s land area is forested?",15%,30%,45%,60%,B,False,0.29863346,0.23257597,0.2635431,0.20524758
The greatest population growth rate has taken place,"in Africa, which is the poorest region of the world with the lowest overall economic growth.","in Asia, which is the poorest region of the world with a steady overall economic growth.","in Asia, which is the poorest region of the world with the lowest overall economic growth.","in Africa, which is the poorest region of the world with a steady overall economic growth.",C,False,0.24902599,0.2821834,0.21976466,0.24902599
The global HIV/AIDS death rate is highest for which of these age groups?,Under 5,14-May,15-49,over 50,C,True,0.05995356,0.046691876,0.7303839,0.16297068
"As of 2015, agriculture made up about what percentage of total US GDP?",1%,3%,9%,20%,A,True,0.34040636,0.30040756,0.12522851,0.23395765
"As of 2017, what percentage of Indians live in urban areas?",19%,34%,49%,64%,B,False,0.21637933,0.27783656,0.19095409,0.31483006
"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?","True, True","True, False","False, True","False, False",A,True,0.5486567,0.25916708,0.084139235,0.10803691
"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?",80%,40%,-40%,-80%,B,True,0.3069538,0.39413646,0.08794373,0.21096605
"As of 2013, share of people in the United States who think political parties are corrupt is",36%,56%,76%,96%,C,False,0.34600583,0.30534908,0.16344157,0.18520358
Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,China,Japan,Chile,India,C,False,0.3860363,0.14201483,0.20663035,0.26531863
"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?","$150,000 ","$75,000 ","$35,000 ","$15,000 ",C,False,0.4633112,0.15041512,0.19313684,0.19313684
In 1943 how many Americans believed in the Holocaust?,30%,50%,70%,90%,B,False,0.3030069,0.26740265,0.1621879,0.26740265
Which of the following countries emitted the most CO2 in 2017?,Canada,Russia,Iran,Japan,D,True,0.30346826,0.14334825,0.11163973,0.4415437
"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.","India, Congo","India, South Korea","Congo, South Korea","South Korea, India",A,True,0.5518871,0.20302792,0.06591351,0.1791715
"As of 2013, share of people in the India who think political parties are corrupt is",26%,46%,66%,86%,D,False,0.34239623,0.20767382,0.1832715,0.26665846
"As of 2019, about what percentage of French people say God plays an important role in their life?",11%,31%,51%,71%,B,True,0.24000832,0.3081768,0.21180661,0.24000832
"As of 2017, the share of GDP spent on the military by the United States is about",1%,3%,6%,10%,B,True,0.24194632,0.2741611,0.24194632,0.24194632
"As of 2017, the share of global deaths by suicide is about",0.70%,1.40%,2.80%,5.60%,B,False,0.29539207,0.17916435,0.23005158,0.29539207
Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included,artificial political boundaries that covered diverse ethnic groups with little in common,inadequate access to higher education and training for nationals under the colonial administration,control of domestic commerce by foreign minority groups which had been brought in by the colonial power,all of the above,D,True,0.37895617,0.09581512,0.09581512,0.4294136
Which of the following mental disorders is most prevalent in the world?,Bipolar disorder,Schizophrenia,Alcohol use disorders,Anxiety disorders,D,False,0.3647619,0.11842085,0.15205537,0.3647619
"As of 2017, how many people in the world have some access to electricity?",60%,70%,80%,90%,C,False,0.27783656,0.19095409,0.21637933,0.31483006
Before Nixon resigned how many believed he should be removed from office?,79%,98%,33%,57%,D,False,0.5229506,0.24702436,0.08019707,0.14982785
