0,1,2,3,4,5,llama_7B_ds_alpacafollowturn_20000/epoch3_correct,llama_7B_ds_alpacafollowturn_20000/epoch3_choiceA_probs,llama_7B_ds_alpacafollowturn_20000/epoch3_choiceB_probs,llama_7B_ds_alpacafollowturn_20000/epoch3_choiceC_probs,llama_7B_ds_alpacafollowturn_20000/epoch3_choiceD_probs
The first stage of the demographic transition exhibits,high birth rates with high but fluctuating death rates.,declining birth rates with continuing high death rates.,low birth rates with continuing high death rates.,high birth rates with declining death rates.,A,False,0.062005892,0.519169,0.062005892,0.35681927
What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths?,Crude birth rate,Replacement level,Mortality rate,Total fertility rate,B,True,0.0066838358,0.99196917,0.00054864265,0.00079827034
What is the most rapidly growing religion in the United States today?,Islam,Christianity,Hinduism,Buddhism,A,False,0.012240999,0.972423,0.012240999,0.0030950094
The outlying area serviced by a urban center is referred to as a,redline area.,threshold.,range.,hinterland.,D,False,0.1411224,0.06666151,0.7166787,0.075537376
The best definition of an urban area is,the central city and its developed areas.,the central city and its surrounding suburbs.,the central city and its hinterlands.,the central city and the adjacent counties.,B,True,0.07534538,0.91789466,0.0061847256,0.0005752691
Which of the following religions developed first?,Buddhism,Christianity,Islam,Hinduism,D,False,0.28291208,0.5989249,0.026314924,0.091848105
Which one of the following is NOT a characteristic of world cities?,World cities contain the headquarters of many transnational corporations.,World cities are well connected to secondary-level world cities.,World cities contain many offices of multinational organizations.,World cities are found only in the northern and western hemispheres.,D,True,7.476472e-05,0.0003796866,0.0007093479,0.9988362
Which type of transportation system created the star-shaped city pattern?,Highways to airports that link cities,Interstate highways that link cities,Beltways around cities,Streetcar and trolley lines extending from the CBD,D,False,0.01158788,0.9205393,0.00902465,0.05884811
In which urban US setting below would you expect to find planned communities?,Ghettos,Suburbs,CBDs,Transition zones,B,True,0.050850336,0.90134376,0.03494889,0.012856978
The latitude and longitude coordinates of a place are an example of,a formal region.,a functional region.,an absolute location.,a relative location.,C,True,0.0833032,0.0046996446,0.8955937,0.016403371
The voluntary association of three or more countries willing to give up some measure of sovereignty is called,nationalism.,devolution.,supranationalism.,complementarity.,C,True,0.03258968,0.009337099,0.9524101,0.0056632375
The key factor Thomas Malthus failed to recognize in his population theory was,population is limited by their means of subsistence.,all populations have the potential to increase more than the actual rate of increase.,wars and famine inhibit population's reproductive capacity.,technology's ability to raise the Earth's carrying capacity.,D,False,0.021947585,0.93323505,0.0038139184,0.041003488
Which pair of religions are both universalizing religions?,Islam and Judaism,Judaism and Buddhism,Hinduism and Buddhism,Christianity and Buddhism,D,False,0.7922673,0.17677873,0.016442982,0.014510882
Which urban model theorizes that high-rent residential areas grow outward from the center of the city along major highways with lower-rent inhabitants taking over sequentially?,Concentric zone model,Central place model,Urban realms model,Sector model,D,False,0.02282681,0.97062063,0.0050933496,0.0014592691
"When a country combines its religion with its government, it is called a",dictatorship.,theocracy.,democracy.,autocracy.,B,True,0.17823388,0.7987888,0.018785711,0.004191659
What is the chief religion practiced in Europe?,Christianity,Islam,Hinduism,Animism,A,True,0.5951111,0.28111055,0.1034148,0.02036358
Which group enacted the first effective settlement in the eastern United States?,French,"British (English, Scotch-Irish, Welsh, Scottish)",Russian,Chinese,B,True,0.002470919,0.99683976,0.00020282537,0.00048655274
"A population pyramid, or age-sex structure, displays all the following information about a country's population EXCEPT",future social spending needs of the population.,"the impact of ""baby booms"" on the population.",the impact of wars on the population.,a quick visual depiction of the country's demographics.,B,False,0.00055183185,0.0008029106,0.0009098169,0.9977354
The Rhine River is an example of which type of boundary?,Geometric,Artificial,Natural,Relict,C,True,0.004019647,0.009642631,0.9835751,0.00276266
Which type of economic activity is most closely tied to the physical environment?,Primary,Secondary,Tertiary,Quaternary,A,False,0.11224159,0.64590573,0.20969489,0.032157753
The majority of workers in periphery countries are probably employed in which type of activities?,Primary,Secondary,Tertiary,Quaternary,A,False,0.10493966,0.25173718,0.47030693,0.17301625
All of the following are non-basic jobs in the city EXCEPT,city firefighter.,social worker.,dry cleaner.,garment factory worker.,D,True,0.013273724,0.16170706,0.0038029854,0.8212162
Transnational corporations distribute their operations,manufacturing goods where production costs are the highest.,conducting accounting and research services where economical.,based on comparative advantage.,with headquarters located in LDCs.,C,True,0.005239823,0.13513681,0.7776587,0.08196462
Which of the following is LEAST associated with the development of alluvial landscapes?,A deep cover of loose materials,A predominance of gentle slopes,Frequent flooding,Deep dissection and erosion,D,False,0.008048159,0.00096121547,0.72447217,0.2665184
Which of the following is LEAST self-sufficient in the natural resources needed for modern industry?,United States,Japan,France,United Kingdom,B,False,0.059378736,0.0055230833,0.006258473,0.92883974
One of the effects of the east–west orientation of the Alpine mountain system and the northern plains of western and central Europe is that it,limits the marine climate of Europe to coastal areas,provides a corridor for communication between southern and northern Europe,enables marine-like climatic conditions to extend eastward into Germany and Poland,effectively prevents population movement between parts of the Mediterranean region,C,True,0.0007020808,0.003146508,0.98860335,0.00754808
The largest Hindu temple complex ever constructed is found in,Calcutta.,Bombay.,Cambodia.,Bali.,C,False,0.0039282353,0.24303131,0.004451274,0.74858916
Which term describes the forces that unify and strengthen a country?,Diffusion,Centrifugal,Centripetal,Ethnocentric,C,True,0.04154696,0.010504716,0.9456044,0.0023439191
Which one of the following statements best describes an application of the S-curve?,Graph of the Bantu migration,Graph of the growth of human populations since their first appearance on Earth,The chart showing how cities associate with one another based on their population sizes,A model showing the decrease in population growth for several countries after they industrialize,D,False,0.0011915015,0.5446886,0.22705998,0.22705998
Which of the following items is NOT a challenge to the state?,Transnational corporations,EU,World Trade Organization,Good transportation network,D,True,0.0038099925,0.004317287,0.059598308,0.9322744
"National sports teams, flags, national anthems, and national holidays all promote",nationalism.,sectarianism.,political unrest.,functional disputes.,A,True,0.8118962,0.109878205,0.011581077,0.0666445
"The process whereby immigrants learn the values, language, and customs of their new country is called",assimilation.,acculturation.,adaptation.,amalgamation.,B,True,0.110714674,0.72195035,0.1610889,0.0062460946
"On which of the following can one most accurately depict true geographical distance, true direction, true size, and true shape?",A Mercator projection,A globe,A conic projection,A gnomonic projection,B,False,0.48157588,0.48157588,0.006062146,0.030786116
Which of the following could be considered a higher-order central place function?,Winn-Dixie grocery store,Mercedes-Benz dealership,Shoe store,Family doctor,B,False,0.44229883,0.2682678,0.16271265,0.12672074
Which geographer viewed the US urban community of the 1920s as a set of concentric rings radiating outward from a central core?,Rostow,Ravenstein,Von Thünen,Burgess,D,False,0.005239823,0.7776587,0.13513681,0.08196462
"To get to school in the morning, we ALL use this as our guide:",Rand-McNally Road Atlas.,world globe.,road map.,mental map.,D,True,0.11838213,0.19517915,0.321796,0.36464265
"Of these, the map using the smallest map scale would be the map of",the world.,"Atlanta, Georgia.","Main Street, Small Town, Ohio.",Pennsylvania.,A,False,0.021553429,0.124031425,0.80878645,0.045628607
An earlier boundary formed before meticulous geographic knowledge and mapping was available is known as,an antecedent boundary.,a geometric boundary.,a relict boundary.,a subsequent boundary.,A,False,0.014274556,0.25302255,0.53564876,0.19705418
Which of the following jobs is in the non-basic employment sector?,Software engineer,F-10 pickup truck assembly-line worker,Oil refinery worker,Parking lot attendant,D,False,0.0019012871,0.9848911,0.009655532,0.003552072
In which of the following regions is subsistence agriculture being replaced by large-scale commercial development?,The Swiss Alps,The Amazon Basin,North Africa,The Alaskan tundra,B,True,0.0018140244,0.9396879,0.041287005,0.017210985
A strong movement away from all religions is called,secularism.,heathenism.,sacrilege.,nationalism.,A,False,0.19999123,0.08336874,0.01860208,0.6980379
Regions share all of these characteristics EXCEPT,boundaries.,common features.,relative location.,easily defined.,D,False,0.0843012,0.9063233,0.0032687122,0.0061067585
Which of the following U.S. main immigration flow associations is NOT correct?,"Pioneer settlement to 1870—Germans, British, Scotch-Irish, Africans",1870–1914—Asians,1870–1914—Eastern and southern Europeans,1965–present—Hispanics,B,False,0.007021135,0.09692378,0.33829725,0.55775785
Which one of the statements below is characteristic of most African cities?,"They have thriving, clean residential areas.",There are jobs for most rural-to-urban migrants.,They have three separate business districts.,They have a well-developed infrastructure.,C,False,0.00061662844,0.009645691,0.0058504078,0.98388726
Which country faces a serious trade disadvantage due to its location?,Singapore,Italy,Spain,Mongolia,D,True,0.036923353,0.053723156,0.0689819,0.8403716
"In which zone of Burgess's concentric zone model would one find better houses, single-family homes, and higher-rent apartments?",First,Second,Third,Fourth,C,True,0.32472032,0.28656468,0.36795634,0.020758675
The theory that every society develops economically according to a five-stage pattern of growth is attributed to,Rostow.,Ravenstein.,von Thünen.,Burgess.,A,False,0.38658097,0.562472,0.03595763,0.0149893705
Which of the following would NOT be considered a barrier to diffusion of a cultural trait?,Language,Religion,Oceans,Tolerant complaisant citizens,D,True,0.01102767,0.020602401,0.09233355,0.87603635
The process of invasion and succession is a process involving migration and is best described as when,new residents tear down and rebuild housing units.,new residents live peacefully with old residents.,new residents assimilate with old residents completely.,new residents move into areas occupied by older resident groups.,D,False,0.0016810297,0.009673658,0.7684738,0.22017144
Which of the following best illustrates the definition of a functional region?,A map showing Atlanta as a hub for Delta Airlines,An article describing the region referred to as the South,A map showing North Carolina's one hundred counties,An essay explaining the region known as the Bible Belt,A,False,0.05583022,0.17196919,0.17196919,0.6002314
New stores opening around a large shopping mall reflect which concept?,Gravity concept,Distance decay,Complementarity,Movement bias,D,False,0.0116555495,0.08612352,0.56159586,0.3406251
The birth of an urban industrial workforce in Europe contributed to the start of the,First Agricultural Revolution.,Second Agricultural Revolution.,Third Agricultural Revolution.,Fourth Agricultural Revolution.,B,False,0.017848242,0.21743612,0.35849154,0.40622413
Which of the following statements about East Asia's industrial regions is true?,Japan has a rich natural resource base.,China lacks natural resources but has a massive labor force.,China is industrializing rapidly.,Taiwan lacks industrial enterprise and an educated workforce.,C,False,0.0029504066,0.7219407,0.23437983,0.040729105
Which of the following statements best describes the United Nations?,The UN operates a worldwide police force.,Member states surrender sovereignty to the UN.,World laws are enforced by the UN.,The UN often practices interventionism in world conflicts.,D,True,0.000138071,0.006652633,0.0058709285,0.9873383
Which of the following is a formal region?,Dixie,Pennsylvania,The market area of Winn-Dixie,The Pacific Northwest,B,False,0.20730077,0.18294227,0.046255052,0.5635019
The concentration of production activities and people spatially to benefit everyone is called,the substitution principle.,deglomeration.,agglomeration.,infrastructure.,C,True,0.04715541,0.005631911,0.94714177,7.0895294e-05
"Which language family contains Italian, Spanish, Portuguese, and Romanian?",European,Slavic,Germanic,Romance,D,False,0.011815646,0.20943734,0.5693097,0.20943734
"Ankara, Turkey and Islamabad, Pakistan are both examples of",desert cities.,forward-thrust capitals.,old colonial capitals.,rival cities.,B,True,0.2737255,0.57947695,0.12929879,0.017498689
Which of the following is NOT an example of syncretism?,Halloween,Foreign cuisine changed to suit American tastes,Hasidic Judaism,Catholicism in Louisiana,C,False,0.021624282,0.051873956,0.43433532,0.4921664
The theory that whoever controlled the landmass of Europe would rule the world is called the,devolution theory.,domino theory.,heartland theory.,rimland theory.,C,True,0.07905777,0.24351506,0.40148845,0.27593872
Which group represents the Persian (Iranian) variation of Islam and believes in the infallibility and divine right to authority of the Imams descended from Ali?,Sunni,Shiite,Imam,Untouchables,B,True,0.0066876947,0.9925419,0.00070487784,6.556385e-05
The multiplier effect is,the addition of non-basic workers to an urban economy that has added more basic workers.,a ratio of urban to rural workers in an economy.,the ratio of city workers to farm workers in an economy.,the addition of rural jobs created by the urban economy.,A,False,0.014209323,0.104993485,0.6846435,0.19615366
The sacred book of the Hindu is called the,Talmud.,Bible.,Torah.,Veda.,D,False,0.079939865,0.8594345,0.04278872,0.017836994
Which of the following is a distinct characteristic of an East European city?,A central park,Prominent religious buildings,A large central square surrounded by government and administrative buildings,Luxury apartment buildings,C,True,0.0063578947,0.013459663,0.94359523,0.036587156
Which of the following countries is actively trying to preserve the purity of their native language from contamination by English or other languages?,Italy,Russia,Japan,Brazil,C,False,0.02727581,0.15696144,0.3322874,0.4834753
Which of the following is an example of a bulk-gaining industry?,Steel,Bottled orange juice,Paper,Copper,B,True,0.07056845,0.66953486,0.16928492,0.09061169
Which of the following is NOT a feature of an export processing zone (EPZ)?,Tariff reductions on exports,Raw materials imported duty-free,Exemption from customs duties,Strict pollution regulations,D,True,0.0037500942,0.0033094466,0.07532266,0.9176178
Which of the following characteristics is NOT true of a state?,Independent territory,Internationally recognized,Boundaries,A national language,D,True,0.057653733,0.2583861,0.20123129,0.48272878
"You are planning to move from your hometown to Pittsburgh. Along the way, you stop in Columbus, Ohio to visit a relative and fall in love with the city! You decide to stay and make Columbus your new home. This is an example of",intervening opportunity.,distance decay.,involuntary migration.,push-pull factors.,A,False,0.06262985,0.59421545,0.19291352,0.1502412
A large node of office and commercial land use outside the central city with more jobs than residents is a(n),suburb.,primate city.,town.,edge city.,D,False,0.51507753,0.31241032,0.042280138,0.13023199
Which crop began the Third Agricultural Revolution?,Rice,Wheat,Barley,Millet,A,False,0.056902837,0.89011014,0.018473646,0.034513313
Which factor in the last quarter century greatly destabilized Eastern Europe and led to ethnic conflict?,The introduction of new languages,The end of the Cold War,The invasion by the Soviets,The acceptance of many Eastern European countries into the EU,B,True,0.0014631936,0.973231,0.020198764,0.0051070475
"If I wanted to ship a small piece of very valuable jewelry to my aunt who lives in Poughkeepsie, which mode of transportation makes the most sense?",Truck,Air,Ship,Railroad,B,False,0.0021709418,0.0007986448,0.9924345,0.004595883
Which of the following is a functional region?,Dixie,Pennsylvania,The market area of Winn-Dixie,The Pacific Northwest,C,True,0.20022614,0.027097661,0.6167399,0.15593627
Which type of city model contains a distinct residential spine proceeding outward from center city along the main boulevard?,European,Muslim,Sub-Saharan African,Latin American,D,False,0.23111542,0.33627093,0.3810449,0.051568817
What family do most European languages belong to?,Ural-Altaic,Basque,Indo-European,Phoenician,C,True,9.608338e-05,0.0001398005,0.99970585,5.8277517e-05
"What do the terms apartheid, ethnic cleansing, and integration all have in common?",They all occurred in Nazi Germany during World War I.,They are all forms of residential segregation.,They are all ways to integrate different ethnic populations in neighborhoods.,They are different expressions for the same concept.,B,False,0.015162437,0.30454573,0.23718044,0.4431114
Which one of the statements below correctly describes immigrants living in Europe?,Most find citizenship easy to get in host countries.,Muslims immigrants from North Africa are well integrated in France.,Immigrants to European cities rarely bring their families.,They are usually restricted to certain neighborhoods.,D,True,0.002411585,0.013877712,0.010807973,0.9729028
Which of the following activities are NOT secondary economic activities?,Assembling automotive parts,Sewing shirts,Mining copper,Binding books,C,True,0.28297442,0.17163265,0.41172534,0.13366765
Johnny and Susie are moving to Scotland to renovate and live in the family castle. What makes their move a migration?,They are crossing another country's borders.,They are not taking anything with them.,They are moving permanently.,They will be gone more than one year.,C,True,0.18784046,0.053817194,0.74292344,0.015418883
Which of the following entities is a state?,Antarctica,American Samoa,Egypt,Marshall Islands,C,False,0.5705992,0.046837635,0.036477186,0.3460859
What is the most abundant fossil fuel?,Phosphate,Oil,Petroleum,Coal,D,False,0.20934384,0.34514964,0.44318092,0.0023256
A rejection of or indifference to religion in a country is called,polytheism.,animism.,secularism.,monotheism.,C,True,0.007830659,0.0028807383,0.90510106,0.084187515
"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Energy,Labor,Information,Specialization,C,True,0.042823188,0.048525028,0.86012673,0.048525028
A city that is more than twice as large as the next largest city in a country is called a,global city.,world leader city.,megalopolis.,primate city.,D,False,0.25015917,0.043471143,0.6800031,0.026366582
Every country with a seacoast has an exclusive economic zone (EEZ) under the UN Convention on the Law of the Sea. Which one of the following statements regarding the Law of the Sea and the EEZ is NOT correct?,The EEZ extends up to 200 nautical miles (370 km) from the coastline.,Countries have the right to exploit natural resources in their EEZ.,Countries can exploit resources on the continental shelf extending up to 350 nautical miles (560 km) beyond their EEZ.,A country does not have the right to exploit living resources in its EEZ.,D,False,0.027311597,0.6216091,0.22867721,0.12240209
Which of the following is MOST likely to experience population pressure?,An industrial society with abundant natural resources and large imports of food,A society with a highly mechanized agricultural sector,A non-ecumene,A slash-and-burn agricultural society,D,True,0.010058813,0.09543536,0.09543536,0.7990705
"Part of the boundary between the United States and Mexico is the Rio Grande, an example of",a water divider.,a watercourse.,an artificial boundary.,a natural boundary.,D,True,0.052019387,0.29935092,0.014903804,0.6337259
"When we talk about diffusion of a cultural trait, what do we mean by ""hearth""?",Destination,Origin point,All locations along the diffusion path,Axis point,B,True,0.17363718,0.53484017,0.28627932,0.0052433885
The distance north and south of the equator is the,global grid system.,Prime Meridian,latitude.,longitude.,C,False,0.064082526,0.688952,0.093239516,0.15372598
Why are perceptual or vernacular regions so difficult to identify?,Boundaries are constantly being redrawn.,"Physical features, such as rivers, are constantly shifting.",Defining criteria are subjective and differ among researchers.,Antecedent boundaries were drawn before humans were located in the regions.,C,True,0.003127881,0.04892829,0.8672747,0.08066912
Which structure(s) traditionally occupies the center of a historic Asian city?,A central market,High-density housing,A religious building,Government office buildings,C,True,0.12275149,0.018824551,0.80044025,0.0579837
Which description best describes the urban hierarchy model in which the population of a city is inversely proportional to its rank in the hierarchy?,Multiplier effect,Rank-size rule,Central place theory,Burgess's sector model,B,True,0.07523308,0.7137916,0.15926844,0.05170689
Which of the following is a major concern in countries with a large and rapidly aging population?,Immunization,Adequate schools,Daycare facilities,Health care,D,True,0.007303562,0.025491936,0.01062662,0.95657784
Which of the following capital cities is located OUTSIDE the central core area of the country?,"Abuja, Nigeria","Paris, France","London, United Kingdom","Cairo, Egypt",A,False,0.113187715,0.060585015,0.08815068,0.73807657
"Spanish colonial architecture, uneven economic development, and rural-to-urban migration flows are most commonly found in which of the following?",Southeast Asia,Sub-Saharan Africa,North America,Latin America,D,True,0.0041297087,0.009906656,0.19898051,0.7869832
The purpose for the creation of NATO was to,defend North America and Western Europe against the threat of communism.,form an economic alliance for trade between Europe and North America.,defend Europe against a second Nazi invasion.,defend northern Europe against Chinese missiles.,A,True,0.7869832,0.19898051,0.009906656,0.0041297087
Which of the following is NOT a key milestone reached by the EU?,The introduction of a common currency used by many EU countries,A customs union,A single market,A common European language,D,False,0.0050676027,0.003482909,0.9657141,0.025735408
The use and spread of English in nineteenth-century India is an example of what type of diffusion?,Stimulus,Contagious,Hierarchal,Relocation,C,True,0.2236818,0.25346467,0.32545507,0.19739848
The theory that most migration occurs over a short distance and in steps is attributed to,Rostow.,Ravenstein.,von Thünen.,Burgess.,B,True,0.038201373,0.8694593,0.04328783,0.049051534
"The way of life based on breeding and herding of animals that are used as a source of food, shelter, and clothing is called",swidden.,subsistence farming.,pastorialism.,hunting and gathering.,C,True,0.0010133896,0.017962761,0.9807335,0.00029034098
The European Union (EU) replaced which of the following organizations?,NATO,EEC,UN,ASEAN,B,True,0.027930822,0.9249418,0.027930822,0.019196553
"The attempt by core countries to stimulate increased agricultural production in the periphery through use of technology, hybrid seed, and fertilizers is called the",First Agricultural Revolution.,Second Agricultural Revolution.,Third Agricultural Revolution.,Green Revolution.,D,False,0.009523169,0.756519,0.042679884,0.19127797
Shifting cultivation is most often practiced in,alpine tundra.,tropical forests.,flood plains.,deserts.,B,True,0.025224399,0.94653857,0.025224399,0.0030126248
The migration streams into the United States between 1980 and the present have been primarily composed of emigrants from which of the following regions?,Europe and North Africa,Asia and Latin America,Sub-Saharan Africa and Oceania,Central Europe and Australia,B,True,0.041183684,0.9373363,0.008109548,0.013370384
Which one of the following North American associations is NOT correct?,Southeast—African Americans,Oklahoma and the Southwest—Native Americans,Quebec and northern Maine—French Americans and French Canadians,Southern prairie provinces—African Americans,D,True,0.0019389052,0.03894395,0.07275688,0.8863602
Which of the following countries is NOT a federal state?,Canada,United States,France,People's Republic of China,C,False,0.005873593,0.0011565789,0.0051834276,0.9877864
Which of the following world regions is NOT considered one of the world's most densely populated regions?,South Asia,Europe,South America,Northeast United States,C,False,0.00029307918,0.0011591506,0.008565029,0.9899828
"Olives, grapes, and chickpeas are staple crops of which type of farming?",Pastoral nomadism,Subsistence,Plantation,Mediterranean,D,False,0.07356784,0.29096645,0.47972256,0.1557431
A person who practices the Hindu religion would be most likely to,visit a shrine built on the shore of a lake.,pray five times a day.,bathe in the Ganges River.,make a pilgrimage to Jerusalem.,C,True,0.09623119,0.2615835,0.38060176,0.2615835
"The language with the largest number of ""speakers"" is",English.,Russian.,Spanish.,Mandarin Chinese.,D,False,0.2505842,0.60112023,0.11836759,0.029928014
Which one of the following statements does NOT correctly describe the Green Revolution?,It changed centuries-old methods of farming.,It was an attempt to feed a growing world population.,"It centered on increased rice, wheat, and maize yields.",It greatly improved crop yields in sub-Saharan Africa.,D,False,0.0009976872,0.07925611,0.75196105,0.1677852
"Historically, the world's major languages have spread by all of the following methods EXCEPT",Sanskrit records.,migration.,trade.,conquest.,A,False,0.064804725,0.42257988,0.25630766,0.25630766
A primate city is,a large city located on the periphery of the country.,the most important city in a country.,when the largest city in a country is more than twice the size of the next largest city.,the largest city in a country.,C,False,0.0051265396,0.013935379,0.0039925533,0.9769455
"Which of the following factors would be considered a ""pull"" factor for Riva when considering a move from India to the United States?",Abject poverty,Better job and higher wages,India's caste system,Violence in her neighborhood,B,True,0.00590848,0.99365354,0.00017842064,0.0002596005
All of the following are reasons major cities attract young people in Latin America EXCEPT,the availability of jobs.,the potential for decent housing.,educational opportunities.,their families live there already.,D,False,0.022317613,0.017380973,0.65221626,0.30808514
"Which language family is most widely spoken in North America and Europe and includes Baltic, Celtic, Germanic, and Greek?",Dravidian,Uralic-Altaic,Sino-Tibetan,Indo-European,D,False,0.022496194,0.013644631,0.512011,0.45184812
Which theorist(s) tried to explain the prices of farm products as they relate to patterns of land use?,Rostow,Ravenstein,Von Thünen,Burgess,C,True,0.0019144404,0.005896892,0.9917047,0.00048404635
Which of the following is NOT a spread effect in the core-periphery model of development?,Congestion in the core,High cost of labor in the core,High density in the core,More infrastructure in the core,D,True,0.0093583325,0.013616294,0.022449475,0.9545759
Which of the following is NOT an important environmental factor influencing a country's agriculture?,Number of frost-free days per year,Availability of sufficient rainfall,Reliability of sufficient rainfall,Amount of fertilizer produced in the country,D,False,0.006628787,0.86819977,0.033663757,0.09150758
Which of the following countries is situated in the region of tectonic activity known as the Pacific Ring of Fire?,Brazil,Australia,Chile,India,C,True,0.00046698356,0.005689025,0.9567468,0.0370971
"Which one of the following statements is NOT true of the ""core"" countries?",They are technologically advanced.,They are wealthy.,They are powerful.,They are less developed.,D,True,0.00012302403,0.00020283235,0.002800014,0.9968741
"If you wanted to find the global distribution of coal, you would use a",reference map.,topographic map.,thematic map.,location map.,C,False,0.75003034,0.047947835,0.14768973,0.054332018
Which one of the following is NOT a centripetal force in a state?,A high level of confidence in central government,The existence of strong separatist groups,The existence of national transportation networks,The national anthem,B,False,0.029669365,0.055429675,0.31897578,0.59592515
The cities of Varanasi (Benares) in India and Mecca in Saudi Arabia are alike because both are,capitals of countries formerly colonized by the English,destinations for vast numbers of pilgrims,financial centers for a large fraction of the world's economy,examples of modern urban planning,B,True,0.0930787,0.8831062,0.016174654,0.0076403655
China and Vietnam's dispute over the Spratley Islands is,a positional dispute.,a territorial dispute.,a resource dispute.,a functional dispute.,C,False,0.09509916,0.90227574,0.002236518,0.00038864854
Which of the following is NOT used by geographers to determine absolute location?,Longitude,Latitude,Equator,Distance to the nearest city,D,True,0.047947835,0.054332018,0.14768973,0.75003034
Which of the following is a characteristic of a developed country?,Over 50% of workforce engaged in agriculture,Women held in inferior place in society,Main disease related to age and lifestyle,High birth and death rates,C,False,0.049930185,0.32558572,0.016209956,0.60827416
"Mary lives in a neighborhood with stores, offices, and restaurants so close that she does not need to own a car; however, she feels she has very little privacy. This is an example of a(n)",win-win.,trade-off.,infill.,leapfrog development.,B,True,0.24581178,0.5896718,0.048403207,0.11611326
Which of the following items below is an absolute location?,10 miles east of Pittsburgh,Washington,3 degrees south,"479 Elm Street, Muncie, Indiana",D,True,0.4233377,0.01860016,0.014485819,0.54357636
Which one of the following groups is excluded from the caste system of Hinduism?,Scholar-priests,Warrior-landowners,Businessmen and farmers,Untouchables,D,True,0.0013119424,0.00017755211,0.009694016,0.9888165
Which of the following is a push factor?,Dissatisfaction with current jobs,Higher-paying jobs elsewhere,An attractive retirement community elsewhere,A pleasant climate,A,False,0.09108785,0.7626692,0.043026853,0.10321605
"The Basques, Bretons, Kashmiris, and Tamils are all examples of",regionalist groups.,separatist groups.,terrorist groups.,interventionist groups.,B,True,0.31348035,0.66363794,0.010726708,0.012154954
Which of the following factors does NOT play a role in gender relationships in a culture or society?,Biology,Advancements in technological development,Religion,Custom,A,False,0.0116544645,0.010285029,0.9258288,0.052231688
The intensive agricultural practice of planting and harvesting the same crop more than once a year is called,swidden.,double cropping.,pastorialism.,intertillage.,B,True,0.0285645,0.9459263,0.017325245,0.008183866
"When a new fashion design is introduced globally, the information initially travels through a process known as",contagious diffusion,relocation diffusion,innovative diffusion,hierarchical diffusion,D,False,0.024473371,0.016820285,0.9183565,0.040349767
Opponents of genetically modified organisms (GMOs) in food are afraid that the GMOs,will hinder global trade.,make plants more resistant to disease.,may cause irreversible changes in humans.,make plants more resistant to drought.,C,True,0.04768232,0.24215078,0.39923915,0.31092778
Which one of the following is NOT an advantage of urban agriculture?,Helping to solve the problem of solid waste disposal,Fresh produce for sale to others,Beautification of a dingy urban area,Renewed or purified water supplies,D,True,0.0005654126,0.0019734842,0.20130084,0.7961603
Which of the following is NOT a problem Europe currently faces today?,Rising immigration,Lack of population growth,Environmental apathy,Urban ethnic ghettos on the rise,C,False,0.009876984,0.030423252,0.17507373,0.784626
The world systems theory divides the world into,"core, periphery, and semi-periphery.",rich and poor.,developed and undeveloped.,haves and have-nots.,A,False,0.21525754,0.6630399,0.10168047,0.020022072
The majority of Kurds are found in which country?,Iran,Iraq,Turkey,Egypt,C,False,0.21426994,0.45360947,0.24279965,0.089321
