0,1,2,3,4,5,llama_7B_ga_alpacafirstturn_20000/ckp10000_correct,llama_7B_ga_alpacafirstturn_20000/ckp10000_choiceA_probs,llama_7B_ga_alpacafirstturn_20000/ckp10000_choiceB_probs,llama_7B_ga_alpacafirstturn_20000/ckp10000_choiceC_probs,llama_7B_ga_alpacafirstturn_20000/ckp10000_choiceD_probs
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,False,0.4323369,0.20422149,0.06630101,0.2971405
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.57293737,0.23883583,0.12783961,0.060387153
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.2355554,0.30245912,0.021910064,0.4400754
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,False,0.3815747,0.3815747,0.09647719,0.14037348
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,True,0.15235183,0.1956236,0.049461395,0.60256314
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,False,0.36694473,0.36694473,0.09277815,0.17333241
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,False,0.14854577,0.45755318,0.03755825,0.35634276
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.38245746,0.33751753,0.07531034,0.20471475
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,False,0.4691808,0.32246295,0.056035656,0.1523207
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,True,0.22400527,0.17445548,0.064178586,0.5373607
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,True,0.07733422,0.30586275,0.11252062,0.5042824
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,False,0.3620522,0.46488422,0.11754114,0.055522505
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,True,0.42204124,0.32868606,0.07333977,0.17593296
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.45751324,0.2774958,0.2448892,0.02010173
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.46031553,0.40622702,0.042816017,0.090641506
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.16125639,0.26586685,0.07617213,0.49670464
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,False,0.8076122,0.15902828,0.008971761,0.024387775
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,True,0.06525982,0.33141673,0.22777916,0.37554434
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,False,0.16008352,0.20555131,0.14127322,0.49309197
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,False,0.37193862,0.22559218,0.030530581,0.37193862
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,True,0.32003143,0.465643,0.13340895,0.08091662
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,True,0.5717723,0.21034327,0.032257184,0.18562728
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,False,0.3888797,0.3028598,0.040987615,0.26727286
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,False,0.4614727,0.3593953,0.116678566,0.06245354
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,True,0.431356,0.4887904,0.021475952,0.05837769
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,False,0.56610173,0.38907567,0.0038143634,0.041008275
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,True,0.36471498,0.32185984,0.09221439,0.22121082
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,False,0.30889943,0.21230327,0.12876844,0.3500289
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,False,0.3478669,0.39418483,0.11293585,0.1450125
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,True,0.5959252,0.3189758,0.055429682,0.029669369
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,False,0.35823798,0.24621314,0.24621314,0.1493358
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,False,0.30889365,0.2725977,0.14591102,0.2725977
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,False,0.4845491,0.33302543,0.10811752,0.074308015
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,False,0.42886487,0.2601197,0.10843402,0.20258142
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,False,0.103212595,0.24759413,0.055245724,0.59394747
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,True,0.23681939,0.50134665,0.052841548,0.20899238
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,True,0.4930065,0.29902357,0.06672117,0.14124873
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,False,0.112900645,0.30689576,0.18614168,0.39406195
What is the term for the extent to which competition in one country is influenced by competition in other countries?,International trade,Global economics,Global competition,Globalisation,D,False,0.3501044,0.30896604,0.10030659,0.240623
As what are key factors that reflect the situation of an organisation referred to?,Administrations,Processes,Activities,Contingencies,D,False,0.35877785,0.46067986,0.0485553,0.13198699
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,False,0.223634,0.32538554,0.082270354,0.36871013
What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D,False,0.41269884,0.46764904,0.03838697,0.08126522
What does the acronym SMART stand for?,"Suitable, measurable, actionable, rewarded and timely","Specific, measurable, actionable, resourced and timely","Standardised, measurable, achievable, rewarded, and timely","Specific, measurable, achievable, rewarded and timely",D,False,0.45489073,0.27590516,0.054328952,0.21487516
Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?,Merton,Weber,Gouldner,Mayo,C,False,0.41667762,0.4721576,0.038757056,0.072407715
What is the optimal span of control?,2,5,7,None of the above,D,False,0.16529618,0.27252734,0.34993201,0.2122445
What one of these is not a recognised type of authority?,Executive,Functional,Line management,Supplier,D,False,0.11803527,0.46683857,0.22051892,0.19460726
Which one of the following is not a characteristic of a team?,Minimal and formal knowledge sharing,Collective output,Individual and collective responsibility,Fluid dimension to roles and tasks,A,False,0.15523589,0.37239152,0.050397716,0.4219749
Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?,Ethical,Economic,Discretionary,Technical,D,True,0.07161933,0.4121408,0.049223196,0.4670167
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,Product development,Market penetration,Diversification,Market development,B,False,0.3498694,0.27247855,0.06889337,0.30875865
What is characteristic for the location of a virtual team?,In the same building,In the same industry,In the same country,remotely,D,True,0.06043731,0.08793576,0.017315578,0.8343113
"According to the Five Factor model, 'extraversion' as a personality type is characterised by what type of people?",Good natured,Calm and self-confident,Sensitive and curious,Assertive and sociable,D,False,0.14236487,0.49690223,0.05934651,0.30138645
What is the overriding philosophy underpinning the strategic direction of an organisation?,Vision statement,Mission statement,Strategy statement,Business statement,B,False,0.6385327,0.3016215,0.028055169,0.03179067
What is the term for the action in which managers at an organisation analyse the current situation of their organisation and then develop plans to accomplish its mission and achieve its goals?,Synergy planning,Strategy formulation,Functional planning,SWOT analysis,B,True,0.4542183,0.5146968,0.015542496,0.015542496
What is Frank Gilbreth`s work most noted for?,Working conditions,Time and motion studies,Work psychology,Work as a social setting,B,True,0.3643911,0.46788743,0.06332168,0.1043998
What is another name for contingency planning?,Synergy planning,Ad hoc planning,Business level planning,Scenario planning,D,False,0.4088841,0.28102168,0.09123438,0.2188599
Which feature does not form one of Fayol's 14 principles of management?,Esprit de corps,Initiative,Order,Individualism,D,True,0.099918604,0.27160692,0.053482577,0.5749919
What one of the following is not a characteristic of the job characteristics model?,Task identity,Autonomy,Reward,Feedback,C,False,0.18046775,0.43291965,0.12403356,0.26257905
Workers' acceptance of change is characteristic of what type of culture?,Team culture,Collaborative culture,Group culture,Collective culture,B,False,0.47369844,0.36891672,0.06410811,0.093276754
What is a virtual organisation?,An organisation that uses information and communications technologies (ICT's) to coordinate activities without physical boundaries between different functions,An organisation that uses internet technologies to sell products to customers,An organisation that manages the supply chain using digital technologies,An organisation that coordinates the workforce via video conferencing,A,True,0.55825335,0.23271461,0.027793797,0.18123832
From what does a chain of command extend?,Bottom to top,Top to bottom,Diagonally,Laterally,B,False,0.5540337,0.33603844,0.05839472,0.051533163
"What do you call a style of leadership that takes account of others' views, opinions and ideas?",Laissez-faire,People-oriented,Democratic,Autocratic,C,False,0.5485807,0.37703365,0.057819977,0.016565703
What is the guiding principle of scientific management?,Experimentation,Fluid working relationships,Freedom of association,One best way to do a job,D,False,0.36871013,0.32538554,0.082270354,0.223634
What is the term Tuckman uses for reaching consensus as a group?,Storming,Performing,Forming,Norming,D,False,0.44655782,0.5060163,0.025193067,0.022232806
What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,Expectancy,Instrumental,Classical,Contingency,A,True,0.603964,0.25176963,0.07213321,0.07213321
What is the term for decisions limited by human capacity to absorb and analyse information?,Cognitive rationality,Conscious rationality,Bounded rationality,Restricted rationality,C,False,0.29863346,0.20524758,0.2635431,0.23257597
What is a definition of an objective?,A defined specified outcome to be achieved in the long-term,A clear set of goals to be attained given a set number of resources,A clearly defined and measurable outcome to be achieved over a specified timeframe,A set standard of performance agreed by workers and managers,C,False,0.6589201,0.12974906,0.022547007,0.18878378
What is not a purpose of an organisational structure?,To coordinate people and resources,To organise lines of communication,To formalise authority,To limit workers' rights,D,False,0.33868745,0.33868745,0.058855053,0.26377004
To what time-frame do strategic plans relate?,Long-term,Medium-term,Short-term,Unspecified time it takes to achieve an aim,A,False,0.22263888,0.4713265,0.15301731,0.15301731
What is the term for organisational development through a formally designed organisational structure?,Organic,Mechanistic,Formal,Structured,B,True,0.2181934,0.46191543,0.16992919,0.14996198
'There is no discernible link between planning and performance'. Who is this position held by?,Michael Porter,Milton Friedman,Gary Hamel,Henry Mintzberg,D,True,0.0850715,0.18009636,0.18009636,0.55473584
What does situational theory of leadership emphasise?,Personality traits,Events,Environment,Political situation,B,True,0.25932658,0.4844858,0.22885488,0.027332818
What is intuitive decision making based on?,Guesswork,Gambling,Instinct,Rationality,C,False,0.17946905,0.17946905,0.26112592,0.37993598
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D,False,0.3076567,0.3076567,0.2715061,0.11318058
Which 18th century writer produced a famous book called 'The Wealth of Nations'?,Frederick Taylor,Henry Mintzberg,Adam Smith,Dr Samuel Johnson,C,False,0.36102694,0.40909714,0.21897392,0.0109020695
Which one of these characteristics is most commonly associated with the 'rational goal' model of management?,Worker welfare,Health and safety,Interpersonal relationships,Productivity,D,False,0.18076567,0.4336343,0.20483434,0.18076567
In what order do managers typically perform the managerial functions?,"organising, planning, controlling, leading","organising, leading, planning, controlling","planning, organising, leading, controlling","planning, organising, controlling, leading",C,False,0.6713923,0.24699144,0.010852046,0.07076423
How does lateral communication in an organisation occur?,Information passes upwards.,Information passes downwards.,Information is a two-way process.,Information passes between different departments and functions.,D,False,0.1886637,0.45258072,0.047701657,0.31105387
Of what is advertising a form?,Focusing strategy,Differentiation,Cost leadership,Growth,B,False,0.3501044,0.240623,0.10030659,0.30896604
What is not a component of an agile organisation?,Market focus and position,Human resources: multi-skilling,Organisational structure,Project-based culture,D,True,0.1279823,0.23910241,0.18621314,0.4467021
Of what is worker autonomy in decision making an example?,Worker freedom,Greater worker negotiation,Worker empowerment,Increased worker power,C,False,0.2988456,0.33863643,0.18125902,0.18125902
Vertical integration forwards is when a firm mergers or acquires another,Towards the source of supply,Towards the consumer,At the same stage of the supply chain,In another industry,B,False,0.40464,0.31513393,0.13136737,0.14885874
What is the term for an autonomous business entity within an overall corporate enterprise which is set apart from other areas of the business?,Subsidiary,Strategic partnership,Strategic alliance,Strategic business unit,D,False,0.38347927,0.33841926,0.09695874,0.18114278
What is not a characteristic of a corporate social responsibility framework?,Retaining the status quo,Understanding society,Harnessing diversity,Building capacity,A,False,0.25180578,0.32332504,0.17306343,0.25180578
What is a whistleblower?,Someone who reports illegal or unethical acts,Someone who commits illegal or unethical acts,Someone who benefits from illegal or unethical acts,Someone who devises illegal or unethical acts,A,True,0.69417906,0.1548923,0.056981687,0.09394692
What is T-group training?,A group whose aim is transformational change,A group brought together to deliver training programmes,Team training for the purposes of advancing technology,Team building activities involving learning,D,False,0.7052949,0.22897573,0.014637928,0.051091395
What is a social enterprise concerned with?,Profit maximisation,Maximising market share,Providing public service,Running a business to create social benefits,D,False,0.18499434,0.50286674,0.12714462,0.18499434
Which of the following is not part of Schein's model of the formation of culture?,Shared values,Pre-conceptions,Shared beliefs,Norms,B,True,0.24445131,0.51750344,0.07003647,0.16800876
What is not one of the layers of cultural influence?,Social,Business,Organisational,Company,D,False,0.45272356,0.31115207,0.089146554,0.14697783
