0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_52000_gpt35_Tptvicuna_correct,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceA_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceB_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceC_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceD_probs
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,Brahminic orthodoxy,Legalistic asceticism,Bhakti devotionals,Unorthodox practices,A,False,0.28498906,0.53242964,0.030037625,0.15254365
 Which early battle led to the conversion of Mecca?,The Battle of Uhud,The Battle of Camel,The Battle of the Trench,The Battle of Badr,C,False,0.84886587,0.06149164,0.010685644,0.07895683
 What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,Remembering the Divine Name,Meditating on the sacred hymns,Remembering that death is inevitable,Meditating on the goodness of the created world,A,True,0.8993124,0.09478682,0.0017360813,0.0041646427
" During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",Confucianism,Buddhism,Christianity,Daoism,A,False,0.13178135,0.7583493,0.05493464,0.05493464
"What is the meaning of the Punjabi word ""Sikh""?",Disciple,Faithful,Devotee,Enlightened,A,False,0.20350264,0.08483252,0.08483252,0.62683225
 Which of the following shuns politics?,The sages of the Zhuangzi,The Songs of the South,The Duke of Zhou,"The Confucian ""sage kings""",A,False,0.28234574,0.17125136,0.08089341,0.46550944
What does the Hebrew word mashiach mean?,Anointed one,God,Prophet,The line of David,A,True,0.96574515,0.020043401,0.01072846,0.003483021
"According to Jaina traditions, what does the term ajiva mean?",Soul,Sound,Non-matter,Non-soul,D,False,0.87479866,0.063370205,0.012478332,0.04935276
" In the Japanese Zen tradition, what is zazen?",A collection of statues,Veneration of ancestors,Seated meditation,Funeral rituals,C,True,0.002406361,0.0039674183,0.9707953,0.022830917
 What is a central component of tantric Buddhism?,Asceticism,Bodily pleasure,Music,Sexual union,D,False,0.040832315,0.820139,0.013256312,0.12577239
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",Loving and forgiving,Wrathful and merciful,Judging and vengeful,Transcendent and immanent,B,False,0.22699814,0.33028033,0.01863314,0.42408833
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia,Babylonia and Europe,Palestine and Spain,Spain and France,A,True,0.9850734,0.014051316,0.0003304553,0.0005448287
" In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism,Hinduism,Judaism,Islam,A,True,0.7876605,0.19915175,0.0019524152,0.011235373
"According to Hindu tradition, which age are we in currently?",Kali yuga,Maha yuga,Krita yuga,Satya yuga,A,True,0.92255425,0.06682961,0.0015716817,0.009044403
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,True,0.9551939,0.037036885,0.002089478,0.0056797904
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,True,0.8441726,0.1466952,0.0026868165,0.0064453376
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,True,0.92644846,0.0671117,0.001578316,0.0048615555
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,False,0.86603194,0.13281031,0.00054276537,0.0006150337
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.9872706,0.012427903,7.389901e-05,0.00022762497
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,False,0.6021773,0.3223223,0.07191983,0.0035806773
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,False,0.052524943,0.1111953,0.7250844,0.1111953
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,True,0.0038905046,0.015387244,0.028747156,0.95197505
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.9578944,0.028925905,0.012058111,0.001121579
When was the current Dalai Lama born?,1935,2000,1965,1975,A,True,0.92842937,0.031769104,0.031769104,0.008032488
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.7738275,0.049469136,0.10472616,0.071977176
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,False,0.069739126,0.74976623,0.07902478,0.10146982
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,True,0.96575904,0.029163396,0.0011307875,0.0039468366
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,True,0.0065660076,0.04281575,0.09064094,0.8599773
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,True,0.84142184,0.08868521,0.047469772,0.022423131
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,False,0.5219727,0.2175906,0.04284613,0.2175906
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,False,0.021938194,0.03191988,0.013306187,0.9328357
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,True,0.21332721,0.7445851,0.009372943,0.032714788
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,False,0.7719455,0.10447146,0.0052013276,0.11838168
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,False,0.84729177,0.06954994,0.02899273,0.05416555
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,True,0.49480504,0.4366639,0.02791499,0.04061607
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,True,0.9495654,0.028674392,0.00821535,0.013544823
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,True,0.066950336,0.9242208,0.005495618,0.0033332608
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.027596455,0.045498863,0.9138691,0.013035642
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,False,0.114991225,0.8496766,0.0023865667,0.032945536
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,False,0.19492508,0.77094364,0.018130857,0.016000424
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,True,0.23864943,0.735092,0.001105166,0.025153464
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.56008244,0.23347709,0.024608305,0.18183215
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.01584971,0.98058677,0.0016705471,0.0018929779
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.017672211,0.02913655,0.8514948,0.10169655
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.20131487,0.7962158,0.001537058,0.0009322728
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.02893083,0.9580575,0.0056968187,0.0073148594
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,True,0.80319375,0.17921676,0.0061324597,0.011456943
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,True,0.45097426,0.39798337,0.03701822,0.11402415
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.94979644,0.04728758,0.00024814246,0.0026677826
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,True,0.11592259,0.7559102,0.025865825,0.10230132
 How many books are in the New Testament?,30,29,27,47,C,False,0.5853619,0.167709,0.079220116,0.167709
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,True,0.06698512,0.052168068,0.7201579,0.16068895
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,True,0.17383946,0.2866128,0.2866128,0.2529349
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.9262538,0.067097604,0.0017880904,0.004860534
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.9208692,0.045847375,0.02780784,0.0054756883
How many Jinas have appeared during our age?,7,42,24,13,C,False,0.35286197,0.12981066,0.27480918,0.24251826
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.38889807,0.56584334,0.02817168,0.017086988
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.07407813,0.018729884,0.90245634,0.004735656
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.004306962,0.024784856,0.93004483,0.04086332
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,True,0.05132465,0.027472105,0.9097512,0.011452077
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.084902,0.9127825,0.0013723129,0.000943176
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.03290177,0.9615307,0.0016380828,0.0039295563
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.009405036,0.013684247,0.9593398,0.017570922
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.9793815,0.017938,0.0010119926,0.0016684937
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.8993537,0.08365293,0.0041648336,0.012828591
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,True,0.94190395,0.046894636,0.005600766,0.005600766
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,True,0.8454952,0.11442533,0.017547693,0.022531684
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,False,0.21727426,0.66925186,0.022900539,0.090573385
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.98374766,0.0159008,9.4549614e-05,0.0002570125
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.115948796,0.85675216,0.009517657,0.017781323
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.026214847,0.048975784,0.24871956,0.6760898
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.0393518,0.89564276,0.050528705,0.0144767165
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.059008,0.040555563,0.81458026,0.085856125
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.07446496,0.10834587,0.80057377,0.016615378
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,True,0.056981646,0.15489216,0.17551583,0.6126104
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.8028971,0.15809982,0.007871326,0.031131698
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.91473275,0.07508583,0.0022673958,0.007913989
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.9798749,0.013977164,0.0021434678,0.004004525
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.97101307,0.022836039,0.0016542372,0.0044966824
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,True,0.48006183,0.48006183,0.012793214,0.027083235
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,False,0.52575886,0.4094614,0.015876543,0.048903193
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,True,0.57933474,0.24150264,0.03268383,0.14647876
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.97887796,0.020315964,0.00032837698,0.00047778568
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.94577414,0.053356927,0.00046162787,0.00040738515
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.10374055,0.76654476,0.038164016,0.091550715
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.6553946,0.1877737,0.010593467,0.14623831
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.9464875,0.047122836,0.0007616697,0.0056280205
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.014873859,0.019098412,0.92021304,0.045814708
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.025101166,0.013435686,0.9419143,0.019548807
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.006353685,0.0092445575,0.9429705,0.041431233
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.19778757,0.6092286,0.15403712,0.03894668
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,True,0.71089244,0.15862155,0.021467092,0.10901889
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.89688927,0.09453143,0.0017314036,0.006847834
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,False,0.7284533,0.267983,0.00019031466,0.0033734078
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.23774208,0.7322972,0.010445658,0.019515058
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.0034225225,0.02231765,0.9489706,0.02528921
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.014704396,0.051323384,0.02424345,0.90972877
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,True,0.062302426,0.062302426,0.11639626,0.75899893
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.9852632,0.014054025,0.00013778082,0.00054493366
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,True,0.017313665,0.3940572,0.015279255,0.57334983
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.9943506,0.005217873,0.00022925733,0.0002023189
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.07885403,0.35339925,0.35339925,0.21434748
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.022656009,0.11505671,0.012126887,0.8501605
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,False,0.50486046,0.04144147,0.44553778,0.008160309
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.34227368,0.5643139,0.017040802,0.07637158
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.033638395,0.15075684,0.5962548,0.21934989
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.13132258,0.13132258,0.58854693,0.14880797
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.025635676,0.96197164,0.005047964,0.007344744
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.9076309,0.08442283,0.0025493484,0.005396971
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.46570608,0.15119262,0.063026465,0.3200748
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.011984482,0.0135801975,0.9520454,0.022389961
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.29503047,0.5511895,0.04524439,0.10853565
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.6119865,0.37118858,0.0041235327,0.0127013745
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.06984103,0.24376912,0.58477175,0.101618096
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.0067516603,0.026703333,0.88429296,0.08225206
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,False,0.64435637,0.34489912,0.0026333372,0.00811125
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.94462574,0.053292137,0.00097607955,0.001106043
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.9433009,0.053217396,0.0014181955,0.0020634623
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,True,0.014812582,0.0585849,0.010180529,0.916422
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.8760076,0.10462419,0.005208932,0.014159344
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,True,0.14107904,0.14107904,0.55797845,0.1598635
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.0043404438,0.03634209,0.9372749,0.022042593
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,True,0.0075281896,0.0040295497,0.0024440454,0.9859983
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.025764288,0.9667978,0.003951082,0.0034868175
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.14996198,0.2181934,0.46191543,0.16992919
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.001577578,0.013208899,0.9260153,0.05919818
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.19361654,0.029692058,0.7657683,0.010923098
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.4716539,0.41623312,0.08196116,0.030151825
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.010436791,0.02503656,0.02503656,0.93949
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,True,0.010717857,0.020023592,0.0044678673,0.9647907
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.7067123,0.15768884,0.08440475,0.051194068
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.03293555,0.06972456,0.04792094,0.849419
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,True,0.0031266315,0.9823584,0.0021489004,0.012366068
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.9516264,0.04181155,0.0038890797,0.0026729228
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,True,0.070450135,0.048419625,0.022871811,0.85825837
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,True,0.008573718,0.026408913,0.28392255,0.6810948
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.12187364,0.07392009,0.25800648,0.54619974
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.6585324,0.27451712,0.0056974213,0.061253056
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.90510106,0.084187515,0.0028807383,0.007830659
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,True,0.008235749,0.007268023,0.9519232,0.03257302
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.006573037,0.97552514,0.0039867484,0.013915119
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.9524101,0.03258968,0.009337099,0.0056632375
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.7623744,0.17010872,0.037956387,0.029560464
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.58814716,0.3567293,0.025841383,0.029282123
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,True,0.96126527,0.037272297,0.00046918902,0.0009932731
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,True,0.4736351,0.4736351,0.00867493,0.04405493
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,False,0.12509228,0.013184629,0.81570417,0.04601888
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,False,0.78111565,0.17429046,0.014306633,0.030287141
