0,1,2,3,4,5,llama2_7B_ds2_alpaca_52000/epoch1_correct,llama2_7B_ds2_alpaca_52000/epoch1_choiceA_probs,llama2_7B_ds2_alpaca_52000/epoch1_choiceB_probs,llama2_7B_ds2_alpaca_52000/epoch1_choiceC_probs,llama2_7B_ds2_alpaca_52000/epoch1_choiceD_probs
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,True,0.072516866,0.22336768,0.41730574,0.28680977
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.041670837,0.94842386,0.0072413054,0.0026639274
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,False,0.18309313,0.14259307,0.4392176,0.23509625
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,True,0.25585195,0.057088293,0.61375695,0.07330281
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,False,0.4606797,0.31662023,0.13198695,0.09071322
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.90680164,0.057969887,0.027383037,0.007845371
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.3117618,0.6599997,0.019930266,0.00830817
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,True,0.44077235,0.05264275,0.49946052,0.007124421
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.06864133,0.8362226,0.07778082,0.017355246
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.065950826,0.016674979,0.910423,0.0069511654
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,True,0.012255917,0.012255917,0.21724135,0.7582468
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.24167733,0.1465847,0.39845854,0.2132795
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,True,0.040101103,0.10900611,0.8054522,0.045440506
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,False,0.6839964,0.15262023,0.08169172,0.08169172
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,True,0.028816266,0.041927416,0.2734011,0.6558552
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,False,0.8228287,0.024847275,0.111357756,0.040966228
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.23819129,0.04690264,0.26990607,0.4449999
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,True,0.47935417,0.19982454,0.22643088,0.09439044
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.3699091,0.10598074,0.3699091,0.15420106
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,True,0.1910741,0.5885497,0.1910741,0.029302161
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,0.0083797695,0.0073951203,0.96856964,0.01565547
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,False,0.5174188,0.19034775,0.19034775,0.1018858
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.33620113,0.33620113,0.123681486,0.2039163
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,True,0.23619486,0.18394874,0.23619486,0.3436615
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.010838052,0.009564547,0.9756104,0.0039870967
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,False,0.5878419,0.13116527,0.090148486,0.19084433
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,0.093455456,0.8866807,0.016240124,0.0036236616
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.041510444,0.11283708,0.83375955,0.011892941
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,True,0.96511,0.012148942,0.0050644325,0.017676607
How many sides does a rhombus have?,4,6,8,10,A,True,0.7849554,0.06443306,0.09374955,0.056861978
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.041384812,0.041384812,0.2698629,0.6473674
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,False,0.48841813,0.48841813,0.018938025,0.0042256447
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,True,0.072873935,0.05008547,0.09357198,0.7834686
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,False,0.6767403,0.0713279,0.17110674,0.080825105
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,False,0.12515068,0.1418143,0.09746745,0.6355676
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,False,0.5190769,0.21638343,0.14871801,0.11582171
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,True,0.33424002,0.20272683,0.20272683,0.2603064
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,False,0.33086544,0.13792524,0.37491965,0.15628976
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,True,0.87337965,0.04927271,0.033864602,0.04348301
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,False,0.4088039,0.28096655,0.1931053,0.11712428
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,False,0.7676778,0.055610396,0.13340239,0.043309417
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,True,0.0039350144,0.015563283,0.017635511,0.96286625
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.2776222,0.66598105,0.042574745,0.013821996
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,True,0.9791099,0.00847096,0.0065971906,0.0058220006
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,False,0.35528365,0.2766952,0.3135367,0.054484513
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,True,0.1613225,0.8192633,0.010313002,0.0091011925
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,True,0.052827887,0.9363967,0.00918011,0.0015952641
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,True,0.26851735,0.076931514,0.64413965,0.0104115475
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,True,0.08189338,0.011083063,0.8804367,0.026586885
In British currency how many pence make a pound?,10,100,500,1000,B,False,0.88657033,0.044139735,0.030336767,0.03895318
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,False,0.6302957,0.20462705,0.14063798,0.024439216
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,False,0.43103397,0.23071587,0.15856855,0.17968169
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,True,0.32456526,0.10537091,0.15331377,0.41675004
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.062332388,0.40645823,0.46057752,0.070631854
How many stars are on the American flag?,13,48,50,51,C,False,0.8588992,0.037737396,0.048455775,0.054907586
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,True,0.04906178,0.13336374,0.21987964,0.5976948
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,True,0.15845901,0.17955758,0.55307627,0.10890718
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,False,0.4287649,0.13919958,0.22950132,0.2025342
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,False,0.29736042,0.1803582,0.14046311,0.38181832
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,True,0.15844457,0.17954122,0.6266604,0.03535376
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,False,0.23968351,0.08817463,0.1647319,0.50741
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,True,0.68799055,0.04983787,0.22335783,0.03881377
In the children's game what color is 'Rover'?,Green,black,red,blue,C,False,0.7322538,0.08745524,0.12724663,0.05304429
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,True,0.21472152,0.18949106,0.5836736,0.012113758
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,False,0.48783854,0.15837798,0.2304386,0.1233449
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,True,0.26737532,0.49952284,0.20823209,0.024869777
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,True,0.09567654,0.70695937,0.12285112,0.074512966
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,True,0.10207518,0.10207518,0.2774691,0.5183805
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.031207507,0.016704176,0.040071234,0.91201705
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,True,0.4008299,0.5146758,0.04224716,0.04224716
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,False,0.5327251,0.09257374,0.22207285,0.1526283
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,0.02306273,0.0488238,0.062691,0.86542255
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.0034277237,0.0044012843,0.041758224,0.95041275
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,False,0.3908305,0.16292238,0.2091965,0.23705068
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.8183765,0.08625624,0.076120876,0.019246371
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,True,0.2295013,0.13919957,0.20253418,0.42876488
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,True,0.09226651,0.026434798,0.87540025,0.0058984007
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,True,0.22102855,0.6808159,0.071757466,0.026398096
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,False,0.49056256,0.18046789,0.26257923,0.066390425
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,True,0.058642212,0.6304632,0.29780972,0.013084846
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,True,0.13010207,0.848372,0.009424562,0.012101376
According to a popular slogan what state should people not 'mess with'?,New York,Texas,Montana,Rhode Island,B,False,0.717314,0.075604334,0.11000367,0.09707789
Each year in pro baseball the player voted as the best fielder at his position wins what?,a brand new car,the Gold Glove,the Silver Bat,the Brass Baseball,B,True,0.04191775,0.9540435,0.0034408183,0.0005979246
"Of the following objectives, which is most appropriate for a technology education program that has a goal of enabling students to develop creative technical solutions to present and future societal problems?","Design and construct a threedimensional model of a low-income, multifamily dwelling unit",Describe several construction careers that are related to home building,Categorize the components of a technical system,Identify the major tools and equipment used in highway construction,A,True,0.71716994,0.03151025,0.20547263,0.04584714
