0,1,2,3,4,5,llama_7B_ds_alpacagpt4_20000/epoch3_correct,llama_7B_ds_alpacagpt4_20000/epoch3_choiceA_probs,llama_7B_ds_alpacagpt4_20000/epoch3_choiceB_probs,llama_7B_ds_alpacagpt4_20000/epoch3_choiceC_probs,llama_7B_ds_alpacagpt4_20000/epoch3_choiceD_probs
"What does the word ""Islam"" mean in Arabic?",Worship,Submission,Obedience,Faith,B,True,0.053349793,0.9456477,0.0008100738,0.0001924094
What does the term anatman mean?,Suffering,Soul,Impermanence,No-self,D,False,0.0015306092,0.8984453,0.0164556,0.08356844
 What genre of Sikh literature is denoted by the term janam-sakhis?,Spiritual narratives,Redemption narratives,Birth narratives,Theological narratives,C,False,0.6147125,0.37284195,0.011258852,0.0011866742
Pure Land Buddhism belongs to which school?,Vajrayana,Theravada,Mahayana,Mahavira,C,False,0.0012210446,0.92030644,0.07554335,0.0029291338
 Which Jaina group only allows women to lead a life of semi-renunciation?,Svetambara,Jina,Agama,Digambara,D,False,0.19319637,0.52516216,0.03357249,0.24806903
What is the most important prayer in Judaism?,The Shema,The Sefirot,Deuteronomy,The Decalogue,A,True,0.9742458,0.022912065,0.0022686014,0.0005735923
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,Brahminic orthodoxy,Legalistic asceticism,Bhakti devotionals,Unorthodox practices,A,False,0.14345716,0.56738406,0.16255826,0.1266005
 Which early battle led to the conversion of Mecca?,The Battle of Uhud,The Battle of Camel,The Battle of the Trench,The Battle of Badr,C,False,0.5600554,0.38492006,0.009052452,0.045972146
 What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,Remembering the Divine Name,Meditating on the sacred hymns,Remembering that death is inevitable,Meditating on the goodness of the created world,A,True,0.7250995,0.2667492,0.005536203,0.0026151172
" During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",Confucianism,Buddhism,Christianity,Daoism,A,False,0.032118503,0.93864024,0.022074703,0.007166607
"What is the meaning of the Punjabi word ""Sikh""?",Disciple,Faithful,Devotee,Enlightened,A,True,0.6493687,0.34758204,0.0024930346,0.0005562712
 Which of the following shuns politics?,The sages of the Zhuangzi,The Songs of the South,The Duke of Zhou,"The Confucian ""sage kings""",A,False,0.028053239,0.63848877,0.2661617,0.06729622
What does the Hebrew word mashiach mean?,Anointed one,God,Prophet,The line of David,A,True,0.9765048,0.02026671,0.0031080008,0.00012051027
"According to Jaina traditions, what does the term ajiva mean?",Soul,Sound,Non-matter,Non-soul,D,False,0.921505,0.051987752,0.0048356145,0.02167172
" In the Japanese Zen tradition, what is zazen?",A collection of statues,Veneration of ancestors,Seated meditation,Funeral rituals,C,True,0.046097312,0.02177483,0.9258893,0.0062385933
 What is a central component of tantric Buddhism?,Asceticism,Bodily pleasure,Music,Sexual union,D,False,0.048525028,0.86012673,0.042823188,0.048525028
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",Loving and forgiving,Wrathful and merciful,Judging and vengeful,Transcendent and immanent,B,True,0.0059386427,0.88137275,0.056344274,0.056344274
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia,Babylonia and Europe,Palestine and Spain,Spain and France,A,True,0.87667286,0.11864477,0.004059801,0.0006225906
" In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism,Hinduism,Judaism,Islam,A,True,0.86255485,0.13227707,0.002422739,0.002745323
"According to Hindu tradition, which age are we in currently?",Kali yuga,Maha yuga,Krita yuga,Satya yuga,A,False,0.04452966,0.8944022,0.0038909586,0.05717722
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,True,0.9896373,0.009702062,0.00048303726,0.00017769949
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,True,0.8701511,0.11776214,0.0085306605,0.0035561088
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,True,0.8912708,0.09393925,0.00038390825,0.014406051
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,False,0.7040306,0.29348361,0.0011267324,0.0013590987
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.93779707,0.041203927,0.011805123,0.009193839
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,False,0.05974733,0.93460554,0.005557368,8.9826484e-05
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,True,0.015126451,0.72883326,0.2366175,0.019422749
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.003127826,0.55994475,0.09730381,0.33962366
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.9110134,0.08473745,0.004218829,3.0259584e-05
When was the current Dalai Lama born?,1935,2000,1965,1975,A,True,0.9063493,0.07439768,0.018810678,0.0004423848
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.061208725,0.6580558,0.11435295,0.16638255
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,False,0.066279545,0.91496086,0.0020014688,0.016758094
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,True,0.9912983,0.008576411,7.420049e-05,5.0997205e-05
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,True,0.0015282792,0.42374945,0.09455128,0.48017102
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,False,0.31589907,0.6687584,0.013879637,0.0014629031
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,False,0.24578618,0.5896104,0.062144477,0.102458924
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,False,0.25985998,0.5501236,0.01141745,0.17859897
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,True,0.1318414,0.8597139,0.006563997,0.0018806165
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,False,0.1813613,0.71729785,0.004265209,0.09707571
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,False,0.2541186,0.6095988,0.10593239,0.030350138
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,False,0.017614137,0.9616993,0.019959431,0.0007270223
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,True,0.9577132,0.042078983,2.477422e-05,0.00018305812
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,True,0.00070721196,0.99582857,0.0031695042,0.00029480978
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,False,0.103298135,0.76327574,0.13263744,0.000788691
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,False,0.059856284,0.9363099,0.0008538041,0.0029800693
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,True,0.85855913,0.1316643,0.00953773,0.00023877241
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,False,0.004838644,0.43556085,0.00032927387,0.5592712
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,True,0.32767567,0.61217874,0.0098949475,0.05025069
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.0075021787,0.9825915,0.009632988,0.00027326684
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.0020818075,0.9516872,0.009330013,0.03690092
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.0035753886,0.87486875,0.0031552694,0.11840061
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.017966283,0.98092586,0.0010135884,9.42784e-05
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,True,0.7358695,0.23890185,0.022221334,0.0030073307
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,False,0.013211445,0.92619383,0.03591243,0.02468223
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.84705323,0.14719579,0.002695985,0.003054951
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,True,0.05611485,0.93439615,0.008084111,0.0014048078
 How many books are in the New Testament?,30,29,27,47,C,False,0.23912673,0.7365622,0.022242252,0.0020688516
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,False,0.02041113,0.52641,0.4099685,0.04321036
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,True,0.011475378,0.6265344,0.06603624,0.2959539
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.89931625,0.09478723,0.0050235395,0.00087296026
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,True,0.032558884,0.9515101,0.013572562,0.0023585577
How many Jinas have appeared during our age?,7,42,24,13,C,False,0.019922445,0.9599172,0.006467871,0.013692482
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.34379342,0.64229065,0.013330317,0.0005856933
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.04584261,0.14120518,0.8125797,0.0003725865
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.028931025,0.45255738,0.5128147,0.0056968564
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,False,0.72459954,0.06739826,0.16168001,0.046322096
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.06731098,0.9291994,0.0033512164,0.00013832121
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.0024686598,0.99592835,0.00080145645,0.00080145645
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.0014434992,0.037228335,0.96013147,0.001196703
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.5947911,0.36075905,0.033555817,0.010893979
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.4331178,0.5561343,0.007000698,0.0037472034
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,True,0.8448724,0.12956539,0.019869495,0.0056927055
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.021947464,0.8235725,0.12629893,0.028181102
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,True,0.72710395,0.2674866,0.0020422854,0.0033671593
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.9699674,0.029290479,0.00023805881,0.0005039705
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.14796859,0.85150045,0.00047095158,5.987478e-05
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,True,0.0083127115,0.84791964,0.029014215,0.11475344
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.012324027,0.9790187,0.008470171,0.00018713046
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.016815143,0.9180757,0.035597656,0.029511496
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,False,0.057112765,0.61402005,0.32866126,0.00020598077
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,False,0.0029015965,0.9116545,0.0400553,0.0453886
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,False,0.0311564,0.9105235,0.051368218,0.0069519323
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.6222254,0.3773988,0.00030370525,7.213632e-05
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.992675,0.0052090804,0.00079883833,0.0013170617
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.6612149,0.3123358,0.01996696,0.0064823222
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.2805515,0.6730081,0.037968516,0.008471922
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,True,0.22000676,0.76789904,0.007528217,0.004566095
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.1786365,0.4285267,0.37817347,0.014663377
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.9621905,0.037308175,0.0004144564,8.6874774e-05
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.96234196,0.037314046,0.00025142008,9.249228e-05
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.1594319,0.80966204,0.022968344,0.007937647
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.77541536,0.22216022,0.002046025,0.00037847654
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.5885339,0.40449303,0.0015529161,0.0054202094
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.010766496,0.4300662,0.55221593,0.0069513726
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,False,0.20579882,0.49368572,0.29943553,0.0010799331
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.0034688083,0.01210733,0.9618044,0.022619471
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.2676823,0.727636,0.004326682,0.00035515567
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,True,0.87444943,0.11834386,0.005891994,0.0013146815
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.51257527,0.4523461,0.017539361,0.017539361
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,False,0.53081083,0.46843892,0.00020177658,0.00054848555
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,False,0.7726074,0.22135572,0.003577882,0.0024590401
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,False,0.0047220527,0.79412717,0.20078678,0.00036412562
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.0019745512,0.6203855,0.0013570879,0.37628284
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.026337054,0.8721634,0.06317931,0.038320187
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.96978015,0.025843766,0.0027239127,0.0016521367
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.0010256579,0.9926064,0.0035798978,0.002788027
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.99817824,0.0011687465,0.000625585,2.7486285e-05
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.01228822,0.97617424,0.00069325394,0.010844316
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.22064458,0.7701252,0.004041246,0.005189063
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,False,0.77216995,0.2212304,0.0058955904,0.00070412783
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.28023812,0.67225635,0.04297591,0.0045296275
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.73905706,0.113338076,0.14552897,0.002075859
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.0038342627,0.8279702,0.12697335,0.041222207
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.00080090115,0.9952383,0.0011653042,0.0027954194
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.8467685,0.1471463,0.0047300104,0.0013551705
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.0019519065,0.15505914,0.42149445,0.42149445
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.124472246,0.2985934,0.5578459,0.019088436
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.032136448,0.93916464,0.009207246,0.01949174
When was the State of Israel established?,1947,1948,1945,1949,B,True,0.13281031,0.86603194,0.00054276537,0.0006150337
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.035141397,0.12265553,0.7998145,0.042388618
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.0015208379,0.3085122,0.6531204,0.03684653
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,False,0.6490504,0.34741166,0.003405904,0.00013206124
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.8729146,0.118136145,0.007552191,0.0013970148
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.9570976,0.042051934,0.00032107046,0.0005293557
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,False,0.0041059256,0.7824509,0.11999274,0.093450435
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.058820512,0.92010766,0.0061996365,0.014872155
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,False,0.6476391,0.34665623,0.004099371,0.0016053369
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,False,0.0077080694,0.89093167,0.08286956,0.018490696
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,False,0.79091,0.15573941,0.018600421,0.03475016
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.007416065,0.9713128,0.013855033,0.007416065
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,True,0.111076176,0.8207481,0.021872196,0.04630344
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.0014208726,0.16423054,0.8340315,0.00031703955
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.101561666,0.14777134,0.7504448,0.00022216522
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.046828445,0.9405745,0.011840086,0.00075691135
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,False,0.013321606,0.5664491,0.07666055,0.34356874
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,False,0.001480199,0.56097513,0.00065683434,0.4368879
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.7976073,0.20166671,0.00044114413,0.00028482405
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.6907194,0.2879347,0.012650968,0.008694874
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,True,0.0004867235,0.9971896,0.00062496535,0.0016988319
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.8465903,0.14711533,0.004442498,0.0018519087
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,False,0.05873068,0.4339643,0.12433286,0.38297215
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,False,0.016044576,0.773071,0.11855428,0.092330165
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.4713049,0.3670526,0.1530103,0.00863225
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.650941,0.34842363,0.00031772122,0.00031772122
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.8298443,0.16340603,0.004934435,0.001815277
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,True,0.015536426,0.31205747,0.58300006,0.08940596
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.000295731,0.9989403,0.0007094218,5.4704735e-05
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.98670655,0.012420802,0.0007940353,7.862015e-05
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.7179167,0.2056866,0.06677666,0.009620089
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.06436746,0.88856536,0.044239063,0.0028281088
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,True,0.4992766,0.4992766,0.0010921631,0.00035457345
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,False,0.012390057,0.9842641,0.003132697,0.00021318269
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,True,0.5511594,0.0658266,0.37880594,0.004208154
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,False,0.5068234,0.4472701,0.013506386,0.032400135
 The theological term homoousios means which of the following?,of a similar substance,of the same substance,of like substance,of human substance,B,True,0.26695845,0.72566825,0.007114201,0.00025913477
"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?",Es,Izanagi,Izanami,Kami,B,True,0.37313414,0.6151942,0.009943688,0.0017279539
