0,1,2,3,4,5,llama2_7B_alpacacode_alpaca_combine_26k_52000_correct,llama2_7B_alpacacode_alpaca_combine_26k_52000_choiceA_probs,llama2_7B_alpacacode_alpaca_combine_26k_52000_choiceB_probs,llama2_7B_alpacacode_alpaca_combine_26k_52000_choiceC_probs,llama2_7B_alpacacode_alpaca_combine_26k_52000_choiceD_probs
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,True,0.99939287,0.00055274856,8.934348e-06,4.5372366e-05
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.24109913,0.010593156,0.0056701084,0.74263763
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,True,0.9505783,0.047326505,0.0011130127,0.0009822303
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.9999149,6.605088e-05,9.515532e-06,9.515532e-06
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,True,0.7676368,0.21993163,0.0027685305,0.009663121
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.9931564,0.005905524,0.00013888461,0.0007992257
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.0140472865,0.98479086,0.0005446724,0.00061719475
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.036753908,0.013521006,0.83651507,0.11321
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.035919398,0.035919398,0.8175217,0.11063953
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,True,0.021268377,0.06551121,0.008865979,0.9043544
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.9928524,0.006689787,0.00022891191,0.00022891191
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.9980286,0.0019266484,4.775684e-06,3.9986313e-05
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.9971495,0.0008024392,0.00012305802,0.0019249514
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.5357296,0.22332531,0.13545366,0.105491415
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.22534452,0.5405734,0.008737556,0.22534452
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,False,0.56117976,0.3003779,0.027939495,0.11050285
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.28902394,0.08280674,0.016305614,0.6118637
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.99970835,0.00026118237,1.8919987e-05,1.1475552e-05
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.9996302,0.00033533858,1.3002487e-05,2.1437478e-05
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.47511786,0.25431228,0.016257638,0.25431228
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.99917823,0.0008040717,6.1391634e-06,1.1469467e-05
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.9997403,0.00017951359,5.42084e-06,7.483239e-05
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.004243306,0.004243306,0.916299,0.0752144
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.024918234,0.024918234,0.93504983,0.015113673
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.003122974,0.0016716075,0.9812092,0.013996197
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.041981015,0.9554835,0.0012677168,0.0012677168
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,True,0.99954045,0.0002611385,4.0046885e-05,0.0001583885
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.92249167,0.021694925,0.0037700126,0.05204342
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.047376197,0.95157635,0.00028170916,0.0007657649
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.004068854,0.9956157,0.00015776658,0.00015776658
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.029545221,0.015814418,0.7619813,0.19265905
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.015487381,0.01988619,0.006456101,0.95817035
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,True,0.17718896,0.10747054,0.014544556,0.70079595
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.99994874,2.7535038e-05,8.939318e-06,1.47384435e-05
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.0013127489,0.98942435,0.00070266385,0.008560198
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.9997726,0.00017951938,3.1195792e-05,1.6697903e-05
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.0140574835,0.6773275,0.026262837,0.28235212
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.01050761,0.041558404,0.0020690712,0.9458649
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,True,0.0072178864,0.022232655,0.94535655,0.025192898
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.26313013,0.49159175,0.040352307,0.20492592
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.046918478,0.053165596,0.8316499,0.06826598
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.11162538,0.8248062,0.0038196105,0.059748765
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.005902474,0.9926434,0.00054901553,0.00090517366
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.92249167,0.05204342,0.0037700126,0.021694925
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,True,0.0003795369,0.0005522229,0.0006257506,0.9984425
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.006429067,0.028813079,0.9541581,0.010599739
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,True,0.0065917866,0.013954813,0.0011454808,0.9783079
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.7768763,0.22257878,5.815061e-05,0.00048688913
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,False,0.23012061,0.33482352,0.29548073,0.1395752
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.013478619,0.00926371,0.9449242,0.032333527
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,True,0.067476556,0.93148506,0.0005837866,0.00045465343
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.99973303,0.0002611888,1.9942013e-06,3.7256582e-06
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.9996822,0.00029595062,1.3003164e-05,8.936935e-06
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,True,0.00020317601,0.0008035767,0.00043012362,0.9985631
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.963918,0.02266918,0.0012789075,0.012133936
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,True,0.049581632,0.043755636,0.6844533,0.22220945
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.011997625,0.017456442,0.9530894,0.017456442
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,True,0.0014988921,0.0013227676,0.00020285299,0.99697554
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,False,0.16002825,0.1099857,0.097062044,0.632924
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.2630142,0.2630142,0.040334534,0.43363708
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.012963666,0.018862022,0.70779216,0.2603822
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.036221497,0.0014044599,0.93416476,0.028209332
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.025944926,0.9735762,0.0002543551,0.00022446759
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.0058985567,0.0019149809,0.00020183751,0.99198467
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,True,0.00023044228,0.00013977032,0.00013977032,0.99949
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.7613877,0.13230935,0.026053254,0.080249675
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.24104284,0.18772437,0.060945176,0.5102877
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,True,0.033006266,0.9645845,0.0011294123,0.0012797918
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.9990194,0.0009109878,2.4277e-05,4.535541e-05
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,True,0.000623853,0.0027959151,0.0011655107,0.99541473
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,True,0.0014736954,0.006604644,0.3182296,0.67369205
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.8228818,0.040968873,0.07653993,0.05960936
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.8754137,0.09226792,0.018168632,0.014149745
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,True,0.21760373,0.4606671,0.005117549,0.31661156
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,False,0.16517207,0.2723227,0.113520995,0.44898424
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.004069736,0.99583155,2.4199533e-05,7.4539814e-05
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.99885046,0.0010321098,9.600117e-05,2.1420756e-05
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.9159438,0.07518525,0.00094644254,0.007924466
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.72277975,0.23465222,0.001791592,0.040776443
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,False,0.16431534,0.83446217,0.000760931,0.00046152796
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,True,0.9840867,0.0109322155,0.000423888,0.0045572254
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,False,0.22689392,0.034795307,0.03942825,0.69888246
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,False,0.5221146,0.09072991,0.21764973,0.16950579
