0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceD_probs
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.059153352,0.08606761,0.8165868,0.038192276
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,False,0.4957267,0.34070766,0.03822634,0.12533934
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,False,0.019069793,0.9780938,0.002580816,0.0002555354
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,True,0.28457177,0.6826522,0.02817642,0.004599674
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.6556463,0.24119881,0.08335608,0.019798804
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.027222933,0.95964146,0.012080103,0.0010555476
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,True,0.39677578,0.30900928,0.16540074,0.12881424
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.015846357,0.98037934,0.0031203327,0.00065405725
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.027066052,0.9541112,0.017475156,0.0013475394
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,True,0.95956695,0.02897641,0.01001398,0.0014426506
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,True,0.7764147,0.07687546,0.13492064,0.011789234
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.9887919,0.007549519,0.0029564342,0.00070221466
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,True,0.019929294,0.96024716,0.01758754,0.0022360047
 How many books are in the New Testament?,30,29,27,47,C,False,0.6112831,0.15455657,0.2248785,0.009281844
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,True,0.113187715,0.08815068,0.73807657,0.060585015
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,True,0.059694074,0.93377244,0.0059105135,0.0006229636
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.9508852,0.03463599,0.011969878,0.0025090228
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.80402315,0.13125317,0.061999608,0.0027240727
How many Jinas have appeared during our age?,7,42,24,13,C,False,0.52462023,0.13264477,0.31819826,0.024536816
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.3100561,0.65638876,0.030699713,0.002855518
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.00937483,0.019846514,0.95625865,0.01452002
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.0035517209,0.008520135,0.9847937,0.0031343827
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,True,0.28165418,0.033638794,0.6756533,0.009053758
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.0051882574,0.9887068,0.0055228714,0.00058210635
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.029132733,0.9647436,0.00506251,0.0010611597
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.0015823276,0.008553983,0.988706,0.0011576556
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.9176141,0.05510701,0.020272737,0.00700607
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.6501983,0.30713192,0.03668168,0.005988119
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,True,0.9784711,0.01395714,0.004823459,0.0027483238
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,True,0.55962086,0.05205285,0.048899125,0.3394272
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,True,0.8833595,0.07718709,0.0364606,0.0029928684
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.9958254,0.0018059233,0.0021783593,0.00019034291
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,True,0.52906114,0.19463073,0.055762634,0.22054549
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.95498973,0.034785498,0.00826228,0.0019624634
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.13353518,0.7684419,0.0917773,0.006245523
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.12464721,0.08566869,0.7635567,0.026127474
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.018056719,0.10390925,0.87002146,0.008012621
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,False,0.3103132,0.21327494,0.16609868,0.3103132
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.71886104,0.20595714,0.052074123,0.023107752
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.97875494,0.017926522,0.002426091,0.000892509
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.8592557,0.022898387,0.11628761,0.0015582549
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.8356356,0.08807534,0.068593144,0.0076959375
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,True,0.70111984,0.17727086,0.07389749,0.047711805
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,True,0.3687371,0.4734678,0.1356508,0.022144385
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,True,0.7171962,0.12463002,0.12463002,0.033543717
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.97389245,0.017837463,0.0074357605,0.0008342692
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.9051833,0.08419517,0.007356891,0.0032646009
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,True,0.074115194,0.10783697,0.7968134,0.021234358
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.9720641,0.020174546,0.0065497165,0.0012115756
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.9738153,0.020210892,0.0045096595,0.001464072
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.04601418,0.023137381,0.9242195,0.006628971
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.005837874,0.010906584,0.9817794,0.0014760456
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.0014028356,0.0031613389,0.99326307,0.0021727541
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.034633655,0.9508211,0.013562734,0.0009824812
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,True,0.99232835,0.005207261,0.0021707094,0.00029377357
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.9581095,0.025532752,0.01133009,0.0050276974
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.0075338623,0.98674124,0.0045695184,0.0011553551
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.010299014,0.98687965,0.0024462303,0.00037514154
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.00794023,0.010853008,0.97695667,0.004250099
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,True,0.2206912,0.19475931,0.36385828,0.2206912
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,True,0.160816,0.15107265,0.160816,0.52729535
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.9924837,0.004892535,0.0023110698,0.0003127693
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,True,0.016854882,0.3180283,0.07096171,0.5941551
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.9576344,0.028918054,0.009993812,0.003453769
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,True,0.032146946,0.05300135,0.64568865,0.26916307
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.059979457,0.5345911,0.11928339,0.286146
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,True,0.04417021,0.00677372,0.9444006,0.004655505
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.36795637,0.32472035,0.2865647,0.020758677
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.1693301,0.1494333,0.66971356,0.011523058
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.16395754,0.16395754,0.6484646,0.023620322
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.008965928,0.9735329,0.015735693,0.001765496
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.48986214,0.48986214,0.01676216,0.0035135397
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.19564447,0.41417935,0.06761292,0.3225632
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.0060116667,0.04172924,0.9497531,0.0025060356
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.3543371,0.5842031,0.037346855,0.024112942
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.93646145,0.059865974,0.0033774073,0.00029511456
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.039262693,0.16530211,0.7886123,0.0068228333
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.0029528711,0.0075404206,0.9876002,0.001906517
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,False,0.52701724,0.46509108,0.007517497,0.00037427415
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.9853602,0.011652343,0.0024424638,0.0005449873
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.9918452,0.0040534446,0.0038078588,0.00029363052
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,True,0.0024050907,0.004493301,0.022818865,0.9702828
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.54966754,0.21525289,0.18996003,0.04511946
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,True,0.12608446,0.09819467,0.7723609,0.003360037
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.011941269,0.0367817,0.9486125,0.0026644573
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,True,0.0010145854,0.0012238235,0.015870785,0.98189074
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.13705659,0.7887062,0.0504203,0.023816863
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.81102943,0.11683987,0.062539876,0.009590801
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.0030378338,0.015427392,0.95445895,0.027075917
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.31636462,0.08514838,0.59104687,0.0074401824
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.030576136,0.8935657,0.07334834,0.0025098422
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.0023004452,0.0012313396,0.0085471915,0.987921
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,True,0.032014113,0.010393461,0.022002958,0.93558955
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.5526294,0.066002175,0.3798163,0.0015522223
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.39047244,0.4709997,0.11908737,0.019440478
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,True,0.04585411,0.9210045,0.029605642,0.0035358893
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.9709112,0.022833643,0.0054234657,0.00083171536
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,True,0.03420398,0.0497665,0.087342925,0.8286866
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,False,0.008336311,0.022660444,0.48450163,0.48450163
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.94991237,0.026946941,0.019714803,0.003425919
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.727709,0.20849213,0.05973399,0.004064949
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,True,0.39231256,0.5037393,0.07725093,0.026697205
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,True,0.13985822,0.15848011,0.626801,0.07486071
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.003157901,0.992183,0.0038091557,0.00084993755
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.9685184,0.02277737,0.008379326,0.00032490172
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.95150423,0.028732939,0.014447828,0.0053150593
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.8350446,0.12805824,0.01844854,0.01844854
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,False,0.24314675,0.7489447,0.0073423954,0.00056618475
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,True,0.808964,0.15929446,0.02155816,0.010183354
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,True,0.4189648,0.072805166,0.25411502,0.25411502
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,False,0.7083695,0.17910385,0.09586739,0.016659254
