0,1,2,3,4,5,llama2_7B_alpacacode_sharegpt_qy_vic_2000_gpt4op_correct,llama2_7B_alpacacode_sharegpt_qy_vic_2000_gpt4op_choiceA_probs,llama2_7B_alpacacode_sharegpt_qy_vic_2000_gpt4op_choiceB_probs,llama2_7B_alpacacode_sharegpt_qy_vic_2000_gpt4op_choiceC_probs,llama2_7B_alpacacode_sharegpt_qy_vic_2000_gpt4op_choiceD_probs
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,True,0.69394845,0.22529207,0.030489968,0.05026946
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,True,0.038628563,0.13482694,0.6042524,0.22229204
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,True,0.00945866,0.037409727,0.85144144,0.10169018
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,True,0.03671823,0.9469757,0.011920665,0.0043853675
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,True,0.030559288,0.13695723,0.13695723,0.6955262
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,False,0.99674785,0.002470691,0.0004865079,0.00029508193
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,False,0.050972402,0.9035075,0.030916326,0.014603838
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,True,0.05664254,0.8860384,0.038929813,0.018389141
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,True,0.46793687,0.321608,0.11831297,0.09214223
A capacitor can store,charge,energy,Both of these,Neither of these,C,False,0.9643752,0.02569973,0.009454401,0.00047070696
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,False,0.48902234,0.10911564,0.14010724,0.2617548
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,True,0.987643,0.0024481222,0.0040362715,0.0058727404
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,False,0.23012061,0.33482352,0.1395752,0.29548073
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.019723237,0.95031875,0.02869714,0.0012608643
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,False,0.0041145794,0.07293267,0.88850176,0.034450952
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,False,0.48019198,0.29125115,0.10714532,0.12141155
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,False,0.038157023,0.67634946,0.2819444,0.0035491562
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,True,0.6435779,0.26828316,0.028276838,0.05986207
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,False,0.26858038,0.73007715,0.0010976265,0.0002449136
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,True,0.3568336,0.40434545,0.16855626,0.070264705
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,True,0.09267278,0.77593964,0.081783436,0.04960416
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,True,0.109994665,0.7172553,0.14123595,0.031514
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,True,0.99383885,0.0027914888,0.0009062637,0.0024634802
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,False,0.67525876,0.24841382,0.071171746,0.0051556644
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,True,0.07263927,0.7809457,0.06410393,0.08231107
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,True,0.49078408,0.33731064,0.07526418,0.096641116
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,False,0.07011687,0.85419834,0.06187792,0.01380683
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,True,0.3632936,0.24968779,0.28293332,0.104085356
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,True,0.76537174,0.19351628,0.023112224,0.017999819
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.0138404295,0.97028905,0.0107789375,0.00509161
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,True,0.040932458,0.9316184,0.021909565,0.005539606
"If two protons and two neutrons are removed from the nucleus of neon-20, a nucleus of which element remains?",Magnesium-22,Magnesium-20,Oxygen-18,Oxygen-16,D,False,0.17070039,0.6751331,0.09136933,0.06279717
"If a star that is 20 light-years from Earth explodes, gravitational waves from the explosion would reach Earth in",less than 20 years.,20 years.,more than 20 years.,None of these.,B,False,0.46820328,0.41318795,0.09219469,0.026414221
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",hydrogen,oxygen,nitrogen,All have same average speed,A,True,0.5057618,0.34760466,0.099590406,0.04704318
The mutual induction of electric and magnetic fields can produce,light,energy,Both of these,Neither of these,A,False,0.013215796,0.9264989,0.05226949,0.008015786
"When a model car speeds up to three times its original speed, its kinetic energy is",the same,twice as great,three times greater,None of these,D,False,0.057797458,0.6213812,0.2935197,0.027301585
"If an iron nucleus split in two, its fission fragments would have",less mass per nucleon,more mass per nucleon,the same mass per nucleon,either more or less mass per nucleon,B,True,0.4064583,0.46057758,0.062332395,0.07063186
The surface of Planet Earth loses energy to outer space due mostly to,conduction.,convection.,radiation.,radioactivity.,C,True,0.00033292957,0.001316762,0.99244905,0.005901318
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,True,0.85886407,0.07049985,0.015730644,0.05490534
A principal source of the Earth’s internal energy is,tidal friction.,gravitational pressure.,radioactivity.,solar radiation.,C,False,0.10284719,0.8611289,0.020251812,0.015772127
A diffraction grating relies on light,interference,amplitudes,variations in brightness,being composed of photons,A,True,0.8924533,0.08301109,0.018522277,0.006013303
A satellite in Earth orbit is above Earth’s,atmosphere,gravitational field,Both,Neither,A,False,0.35780695,0.5899239,0.04273395,0.009535232
The time it takes for a pendulum swinging to and fro refers to its,frequency,period,wavelength,amplitude,B,True,0.041919783,0.9540899,0.0023649526,0.0016254064
"As entropy in a system increases, energy in the system",becomes more ordered,becomes less ordered,reaches equilibrium,moves toward destruction,B,True,0.14685279,0.8450794,0.0023736542,0.0056941
"When water changes to steam, energy is",absorbed by the water,released by the water,conserved as the phase change occurs,changed to a different form,A,False,0.08695895,0.8250436,0.02823144,0.05976596
"According to Coulomb, a pair of charged particles placed twice as close to each other experience a force",twice as strong,four times as strong,half as strong,one-fourth as strong,B,False,0.7421856,0.21263973,0.025396194,0.019778576
"The factors, both of which will increase the magnetic field strength of an electromagnet, are",increased electrical current and fewer coils of wire,increased diameter of coil and an increase in the number of coils,an increase in the electrical current and using a strong ferromagnetic material like iron,using an air core instead of iron and increasing the diameter of the coil,C,False,0.40202868,0.21519046,0.16759048,0.21519046
The team that wins in a tug-of-war is the team that,produces more tension in the rope than the opponent,pushes hardest on the ground,Both,Neither,B,False,0.83751917,0.060669687,0.08827387,0.0135372365
Which type of radiation from cosmic sources predominates on the inside of high-flying commercial airplanes?,Alpha,Beta,Gamma,None of these,C,True,0.018629633,0.09460909,0.79215217,0.09460909
Thermal convection involves mainly,radiant energy,fluids,insulators,All of these,B,True,0.00017943837,0.99932146,0.00029584384,0.00020333032
A 10-Ω resistor carries 10 A. The voltage across the resistor is,0,more than 0 but less than 10 V,10 V,more than 10 V,D,False,0.032939613,0.1476251,0.7497021,0.06973316
A cannonball is fired horizontally at 10 m/s from a cliff. Its speed one second after being fired is about,10 m/s,14 m/s,16 m/s,20 m/s,B,True,0.10769107,0.6197193,0.17755257,0.09503704
The average speed of a gazelle traveling a distance of 2 km in a time of one-half hour is,1 km/h,2 km/h,4 km/h,greater than 4 km/h,C,False,0.13923945,0.70711625,0.108439796,0.045204427
The metal detectors people walk through at airports operate via,Ohm’s law,Faraday’s law,Coulomb’s law,Newton’s laws,B,True,0.20408566,0.48957607,0.23125936,0.07507893
Sound travels in,solids,liquids,gases,All of these,D,False,0.045916796,0.38445663,0.55938107,0.010245422
When a fusion reaction converts a pair of hydrogen isotopes to an alpha particle and a neutron most of the energy released is in the form of,gamma radiation.,kinetic energy of the alpha particle.,kinetic energy of the neutron.,All of these about equally.,C,False,0.21508838,0.51597023,0.18981485,0.079126604
Polarization is a property of,transverse waves.,longitudinal waves.,all waves.,None of these.,A,True,0.92300785,0.059005916,0.01690548,0.001080731
The phenomenon of beats results from sound,reflection.,refraction.,interference.,All of these.,B,False,0.015979843,0.055775132,0.8724699,0.055775132
"The lowest possible temperature is absolute zero, at",0 kelvin,−273°C,Both are the same,None of these,C,False,0.9864016,0.00967034,0.0024450452,0.0014829948
Refraction occurs when a wave crosses a boundary and changes,speed and direction,intensity,frequency,amplitude,A,True,0.9940043,0.0040622684,0.0010271022,0.0009064146
"When you tap a piece of wood, it will produce a characteristic sound related to its",wavelength,amplitude,period,natural frequency,D,True,0.15348093,0.016176771,0.22331344,0.60702884
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",increases,decreases,isn’t affected,reduces to zero,B,False,0.89663774,0.09450492,0.0041522565,0.004705123
"When white light passes through a prism, the light that bends more than green is",red,yellow,blue,None of these,C,False,0.2868953,0.53599095,0.15356398,0.023549799
"If you travel at high speed, then compared with your friends who “stay at home,” you are",older.,younger.,neither younger nor older.,longer.,B,True,0.16503754,0.6527361,0.06879788,0.11342853
The component of velocity that can remain constant for a tossed baseball is,horizontal,vertical,Either of these,None of these,A,False,0.19593975,0.6035369,0.118843466,0.081679836
The crystals that make up minerals are composed of,atoms with a definite geometrical arrangement.,molecules that perpetually move.,X-ray patterns.,3-dimensional chessboards.,A,True,0.9967225,0.0021803216,0.00029507442,0.0008020955
"Two vectors, one 3 N and the other 4 N, can have a resultant of",0 N,5 N,8 N,Any of these,B,True,0.13847782,0.5476904,0.15691593,0.15691593
Radioactivity has been around on Earth since the,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,True,0.14123595,0.031514,0.109994665,0.7172553
"When the shadow of the Moon falls on Earth, we have a",lunar eclipse.,solar eclipse.,solar eclipse if it’s daytime and lunar eclipse if it’s nighttime.,very dangerous event.,B,False,0.97652644,0.020267159,0.0024205672,0.00078584306
"In both fission and fusion, energy is released while mass",decreases,remains unchanged; is conserved,increases,may decrease or increase,A,True,0.85716414,0.13145038,0.0039694575,0.007415923
"When relatively slow-moving molecules condense from the air, the temperature of the remaining air tends to",remain unchanged,decrease,increase,spread out uniformly,C,False,0.13696809,0.6955814,0.0941367,0.073313735
"If the volume of an object were to double, with no change in mass, its density would",halve.,double.,be the same.,None of these.,A,True,0.62070227,0.1569381,0.1569381,0.06542154
The pressure at the bottom of a pond does NOT depend on the,acceleration due to gravity.,water density.,depth of the pond.,surface area of the pond.,D,False,0.15624341,0.29190114,0.3748085,0.17704698
The blueness of the daytime sky is due mostly to light,absorption,transmission,reflection,scattering,D,False,0.16198862,0.16198862,0.44033068,0.23569204
A galvanometer can be calibrated to read electric,current,voltage,Either of these,Neither of these,C,False,0.86036104,0.10275547,0.029439935,0.0074435817
Which of these temperatures is likely when a container of water at 20°C is mixed with water at 28°C?,19°C,22°C,30°C,Higher than 30°C,B,True,0.10111137,0.7471176,0.114574194,0.037196793
To view your full-face image in a steamy mirror compared with the height of your face the minimum height of the patch to wipe away is,one-quarter.,one-half.,the same.,dependent on your distance from the mirror.,B,False,0.66400135,0.115386136,0.13074961,0.08986281
The vibrations in a transverse wave move in a direction,along the wave,perpendicular to the wave,Both of these,Neither of these,B,True,0.43642285,0.4945319,0.05212328,0.01692195
A 1134-Hz tuning fork is sounded at the same time a piano note is struck. You hear three beats per second. The frequency of the piano string is,1131 Hz,1134 Hz,1137 Hz,More information is needed,D,False,0.117695086,0.76746833,0.09166102,0.023175536
Huygens’ principle for light is primarily described by,waves,rays,particles,photons,A,True,0.917823,0.0753395,0.0054575754,0.0013798911
"When the temperature of a strip of iron is increased, the length of the strip",also increases.,actually decreases.,may increase and may decrease.,decreases in width as it gets longer.,A,True,0.60904336,0.32599744,0.044118956,0.020840317
"When light undergoes interference, it can sometimes",build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B,False,0.7744536,0.03855777,0.17280395,0.014184613
When the color yellow is seen on your TV screen the phosphors being activated on the screen are,mainly yellow.,blue and red.,green and yellow.,red and green.,D,False,0.7850301,0.10624228,0.0644392,0.044288367
Which of these does NOT belong in the family of electromagnetic waves?,Light,Sound,Radio waves,X-rays,B,False,0.015682815,0.19105579,0.037621114,0.7556403
A math book and a physics book sitting on a table are tied together with a length of string. With the string taut one book is pushed off the edge of the table. As it falls the other book is dragged horizontally across the table surface. With no friction acceleration of the books is,zero,g/2,g,a value between zero and g,D,True,0.15705977,0.15705977,0.2589478,0.42693272
A motor and a generator are,similar devices,very different devices,forms of transformers,energy sources,A,True,0.45469776,0.45469776,0.061536647,0.029067853
As more lamps are connected in parallel in a circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,A,False,0.34323534,0.3889366,0.20818277,0.059645362
Newton’s law of cooling applies to objects that,cool,warm up,Both,Neither,C,False,0.38887975,0.2672729,0.30285984,0.040987622
The fact that the Moon always shows its same face to Earth is evidence that the Moon rotates about its axis about once per,day,month,year,None of these for the moon does not rotate about an axis,B,False,0.8914514,0.01440897,0.0829179,0.011221717
Consider a ball rolling in a horizontal circular path on the inside surface of a cone. The normal force on the ball,is mg,is greater than mg always,may be greater or less than mg,is less than mg always,B,False,0.07209418,0.3231037,0.5327079,0.07209418
The compressions and rarefactions in sound normally travel,in the same direction,in opposite directions,at right angles to each other,None of these,A,True,0.780251,0.1355873,0.04987978,0.03428184
The power required to raise a 100-kg crate a vertical distance of 2 m in a time of 4 s is,200 W,500 W,800 W,2000 W,B,False,0.6875889,0.17384969,0.05644073,0.08212078
The phenomenon of beats is the result of sound,destruction,interference,resonance,amplification,B,True,0.0009086235,0.99642664,0.0014980668,0.0011666956
Interference is characteristic of,sound waves,light waves,water waves,All of these,D,False,0.20140763,0.79658264,0.0017425175,0.00026722372
"In either a fission event or a fusion event, a quantity that remains unchanged is the",kinetic energy,mass,number of nucleons,binding of nucleons,C,False,0.28905383,0.611927,0.034522556,0.06449663
The magnetic force on a moving charged particle can change the particle's,speed,direction,Both of these,Neither of these,B,True,0.23006713,0.6253873,0.123146065,0.021399576
"If you were to travel at a speed close to the speed of light, you could notice that your own",mass changes.,pulse decreases.,Both of these.,Neither of these.,D,False,0.83602536,0.08811642,0.06862514,0.0072330367
Electricity and magnetism connect to form,mass,energy,ultrahigh-frequency sound,light,D,False,0.010763371,0.96888787,0.013820442,0.006528315
Sound travels in air by a series of,compressions,rarefactions,Both of these,Neither of these,C,False,0.31801635,0.67324066,0.006600219,0.0021427774
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",amounts of force,accelerations,Both,Neither,A,True,0.83387697,0.077562645,0.04704412,0.04151629
