0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_correct,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_choiceA_probs,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_choiceB_probs,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_choiceC_probs,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_choiceD_probs
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,False,0.03893479,0.28769132,0.13589576,0.53747815
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,False,0.018835612,0.17870732,0.17870732,0.6237498
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.011606297,0.16022,0.11011749,0.7180562
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.014689321,0.2027798,0.15792507,0.6246058
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,False,0.10322741,0.17019323,0.13254662,0.5940327
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,True,0.008122533,0.34537888,0.14397535,0.5025233
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,False,0.039873365,0.15770222,0.17870004,0.6237244
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.05384944,0.08878271,0.11399926,0.74336857
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.023549799,0.2868953,0.15356398,0.53599095
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,True,0.03258754,0.21249746,0.100376695,0.6545383
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.014303138,0.15377322,0.22373872,0.6081849
What kind of animal is a peregrine?,moose,cat,bird,fish,C,False,0.009131758,0.14284474,0.20783785,0.64018565
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,False,0.0026663449,0.11337587,0.3081876,0.5757702
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,True,0.026579231,0.13498047,0.15295291,0.6854874
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,False,0.023909988,0.15591271,0.12142494,0.6987523
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,True,0.043078955,0.15036033,0.13269253,0.67386824
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.009100254,0.14235193,0.12562513,0.7229227
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.02120572,0.13827866,0.13827866,0.70223695
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,True,0.015137869,0.14362411,0.111854576,0.7293834
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,False,0.003311455,0.14080666,0.14080666,0.7150752
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,False,0.006734938,0.077077284,0.1848988,0.7312889
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,False,0.003612661,0.1355641,0.25326708,0.60755616
What do you call a young cow?,mare,lamb,kid,calf,D,True,0.014482371,0.07354755,0.121259406,0.7907106
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,False,0.017498689,0.2737255,0.12929879,0.57947695
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.04129077,0.30509982,0.20969182,0.4439176
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.004657794,0.10601089,0.10601089,0.7833204
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,False,0.033229273,0.2782253,0.16875216,0.5197933
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.012505762,0.15235138,0.15235138,0.6827915
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.006468997,0.16683763,0.16683763,0.65985566
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,True,0.005051439,0.11497022,0.13027833,0.7497
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,False,0.028398573,0.23777834,0.16342251,0.5704006
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,False,0.010299457,0.14217964,0.12547308,0.72204775
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,False,0.046255052,0.20730077,0.18294227,0.5635019
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.008699204,0.12783386,0.12783386,0.7356331
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,False,0.018310906,0.049774203,0.15331535,0.77859956
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,False,0.008834343,0.12195435,0.07396906,0.79524225
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,False,0.021998817,0.23650959,0.098591864,0.6428997
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.009673664,0.19430074,0.11784936,0.6781762
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.027793797,0.18123832,0.23271461,0.55825335
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.014339365,0.12006204,0.17468923,0.6909093
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,False,0.042073462,0.18856016,0.18856016,0.5808062
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.039566595,0.2923598,0.12187369,0.5462
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.004770079,0.061859332,0.079428956,0.8539417
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.017562576,0.5132537,0.06946133,0.39972237
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.051156882,0.25979605,0.13905881,0.54998827
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.012707158,0.2552301,0.2552301,0.4768326
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.016607495,0.13905285,0.2943749,0.5499647
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.01496706,0.20661387,0.1420035,0.63641554
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.004265999,0.08568487,0.097093694,0.8129555
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.015683856,0.14880428,0.16861734,0.6668945
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,False,0.11458508,0.18891884,0.11458508,0.581911
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,False,0.04077651,0.1256005,0.11084205,0.72278094
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.011828993,0.14410664,0.112230375,0.73183393
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,False,0.046857875,0.23796391,0.14433242,0.5708458
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.031153144,0.4300559,0.10873516,0.4300559
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,False,0.043891355,0.28620762,0.1351949,0.5347062
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.041801404,0.12875739,0.08849357,0.7409476
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,False,0.0068833404,0.16676806,0.16676806,0.65958047
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,False,0.013456583,0.21049638,0.12767251,0.6483745
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,False,0.019774543,0.10690018,0.17624858,0.6970767
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,False,0.009524216,0.13147774,0.191299,0.6676991
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.0050594336,0.054394037,0.089680605,0.8508659
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,False,0.019610826,0.18606234,0.1449055,0.64942133
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.01344852,0.2701207,0.1445852,0.5718456
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,False,0.025105458,0.16370815,0.16370815,0.6474783
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,False,0.015053174,0.07644633,0.08662503,0.82187545
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,False,0.03128428,0.23116131,0.10919287,0.6283616
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.024439216,0.20462705,0.14063798,0.6302957
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,True,0.02308765,0.3187152,0.06275874,0.59543836
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,False,0.0071764,0.1850818,0.23764974,0.5700921
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,False,0.03953433,0.33101687,0.083694175,0.54575455
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,False,0.007335946,0.08937012,0.24293317,0.6603608
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,True,0.005195711,0.04929553,0.07172457,0.8737842
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.027509976,0.123291165,0.1397072,0.70949167
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,False,0.0045530642,0.2816881,0.11742508,0.59633374
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,False,0.015606353,0.1901243,0.1306704,0.663599
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,True,0.009932598,0.09423787,0.1067855,0.789044
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,False,0.0639489,0.0930451,0.0639489,0.7790571
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.0065774275,0.11658769,0.11658769,0.76024723
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,False,0.016291497,0.13640703,0.15456942,0.69273204
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,True,0.0054012737,0.08449014,0.2026813,0.70742726
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,False,0.012031379,0.31029338,0.16608806,0.51158726
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,False,0.0034590294,0.044857375,0.15656763,0.795116
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,False,0.020404346,0.1708435,0.13305305,0.6756991
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,True,0.0077071493,0.22523591,0.15480222,0.6122547
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,True,0.0066456487,0.13348143,0.091740355,0.76813257
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,False,0.0024589815,0.036134467,0.23562633,0.7257802
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,False,0.011240223,0.19923772,0.17582667,0.6136954
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,False,0.011383586,0.2590892,0.10800446,0.6215227
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,False,0.00419313,0.08965307,0.24370232,0.66245157
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,False,0.009066042,0.3854979,0.110447,0.4949891
How many sides does a rhombus have?,4,6,8,10,A,False,0.03060017,0.106805086,0.073405996,0.7891888
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.020260245,0.102890015,0.116589665,0.7602601
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,False,0.014113743,0.17194058,0.13390747,0.6800382
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,True,0.019027838,0.07525656,0.09663133,0.80908424
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,True,0.005126606,0.109611675,0.07533493,0.8099268
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,False,0.028996117,0.21425393,0.2427815,0.51396847
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,False,0.019475741,0.20938396,0.26885435,0.502286
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,False,0.0064521623,0.14685054,0.1009288,0.74576855
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,True,0.006636692,0.043276668,0.080851465,0.86923516
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,False,0.03060014,0.19953798,0.073405914,0.69645596
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,False,0.0124782175,0.0813682,0.13415349,0.772
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,False,0.035071254,0.25914347,0.15717848,0.54860675
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,True,0.0025586758,0.108797655,0.0847317,0.803912
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,False,0.0055185175,0.38687795,0.11084239,0.4967611
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,False,0.09656815,0.26249945,0.0852211,0.5557113
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,True,0.012144871,0.25966877,0.17846756,0.5497188
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,False,0.008962772,0.20399176,0.075044364,0.71200114
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,False,0.005770169,0.40452006,0.13132845,0.4583813
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,False,0.010633894,0.12954736,0.11432515,0.7454936
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,False,0.011315129,0.12164911,0.07378392,0.7932518
In British currency how many pence make a pound?,10,100,500,1000,B,False,0.023655152,0.12013078,0.072863005,0.78335106
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,False,0.011298259,0.1660267,0.1660267,0.65664834
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,True,0.011971457,0.15524822,0.13700607,0.69577426
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,True,0.014929125,0.29985952,0.12500004,0.5602113
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.03297646,0.21503353,0.16746828,0.5845217
How many stars are on the American flag?,13,48,50,51,C,False,0.031105235,0.10856794,0.058112234,0.8022146
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,True,0.006194967,0.08551888,0.09690559,0.81138057
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,False,0.008988288,0.09663321,0.0852785,0.8091
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,False,0.0049452335,0.077356465,0.27000058,0.64769775
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,False,0.022969425,0.19232064,0.19232064,0.5923893
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,False,0.021713775,0.2334451,0.11027165,0.6345695
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,False,0.02238185,0.22604868,0.13710545,0.614464
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,False,0.03770437,0.1914786,0.10249111,0.66832596
In the children's game what color is 'Rover'?,Green,black,red,blue,C,False,0.011654832,0.14198492,0.12530126,0.72105896
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,False,0.00993258,0.19950122,0.17605922,0.614507
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,False,0.012257122,0.14932233,0.16920435,0.6692162
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,False,0.018720126,0.15674171,0.12207056,0.70246756
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,False,0.020635331,0.19578259,0.2513898,0.53219223
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,True,0.015025672,0.23504105,0.11102553,0.6389078
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.0026228947,0.08159586,0.038543154,0.87723815
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,False,0.0077622817,0.1559096,0.13758974,0.69873834
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,False,0.008429836,0.11637029,0.11637029,0.7588296
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,0.022164103,0.18557777,0.14452812,0.64773005
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.0009425975,0.05146408,0.03537071,0.9122227
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,True,0.006379368,0.12813303,0.12813303,0.73735464
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.036815885,0.16499734,0.14560965,0.65257716
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,True,0.009100254,0.14235193,0.12562513,0.7229227
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,False,0.0055586635,0.14335983,0.2085873,0.64249414
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,False,0.00983928,0.07270299,0.13582706,0.78163075
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,False,0.004993657,0.16536722,0.08851469,0.74112445
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,False,0.0074138,0.24551134,0.079705864,0.667369
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,False,0.010463158,0.3057783,0.112489544,0.57126904
According to a popular slogan what state should people not 'mess with'?,New York,Texas,Montana,Rhode Island,B,False,0.018092828,0.1514894,0.1514894,0.6789284
