0,1,2,3,4,5,llama_7B_wizardlm_20000_largelogstep/ckp5k_correct,llama_7B_wizardlm_20000_largelogstep/ckp5k_choiceA_probs,llama_7B_wizardlm_20000_largelogstep/ckp5k_choiceB_probs,llama_7B_wizardlm_20000_largelogstep/ckp5k_choiceC_probs,llama_7B_wizardlm_20000_largelogstep/ckp5k_choiceD_probs
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",37%,47%,57%,67%,D,False,0.06036409,0.57271856,0.2541423,0.112774976
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",1%,3%,6%,10%,D,False,0.07572512,0.5256365,0.28135297,0.117285356
"As of 2019, about what share of electricity came from fossil fuels in the United States?",23%,43%,63%,83%,C,False,0.060228083,0.6082821,0.23820668,0.09328308
What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,10%,30%,50%,70%,D,False,0.06840743,0.5727684,0.23876539,0.120058775
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",26%,41%,56%,71%,C,False,0.06356013,0.6030417,0.22184666,0.1115515
"In 2018, about how many chickens were killed for meat production?",690 million,6.9 billion,69 billion,690 billion,C,False,0.08195505,0.5688808,0.2371448,0.11201927
"In 2016, what percentage of the population of South Sudan had access to electricity?",9%,29%,59%,79%,A,False,0.058427647,0.62815636,0.21708505,0.0963309
About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,31%,51%,71%,91%,B,True,0.076523274,0.6019021,0.19540901,0.12616554
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,C,False,0.066151634,0.6276293,0.2037614,0.102457665
Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,1,7,13,19,D,False,0.093693756,0.50650364,0.22475962,0.17504299
"As of 2019, about what percentage of Turks say God plays an important role in their life?",59%,69%,79%,89%,D,False,0.067383185,0.6005798,0.22094096,0.1110961
Which of the following was responsible for the most death in the 20th century?,Earthquakes,Volcanic activity,Wildfires,Floods,D,False,0.08647022,0.60022223,0.15175995,0.16154763
"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",15%,35%,55%,75%,B,True,0.07141866,0.5979811,0.21998496,0.11061538
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,D,False,0.0603183,0.6484828,0.1977761,0.09342281
"As of 2019, about what percentage of people from Turkey agree that the state is run for the benefit of all the people?",36%,51%,66%,81%,C,False,0.06992766,0.58549714,0.22928397,0.11529122
"As of 2015, what percentage of the global population over 15 years old was literate?",81%,86%,91%,96%,B,True,0.0718638,0.6405151,0.19534607,0.09227495
About what percentage of survey respondents from China report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,26%,46%,66%,86%,A,False,0.0733813,0.5771886,0.21233582,0.1370943
"As of 2019, which of the following had the lowest life expectancy?",Brazil,China,Mexico,Iran,C,False,0.057775903,0.58351594,0.22850811,0.13020001
"As of 2019, unsafe water is responsible for about how many deaths each year?",1.2 million,2.4 million,3.6 million,4.8 million,A,False,0.065820806,0.5177207,0.27711594,0.13934264
Which of the following causes more deaths globally each year (as of 2017)?,Diarrheal diseases,Diabetes,Dementia,Road injuries,C,False,0.059838966,0.6043521,0.16265917,0.17314978
About how many people are infected by HIV/AIDS as of 2020?,3 million,14 million,42 million,124 million,C,False,0.07942796,0.55133927,0.2298324,0.1394004
What is the percentage of children aged 13-15 in the United States who reported being bullied at least once in the past couple of months as of 2015?,26%,46%,66%,86%,A,False,0.07561821,0.5587472,0.23292047,0.13271408
"As of 2019, about what percentage of South Koreans say it is necessary to believe in God in order to be moral and have good values?",25%,45%,65%,85%,B,True,0.069411546,0.58117574,0.22759168,0.12182105
What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?,6%,16%,36%,66%,C,False,0.077331305,0.57140535,0.22376554,0.12749778
"As of 2018, about what percentage of US adults say computer programs will always reflect human bias?",43%,58%,73%,88%,B,True,0.075093955,0.55487347,0.24622361,0.12380901
"As of 2017, the share of GDP spent on the military by China is about",0.50%,2%,6%,12%,B,True,0.06959177,0.54738164,0.27524078,0.107785836
"The conjecture that inequality first increases with development, then decreases with further development (known as the “inverted U hypothesis”) has, as of 2020, been",strongly supported by most studies,"supported mainly by cross-section, not time-series studies","supported mainly by time-series, not cross-section studies",generally repudiated by empirical studies,B,True,0.0929722,0.6062549,0.17369494,0.12707792
"Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?",12 years,9 years,6 years,3 years,B,True,0.07392009,0.54619974,0.25800648,0.12187364
"As of 2017, the share of deaths in Greenland by suicide is about",0.90%,1.80%,3.60%,7.20%,D,False,0.063083895,0.5985233,0.23438509,0.10400776
"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?",14%,24%,34%,44%,A,False,0.0650051,0.57938415,0.24152324,0.11408751
"As of 2019, about what percentage of Americans say the relationship between the U.S. and Germany is good?",60%,75%,90%,45%,B,True,0.07249947,0.5702525,0.2377166,0.119531415
"As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?",50%,60%,70%,80%,D,False,0.06310611,0.59873414,0.22026199,0.11789774
In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?,2%,25%,50%,75%,D,False,0.06545756,0.5834169,0.24320434,0.10792127
"In Sub-Saharan Africa, as of 2020,",no nation has been able to grow in the past years.,the Democratic Republic of Congo has become poorer than it initially was in 1980.,some countries have had relatively significant growth rates.,"some countries have had relatively significant growth rates, but the Democratic Republic of Congo has become poorer than it initially was in 1980.",C,False,0.071333595,0.6357894,0.15101321,0.1418638
"World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?",15.50%,34.80%,48.10%,65.20%,B,True,0.08827638,0.6127595,0.19893387,0.100030236
How many children between the ages of 5-14 worked globally as of 2012?,5 million,30 million,150 million,500 million,C,False,0.06890868,0.5769653,0.2405149,0.1136112
"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,","Colombia, Peru, Uruguay, and Costa Rica.","Bhutan, Niger, Cambodia, and Costa Rica.","Uruguay, Costa Rica, Timor-Leste, and Pakistan.","Bhutan, Cambodia, Uruguay and Costa Rica.",A,False,0.070158415,0.6656445,0.14852537,0.11567167
The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,10%,20%,40%,80%,B,True,0.08425022,0.5493804,0.24378608,0.122583345
The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,38%,58%,78%,98%,C,False,0.08195505,0.5688808,0.2371448,0.11201927
"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?","True, True","True, False","False, True","False, False",B,True,0.10769107,0.6197193,0.17755257,0.09503704
"In 2017, about how many people died from terrorism globally?",260,"2,600","26,000","260,000",C,False,0.07520262,0.6296638,0.20442191,0.090711676
In 1935 roughly how many Americans were in favor of Social Security act?,90%,70%,50%,30%,A,False,0.0723834,0.6060587,0.2094483,0.112109594
Which of the following countries emitted the most CO2 per capita in 2017?,Japan,Canada,Russia,Iran,B,True,0.044787772,0.6182761,0.2421204,0.094815716
"As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?",59%,69%,79%,89%,C,False,0.06640096,0.5918253,0.21772037,0.12405332
"What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",9%,19%,39%,59%,B,True,0.06529359,0.6194883,0.21408944,0.10112868
The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,18%,38%,58%,78%,B,True,0.07790521,0.575646,0.23996495,0.1064838
"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",24%,39%,54%,69%,A,False,0.07041956,0.5896157,0.23089682,0.10906794
"As of 2015, the global fertility rate was about",1.5 children per woman,2.5 children per woman,3.5 children per woman,4.5 children per woman,B,True,0.066688046,0.5943841,0.24777614,0.09115175
What is the median international income as of 2020?,$300 ,"$1,000 ","$10,000 ","$30,000 ",C,False,0.06890868,0.5769653,0.2405149,0.1136112
Before being reelected for a third term as president how many Americans approved of running a third time?,20%,40%,60%,80%,C,False,0.06737,0.5640821,0.2503099,0.118238024
"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?",41%,56%,71%,86%,B,True,0.07379791,0.61790234,0.21354134,0.0947584
Public spending on education in the world is about what percentage of global GDP as of 2017?,1%,2%,4%,8%,C,False,0.06311807,0.5284811,0.28287557,0.12552527
"As of 2013, which of the following countries had the highest per capita rate of homelessness?",US,Chile,Ireland,Spain,A,False,0.051918663,0.6324988,0.21858574,0.09699684
"Overall, the growth rate of average incomes in less developed countries between 1960 and 1995",was approximately zero,exceeded that of high income countries,exceeded that of Britain during the industrial revolution,was approximately 3.0% per year,C,False,0.07545335,0.59348655,0.1500569,0.18100318
"As of 2015, about what percentage of the world’s land area is forested?",15%,30%,45%,60%,B,True,0.058599975,0.5918388,0.2467151,0.10284616
The greatest population growth rate has taken place,"in Africa, which is the poorest region of the world with the lowest overall economic growth.","in Asia, which is the poorest region of the world with a steady overall economic growth.","in Asia, which is the poorest region of the world with the lowest overall economic growth.","in Africa, which is the poorest region of the world with a steady overall economic growth.",C,False,0.06917917,0.6986849,0.13757922,0.09455671
The global HIV/AIDS death rate is highest for which of these age groups?,Under 5,14-May,15-49,over 50,C,False,0.06486426,0.5781289,0.25654313,0.10046373
"As of 2015, agriculture made up about what percentage of total US GDP?",1%,3%,9%,20%,A,False,0.06876,0.5757204,0.2554744,0.10004521
"As of 2017, what percentage of Indians live in urban areas?",19%,34%,49%,64%,B,True,0.07287148,0.5731785,0.25434643,0.0996035
"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?","True, True","True, False","False, True","False, False",A,False,0.10444789,0.6010561,0.18331176,0.1111842
"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?",80%,40%,-40%,-80%,B,True,0.07433763,0.5847107,0.20207062,0.13888097
"As of 2013, share of people in the United States who think political parties are corrupt is",36%,56%,76%,96%,C,False,0.0719177,0.5656765,0.25101742,0.11138831
Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,China,Japan,Chile,India,C,False,0.048759647,0.67310613,0.18116406,0.09697014
"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?","$150,000 ","$75,000 ","$35,000 ","$15,000 ",C,False,0.069405094,0.6584972,0.17723212,0.09486552
In 1943 how many Americans believed in the Holocaust?,30%,50%,70%,90%,B,True,0.066880345,0.596098,0.23343533,0.1035863
Which of the following countries emitted the most CO2 in 2017?,Canada,Russia,Iran,Japan,D,False,0.045818377,0.67329615,0.20534374,0.075541735
"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.","India, Congo","India, South Korea","Congo, South Korea","South Korea, India",A,False,0.07916822,0.6227063,0.16759913,0.13052633
"As of 2013, share of people in the India who think political parties are corrupt is",26%,46%,66%,86%,D,False,0.07027515,0.55275685,0.26110384,0.11586413
"As of 2019, about what percentage of French people say God plays an important role in their life?",11%,31%,51%,71%,B,True,0.061736517,0.5857398,0.24417266,0.10835097
"As of 2017, the share of GDP spent on the military by the United States is about",1%,3%,6%,10%,B,True,0.07197888,0.531856,0.284682,0.111483075
"As of 2017, the share of global deaths by suicide is about",0.70%,1.40%,2.80%,5.60%,B,True,0.06737,0.5640821,0.2503099,0.118238024
Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included,artificial political boundaries that covered diverse ethnic groups with little in common,inadequate access to higher education and training for nationals under the colonial administration,control of domestic commerce by foreign minority groups which had been brought in by the colonial power,all of the above,D,False,0.057521448,0.6184138,0.14688616,0.17717853
Which of the following mental disorders is most prevalent in the world?,Bipolar disorder,Schizophrenia,Alcohol use disorders,Anxiety disorders,D,False,0.05756393,0.65878433,0.18874487,0.09490689
"As of 2017, how many people in the world have some access to electricity?",60%,70%,80%,90%,C,False,0.070912756,0.59374523,0.21842667,0.11691537
Before Nixon resigned how many believed he should be removed from office?,79%,98%,33%,57%,D,False,0.086734794,0.56558186,0.22148503,0.12619838
