0,1,2,3,4,5,llama_7B_sharegpt_xc_20000_ga/ckp50k_correct,llama_7B_sharegpt_xc_20000_ga/ckp50k_choiceA_probs,llama_7B_sharegpt_xc_20000_ga/ckp50k_choiceB_probs,llama_7B_sharegpt_xc_20000_ga/ckp50k_choiceC_probs,llama_7B_sharegpt_xc_20000_ga/ckp50k_choiceD_probs
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,True,0.72309685,0.067258485,0.067258485,0.14238621
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,True,0.41623312,0.4716539,0.030151825,0.08196116
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,False,0.6649267,0.1905047,0.089988045,0.05458051
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,True,0.41898912,0.4747769,0.018409098,0.087824896
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,True,0.25825423,0.6195197,0.014569707,0.10765638
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,True,0.953388,0.013599348,0.010591184,0.022421537
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,False,0.38253227,0.18069544,0.20475478,0.23201755
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,False,0.3042701,0.6441398,0.01041155,0.04117848
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,True,0.9470162,0.036719803,0.006380945,0.009883001
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,False,0.56738406,0.16255826,0.1266005,0.14345716
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,True,0.35456967,0.45527646,0.04234731,0.14780663
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,False,0.36684275,0.36684275,0.04381312,0.22250138
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,False,0.5218265,0.35864577,0.016774086,0.102753736
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,False,0.24265438,0.24265438,0.11462182,0.40006945
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,True,0.3438463,0.5669067,0.012524601,0.07672247
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,True,0.92453784,0.031635944,0.01918817,0.024638098
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,False,0.3043254,0.23700887,0.067904174,0.39076155
What is the term for the extent to which competition in one country is influenced by competition in other countries?,International trade,Global economics,Global competition,Globalisation,D,False,0.61682427,0.22691697,0.034798842,0.1214599
As what are key factors that reflect the situation of an organisation referred to?,Administrations,Processes,Activities,Contingencies,D,False,0.44623688,0.39380267,0.060391594,0.09956891
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,True,0.36848065,0.20995396,0.053084675,0.36848065
What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D,False,0.3930821,0.3930821,0.049974784,0.163861
What does the acronym SMART stand for?,"Suitable, measurable, actionable, rewarded and timely","Specific, measurable, actionable, resourced and timely","Standardised, measurable, achievable, rewarded, and timely","Specific, measurable, achievable, rewarded and timely",D,False,0.6691215,0.19170652,0.022896077,0.116275884
Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?,Merton,Weber,Gouldner,Mayo,C,False,0.5329709,0.41507816,0.0133426655,0.038608283
What is the optimal span of control?,2,5,7,None of the above,D,False,0.26451808,0.6345459,0.038107444,0.062828556
What one of these is not a recognised type of authority?,Executive,Functional,Line management,Supplier,D,False,0.36186555,0.29999706,0.038140345,0.29999706
Which one of the following is not a characteristic of a team?,Minimal and formal knowledge sharing,Collective output,Individual and collective responsibility,Fluid dimension to roles and tasks,A,False,0.23426646,0.20673943,0.06305197,0.49594212
Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?,Ethical,Economic,Discretionary,Technical,D,False,0.29793248,0.38255286,0.021582155,0.29793248
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,Product development,Market penetration,Diversification,Market development,B,False,0.5288381,0.4118595,0.003563283,0.055739123
What is characteristic for the location of a virtual team?,In the same building,In the same industry,In the same country,remotely,D,True,0.095489174,0.06986137,0.035128504,0.799521
"According to the Five Factor model, 'extraversion' as a personality type is characterised by what type of people?",Good natured,Calm and self-confident,Sensitive and curious,Assertive and sociable,D,False,0.50420475,0.39267504,0.020811014,0.082309164
What is the overriding philosophy underpinning the strategic direction of an organisation?,Vision statement,Mission statement,Strategy statement,Business statement,B,False,0.6955814,0.0941367,0.13696809,0.073313735
What is the term for the action in which managers at an organisation analyse the current situation of their organisation and then develop plans to accomplish its mission and achieve its goals?,Synergy planning,Strategy formulation,Functional planning,SWOT analysis,B,False,0.52561986,0.40935317,0.009627064,0.055399925
What is Frank Gilbreth`s work most noted for?,Working conditions,Time and motion studies,Work psychology,Work as a social setting,B,False,0.4800953,0.4236826,0.012794106,0.083428055
What is another name for contingency planning?,Synergy planning,Ad hoc planning,Business level planning,Scenario planning,D,False,0.55341786,0.38035816,0.014748086,0.051475883
Which feature does not form one of Fayol's 14 principles of management?,Esprit de corps,Initiative,Order,Individualism,D,True,0.3567797,0.14872791,0.09020804,0.40428436
What one of the following is not a characteristic of the job characteristics model?,Task identity,Autonomy,Reward,Feedback,C,False,0.32913265,0.22620934,0.09429809,0.3503599
Workers' acceptance of change is characteristic of what type of culture?,Team culture,Collaborative culture,Group culture,Collective culture,B,False,0.44493246,0.44493246,0.06021506,0.04992004
What is a virtual organisation?,An organisation that uses information and communications technologies (ICT's) to coordinate activities without physical boundaries between different functions,An organisation that uses internet technologies to sell products to customers,An organisation that manages the supply chain using digital technologies,An organisation that coordinates the workforce via video conferencing,A,True,0.76952356,0.06316634,0.06316634,0.10414369
From what does a chain of command extend?,Bottom to top,Top to bottom,Diagonally,Laterally,B,False,0.72590166,0.2670443,0.0024593929,0.0045947507
"What do you call a style of leadership that takes account of others' views, opinions and ideas?",Laissez-faire,People-oriented,Democratic,Autocratic,C,False,0.39981812,0.5817319,0.010654792,0.007795212
What is the guiding principle of scientific management?,Experimentation,Fluid working relationships,Freedom of association,One best way to do a job,D,False,0.49787417,0.20754483,0.028088138,0.26649284
What is the term Tuckman uses for reaching consensus as a group?,Storming,Performing,Forming,Norming,D,False,0.36076036,0.46322545,0.05889251,0.11712173
What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,Expectancy,Instrumental,Classical,Contingency,A,True,0.51130414,0.24152297,0.10068176,0.1464911
What is the term for decisions limited by human capacity to absorb and analyse information?,Cognitive rationality,Conscious rationality,Bounded rationality,Restricted rationality,C,False,0.72920865,0.18437281,0.026561424,0.05985709
What is a definition of an objective?,A defined specified outcome to be achieved in the long-term,A clear set of goals to be attained given a set number of resources,A clearly defined and measurable outcome to be achieved over a specified timeframe,A set standard of performance agreed by workers and managers,C,False,0.8264004,0.028277867,0.04662232,0.09869946
What is not a purpose of an organisational structure?,To coordinate people and resources,To organise lines of communication,To formalise authority,To limit workers' rights,D,True,0.29736042,0.14046311,0.1803582,0.38181832
To what time-frame do strategic plans relate?,Long-term,Medium-term,Short-term,Unspecified time it takes to achieve an aim,A,True,0.8037143,0.1793329,0.0039619794,0.012990831
What is the term for organisational development through a formally designed organisational structure?,Organic,Mechanistic,Formal,Structured,B,False,0.36871013,0.082270354,0.223634,0.32538554
'There is no discernible link between planning and performance'. Who is this position held by?,Michael Porter,Milton Friedman,Gary Hamel,Henry Mintzberg,D,False,0.3625301,0.3625301,0.08089141,0.19404839
What does situational theory of leadership emphasise?,Personality traits,Events,Environment,Political situation,B,False,0.20425668,0.15907528,0.4324114,0.20425668
What is intuitive decision making based on?,Guesswork,Gambling,Instinct,Rationality,C,False,0.29539207,0.17916435,0.29539207,0.23005158
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D,False,0.18931484,0.032897986,0.74875474,0.029032372
Which 18th century writer produced a famous book called 'The Wealth of Nations'?,Frederick Taylor,Henry Mintzberg,Adam Smith,Dr Samuel Johnson,C,True,0.10680507,0.07340599,0.7891887,0.030600166
Which one of these characteristics is most commonly associated with the 'rational goal' model of management?,Worker welfare,Health and safety,Interpersonal relationships,Productivity,D,True,0.3051374,0.3051374,0.04395921,0.34576598
In what order do managers typically perform the managerial functions?,"organising, planning, controlling, leading","organising, leading, planning, controlling","planning, organising, leading, controlling","planning, organising, controlling, leading",C,False,0.43532264,0.3841709,0.020360311,0.16014625
How does lateral communication in an organisation occur?,Information passes upwards.,Information passes downwards.,Information is a two-way process.,Information passes between different departments and functions.,D,False,0.18437323,0.34445453,0.12671775,0.34445453
Of what is advertising a form?,Focusing strategy,Differentiation,Cost leadership,Growth,B,False,0.44626808,0.27067527,0.044186525,0.2388701
What is not a component of an agile organisation?,Market focus and position,Human resources: multi-skilling,Organisational structure,Project-based culture,D,True,0.29810274,0.1595629,0.1595629,0.3827715
Of what is worker autonomy in decision making an example?,Worker freedom,Greater worker negotiation,Worker empowerment,Increased worker power,C,False,0.78634715,0.10642051,0.0569628,0.05026949
Vertical integration forwards is when a firm mergers or acquires another,Towards the source of supply,Towards the consumer,At the same stage of the supply chain,In another industry,B,False,0.46464887,0.4100512,0.027904334,0.097395696
What is the term for an autonomous business entity within an overall corporate enterprise which is set apart from other areas of the business?,Subsidiary,Strategic partnership,Strategic alliance,Strategic business unit,D,False,0.88535655,0.07267449,0.018374989,0.023593953
What is not a characteristic of a corporate social responsibility framework?,Retaining the status quo,Understanding society,Harnessing diversity,Building capacity,A,True,0.55010223,0.20237131,0.04515514,0.20237131
What is a whistleblower?,Someone who reports illegal or unethical acts,Someone who commits illegal or unethical acts,Someone who benefits from illegal or unethical acts,Someone who devises illegal or unethical acts,A,True,0.91524833,0.024390541,0.014793611,0.04556753
What is T-group training?,A group whose aim is transformational change,A group brought together to deliver training programmes,Team training for the purposes of advancing technology,Team building activities involving learning,D,False,0.7580997,0.16915491,0.017828796,0.054916557
What is a social enterprise concerned with?,Profit maximisation,Maximising market share,Providing public service,Running a business to create social benefits,D,False,0.067176506,0.028003333,0.7222155,0.18260467
Which of the following is not part of Schein's model of the formation of culture?,Shared values,Pre-conceptions,Shared beliefs,Norms,B,False,0.39320514,0.27024567,0.030320724,0.30622846
What is not one of the layers of cultural influence?,Social,Business,Organisational,Company,D,False,0.42089224,0.28927472,0.03454894,0.25528404
