0,1,2,3,4,5,llama_7B_ds_alpacafollowturn_20000/epoch2_correct,llama_7B_ds_alpacafollowturn_20000/epoch2_choiceA_probs,llama_7B_ds_alpacafollowturn_20000/epoch2_choiceB_probs,llama_7B_ds_alpacafollowturn_20000/epoch2_choiceC_probs,llama_7B_ds_alpacafollowturn_20000/epoch2_choiceD_probs
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.2887791,0.6113454,0.073014796,0.026860643
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,True,0.03764036,0.1686924,0.75602686,0.03764036
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.14264165,0.7243941,0.11108944,0.021874806
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.03505175,0.33256176,0.54830164,0.08408478
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,False,0.27906582,0.3583276,0.24627472,0.116331935
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.06854608,0.7369397,0.18632755,0.008186661
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.08938722,0.84808236,0.05421609,0.008314307
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,True,0.23671305,0.44223818,0.268231,0.05281782
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.13584025,0.41841742,0.3258638,0.119878605
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.11264943,0.73456657,0.12764853,0.025135485
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,True,0.026070608,0.28028548,0.17000173,0.5236422
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,False,0.028918678,0.45236424,0.16641551,0.35230163
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,False,0.093276754,0.36891672,0.47369844,0.06410811
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,False,0.2802855,0.52364224,0.17000175,0.026070612
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.06355651,0.5321521,0.36574244,0.038548972
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,False,0.29501548,0.26035026,0.37880737,0.06582685
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,False,0.20367107,0.62735105,0.12353275,0.04544516
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,False,0.20422152,0.43233696,0.29714057,0.066301025
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.118778504,0.603207,0.22190745,0.056106992
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,True,0.18207401,0.6355007,0.16067974,0.021745639
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.21316889,0.3982519,0.31015888,0.078420445
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.13641885,0.42019966,0.28879872,0.15458283
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,False,0.08091662,0.32003143,0.465643,0.13340895
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,True,0.16261172,0.3037987,0.39008525,0.14350435
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,True,0.053580254,0.7396526,0.16503881,0.041728344
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,False,0.279494,0.5916888,0.1028201,0.025996992
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,False,0.092194684,0.4131879,0.46820322,0.026414217
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.07128417,0.31947348,0.596855,0.01238733
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,True,0.4437881,0.4437881,0.099022515,0.01340124
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,False,0.28839764,0.5387977,0.15436812,0.018436642
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.02646405,0.7733929,0.19554435,0.0045987624
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.09871129,0.7293833,0.14362408,0.028281258
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.16747639,0.7505771,0.06981455,0.012131949
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,False,0.052686855,0.49987897,0.44114164,0.0062925476
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,False,0.082343094,0.28740564,0.5369444,0.093306944
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,False,0.30484366,0.64535403,0.036408383,0.013393896
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.20753223,0.49784395,0.23516482,0.059458982
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,False,0.32548508,0.47357798,0.17421961,0.026717441
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.08447977,0.6242258,0.26021603,0.031078372
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,False,0.31101662,0.65842223,0.028929055,0.0016320656
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,False,0.30058855,0.2340986,0.43735373,0.027959088
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,True,0.101953246,0.7533383,0.13091056,0.013797872
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,False,0.20243444,0.4285537,0.29454038,0.074471466
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,True,0.21710695,0.5208125,0.19159622,0.07048431
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.14493914,0.64957213,0.12790833,0.07758033
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,False,0.069202,0.6565703,0.21315718,0.061070554
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,False,0.060391586,0.44623682,0.3938026,0.099568896
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,False,0.120654434,0.47719756,0.37164184,0.030506218
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,False,0.2934646,0.42698848,0.22855048,0.050996505
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,False,0.032509264,0.5762405,0.3495075,0.041742723
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,True,0.18783589,0.21284594,0.51059085,0.088727385
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,True,0.2207728,0.41245788,0.1948313,0.17193802
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,False,0.056688603,0.6094599,0.13598889,0.19786265
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,True,0.17851152,0.3779089,0.3779089,0.06567072
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,False,0.16125645,0.49670485,0.30126673,0.040772017
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,True,0.07497646,0.55400527,0.23094375,0.14007446
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,False,0.22953933,0.33397776,0.37844637,0.058036633
A capacitor can store,charge,energy,Both of these,Neither of these,C,False,0.042727694,0.7573665,0.19149223,0.008413581
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,True,0.06980444,0.5157889,0.3128418,0.10156486
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,False,0.090573385,0.66925186,0.21727426,0.022900539
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,False,0.0494614,0.6025632,0.19562362,0.15235184
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.046457067,0.49946052,0.44077235,0.013310172
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,False,0.09827727,0.49909315,0.34302136,0.059608176
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,False,0.1007625,0.657054,0.18824913,0.053934276
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,False,0.1463924,0.5109597,0.27349702,0.06915087
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,False,0.15135509,0.598621,0.22022037,0.029803583
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,False,0.092006445,0.87293285,0.029870119,0.0051906486
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,True,0.1880136,0.57912266,0.21304733,0.019816488
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,True,0.044511795,0.6962817,0.17604758,0.08315899
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,True,0.020073084,0.5866215,0.35580394,0.037501458
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,False,0.072035976,0.4145384,0.46973357,0.04369203
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,False,0.1401818,0.6282512,0.17999698,0.05157
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,False,0.055252478,0.2185278,0.31795606,0.40826365
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,False,0.18315765,0.4978741,0.2664928,0.05247554
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,False,0.10532454,0.6868022,0.19677213,0.011101124
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,False,0.1205193,0.54013,0.28911078,0.05023992
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,False,0.26426658,0.43570194,0.23321445,0.06681706
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.31810588,0.4628413,0.1702698,0.048783112
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,True,0.10648507,0.78682417,0.082930654,0.023760032
"If two protons and two neutrons are removed from the nucleus of neon-20, a nucleus of which element remains?",Magnesium-22,Magnesium-20,Oxygen-18,Oxygen-16,D,False,0.042118784,0.7465733,0.1887633,0.022544561
"If a star that is 20 light-years from Earth explodes, gravitational waves from the explosion would reach Earth in",less than 20 years.,20 years.,more than 20 years.,None of these.,B,True,0.0671577,0.8181483,0.09771388,0.016980127
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",hydrogen,oxygen,nitrogen,All have same average speed,A,False,0.16657257,0.45279118,0.31119853,0.06943778
The mutual induction of electric and magnetic fields can produce,light,energy,Both of these,Neither of these,A,False,0.046594243,0.44207385,0.5009353,0.01039658
"When a model car speeds up to three times its original speed, its kinetic energy is",the same,twice as great,three times greater,None of these,D,False,0.0611541,0.6574685,0.27407363,0.0073038153
"If an iron nucleus split in two, its fission fragments would have",less mass per nucleon,more mass per nucleon,the same mass per nucleon,either more or less mass per nucleon,B,True,0.035614155,0.71532947,0.23223348,0.016822938
The surface of Planet Earth loses energy to outer space due mostly to,conduction.,convection.,radiation.,radioactivity.,C,True,0.049510363,0.049510363,0.8775922,0.02338704
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,False,0.18614179,0.44653094,0.30689594,0.06043139
A principal source of the Earth’s internal energy is,tidal friction.,gravitational pressure.,radioactivity.,solar radiation.,C,False,0.04866673,0.8626384,0.08023787,0.008457009
A diffraction grating relies on light,interference,amplitudes,variations in brightness,being composed of photons,A,False,0.35843372,0.521518,0.09062624,0.029422032
A satellite in Earth orbit is above Earth’s,atmosphere,gravitational field,Both,Neither,A,False,0.13367793,0.7692634,0.09187541,0.0051832558
The time it takes for a pendulum swinging to and fro refers to its,frequency,period,wavelength,amplitude,B,True,0.42976782,0.5518328,0.0114529235,0.0069465498
"As entropy in a system increases, energy in the system",becomes more ordered,becomes less ordered,reaches equilibrium,moves toward destruction,B,True,0.14251204,0.63869464,0.14251204,0.0762812
"When water changes to steam, energy is",absorbed by the water,released by the water,conserved as the phase change occurs,changed to a different form,A,False,0.124088116,0.49077803,0.20458671,0.18054715
"According to Coulomb, a pair of charged particles placed twice as close to each other experience a force",twice as strong,four times as strong,half as strong,one-fourth as strong,B,True,0.109069854,0.48881716,0.3359588,0.066154204
"The factors, both of which will increase the magnetic field strength of an electromagnet, are",increased electrical current and fewer coils of wire,increased diameter of coil and an increase in the number of coils,an increase in the electrical current and using a strong ferromagnetic material like iron,using an air core instead of iron and increasing the diameter of the coil,C,True,0.02352691,0.15341473,0.7791043,0.043954056
The team that wins in a tug-of-war is the team that,produces more tension in the rope than the opponent,pushes hardest on the ground,Both,Neither,B,True,0.08547721,0.5573814,0.3380689,0.019072542
Which type of radiation from cosmic sources predominates on the inside of high-flying commercial airplanes?,Alpha,Beta,Gamma,None of these,C,True,0.004912228,0.16267064,0.8261097,0.0063074254
Thermal convection involves mainly,radiant energy,fluids,insulators,All of these,B,True,0.015794821,0.977191,0.0051278276,0.0018864224
A 10-Ω resistor carries 10 A. The voltage across the resistor is,0,more than 0 but less than 10 V,10 V,more than 10 V,D,False,0.10419442,0.41209692,0.41209692,0.07161171
A cannonball is fired horizontally at 10 m/s from a cliff. Its speed one second after being fired is about,10 m/s,14 m/s,16 m/s,20 m/s,B,True,0.09720464,0.63385385,0.2331818,0.035759587
The average speed of a gazelle traveling a distance of 2 km in a time of one-half hour is,1 km/h,2 km/h,4 km/h,greater than 4 km/h,C,False,0.07525656,0.8090843,0.09663134,0.019027838
The metal detectors people walk through at airports operate via,Ohm’s law,Faraday’s law,Coulomb’s law,Newton’s laws,B,True,0.024582583,0.49375442,0.43573675,0.045926318
Sound travels in,solids,liquids,gases,All of these,D,False,0.10800446,0.6215227,0.2590892,0.011383586
When a fusion reaction converts a pair of hydrogen isotopes to an alpha particle and a neutron most of the energy released is in the form of,gamma radiation.,kinetic energy of the alpha particle.,kinetic energy of the neutron.,All of these about equally.,C,True,0.029527068,0.21817715,0.67203295,0.08026289
Polarization is a property of,transverse waves.,longitudinal waves.,all waves.,None of these.,A,False,0.1044895,0.60129553,0.25065726,0.043557703
The phenomenon of beats results from sound,reflection.,refraction.,interference.,All of these.,B,False,0.015752448,0.19190411,0.7589955,0.033347934
"The lowest possible temperature is absolute zero, at",0 kelvin,−273°C,Both are the same,None of these,C,False,0.052120477,0.92385757,0.019174052,0.0048479596
Refraction occurs when a wave crosses a boundary and changes,speed and direction,intensity,frequency,amplitude,A,False,0.2720814,0.4485864,0.2720814,0.007250724
"When you tap a piece of wood, it will produce a characteristic sound related to its",wavelength,amplitude,period,natural frequency,D,False,0.15994515,0.43477598,0.33860388,0.06667506
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",increases,decreases,isn’t affected,reduces to zero,B,True,0.42714226,0.4840156,0.0742262,0.014616005
"When white light passes through a prism, the light that bends more than green is",red,yellow,blue,None of these,C,True,0.26170465,0.3360354,0.380778,0.021482026
"If you travel at high speed, then compared with your friends who “stay at home,” you are",older.,younger.,neither younger nor older.,longer.,B,True,0.19396152,0.52724206,0.24905151,0.029744962
The component of velocity that can remain constant for a tossed baseball is,horizontal,vertical,Either of these,None of these,A,False,0.26649287,0.49787423,0.20754485,0.028088141
The crystals that make up minerals are composed of,atoms with a definite geometrical arrangement.,molecules that perpetually move.,X-ray patterns.,3-dimensional chessboards.,A,False,0.24572593,0.5202018,0.19137156,0.042700764
"Two vectors, one 3 N and the other 4 N, can have a resultant of",0 N,5 N,8 N,Any of these,B,False,0.064166464,0.3258642,0.5372592,0.07271013
Radioactivity has been around on Earth since the,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,False,0.06827424,0.7340172,0.14453655,0.05317203
"When the shadow of the Moon falls on Earth, we have a",lunar eclipse.,solar eclipse.,solar eclipse if it’s daytime and lunar eclipse if it’s nighttime.,very dangerous event.,B,False,0.46820328,0.41318795,0.104470275,0.014138514
"In both fission and fusion, energy is released while mass",decreases,remains unchanged; is conserved,increases,may decrease or increase,A,False,0.08123076,0.770696,0.118190065,0.029883126
"When relatively slow-moving molecules condense from the air, the temperature of the remaining air tends to",remain unchanged,decrease,increase,spread out uniformly,C,False,0.17551583,0.6126104,0.15489216,0.056981646
"If the volume of an object were to double, with no change in mass, its density would",halve.,double.,be the same.,None of these.,A,False,0.100044064,0.6523692,0.1869069,0.06067979
The pressure at the bottom of a pond does NOT depend on the,acceleration due to gravity.,water density.,depth of the pond.,surface area of the pond.,D,False,0.119843595,0.41829523,0.28748983,0.17437139
The blueness of the daytime sky is due mostly to light,absorption,transmission,reflection,scattering,D,False,0.049679995,0.47135067,0.47135067,0.007618674
A galvanometer can be calibrated to read electric,current,voltage,Either of these,Neither of these,C,True,0.12435895,0.33804268,0.49184918,0.0457491
Which of these temperatures is likely when a container of water at 20°C is mixed with water at 28°C?,19°C,22°C,30°C,Higher than 30°C,B,True,0.067886755,0.44267723,0.39066127,0.09877464
To view your full-face image in a steamy mirror compared with the height of your face the minimum height of the patch to wipe away is,one-quarter.,one-half.,the same.,dependent on your distance from the mirror.,B,True,0.20441304,0.55565226,0.20441304,0.03552166
The vibrations in a transverse wave move in a direction,along the wave,perpendicular to the wave,Both of these,Neither of these,B,True,0.1283669,0.8370573,0.02527694,0.009298867
A 1134-Hz tuning fork is sounded at the same time a piano note is struck. You hear three beats per second. The frequency of the piano string is,1131 Hz,1134 Hz,1137 Hz,More information is needed,D,False,0.07310805,0.69362986,0.1987283,0.034533795
Huygens’ principle for light is primarily described by,waves,rays,particles,photons,A,True,0.5453355,0.37480325,0.07380313,0.00605813
"When the temperature of a strip of iron is increased, the length of the strip",also increases.,actually decreases.,may increase and may decrease.,decreases in width as it gets longer.,A,False,0.06002181,0.44350454,0.44350454,0.052969065
"When light undergoes interference, it can sometimes",build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B,True,0.15523589,0.4219749,0.37239152,0.050397716
When the color yellow is seen on your TV screen the phosphors being activated on the screen are,mainly yellow.,blue and red.,green and yellow.,red and green.,D,False,0.04079062,0.38701063,0.5630971,0.009101617
Which of these does NOT belong in the family of electromagnetic waves?,Light,Sound,Radio waves,X-rays,B,False,0.028954577,0.24243371,0.58156824,0.14704348
A math book and a physics book sitting on a table are tied together with a length of string. With the string taut one book is pushed off the edge of the table. As it falls the other book is dragged horizontally across the table surface. With no friction acceleration of the books is,zero,g/2,g,a value between zero and g,D,False,0.2506107,0.36463642,0.2506107,0.13414225
A motor and a generator are,similar devices,very different devices,forms of transformers,energy sources,A,False,0.13753523,0.4236383,0.3738595,0.06496704
As more lamps are connected in parallel in a circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,A,False,0.1644556,0.5740064,0.23928146,0.022256643
Newton’s law of cooling applies to objects that,cool,warm up,Both,Neither,C,False,0.25431228,0.47511786,0.25431228,0.016257638
The fact that the Moon always shows its same face to Earth is evidence that the Moon rotates about its axis about once per,day,month,year,None of these for the moon does not rotate about an axis,B,True,0.20784421,0.56497914,0.20784421,0.019332523
Consider a ball rolling in a horizontal circular path on the inside surface of a cone. The normal force on the ball,is mg,is greater than mg always,may be greater or less than mg,is less than mg always,B,False,0.06323195,0.36387476,0.5294346,0.04345864
The compressions and rarefactions in sound normally travel,in the same direction,in opposite directions,at right angles to each other,None of these,A,False,0.099022515,0.4437881,0.4437881,0.01340124
The power required to raise a 100-kg crate a vertical distance of 2 m in a time of 4 s is,200 W,500 W,800 W,2000 W,B,True,0.109115705,0.55413526,0.26175496,0.07499405
The phenomenon of beats is the result of sound,destruction,interference,resonance,amplification,B,True,0.0271271,0.5448624,0.42433926,0.0036712538
Interference is characteristic of,sound waves,light waves,water waves,All of these,D,False,0.0581927,0.910287,0.021407899,0.010112375
"In either a fission event or a fusion event, a quantity that remains unchanged is the",kinetic energy,mass,number of nucleons,binding of nucleons,C,True,0.15470326,0.28902376,0.5399674,0.016305603
The magnetic force on a moving charged particle can change the particle's,speed,direction,Both of these,Neither of these,B,True,0.14490561,0.7358914,0.09959207,0.01961084
"If you were to travel at a speed close to the speed of light, you could notice that your own",mass changes.,pulse decreases.,Both of these.,Neither of these.,D,False,0.20627886,0.43669236,0.34009635,0.0169324
Electricity and magnetism connect to form,mass,energy,ultrahigh-frequency sound,light,D,False,0.121958554,0.61935663,0.20107566,0.057609145
Sound travels in air by a series of,compressions,rarefactions,Both of these,Neither of these,C,False,0.114489,0.8459656,0.037169136,0.0023761434
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",amounts of force,accelerations,Both,Neither,A,False,0.11535956,0.40264443,0.4562559,0.025740197
The nucleus of an electrically neutral iron atom contains 26 protons. The number of electrons this iron atom has is,52,26,24,None.,B,True,0.045205116,0.90796906,0.039893378,0.0069324295
To say that a rose petal is red is to say that it,absorbs red,reflects red,emits red,transmits red,B,False,0.5514773,0.37902445,0.045268014,0.024230223
