0,1,2,3,4,5,llama2_chat_7B_alpacacode_alpaca_52000_correct,llama2_chat_7B_alpacacode_alpaca_52000_choiceA_probs,llama2_chat_7B_alpacacode_alpaca_52000_choiceB_probs,llama2_chat_7B_alpacacode_alpaca_52000_choiceC_probs,llama2_chat_7B_alpacacode_alpaca_52000_choiceD_probs
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.93881124,0.011817889,0.008122309,0.04124849
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,False,0.013830783,0.0008841724,0.9696128,0.01567233
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.03269817,0.0072959485,0.004425216,0.95558065
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.9945899,0.00055009214,0.0016944031,0.003165562
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.815719,0.11039556,0.021738175,0.05214717
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.43871173,0.076236665,0.38716173,0.09788982
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,True,0.32407913,0.026602035,0.6054595,0.04385934
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.23030218,0.7093807,0.008929785,0.051387366
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.20055315,0.2918031,0.33065623,0.17698753
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.9143175,0.014778566,0.035451937,0.035451937
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,True,0.0013037262,0.010915967,0.982624,0.0051563373
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,True,0.00015824175,5.8213885e-05,0.9986143,0.0011692571
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.27729237,0.020086993,0.58702797,0.11559266
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.7183355,0.016893633,0.23320939,0.03156146
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.18938118,0.7490171,0.007343105,0.05425862
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,False,0.7676367,0.0109497495,0.0014818875,0.2199316
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,True,0.3466568,0.0049447934,0.00075830857,0.6476401
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,True,0.6552348,0.2127236,0.053784948,0.07825664
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,False,0.05536398,0.015862046,0.8660384,0.06273561
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.20461266,0.55619484,0.0586225,0.18057002
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,True,0.05330847,0.00052261783,0.001253695,0.94491524
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,True,0.6895413,0.03890126,0.13577873,0.13577873
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,True,0.34009728,0.013187003,0.5607256,0.085990064
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.21144374,0.57476366,0.0023489278,0.21144374
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,False,0.8158315,0.05215436,0.046026062,0.085988
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,True,0.14388004,0.0133829275,0.7306831,0.112053886
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.8053736,0.04009719,0.096188165,0.05834107
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,False,0.043428745,0.003145968,0.8722897,0.081135586
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,False,0.23891515,0.06040721,0.30677313,0.39390448
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,True,0.15098384,0.7667592,0.0109372325,0.07131972
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,False,0.025780722,0.00028639796,0.9674145,0.0065183877
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,False,0.0003792375,3.9971335e-05,0.9976548,0.0019259269
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.0016968839,0.00033413625,0.9960461,0.0019228214
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,True,0.99349785,0.0005494881,0.002790531,0.003162086
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,False,0.002452412,0.0006200668,0.9893735,0.0075539597
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.10106063,0.84617025,0.0050315126,0.047737658
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.73684645,0.08800376,0.047105014,0.12804471
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.552333,0.3350069,0.016679011,0.095981084
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,True,0.0009038888,0.0002934497,0.9912344,0.007568168
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,False,0.38109592,0.15886441,0.12372373,0.33631596
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,False,0.9777778,0.0003280079,0.009585796,0.012308406
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.25180578,0.32332504,0.25180578,0.17306343
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,True,0.00013960988,1.6674021e-05,0.99834275,0.0015009476
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.60087514,0.28383332,0.04352725,0.071764305
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,True,0.00831482,0.01067644,0.9610625,0.019946216
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,True,0.23703884,0.019457333,0.013372817,0.73013103
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,True,0.030444838,0.8897286,0.006793162,0.07303337
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,False,0.9811902,0.0014751598,0.0014751598,0.015859462
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,False,0.9617913,0.015545908,0.0027014737,0.01996134
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.99837756,0.00015820423,0.00013961476,0.0013246278
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,False,0.35125983,0.51108,0.037022516,0.10063762
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,False,0.8555864,0.012204284,0.07023081,0.061978474
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,False,0.0011637374,0.00033341636,0.9939002,0.0046026707
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,True,0.87590545,0.043608762,0.0085870745,0.0718987
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,False,0.008553242,0.00037580327,0.002450545,0.9886204
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,False,0.028688382,0.0038825504,0.017400384,0.9500287
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,False,0.69273067,0.2887731,0.00220481,0.016291464
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,True,0.012332716,0.0004781913,0.00748017,0.97970897
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,False,0.14715585,0.0020990656,0.0039215707,0.84682345
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,False,0.15304518,0.41601992,0.36713627,0.063798726
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,False,0.7396526,0.053580254,0.16503881,0.041728344
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,False,0.005150507,0.0024329273,0.9815129,0.010903623
A capacitor can store,charge,energy,Both of these,Neither of these,C,True,0.00023031096,4.535092e-05,0.99892044,0.00080386427
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,False,0.83803105,0.036820516,0.036820516,0.08832782
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,True,0.93378395,0.01710285,0.002622807,0.046490364
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,False,0.22088335,0.09207788,0.006670099,0.68036866
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.0107343625,0.51721054,0.4564367,0.015618405
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,False,9.5880896e-05,0.0003792163,0.99759907,0.0019258193
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,False,0.13091056,0.7533382,0.025777815,0.08997342
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,False,0.230758,0.7107847,0.0069682873,0.05148907
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,True,0.8022145,0.10856792,0.031105231,0.058112226
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,True,0.00033357937,0.0016940559,0.9943861,0.0035863162
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,False,0.11204041,0.013381318,0.8278729,0.04670539
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,False,0.88989323,0.06446365,0.0013379003,0.044305176
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,True,0.12294013,0.4291032,0.018853478,0.4291032
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,True,0.9916123,0.00048400127,0.00033264887,0.0075710537
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,False,0.7474154,0.061351594,0.061351594,0.12988132
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,True,0.055558335,0.86907864,0.0040246323,0.07133832
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,True,0.7442719,0.053914875,0.013631815,0.1881814
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,False,0.33808565,0.045754917,0.557409,0.058750473
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,True,0.6523692,0.06067979,0.100044064,0.1869069
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,True,0.51626015,0.020017577,0.40206382,0.061658483
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.3252974,0.19730283,0.00409489,0.4733049
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,True,0.25050882,0.6809535,0.005199144,0.06333855
"If two protons and two neutrons are removed from the nucleus of neon-20, a nucleus of which element remains?",Magnesium-22,Magnesium-20,Oxygen-18,Oxygen-16,D,False,0.0877049,0.8321209,0.0118695665,0.06830464
"If a star that is 20 light-years from Earth explodes, gravitational waves from the explosion would reach Earth in",less than 20 years.,20 years.,more than 20 years.,None of these.,B,False,0.54289657,0.2905916,0.08325589,0.08325589
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",hydrogen,oxygen,nitrogen,All have same average speed,A,False,0.016867558,0.003321419,0.9209374,0.058873557
The mutual induction of electric and magnetic fields can produce,light,energy,Both of these,Neither of these,A,False,4.5327906e-05,4.0001734e-05,0.99841356,0.001501054
"When a model car speeds up to three times its original speed, its kinetic energy is",the same,twice as great,three times greater,None of these,D,False,0.00015799167,0.00033446838,0.9970362,0.0024714058
"If an iron nucleus split in two, its fission fragments would have",less mass per nucleon,more mass per nucleon,the same mass per nucleon,either more or less mass per nucleon,B,False,0.7834686,0.05008547,0.09357198,0.072873935
The surface of Planet Earth loses energy to outer space due mostly to,conduction.,convection.,radiation.,radioactivity.,C,True,9.506354e-06,7.881044e-06,0.9989504,0.0010322131
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,True,0.80773014,0.123869434,0.016763903,0.051636457
A principal source of the Earth’s internal energy is,tidal friction.,gravitational pressure.,radioactivity.,solar radiation.,C,False,0.14330418,0.003818927,0.028218266,0.82465863
A diffraction grating relies on light,interference,amplitudes,variations in brightness,being composed of photons,A,True,0.97106856,0.0027275316,0.0003257572,0.0258781
A satellite in Earth orbit is above Earth’s,atmosphere,gravitational field,Both,Neither,A,False,0.00010879212,0.0001582916,0.99892896,0.00080387114
The time it takes for a pendulum swinging to and fro refers to its,frequency,period,wavelength,amplitude,B,False,0.5853954,0.402336,0.00011910945,0.012149493
"As entropy in a system increases, energy in the system",becomes more ordered,becomes less ordered,reaches equilibrium,moves toward destruction,B,False,0.83424956,0.12793632,0.009267676,0.028546449
"When water changes to steam, energy is",absorbed by the water,released by the water,conserved as the phase change occurs,changed to a different form,A,False,0.00079492014,0.00042549009,0.987806,0.010973534
"According to Coulomb, a pair of charged particles placed twice as close to each other experience a force",twice as strong,four times as strong,half as strong,one-fourth as strong,B,False,0.5970582,0.31958222,0.020430207,0.06292947
"The factors, both of which will increase the magnetic field strength of an electromagnet, are",increased electrical current and fewer coils of wire,increased diameter of coil and an increase in the number of coils,an increase in the electrical current and using a strong ferromagnetic material like iron,using an air core instead of iron and increasing the diameter of the coil,C,False,0.30762628,0.6512449,0.0043880534,0.03674072
The team that wins in a tug-of-war is the team that,produces more tension in the rope than the opponent,pushes hardest on the ground,Both,Neither,B,False,0.0058700237,0.00029225124,0.98718613,0.006651608
Which type of radiation from cosmic sources predominates on the inside of high-flying commercial airplanes?,Alpha,Beta,Gamma,None of these,C,False,0.13257845,0.033521082,0.070964135,0.7629363
Thermal convection involves mainly,radiant energy,fluids,insulators,All of these,B,False,0.022921763,0.116406314,0.0005390682,0.8601328
A 10-Ω resistor carries 10 A. The voltage across the resistor is,0,more than 0 but less than 10 V,10 V,more than 10 V,D,False,0.031849105,0.005534545,0.9307673,0.031849105
A cannonball is fired horizontally at 10 m/s from a cliff. Its speed one second after being fired is about,10 m/s,14 m/s,16 m/s,20 m/s,B,False,0.42089212,0.28927466,0.0645459,0.22528733
The average speed of a gazelle traveling a distance of 2 km in a time of one-half hour is,1 km/h,2 km/h,4 km/h,greater than 4 km/h,C,False,0.33114967,0.4818199,0.06520723,0.12182315
The metal detectors people walk through at airports operate via,Ohm’s law,Faraday’s law,Coulomb’s law,Newton’s laws,B,True,0.2181934,0.46191543,0.14996198,0.16992919
Sound travels in,solids,liquids,gases,All of these,D,True,0.014003518,0.0011494787,0.0031246075,0.9817224
When a fusion reaction converts a pair of hydrogen isotopes to an alpha particle and a neutron most of the energy released is in the form of,gamma radiation.,kinetic energy of the alpha particle.,kinetic energy of the neutron.,All of these about equally.,C,False,0.17305632,0.043755487,0.0076035634,0.7755846
Polarization is a property of,transverse waves.,longitudinal waves.,all waves.,None of these.,A,False,0.03254057,0.0011134772,0.95097494,0.015371079
The phenomenon of beats results from sound,reflection.,refraction.,interference.,All of these.,B,False,0.0023238945,0.00021615585,0.9375259,0.059934024
"The lowest possible temperature is absolute zero, at",0 kelvin,−273°C,Both are the same,None of these,C,False,0.4727679,0.4727679,0.004634853,0.049829368
Refraction occurs when a wave crosses a boundary and changes,speed and direction,intensity,frequency,amplitude,A,True,0.98985785,0.004045323,0.00090263353,0.0051942975
"When you tap a piece of wood, it will produce a characteristic sound related to its",wavelength,amplitude,period,natural frequency,D,True,0.3345483,0.0129718445,0.027461397,0.6250185
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",increases,decreases,isn’t affected,reduces to zero,B,False,0.79392916,0.121752985,0.044790417,0.039527405
"When white light passes through a prism, the light that bends more than green is",red,yellow,blue,None of these,C,False,0.81101847,0.010209216,0.019073326,0.15969901
"If you travel at high speed, then compared with your friends who “stay at home,” you are",older.,younger.,neither younger nor older.,longer.,B,False,0.010141669,0.001997013,0.91292393,0.07493736
The component of velocity that can remain constant for a tossed baseball is,horizontal,vertical,Either of these,None of these,A,False,0.0024423262,0.001307283,0.98530465,0.010945746
The crystals that make up minerals are composed of,atoms with a definite geometrical arrangement.,molecules that perpetually move.,X-ray patterns.,3-dimensional chessboards.,A,True,0.99769187,0.00020299874,0.00017914576,0.0019259984
"Two vectors, one 3 N and the other 4 N, can have a resultant of",0 N,5 N,8 N,Any of these,B,False,0.18367569,0.07656742,0.013305423,0.72645146
Radioactivity has been around on Earth since the,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,False,0.6640014,0.13074963,0.11538614,0.089862816
"When the shadow of the Moon falls on Earth, we have a",lunar eclipse.,solar eclipse.,solar eclipse if it’s daytime and lunar eclipse if it’s nighttime.,very dangerous event.,B,False,0.45410785,0.013712869,0.5145716,0.017607672
"In both fission and fusion, energy is released while mass",decreases,remains unchanged; is conserved,increases,may decrease or increase,A,False,0.27828768,0.66757745,0.0057756766,0.04835915
"When relatively slow-moving molecules condense from the air, the temperature of the remaining air tends to",remain unchanged,decrease,increase,spread out uniformly,C,False,0.37013835,0.47526705,0.03442823,0.12016633
"If the volume of an object were to double, with no change in mass, its density would",halve.,double.,be the same.,None of these.,A,False,0.21157943,0.03676699,0.6517105,0.09994305
The pressure at the bottom of a pond does NOT depend on the,acceleration due to gravity.,water density.,depth of the pond.,surface area of the pond.,D,False,0.33253673,0.074198976,0.5482604,0.045003954
The blueness of the daytime sky is due mostly to light,absorption,transmission,reflection,scattering,D,True,0.005886727,0.0005475509,0.0035704805,0.98999524
A galvanometer can be calibrated to read electric,current,voltage,Either of these,Neither of these,C,True,0.01575622,0.0010072615,0.9748028,0.008433697
Which of these temperatures is likely when a container of water at 20°C is mixed with water at 28°C?,19°C,22°C,30°C,Higher than 30°C,B,False,0.16046627,0.045974355,0.5600823,0.23347704
To view your full-face image in a steamy mirror compared with the height of your face the minimum height of the patch to wipe away is,one-quarter.,one-half.,the same.,dependent on your distance from the mirror.,B,False,0.3590106,0.015773825,0.52235734,0.10285826
The vibrations in a transverse wave move in a direction,along the wave,perpendicular to the wave,Both of these,Neither of these,B,False,0.004037905,0.00037558365,0.9880427,0.007543799
A 1134-Hz tuning fork is sounded at the same time a piano note is struck. You hear three beats per second. The frequency of the piano string is,1131 Hz,1134 Hz,1137 Hz,More information is needed,D,False,0.7011284,0.1564429,0.03490713,0.10752153
Huygens’ principle for light is primarily described by,waves,rays,particles,photons,A,True,0.56544614,0.07652481,0.015068629,0.34296042
"When the temperature of a strip of iron is increased, the length of the strip",also increases.,actually decreases.,may increase and may decrease.,decreases in width as it gets longer.,A,True,0.7166787,0.075537376,0.1411224,0.06666151
"When light undergoes interference, it can sometimes",build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B,False,0.0066272714,0.00015585848,0.9835743,0.009642622
When the color yellow is seen on your TV screen the phosphors being activated on the screen are,mainly yellow.,blue and red.,green and yellow.,red and green.,D,False,0.012274452,0.00037065631,0.97508043,0.012274452
Which of these does NOT belong in the family of electromagnetic waves?,Light,Sound,Radio waves,X-rays,B,True,0.00086783007,0.9516912,5.9056572e-05,0.047381915
A math book and a physics book sitting on a table are tied together with a length of string. With the string taut one book is pushed off the edge of the table. As it falls the other book is dragged horizontally across the table surface. With no friction acceleration of the books is,zero,g/2,g,a value between zero and g,D,True,0.32512814,0.119607955,0.082205266,0.47305864
A motor and a generator are,similar devices,very different devices,forms of transformers,energy sources,A,True,0.59358025,0.033487506,0.31772062,0.055211566
As more lamps are connected in parallel in a circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,A,False,0.04503496,0.0053786593,0.9045514,0.04503496
Newton’s law of cooling applies to objects that,cool,warm up,Both,Neither,C,True,0.0031539525,0.0007037419,0.9909424,0.0051999884
The fact that the Moon always shows its same face to Earth is evidence that the Moon rotates about its axis about once per,day,month,year,None of these for the moon does not rotate about an axis,B,False,0.8656007,0.038031843,0.01585403,0.08051341
Consider a ball rolling in a horizontal circular path on the inside surface of a cone. The normal force on the ball,is mg,is greater than mg always,may be greater or less than mg,is less than mg always,B,True,0.059168883,0.72082454,0.1608377,0.059168883
The compressions and rarefactions in sound normally travel,in the same direction,in opposite directions,at right angles to each other,None of these,A,True,0.86777407,0.02040809,0.062861346,0.04895646
The power required to raise a 100-kg crate a vertical distance of 2 m in a time of 4 s is,200 W,500 W,800 W,2000 W,B,False,0.87722,0.06354561,0.009745033,0.049489364
The phenomenon of beats is the result of sound,destruction,interference,resonance,amplification,B,True,0.0010242567,0.9912504,0.00015707484,0.00756829
Interference is characteristic of,sound waves,light waves,water waves,All of these,D,False,0.03466691,0.78901523,0.0002646851,0.1760531
"In either a fission event or a fusion event, a quantity that remains unchanged is the",kinetic energy,mass,number of nucleons,binding of nucleons,C,False,0.45421442,0.18934473,0.18934473,0.16709615
The magnetic force on a moving charged particle can change the particle's,speed,direction,Both of these,Neither of these,B,False,0.001028026,0.00048560512,0.99489826,0.0035881635
"If you were to travel at a speed close to the speed of light, you could notice that your own",mass changes.,pulse decreases.,Both of these.,Neither of these.,D,False,0.0013199642,0.0002293754,0.9948626,0.003588035
Electricity and magnetism connect to form,mass,energy,ultrahigh-frequency sound,light,D,True,0.093899176,0.012707871,0.0025023283,0.8908906
Sound travels in air by a series of,compressions,rarefactions,Both of these,Neither of these,C,True,0.00029527923,0.00010862715,0.99741423,0.0021818348
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",amounts of force,accelerations,Both,Neither,A,False,9.5932664e-05,6.593349e-05,0.9981377,0.0017004472
