0,1,2,3,4,5,llama_7B_sharegpt_xc_20000/ckp25k_correct,llama_7B_sharegpt_xc_20000/ckp25k_choiceA_probs,llama_7B_sharegpt_xc_20000/ckp25k_choiceB_probs,llama_7B_sharegpt_xc_20000/ckp25k_choiceC_probs,llama_7B_sharegpt_xc_20000/ckp25k_choiceD_probs
What is the most important prayer in Judaism?,The Shema,The Sefirot,Deuteronomy,The Decalogue,A,True,0.45092008,0.12919077,0.27349687,0.14639232
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,Brahminic orthodoxy,Legalistic asceticism,Bhakti devotionals,Unorthodox practices,A,False,0.09071326,0.07064756,0.3166204,0.5220188
 Which early battle led to the conversion of Mecca?,The Battle of Uhud,The Battle of Camel,The Battle of the Trench,The Battle of Badr,C,False,0.11241768,0.73305535,0.07726347,0.07726347
 What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,Remembering the Divine Name,Meditating on the sacred hymns,Remembering that death is inevitable,Meditating on the goodness of the created world,A,True,0.5469986,0.20122956,0.095054105,0.15671773
" During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",Confucianism,Buddhism,Christianity,Daoism,A,False,0.018420689,0.28814805,0.69123125,0.0022000377
"What is the meaning of the Punjabi word ""Sikh""?",Disciple,Faithful,Devotee,Enlightened,A,True,0.5735518,0.27092665,0.1450166,0.0105049675
 Which of the following shuns politics?,The sages of the Zhuangzi,The Songs of the South,The Duke of Zhou,"The Confucian ""sage kings""",A,False,0.058525994,0.12389954,0.5552792,0.2622953
What does the Hebrew word mashiach mean?,Anointed one,God,Prophet,The line of David,A,False,0.25786158,0.48174885,0.25786158,0.002527986
"According to Jaina traditions, what does the term ajiva mean?",Soul,Sound,Non-matter,Non-soul,D,True,0.14853372,0.07950437,0.31444588,0.45751604
" In the Japanese Zen tradition, what is zazen?",A collection of statues,Veneration of ancestors,Seated meditation,Funeral rituals,C,True,0.00015702916,0.001314789,0.9909621,0.007566089
 What is a central component of tantric Buddhism?,Asceticism,Bodily pleasure,Music,Sexual union,D,False,0.0051311483,0.009586248,0.52339137,0.46189126
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",Loving and forgiving,Wrathful and merciful,Judging and vengeful,Transcendent and immanent,B,False,0.08701123,0.1266006,0.64293087,0.14345726
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia,Babylonia and Europe,Palestine and Spain,Spain and France,A,True,0.7140436,0.26268196,0.019028617,0.0042458586
" In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism,Hinduism,Judaism,Islam,A,True,0.6977303,0.29085726,0.0077510835,0.0036613527
"According to Hindu tradition, which age are we in currently?",Kali yuga,Maha yuga,Krita yuga,Satya yuga,A,False,0.07578399,0.55997217,0.02460346,0.3396403
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,True,0.821302,0.052504078,0.11115114,0.015042671
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,False,0.062666126,0.28085008,0.24784933,0.40863445
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,False,0.102356225,0.8570182,0.017786844,0.02283876
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,False,0.02009061,0.009490131,0.9680198,0.0023994811
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.7729451,0.19543113,0.01102547,0.020598289
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,True,0.108981825,0.33568764,0.55345535,0.0018751358
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,False,0.0002843161,0.006471005,0.9603823,0.032862473
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.07024498,0.14870863,0.75520474,0.025841685
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,False,0.080157645,0.7605146,0.14975421,0.009573466
When was the current Dalai Lama born?,1935,2000,1965,1975,A,False,0.18614179,0.30689594,0.44653094,0.06043139
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.12548666,0.07611151,0.63727385,0.16112806
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,False,0.07403347,0.03497093,0.09506085,0.79593474
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,False,0.31424215,0.40349492,0.24473205,0.037530877
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,False,0.0010553575,0.065292664,0.79542744,0.13822456
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,False,0.005826818,0.10328282,0.86477643,0.026113985
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,False,0.11520106,0.75120527,0.05441713,0.07917645
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,False,0.022207981,0.022207981,0.30657172,0.6490123
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,True,0.15792508,0.62460583,0.20277983,0.014689322
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,False,0.18398993,0.5667289,0.16237055,0.086910695
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,True,0.010436791,0.02503656,0.93949,0.02503656
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,False,0.27478105,0.5817115,0.114545785,0.028961709
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,True,0.99206173,0.0066844593,0.001025095,0.00022872961
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,False,0.05697014,0.1548609,0.78644854,0.0017203492
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.030328063,0.08244023,0.88631594,0.00091582816
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,False,0.018602083,0.19999124,0.698038,0.08336875
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,True,0.6228274,0.22912541,0.039816022,0.10823118
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,True,0.0030801701,0.5869765,0.00652072,0.40342268
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,True,0.003809091,0.6819051,0.25085887,0.06342705
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.0053445194,0.6999939,0.29180086,0.0028607151
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.008970741,0.48978588,0.29707015,0.20417313
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.0034148525,0.9468439,0.017342051,0.03239922
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.015377817,0.9513918,0.03255484,0.0006756541
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,False,0.13357744,0.11788167,0.528309,0.22023195
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,False,0.009546027,0.31612098,0.358212,0.31612098
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.6719168,0.16988717,0.055154286,0.10304178
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,False,0.1287532,0.24054264,0.5770318,0.05367232
 How many books are in the New Testament?,30,29,27,47,C,False,0.0021943087,0.60842097,0.2536276,0.13575707
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,True,0.002412335,0.0065574064,0.9732054,0.017824879
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,True,0.10153385,0.35438797,0.18969022,0.35438797
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.95946014,0.017573126,0.01991296,0.0030537515
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,True,0.09225955,0.7724797,0.06340899,0.07185181
How many Jinas have appeared during our age?,7,42,24,13,C,False,0.025333105,0.8389172,0.08842122,0.04732847
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,True,0.09048939,0.13166128,0.75765836,0.020190911
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.00046163925,0.053358242,0.9457975,0.00038271237
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.00017478784,0.0035107075,0.9734219,0.02289269
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,True,0.0006061491,0.009481767,0.96716654,0.022745578
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.071244754,0.76595324,0.13310272,0.02969923
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.014580295,0.96022826,0.01872147,0.0064699673
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.0002214486,0.025595978,0.960482,0.013700539
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.11691034,0.31779525,0.31779525,0.24749918
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.6594549,0.21409366,0.08924751,0.037203897
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,False,0.18957043,0.07902471,0.6616658,0.06973906
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.13640703,0.15456943,0.6927321,0.016291497
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,False,0.01126411,0.2905052,0.61499953,0.083231136
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.96228456,0.037311822,0.00028487926,0.00011875535
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.003232009,0.89614654,0.073560186,0.027061282
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.0072330367,0.06862514,0.83602536,0.08811642
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.042010844,0.51179683,0.39858776,0.047604524
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.00024701018,0.0072186952,0.9454625,0.047071807
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,False,0.32414493,0.47162807,0.19660382,0.0076231575
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,True,0.06416014,0.034342445,0.119866915,0.78163046
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.87592447,0.10461426,0.009730642,0.009730642
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,False,0.16748688,0.3545697,0.45527652,0.022666883
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.5014155,0.16278577,0.1267777,0.20902108
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.67267627,0.19272499,0.13245781,0.0021409811
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.09745727,0.021745656,0.7201172,0.16067988
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,True,0.151887,0.60072476,0.2209943,0.026394004
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.042329878,0.01764572,0.18970937,0.75031507
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.7303002,0.2092345,0.05994669,0.0005186405
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.6173506,0.33044398,0.05067522,0.0015302591
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.030708548,0.4239184,0.121454656,0.4239184
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,False,0.003084802,0.025828732,0.11575634,0.8553301
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.6270768,0.26140448,0.06609341,0.045425292
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.073855706,0.37507024,0.545724,0.005350089
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.0008030342,0.0011684078,0.997889,0.00013954642
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.0031520685,0.004586233,0.87398124,0.1182805
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,False,0.14345418,0.30369252,0.2087246,0.3441287
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,False,0.10783698,0.7968135,0.08398352,0.011365933
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,False,0.032134097,0.39147344,0.39147344,0.18491895
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.1517552,0.7706765,0.071684085,0.0058841878
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,False,0.10713763,0.05060823,0.79164594,0.05060823
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.0020450682,0.04107629,0.93489206,0.021986555
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.010042902,0.03505317,0.15709741,0.7978065
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.19699608,0.3247916,0.3247916,0.15342069
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,False,0.35389748,0.5149178,0.06149816,0.06968655
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.029589059,0.8647191,0.06264004,0.043051828
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.9785452,0.007471285,0.013958197,2.5313104e-05
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.0023166563,0.7278717,0.14332645,0.12648514
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.52564675,0.24829793,0.17065251,0.05540276
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,True,0.124798656,0.11013443,0.55930877,0.2057582
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.027198354,0.48210236,0.42545384,0.06524546
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.12116027,0.0053234105,0.6972292,0.17628714
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.0006139264,0.007479154,0.9795759,0.012331041
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.0027540326,0.98050356,0.015848365,0.00089410355
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.22207476,0.056149296,0.2516437,0.4701323
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.0034395019,0.025414672,0.95367855,0.017467232
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.0019773615,0.06548123,0.7039895,0.22855192
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.6504349,0.23928164,0.022256657,0.08802679
When was the State of Israel established?,1947,1948,1945,1949,B,True,0.15052962,0.7644525,0.02964104,0.055376757
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,False,0.06359991,0.6837634,0.2515425,0.0010942967
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.0065140347,0.009477864,0.85317016,0.13083789
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,True,0.30337298,0.64224064,0.04105707,0.013329279
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.7383597,0.14539164,0.11323113,0.0030175073
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,False,0.31607404,0.59050405,0.07052565,0.022896327
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,False,0.04534592,0.70932955,0.06597793,0.17934659
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.013762215,0.66310066,0.24394111,0.07919608
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,True,0.17108035,0.08081263,0.5971291,0.15097788
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.0022581962,0.03532413,0.91102135,0.051396307
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,True,0.0018263928,0.010510164,0.041568507,0.9460949
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.003051208,0.84601545,0.14701544,0.0039178287
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,True,0.051570002,0.62825125,0.14018181,0.179997
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.030722296,0.0128069585,0.6992362,0.25723463
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.15154903,0.3635472,0.46680385,0.018099949
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.025007272,0.938391,0.036385365,0.00021635529
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,False,0.014403128,0.023746742,0.7863841,0.17546602
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,True,0.020251868,0.06238015,0.24671827,0.67064977
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.025041342,0.7318153,0.09904043,0.14410298
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.21563701,0.5172863,0.24434873,0.022727974
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,True,0.004955924,0.5728269,0.3936978,0.028519372
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.019266047,0.0761987,0.34149888,0.56303644
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,True,0.026600812,0.0007546069,0.3672129,0.6054317
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,True,0.0036829934,0.024016134,0.42569616,0.5466047
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.07391085,0.07391085,0.057561826,0.79461646
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.13459215,0.08163427,0.25145122,0.5323223
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,True,0.033390313,0.5918575,0.35897973,0.015772467
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,True,0.00090848235,0.0013218339,0.99627185,0.0014978341
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.020251868,0.67064977,0.24671827,0.06238015
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,False,0.11884339,0.15259793,0.5326191,0.19593963
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.24293725,0.18919973,0.3534716,0.21439137
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,True,0.059882164,0.098729,0.7295141,0.11187462
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,True,0.7636814,0.2187984,0.015849702,0.0016705464
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,False,0.0013114597,0.008551791,0.98845273,0.0016839476
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,False,0.028673688,0.002077115,0.9495421,0.019707117
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,True,0.072738975,0.41858387,0.47431767,0.03435946
 The theological term homoousios means which of the following?,of a similar substance,of the same substance,of like substance,of human substance,B,False,0.016478648,0.42498994,0.54569787,0.012833584
"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?",Es,Izanagi,Izanami,Kami,B,False,0.018792827,0.25942698,0.7051956,0.01658461
 The numen of Augustus referred to which of the following characteristics?,Divine power,Sexual virility,Military acumen,Philosophical intellect,A,False,0.000611623,0.009567392,0.013920474,0.9759006
