0,1,2,3,4,5,llama_7B_sharegpt_xc_20000/ckp25k_correct,llama_7B_sharegpt_xc_20000/ckp25k_choiceA_probs,llama_7B_sharegpt_xc_20000/ckp25k_choiceB_probs,llama_7B_sharegpt_xc_20000/ckp25k_choiceC_probs,llama_7B_sharegpt_xc_20000/ckp25k_choiceD_probs
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,False,0.0013919163,0.31995538,0.5977553,0.08089738
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,False,0.009626016,0.86650634,0.10348943,0.020378277
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,True,0.97169197,0.025894713,0.0018758068,0.0005374276
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,True,0.080461174,0.40861556,0.15032126,0.36060196
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.3630655,0.59859383,0.029802231,0.008538482
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,False,0.022896077,0.116275884,0.19170652,0.6691215
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.004861596,0.027976554,0.040705647,0.9264562
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.9854137,0.0040271604,0.009660656,0.00089858094
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.17228293,0.1341741,0.6013265,0.09221641
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.028298149,0.93710595,0.019449012,0.0151469065
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,False,0.85691357,0.07033975,0.07033975,0.0024068938
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.01557053,0.8501221,0.13037045,0.0039368463
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,True,0.031186178,0.3799254,0.15837649,0.4305119
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.40202868,0.21519046,0.16759048,0.21519046
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,True,0.015007058,0.046224993,0.9284538,0.01031419
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.0072453315,0.652204,0.30807933,0.03247132
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,True,0.021047583,0.5428243,0.3292396,0.10688845
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.48783854,0.15837798,0.1233449,0.2304386
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.0076315776,0.88209045,0.10535068,0.004927317
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,False,0.045199126,0.70703334,0.045199126,0.20256844
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,True,0.014586435,0.25855076,0.024048965,0.7028138
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,False,0.0037805417,0.34031352,0.49515325,0.16075273
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,False,0.056688603,0.6094599,0.13598889,0.19786265
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.103212595,0.59394747,0.24759413,0.055245724
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,False,0.067847244,0.12675534,0.5013271,0.30407026
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,False,0.027198339,0.4254536,0.4254536,0.1218945
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,False,0.030489968,0.69394845,0.22529207,0.05026946
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.12040449,0.42025295,0.039089616,0.42025295
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,False,0.060304575,0.087742634,0.34702885,0.504924
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.0020099562,0.43402967,0.18093048,0.38302985
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.030420098,0.8890056,0.050154265,0.030420098
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,True,0.4562309,0.4562309,0.054489013,0.03304926
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,True,0.009040548,0.2331588,0.49359718,0.26420355
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,False,0.010584178,0.1289417,0.5099743,0.35049987
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,False,0.11125448,0.5649969,0.16187432,0.16187432
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,False,0.0037077211,0.057998516,0.90724945,0.031044368
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.00072993577,0.08436911,0.90705335,0.007847549
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,False,0.0030526698,0.061314512,0.8464207,0.08921208
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,True,0.3655293,0.3655293,0.13447072,0.13447072
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.024439216,0.6302957,0.20462705,0.14063798
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.009546027,0.31612098,0.358212,0.31612098
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.06864442,0.83626026,0.041634947,0.05346033
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,False,0.015013814,0.34171283,0.34171283,0.30156052
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,False,0.006060971,0.083669126,0.6182359,0.29203394
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,False,0.057088293,0.61375695,0.25585195,0.07330281
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,True,0.0030035342,0.14471838,0.50511676,0.34716135
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,False,0.17297724,0.47020087,0.13471481,0.22210716
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.030660408,0.6158308,0.32963046,0.02387835
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,False,0.091061614,0.76244956,0.11692543,0.029563377
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,True,0.0011689449,0.012567341,0.105225064,0.88103867
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,True,0.0073094377,0.9573474,0.019869111,0.015474079
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,True,0.05091687,0.107791014,0.7028857,0.1384064
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,True,0.15277398,0.68468547,0.15277398,0.0097665135
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.9900087,0.009705704,0.00017776618,0.000107820626
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,True,0.907568,0.065744005,0.018835971,0.007852001
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,True,0.1966118,0.1966118,0.47164723,0.1351292
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,False,0.0041698935,0.1380879,0.7012682,0.15647408
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,False,0.086782,0.5658897,0.111430295,0.23589793
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,False,0.29915088,0.63330245,0.045876276,0.021670418
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,False,0.03752093,0.4570985,0.40338802,0.101992466
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,True,0.030866377,0.7025155,0.20127407,0.065344125
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,True,0.0024237288,0.01230871,0.0074656103,0.977802
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,False,0.0016018369,0.028393237,0.23773366,0.73227125
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,False,0.01792227,0.7620743,0.116867885,0.10313554
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,True,0.02987788,0.6800174,0.11816931,0.17193532
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,False,0.062053006,0.19113672,0.6671327,0.079677634
A capacitor can store,charge,energy,Both of these,Neither of these,C,True,0.0010334698,0.082098685,0.882644,0.03422382
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,True,0.005947566,0.88269705,0.018319793,0.09303558
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,False,0.019622657,0.9454726,0.015282141,0.019622657
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,False,0.19095409,0.31483006,0.27783656,0.21637933
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.0029993504,0.16375898,0.7339168,0.09932484
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,False,0.22795807,0.20117229,0.546843,0.024026604
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,True,0.012232295,0.16886164,0.75678533,0.062120724
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,True,0.036856104,0.14576872,0.5087828,0.30859238
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,False,0.07329557,0.8929229,0.026963934,0.0068175504
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,False,0.011509687,0.7120791,0.09636942,0.18004179
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,True,0.17310493,0.68464327,0.09265639,0.049595393
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,True,0.0051323893,0.35980827,0.31752968,0.31752968
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,False,0.11283777,0.39384252,0.44628203,0.047037777
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,True,0.63881963,0.20739436,0.06733109,0.08645484
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,False,0.79233706,0.12150883,0.021115066,0.06503899
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,False,0.115922466,0.1686662,0.048323676,0.66708773
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,False,0.0039360393,0.51551944,0.07905747,0.40148693
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,False,0.072739735,0.2538866,0.53747797,0.13589571
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,False,0.11452343,0.5132584,0.2424461,0.12977205
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,True,0.36029124,0.21852769,0.3179559,0.10322517
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.07016812,0.42983186,0.42983186,0.07016812
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,True,0.012091218,0.8476598,0.061404273,0.07884465
"If two protons and two neutrons are removed from the nucleus of neon-20, a nucleus of which element remains?",Magnesium-22,Magnesium-20,Oxygen-18,Oxygen-16,D,False,0.016377112,0.47860935,0.32894307,0.17607054
"If a star that is 20 light-years from Earth explodes, gravitational waves from the explosion would reach Earth in",less than 20 years.,20 years.,more than 20 years.,None of these.,B,True,0.03194254,0.8238089,0.07662617,0.067622356
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",hydrogen,oxygen,nitrogen,All have same average speed,A,False,0.15407519,0.6093792,0.15407519,0.0824705
The mutual induction of electric and magnetic fields can produce,light,energy,Both of these,Neither of these,A,False,0.00039958334,0.035969347,0.92766166,0.035969347
"When a model car speeds up to three times its original speed, its kinetic energy is",the same,twice as great,three times greater,None of these,D,False,0.002986962,0.9384755,0.046723943,0.011813663
"If an iron nucleus split in two, its fission fragments would have",less mass per nucleon,more mass per nucleon,the same mass per nucleon,either more or less mass per nucleon,B,False,0.0006920714,0.022918256,0.8600012,0.11638851
The surface of Planet Earth loses energy to outer space due mostly to,conduction.,convection.,radiation.,radioactivity.,C,False,0.8882829,0.10609026,0.0041135657,0.0015132964
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,False,0.089988045,0.6649267,0.1905047,0.05458051
A principal source of the Earth’s internal energy is,tidal friction.,gravitational pressure.,radioactivity.,solar radiation.,C,False,0.52189827,0.4605736,0.015759962,0.0017682188
A diffraction grating relies on light,interference,amplitudes,variations in brightness,being composed of photons,A,False,0.027204683,0.5464207,0.09495368,0.3314209
A satellite in Earth orbit is above Earth’s,atmosphere,gravitational field,Both,Neither,A,False,0.0076436293,0.11956649,0.77967143,0.093118474
The time it takes for a pendulum swinging to and fro refers to its,frequency,period,wavelength,amplitude,B,True,0.04387241,0.8812009,0.06383398,0.011092682
"As entropy in a system increases, energy in the system",becomes more ordered,becomes less ordered,reaches equilibrium,moves toward destruction,B,True,0.023294866,0.6007825,0.28378955,0.092132986
"When water changes to steam, energy is",absorbed by the water,released by the water,conserved as the phase change occurs,changed to a different form,A,False,0.020402076,0.1708245,0.76558226,0.043191195
"According to Coulomb, a pair of charged particles placed twice as close to each other experience a force",twice as strong,four times as strong,half as strong,one-fourth as strong,B,True,0.008328051,0.6615791,0.27578717,0.054305717
"The factors, both of which will increase the magnetic field strength of an electromagnet, are",increased electrical current and fewer coils of wire,increased diameter of coil and an increase in the number of coils,an increase in the electrical current and using a strong ferromagnetic material like iron,using an air core instead of iron and increasing the diameter of the coil,C,False,0.031156598,0.4873712,0.051368546,0.43010357
The team that wins in a tug-of-war is the team that,produces more tension in the rope than the opponent,pushes hardest on the ground,Both,Neither,B,False,0.0024656355,0.06358959,0.8778271,0.05611761
Which type of radiation from cosmic sources predominates on the inside of high-flying commercial airplanes?,Alpha,Beta,Gamma,None of these,C,False,0.0022522507,0.429203,0.13934182,0.429203
Thermal convection involves mainly,radiant energy,fluids,insulators,All of these,B,False,0.003033966,0.11384873,0.041882608,0.8412347
A 10-Ω resistor carries 10 A. The voltage across the resistor is,0,more than 0 but less than 10 V,10 V,more than 10 V,D,False,0.009541545,0.116239816,0.7579788,0.116239816
A cannonball is fired horizontally at 10 m/s from a cliff. Its speed one second after being fired is about,10 m/s,14 m/s,16 m/s,20 m/s,B,False,0.3588823,0.27949783,0.169524,0.19209586
The average speed of a gazelle traveling a distance of 2 km in a time of one-half hour is,1 km/h,2 km/h,4 km/h,greater than 4 km/h,C,False,0.107985556,0.70415425,0.122363664,0.06549655
The metal detectors people walk through at airports operate via,Ohm’s law,Faraday’s law,Coulomb’s law,Newton’s laws,B,False,0.043471143,0.25015917,0.6800031,0.026366582
Sound travels in,solids,liquids,gases,All of these,D,True,0.013822858,0.11573737,0.11573737,0.75470245
When a fusion reaction converts a pair of hydrogen isotopes to an alpha particle and a neutron most of the energy released is in the form of,gamma radiation.,kinetic energy of the alpha particle.,kinetic energy of the neutron.,All of these about equally.,C,True,0.0035249882,0.13227421,0.7611855,0.10301526
Polarization is a property of,transverse waves.,longitudinal waves.,all waves.,None of these.,A,True,0.9743056,0.01784503,0.0051126867,0.0027366239
The phenomenon of beats results from sound,reflection.,refraction.,interference.,All of these.,B,False,0.007638829,0.197008,0.016171401,0.7791818
"The lowest possible temperature is absolute zero, at",0 kelvin,−273°C,Both are the same,None of these,C,False,0.94132054,0.032210216,0.017240888,0.009228381
Refraction occurs when a wave crosses a boundary and changes,speed and direction,intensity,frequency,amplitude,A,False,0.2625792,0.4905625,0.06639042,0.18046786
"When you tap a piece of wood, it will produce a characteristic sound related to its",wavelength,amplitude,period,natural frequency,D,True,0.104216754,0.19470254,0.17182438,0.52925634
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",increases,decreases,isn’t affected,reduces to zero,B,True,0.066452004,0.71442634,0.10956083,0.10956083
"When white light passes through a prism, the light that bends more than green is",red,yellow,blue,None of these,C,False,0.042826094,0.46042386,0.21748883,0.2792612
"If you travel at high speed, then compared with your friends who “stay at home,” you are",older.,younger.,neither younger nor older.,longer.,B,True,0.025982536,0.86042345,0.10276293,0.0108311325
The component of velocity that can remain constant for a tossed baseball is,horizontal,vertical,Either of these,None of these,A,False,0.11453861,0.24247824,0.58167505,0.061308097
The crystals that make up minerals are composed of,atoms with a definite geometrical arrangement.,molecules that perpetually move.,X-ray patterns.,3-dimensional chessboards.,A,True,0.973579,0.015736438,0.009544632,0.0011399437
"Two vectors, one 3 N and the other 4 N, can have a resultant of",0 N,5 N,8 N,Any of these,B,False,0.0023513183,0.047227487,0.21165892,0.7387622
Radioactivity has been around on Earth since the,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,False,0.07898967,0.27570105,0.51507735,0.13023195
"When the shadow of the Moon falls on Earth, we have a",lunar eclipse.,solar eclipse.,solar eclipse if it’s daytime and lunar eclipse if it’s nighttime.,very dangerous event.,B,False,0.96939653,0.02927324,0.0012861764,4.4010536e-05
"In both fission and fusion, energy is released while mass",decreases,remains unchanged; is conserved,increases,may decrease or increase,A,False,0.0072199902,0.3070018,0.23909326,0.446685
"When relatively slow-moving molecules condense from the air, the temperature of the remaining air tends to",remain unchanged,decrease,increase,spread out uniformly,C,False,0.009184611,0.8267724,0.076901816,0.08714116
"If the volume of an object were to double, with no change in mass, its density would",halve.,double.,be the same.,None of these.,A,False,0.01161113,0.4937178,0.11016333,0.3845078
The pressure at the bottom of a pond does NOT depend on the,acceleration due to gravity.,water density.,depth of the pond.,surface area of the pond.,D,False,0.046857875,0.5708458,0.23796391,0.14433242
The blueness of the daytime sky is due mostly to light,absorption,transmission,reflection,scattering,D,False,0.33731064,0.49078408,0.07526418,0.096641116
A galvanometer can be calibrated to read electric,current,voltage,Either of these,Neither of these,C,True,0.0013145043,0.2838539,0.6809301,0.033901513
Which of these temperatures is likely when a container of water at 20°C is mixed with water at 28°C?,19°C,22°C,30°C,Higher than 30°C,B,False,0.008230028,0.14588073,0.39654493,0.44934428
To view your full-face image in a steamy mirror compared with the height of your face the minimum height of the patch to wipe away is,one-quarter.,one-half.,the same.,dependent on your distance from the mirror.,B,False,0.5775707,0.18750975,0.18750975,0.04740989
The vibrations in a transverse wave move in a direction,along the wave,perpendicular to the wave,Both of these,Neither of these,B,True,0.057495337,0.7936986,0.06515075,0.083655216
A 1134-Hz tuning fork is sounded at the same time a piano note is struck. You hear three beats per second. The frequency of the piano string is,1131 Hz,1134 Hz,1137 Hz,More information is needed,D,False,0.109069854,0.3359588,0.48881716,0.066154204
Huygens’ principle for light is primarily described by,waves,rays,particles,photons,A,True,0.85739815,0.020164073,0.042687338,0.079750456
"When the temperature of a strip of iron is increased, the length of the strip",also increases.,actually decreases.,may increase and may decrease.,decreases in width as it gets longer.,A,False,0.057938885,0.7998216,0.057938885,0.08430058
"When light undergoes interference, it can sometimes",build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B,False,0.004017053,0.15073882,0.31911406,0.52613014
When the color yellow is seen on your TV screen the phosphors being activated on the screen are,mainly yellow.,blue and red.,green and yellow.,red and green.,D,False,0.89618325,0.094457015,0.0068424437,0.0025171943
Which of these does NOT belong in the family of electromagnetic waves?,Light,Sound,Radio waves,X-rays,B,False,0.008267449,0.028856233,0.45138744,0.511489
A math book and a physics book sitting on a table are tied together with a length of string. With the string taut one book is pushed off the edge of the table. As it falls the other book is dragged horizontally across the table surface. With no friction acceleration of the books is,zero,g/2,g,a value between zero and g,D,True,0.051156882,0.25979605,0.13905881,0.54998827
A motor and a generator are,similar devices,very different devices,forms of transformers,energy sources,A,True,0.4740222,0.41832313,0.09334051,0.0143142305
As more lamps are connected in parallel in a circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,A,False,0.11344764,0.7397715,0.07797134,0.06880947
Newton’s law of cooling applies to objects that,cool,warm up,Both,Neither,C,True,0.08090883,0.117721654,0.7676416,0.033727817
The fact that the Moon always shows its same face to Earth is evidence that the Moon rotates about its axis about once per,day,month,year,None of these for the moon does not rotate about an axis,B,True,0.14412683,0.73193645,0.07714553,0.04679113
Consider a ball rolling in a horizontal circular path on the inside surface of a cone. The normal force on the ball,is mg,is greater than mg always,may be greater or less than mg,is less than mg always,B,False,0.009622798,0.055375382,0.76443356,0.17056818
The compressions and rarefactions in sound normally travel,in the same direction,in opposite directions,at right angles to each other,None of these,A,False,0.029847598,0.22054556,0.22054556,0.5290613
The power required to raise a 100-kg crate a vertical distance of 2 m in a time of 4 s is,200 W,500 W,800 W,2000 W,B,False,0.032545216,0.3087804,0.34989405,0.3087804
The phenomenon of beats is the result of sound,destruction,interference,resonance,amplification,B,False,0.0014873134,0.0075532007,0.9892741,0.001685347
Interference is characteristic of,sound waves,light waves,water waves,All of these,D,True,0.010256169,0.26451012,0.0062206816,0.71901304
"In either a fission event or a fusion event, a quantity that remains unchanged is the",kinetic energy,mass,number of nucleons,binding of nucleons,C,True,0.06479238,0.08319506,0.6965837,0.15542884
The magnetic force on a moving charged particle can change the particle's,speed,direction,Both of these,Neither of these,B,False,0.01540396,0.24095847,0.57802933,0.16560818
"If you were to travel at a speed close to the speed of light, you could notice that your own",mass changes.,pulse decreases.,Both of these.,Neither of these.,D,False,0.011965602,0.060766343,0.8388535,0.088414505
Electricity and magnetism connect to form,mass,energy,ultrahigh-frequency sound,light,D,True,0.004965421,0.041574962,0.44697297,0.5064867
Sound travels in air by a series of,compressions,rarefactions,Both of these,Neither of these,C,True,0.021768771,0.30050862,0.49545494,0.1822677
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",amounts of force,accelerations,Both,Neither,A,False,0.00075972435,0.008167806,0.94407004,0.04700248
The nucleus of an electrically neutral iron atom contains 26 protons. The number of electrons this iron atom has is,52,26,24,None.,B,True,0.007690201,0.88886636,0.064389266,0.039054062
To say that a rose petal is red is to say that it,absorbs red,reflects red,emits red,transmits red,B,True,0.20623623,0.71983516,0.027911037,0.04601752
