0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceD_probs
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.9412582,0.053102154,0.0029958186,0.0026438006
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.0027991363,0.9965616,0.00037882192,0.00026036025
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.770696,0.118190065,0.029883126,0.08123076
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.06782875,0.5011905,0.26826796,0.16271272
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.08703472,0.019420072,0.82576245,0.06778271
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.987643,0.0040362715,0.0024481222,0.0058727404
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.013799033,0.85371596,0.089981,0.042504013
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.9973404,0.0005181928,0.0019253199,0.0002160149
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.39066133,0.4426773,0.09877466,0.06788676
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.049300753,0.151857,0.68057585,0.11826635
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.07546008,0.02776021,0.81127226,0.08550747
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,True,0.005844029,0.010918084,0.98281455,0.00042334004
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.0035825176,0.002462226,0.9933328,0.0006225482
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.0019220165,0.0007526725,0.9956292,0.0016961737
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,True,0.111430295,0.23589793,0.086782,0.5658897
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.98035586,0.005829409,0.0014739054,0.0123408595
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.014773902,0.011505926,0.7118465,0.2618737
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.10610183,0.093634546,0.016271243,0.7839924
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.031219319,0.02755095,0.23068129,0.7105484
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.09376512,0.17517631,0.47617856,0.25488
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.0003351301,0.000168514,0.9990088,0.00048761143
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.0027962944,0.0008011518,0.9955498,0.0008528216
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.00825631,0.025431225,0.9542997,0.012012861
What do you call a young cow?,mare,lamb,kid,calf,D,True,0.003104825,0.0011422011,0.020246001,0.97550696
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.0040640067,0.9944296,0.00080025033,0.0007062184
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.004022496,0.98427224,0.005852697,0.005852697
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.010038834,0.0022399668,0.084054135,0.9036671
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,False,0.40527147,0.5896665,0.0035062851,0.0015559046
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.025105458,0.16370815,0.6474783,0.16370815
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,True,0.0008033062,0.0007089152,0.99822694,0.00026079535
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,True,0.022793096,0.002256822,0.005762997,0.9691871
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.013599348,0.953388,0.010591184,0.022421537
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.5294347,0.3638748,0.043458644,0.06323196
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.9985165,0.0010317648,0.00019085729,0.000260871
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.6764511,0.21961151,0.080790564,0.023146883
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.00520547,0.0013161489,0.991987,0.001491392
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.00021638683,0.9990576,0.00029576573,0.0004303366
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.93673354,0.0363211,0.0049155266,0.022029862
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.0095220525,0.0035029675,0.015699212,0.9712758
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.100672565,0.8429211,0.05388614,0.0025202883
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,True,0.14156862,0.81467116,0.024600938,0.01915923
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.9029106,0.09516607,0.0013574711,0.0005658782
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,True,0.10041328,0.06901297,0.74195933,0.088614404
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.030163378,0.77792376,0.038730543,0.15318227
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.0024703052,0.9965922,0.0007077543,0.00022977416
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,True,0.376116,0.62011045,0.0015371002,0.0022364676
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,True,0.033561837,0.8655712,0.020356284,0.08051067
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,True,0.04609724,0.30059177,0.6363528,0.016958227
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.031689096,0.08613989,0.1609305,0.72124046
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.01691184,0.019163625,0.040569395,0.92335516
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.04515514,0.20237131,0.20237131,0.55010223
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.9980568,0.0011686044,0.0006658507,0.00010869714
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,False,0.2706732,0.087874725,0.068436906,0.57301515
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.08800376,0.047105014,0.73684645,0.12804471
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,False,0.31336817,0.6634005,0.0094628995,0.013768437
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.09958002,0.83377326,0.019608468,0.04703827
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.98046106,0.017957771,0.0007412057,0.0008398961
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,True,0.0073345425,0.012092616,0.9606355,0.019937353
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,True,0.16888215,0.3575235,0.3575235,0.11607089
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.003997086,0.9780547,0.003997086,0.013951201
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.0040164953,0.00963507,0.98280394,0.0035445446
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,True,0.42049482,0.026881335,0.53992605,0.012697844
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.015872424,0.26429957,0.5595222,0.1603058
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,True,0.05939063,0.11095631,0.56348264,0.26617035
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.009357882,0.9545299,0.028824305,0.0072879256
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,True,0.052740887,0.5003916,0.30350286,0.1433646
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,True,0.040569395,0.01691184,0.92335516,0.019163625
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,True,0.013724611,0.9621696,0.01762275,0.0064830477
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.7491051,0.24319881,0.0019766022,0.005719488
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.006648269,0.98669064,0.005867077,0.0007940225
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,True,0.0051849573,0.0045757084,0.98807794,0.0021614118
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.0031529428,0.99062514,0.0051983236,0.0010236106
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.000666259,0.00026091078,0.9986688,0.0004041065
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,True,0.00019091304,9.0180925e-05,0.0009107951,0.99880815
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.46220604,0.24740107,0.24740107,0.04299186
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,True,0.015784122,0.2178931,0.40707788,0.35924497
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,False,0.8572465,0.1160157,0.017791584,0.008946171
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,True,0.00090833026,0.000517551,0.0024690977,0.9961051
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,True,0.20350252,0.5531772,0.15848792,0.084832475
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.000968278,0.00055170816,0.000968278,0.99751174
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,True,0.70031,0.06513898,0.17706609,0.057484943
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.47860935,0.17607054,0.32894307,0.016377112
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,True,0.0035017452,0.97093683,0.022834247,0.0027271616
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,0.00048721605,0.00040391626,0.9981987,0.0009102394
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,False,0.10507754,0.28563038,0.32366163,0.28563038
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.2127236,0.6552348,0.053784948,0.07825664
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,True,0.038620412,0.038620412,0.043762658,0.8789965
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.002968271,0.0027884326,0.99275076,0.0014925404
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,True,0.14048833,0.80845445,0.0054473234,0.04560988
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,0.0003798679,0.99931324,0.00019100957,0.00011585316
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.0005879586,0.0004301597,0.9986469,0.00033500872
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,True,0.5739666,0.39448112,0.0119122965,0.019640058
How many sides does a rhombus have?,4,6,8,10,A,True,0.8997753,0.030788617,0.05076185,0.018674241
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.022167342,0.0030000235,0.03225329,0.9425793
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,True,0.00037995382,0.99953926,5.142116e-05,2.9298892e-05
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,True,0.00040428928,0.00029578435,0.0001794023,0.99912053
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,False,0.026728755,0.044068262,0.88513476,0.044068262
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,False,0.33864695,0.63267577,0.007028393,0.021648973
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,True,0.019666728,0.02861492,0.947596,0.00412237
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,False,0.19010353,0.042417828,0.751874,0.015604647
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,False,0.023368726,0.071980745,0.6829343,0.2217163
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,True,0.46527094,0.41060016,0.04327694,0.080851965
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,True,0.22592203,0.15527378,0.3287146,0.2900896
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,True,0.40608156,0.59084517,0.0010714941,0.0020018145
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,True,0.029492274,0.07074829,0.03786883,0.8618906
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.017802732,0.9719962,0.005100568,0.005100568
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,True,0.9989724,0.00091094495,5.4706496e-05,6.199058e-05
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,True,0.08684191,0.12635423,0.05968551,0.7271184
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,True,0.0010316891,0.9984433,0.00016841861,0.00035654224
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,True,0.001323905,0.9978327,0.0004870374,0.0003563242
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,True,0.008541781,0.003142346,0.9872957,0.0010201703
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,True,0.038966447,0.016243631,0.6906968,0.25409314
In British currency how many pence make a pound?,10,100,500,1000,B,True,0.10840259,0.48582667,0.027408466,0.37836218
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,True,0.009281891,0.9467787,0.036710594,0.0072287447
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,False,0.37878898,0.37878898,0.15790273,0.084519245
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,True,0.13787344,0.023958812,0.04476095,0.79340684
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.03601769,0.92890847,0.024754573,0.01031924
How many stars are on the American flag?,13,48,50,51,C,False,0.78155005,0.119854584,0.08237477,0.016220553
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,True,0.15031114,0.3605777,0.026120162,0.46299094
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,True,0.044444736,0.0346136,0.6952327,0.225709
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,False,0.48600394,0.03989363,0.42889696,0.04520541
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,True,0.063173026,0.769605,0.11802275,0.049199197
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,False,0.039088815,0.014379971,0.056873888,0.8896573
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,False,0.051570043,0.71190244,0.096345514,0.1401819
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,False,0.058377303,0.02147581,0.0069721746,0.9131747
In the children's game what color is 'Rover'?,Green,black,red,blue,C,False,0.5508769,0.26021582,0.031078348,0.15782888
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,True,0.028141186,0.03188814,0.9319081,0.008062584
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,False,0.04182198,0.057163868,0.42238703,0.4786272
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,False,0.28795016,0.038969815,0.41896498,0.2541151
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,True,0.08211782,0.8828497,0.014269936,0.020762635
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,True,0.14832453,0.16807371,0.018857349,0.66474444
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.0024654523,0.0014047723,0.0014953723,0.9946344
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,True,0.0019156636,0.9923383,0.0016905672,0.00405546
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,True,0.18972708,0.079090014,0.45513162,0.27605128
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,0.008358031,0.13074161,0.008358031,0.85254234
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.00037971706,0.00021635625,0.00048756634,0.9989164
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,True,0.09924224,0.18540892,0.06820812,0.6471407
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.2700561,0.18560666,0.30601364,0.23832366
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,False,0.13992852,0.014748357,0.805233,0.04009019
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,True,0.001031629,0.00040399173,0.9983852,0.00017927025
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,True,0.0016986841,0.9971028,0.001030304,0.0001681925
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,True,0.07446496,0.80057377,0.016615378,0.10834587
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,False,0.00397814,0.1800644,0.8069926,0.008964878
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,True,0.006586892,0.97758144,0.012305934,0.0035257093
