0,1,2,3,4,5,llama_7B_ds_alpacafirstturn_20000/epoch2_correct,llama_7B_ds_alpacafirstturn_20000/epoch2_choiceA_probs,llama_7B_ds_alpacafirstturn_20000/epoch2_choiceB_probs,llama_7B_ds_alpacafirstturn_20000/epoch2_choiceC_probs,llama_7B_ds_alpacafirstturn_20000/epoch2_choiceD_probs
In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?,2%,25%,50%,75%,D,False,0.08407836,0.48383754,0.13862178,0.2934623
"In Sub-Saharan Africa, as of 2020,",no nation has been able to grow in the past years.,the Democratic Republic of Congo has become poorer than it initially was in 1980.,some countries have had relatively significant growth rates.,"some countries have had relatively significant growth rates, but the Democratic Republic of Congo has become poorer than it initially was in 1980.",C,True,0.09398472,0.05700462,0.47729382,0.3717168
"World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?",15.50%,34.80%,48.10%,65.20%,B,False,0.3128364,0.27607715,0.24363723,0.16744927
How many children between the ages of 5-14 worked globally as of 2012?,5 million,30 million,150 million,500 million,C,False,0.2087246,0.3441287,0.14345418,0.30369252
"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,","Colombia, Peru, Uruguay, and Costa Rica.","Bhutan, Niger, Cambodia, and Costa Rica.","Uruguay, Costa Rica, Timor-Leste, and Pakistan.","Bhutan, Cambodia, Uruguay and Costa Rica.",A,True,0.47894785,0.06481854,0.083228655,0.37300497
The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,10%,20%,40%,80%,B,False,0.11838213,0.321796,0.19517915,0.36464265
The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,38%,58%,78%,98%,C,False,0.22709173,0.42426318,0.121553436,0.22709173
"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?","True, True","True, False","False, True","False, False",B,False,0.8742529,0.09214558,0.011714995,0.021886492
"In 2017, about how many people died from terrorism globally?",260,"2,600","26,000","260,000",C,False,0.28293332,0.3632936,0.104085356,0.24968779
In 1935 roughly how many Americans were in favor of Social Security act?,90%,70%,50%,30%,A,False,0.3412776,0.43820912,0.059305154,0.16120812
Which of the following countries emitted the most CO2 per capita in 2017?,Japan,Canada,Russia,Iran,B,False,0.06856543,0.041587036,0.23931688,0.6505307
"As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?",59%,69%,79%,89%,C,False,0.35540646,0.3136451,0.11538358,0.21556492
"What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",9%,19%,39%,59%,B,False,0.17589992,0.22585997,0.22585997,0.37238014
The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,18%,38%,58%,78%,B,True,0.19159609,0.45961514,0.13168195,0.21710682
"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",24%,39%,54%,69%,A,True,0.48534,0.17854661,0.15756683,0.17854661
"As of 2015, the global fertility rate was about",1.5 children per woman,2.5 children per woman,3.5 children per woman,4.5 children per woman,B,False,0.6270768,0.26140448,0.045425292,0.06609341
What is the median international income as of 2020?,$300 ,"$1,000 ","$10,000 ","$30,000 ",C,False,0.10923178,0.29692274,0.29692274,0.29692274
Before being reelected for a third term as president how many Americans approved of running a third time?,20%,40%,60%,80%,C,False,0.13361834,0.3632123,0.28287002,0.2202994
"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?",41%,56%,71%,86%,B,False,0.38084772,0.38084772,0.058404893,0.17989972
Public spending on education in the world is about what percentage of global GDP as of 2017?,1%,2%,4%,8%,C,False,0.28108826,0.21891177,0.21891177,0.28108826
"As of 2013, which of the following countries had the highest per capita rate of homelessness?",US,Chile,Ireland,Spain,A,False,0.067926764,0.14380097,0.14380097,0.6444712
"Overall, the growth rate of average incomes in less developed countries between 1960 and 1995",was approximately zero,exceeded that of high income countries,exceeded that of Britain during the industrial revolution,was approximately 3.0% per year,C,False,0.1931963,0.21892008,0.062721655,0.525162
"As of 2015, about what percentage of the world’s land area is forested?",15%,30%,45%,60%,B,False,0.1395752,0.29548073,0.33482352,0.23012061
The greatest population growth rate has taken place,"in Africa, which is the poorest region of the world with the lowest overall economic growth.","in Asia, which is the poorest region of the world with a steady overall economic growth.","in Asia, which is the poorest region of the world with the lowest overall economic growth.","in Africa, which is the poorest region of the world with a steady overall economic growth.",C,False,0.17686196,0.1072722,0.29159608,0.4242698
The global HIV/AIDS death rate is highest for which of these age groups?,Under 5,14-May,15-49,over 50,C,True,0.019349951,0.05960205,0.82278085,0.09826716
"As of 2015, agriculture made up about what percentage of total US GDP?",1%,3%,9%,20%,A,False,0.169524,0.3588823,0.27949783,0.19209586
"As of 2017, what percentage of Indians live in urban areas?",19%,34%,49%,64%,B,True,0.1493358,0.35823798,0.24621314,0.24621314
"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?","True, True","True, False","False, True","False, False",A,True,0.91612434,0.045611143,0.012276073,0.025988448
"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?",80%,40%,-40%,-80%,B,True,0.18774992,0.45038867,0.08868679,0.27317455
"As of 2013, share of people in the United States who think political parties are corrupt is",36%,56%,76%,96%,C,False,0.4313794,0.33595863,0.109069794,0.12359227
Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,China,Japan,Chile,India,C,False,0.16151878,0.067331046,0.20739423,0.5637559
"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?","$150,000 ","$75,000 ","$35,000 ","$15,000 ",C,False,0.34366152,0.18394876,0.23619488,0.23619488
In 1943 how many Americans believed in the Holocaust?,30%,50%,70%,90%,B,False,0.21230327,0.30889943,0.12876844,0.3500289
Which of the following countries emitted the most CO2 in 2017?,Canada,Russia,Iran,Japan,D,True,0.05988217,0.09872901,0.111874625,0.7295142
"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.","India, Congo","India, South Korea","Congo, South Korea","South Korea, India",A,True,0.7816306,0.13582703,0.01838219,0.064160146
"As of 2013, share of people in the India who think political parties are corrupt is",26%,46%,66%,86%,D,False,0.36617643,0.28517848,0.15264504,0.19600013
"As of 2019, about what percentage of French people say God plays an important role in their life?",11%,31%,51%,71%,B,True,0.1395752,0.33482352,0.29548073,0.23012061
"As of 2017, the share of GDP spent on the military by the United States is about",1%,3%,6%,10%,B,False,0.2821834,0.24902599,0.21976466,0.24902599
"As of 2017, the share of global deaths by suicide is about",0.70%,1.40%,2.80%,5.60%,B,False,0.39325345,0.21049342,0.21049342,0.18575977
Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included,artificial political boundaries that covered diverse ethnic groups with little in common,inadequate access to higher education and training for nationals under the colonial administration,control of domestic commerce by foreign minority groups which had been brought in by the colonial power,all of the above,D,True,0.14662899,0.061124057,0.047603462,0.74464345
Which of the following mental disorders is most prevalent in the world?,Bipolar disorder,Schizophrenia,Alcohol use disorders,Anxiety disorders,D,True,0.29503047,0.10853565,0.04524439,0.5511895
"As of 2017, how many people in the world have some access to electricity?",60%,70%,80%,90%,C,False,0.14658469,0.24167728,0.21327947,0.39845848
Before Nixon resigned how many believed he should be removed from office?,79%,98%,33%,57%,D,False,0.46550965,0.3199398,0.043299146,0.17125143
