0,1,2,3,4,5,llama_7B_ds_followturn_20000/epoch3_correct,llama_7B_ds_followturn_20000/epoch3_choiceA_probs,llama_7B_ds_followturn_20000/epoch3_choiceB_probs,llama_7B_ds_followturn_20000/epoch3_choiceC_probs,llama_7B_ds_followturn_20000/epoch3_choiceD_probs
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,True,0.20081756,0.70092213,0.08371321,0.014547175
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,False,0.061774533,0.7525679,0.037468147,0.14818941
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,False,0.18607986,0.5731663,0.11286314,0.12789069
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,False,0.41182792,0.5287975,0.04340634,0.0159683
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,False,0.06551121,0.9043544,0.021268377,0.008865979
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.06856543,0.23931688,0.6505307,0.041587036
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.038606793,0.87868655,0.05617255,0.026534036
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.2533478,0.473316,0.11967303,0.1536632
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,True,0.03617275,0.23587598,0.08677392,0.64117736
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,False,0.0018717984,0.02012373,0.9696156,0.008388818
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,True,0.2207728,0.41245788,0.17193802,0.1948313
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,False,0.10544079,0.4725528,0.13538864,0.28661776
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,True,0.0932795,0.6082587,0.28732106,0.011140647
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,False,0.031051628,0.3338365,0.62368864,0.011423256
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,True,0.053717215,0.8402786,0.08856472,0.017439427
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,False,0.21029812,0.504479,0.238299,0.046923857
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,True,0.16422002,0.7359831,0.07757204,0.022224763
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,True,0.005895593,0.9914863,0.0019140189,0.0007041282
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,True,0.5018252,0.30437237,0.18461119,0.0091912495
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,True,0.1910741,0.1910741,0.5885497,0.029302161
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,False,0.0040587625,0.99314636,0.002172499,0.00062243134
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,False,0.42796972,0.549524,0.018803677,0.0037026636
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,True,0.20117229,0.22795807,0.546843,0.024026604
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,True,0.16499732,0.6525771,0.14560963,0.03681588
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,False,0.10848127,0.48617932,0.2026697,0.2026697
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,False,0.22469613,0.6107874,0.12027117,0.04424529
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,True,0.1948313,0.41245788,0.17193802,0.2207728
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,True,0.007510443,0.98367393,0.007510443,0.0013051193
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,True,0.8332635,0.14479949,0.01959648,0.0023404658
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,False,0.26381654,0.43495992,0.16001281,0.14121081
What is the term for the extent to which competition in one country is influenced by competition in other countries?,International trade,Global economics,Global competition,Globalisation,D,False,0.072505124,0.5357444,0.36821142,0.023538968
As what are key factors that reflect the situation of an organisation referred to?,Administrations,Processes,Activities,Contingencies,D,False,0.14726783,0.7478878,0.08932246,0.015521916
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,False,0.23968348,0.50740993,0.16473189,0.088174626
What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D,False,0.0075441324,0.98808634,0.004038083,0.00033146603
What does the acronym SMART stand for?,"Suitable, measurable, actionable, rewarded and timely","Specific, measurable, actionable, resourced and timely","Standardised, measurable, achievable, rewarded, and timely","Specific, measurable, achievable, rewarded and timely",D,False,0.04023941,0.80823016,0.08518683,0.06634357
Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?,Merton,Weber,Gouldner,Mayo,C,False,0.059248473,0.9268021,0.009086047,0.004863411
What is the optimal span of control?,2,5,7,None of the above,D,False,0.06338495,0.6814524,0.2212352,0.033927515
What one of these is not a recognised type of authority?,Executive,Functional,Line management,Supplier,D,False,0.20122956,0.5469986,0.15671773,0.095054105
Which one of the following is not a characteristic of a team?,Minimal and formal knowledge sharing,Collective output,Individual and collective responsibility,Fluid dimension to roles and tasks,A,False,0.17036821,0.3182897,0.19305246,0.3182897
Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?,Ethical,Economic,Discretionary,Technical,D,False,0.17019323,0.5940327,0.13254662,0.10322741
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,Product development,Market penetration,Diversification,Market development,B,True,0.21203792,0.74008507,0.032517068,0.015359975
What is characteristic for the location of a virtual team?,In the same building,In the same industry,In the same country,remotely,D,True,0.029975155,0.17249513,0.19546257,0.6020671
"According to the Five Factor model, 'extraversion' as a personality type is characterised by what type of people?",Good natured,Calm and self-confident,Sensitive and curious,Assertive and sociable,D,False,0.25585195,0.61375695,0.057088293,0.07330281
What is the overriding philosophy underpinning the strategic direction of an organisation?,Vision statement,Mission statement,Strategy statement,Business statement,B,False,0.12587337,0.30195454,0.5641253,0.008046815
What is the term for the action in which managers at an organisation analyse the current situation of their organisation and then develop plans to accomplish its mission and achieve its goals?,Synergy planning,Strategy formulation,Functional planning,SWOT analysis,B,True,0.029208755,0.96726114,0.0023976008,0.0011325463
What is Frank Gilbreth`s work most noted for?,Working conditions,Time and motion studies,Work psychology,Work as a social setting,B,True,0.04177983,0.95090455,0.0038861297,0.0034294974
What is another name for contingency planning?,Synergy planning,Ad hoc planning,Business level planning,Scenario planning,D,False,0.12563029,0.34149855,0.49687743,0.03599368
Which feature does not form one of Fayol's 14 principles of management?,Esprit de corps,Initiative,Order,Individualism,D,False,0.22207285,0.5327251,0.1526283,0.09257374
What one of the following is not a characteristic of the job characteristics model?,Task identity,Autonomy,Reward,Feedback,C,False,0.21789497,0.46128368,0.21789497,0.10292631
Workers' acceptance of change is characteristic of what type of culture?,Team culture,Collaborative culture,Group culture,Collective culture,B,True,0.21961151,0.6764511,0.080790564,0.023146883
What is a virtual organisation?,An organisation that uses information and communications technologies (ICT's) to coordinate activities without physical boundaries between different functions,An organisation that uses internet technologies to sell products to customers,An organisation that manages the supply chain using digital technologies,An organisation that coordinates the workforce via video conferencing,A,True,0.56741756,0.30371675,0.11173114,0.017134527
From what does a chain of command extend?,Bottom to top,Top to bottom,Diagonally,Laterally,B,True,0.43038687,0.5526277,0.014727029,0.002258463
"What do you call a style of leadership that takes account of others' views, opinions and ideas?",Laissez-faire,People-oriented,Democratic,Autocratic,C,False,0.013779759,0.9660357,0.02004943,0.00013509202
What is the guiding principle of scientific management?,Experimentation,Fluid working relationships,Freedom of association,One best way to do a job,D,True,0.008066415,0.16201828,0.0071185865,0.8227967
What is the term Tuckman uses for reaching consensus as a group?,Storming,Performing,Forming,Norming,D,False,0.10118568,0.74766666,0.14722429,0.0039233947
What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,Expectancy,Instrumental,Classical,Contingency,A,False,0.032632593,0.8416057,0.047480144,0.07828153
What is the term for decisions limited by human capacity to absorb and analyse information?,Cognitive rationality,Conscious rationality,Bounded rationality,Restricted rationality,C,True,0.12876023,0.3500066,0.5092566,0.011976568
What is a definition of an objective?,A defined specified outcome to be achieved in the long-term,A clear set of goals to be attained given a set number of resources,A clearly defined and measurable outcome to be achieved over a specified timeframe,A set standard of performance agreed by workers and managers,C,True,0.055558335,0.07133832,0.86907864,0.0040246323
What is not a purpose of an organisational structure?,To coordinate people and resources,To organise lines of communication,To formalise authority,To limit workers' rights,D,False,0.14167531,0.4944954,0.18191469,0.18191469
To what time-frame do strategic plans relate?,Long-term,Medium-term,Short-term,Unspecified time it takes to achieve an aim,A,True,0.49898717,0.44035462,0.05259286,0.008065376
What is the term for organisational development through a formally designed organisational structure?,Organic,Mechanistic,Formal,Structured,B,False,0.014095593,0.10415313,0.87206346,0.00968775
'There is no discernible link between planning and performance'. Who is this position held by?,Michael Porter,Milton Friedman,Gary Hamel,Henry Mintzberg,D,False,0.10480418,0.2848873,0.41450858,0.19579999
What does situational theory of leadership emphasise?,Personality traits,Events,Environment,Political situation,B,False,0.032257095,0.39297187,0.57177067,0.0030003772
What is intuitive decision making based on?,Guesswork,Gambling,Instinct,Rationality,C,True,0.11831301,0.3644297,0.46793702,0.0493202
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D,False,0.02515673,0.23868042,0.7351875,0.00097543234
Which 18th century writer produced a famous book called 'The Wealth of Nations'?,Frederick Taylor,Henry Mintzberg,Adam Smith,Dr Samuel Johnson,C,True,0.008276693,0.1467079,0.8442457,0.0007698524
Which one of these characteristics is most commonly associated with the 'rational goal' model of management?,Worker welfare,Health and safety,Interpersonal relationships,Productivity,D,True,0.0325283,0.27235612,0.041767165,0.6533484
In what order do managers typically perform the managerial functions?,"organising, planning, controlling, leading","organising, leading, planning, controlling","planning, organising, leading, controlling","planning, organising, controlling, leading",C,False,0.17708068,0.7936205,0.016471067,0.012827681
How does lateral communication in an organisation occur?,Information passes upwards.,Information passes downwards.,Information is a two-way process.,Information passes between different departments and functions.,D,False,0.0113649005,0.15688762,0.79674107,0.03500636
Of what is advertising a form?,Focusing strategy,Differentiation,Cost leadership,Growth,B,True,0.27478105,0.5817115,0.114545785,0.028961709
What is not a component of an agile organisation?,Market focus and position,Human resources: multi-skilling,Organisational structure,Project-based culture,D,False,0.12881424,0.39677578,0.30900928,0.16540074
Of what is worker autonomy in decision making an example?,Worker freedom,Greater worker negotiation,Worker empowerment,Increased worker power,C,True,0.07457089,0.29493356,0.6243744,0.0061211507
Vertical integration forwards is when a firm mergers or acquires another,Towards the source of supply,Towards the consumer,At the same stage of the supply chain,In another industry,B,True,0.24062313,0.39672047,0.30896622,0.053690277
What is the term for an autonomous business entity within an overall corporate enterprise which is set apart from other areas of the business?,Subsidiary,Strategic partnership,Strategic alliance,Strategic business unit,D,False,0.6158601,0.1999405,0.17644688,0.007752535
What is not a characteristic of a corporate social responsibility framework?,Retaining the status quo,Understanding society,Harnessing diversity,Building capacity,A,False,0.27828377,0.4588124,0.13145195,0.13145195
What is a whistleblower?,Someone who reports illegal or unethical acts,Someone who commits illegal or unethical acts,Someone who benefits from illegal or unethical acts,Someone who devises illegal or unethical acts,A,True,0.9675385,0.022754325,0.0057531944,0.003954109
What is T-group training?,A group whose aim is transformational change,A group brought together to deliver training programmes,Team training for the purposes of advancing technology,Team building activities involving learning,D,False,0.050946157,0.90304226,0.018742044,0.027269514
What is a social enterprise concerned with?,Profit maximisation,Maximising market share,Providing public service,Running a business to create social benefits,D,False,0.003942965,0.029134791,0.96481174,0.0021105171
Which of the following is not part of Schein's model of the formation of culture?,Shared values,Pre-conceptions,Shared beliefs,Norms,B,True,0.19638038,0.60489416,0.06375537,0.13497013
What is not one of the layers of cultural influence?,Social,Business,Organisational,Company,D,False,0.23690219,0.50152194,0.09875553,0.16282034
