0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptvic_Tptalpaca_correct,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptvic_Tptalpaca_choiceA_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptvic_Tptalpaca_choiceB_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptvic_Tptalpaca_choiceC_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptvic_Tptalpaca_choiceD_probs
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.016805312,0.1095844,0.4911232,0.38248715
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,False,0.016113125,0.3040324,0.56800723,0.11184726
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.1082614,0.45579752,0.31326476,0.12267624
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,False,0.09194414,0.22056252,0.46693087,0.22056252
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.008975207,0.23147364,0.5552764,0.20427477
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.032523807,0.28988153,0.42177513,0.25581956
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.3890722,0.16218942,0.3890722,0.059666157
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.02882466,0.29111877,0.4799737,0.20008281
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,False,0.097279936,0.124909915,0.7188069,0.059003264
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,True,0.13518225,0.23725224,0.53465617,0.092909314
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.029518656,0.29812786,0.49152976,0.1808237
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.03221325,0.30563077,0.3924377,0.26971823
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,True,0.02622299,0.19376317,0.67629987,0.103713945
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.009213631,0.06395528,0.8828753,0.043955773
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.0016366154,0.02560097,0.96066934,0.012093042
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.09100338,0.19265416,0.5236883,0.19265416
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,False,0.034825675,0.22709191,0.4807536,0.25732887
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.117186435,0.17050526,0.5951218,0.117186435
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,True,0.0086294105,0.19640447,0.47114983,0.32381624
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,True,0.021263435,0.22860347,0.5483912,0.20174186
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.01779,0.21672657,0.5199,0.24558337
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.0019542617,0.12870365,0.7406384,0.12870365
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.013526965,0.09389575,0.7861795,0.10639782
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.0065067494,0.17863418,0.7065119,0.10834712
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.08568666,0.20555161,0.63314354,0.075618215
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.022309603,0.3954472,0.3954472,0.18679602
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.09224856,0.3219791,0.41342935,0.17234299
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,True,0.007438245,0.1403494,0.55509263,0.29711968
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,False,0.041620824,0.27140185,0.44746602,0.23951131
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.021086728,0.22670372,0.5108847,0.24132484
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,True,0.015946273,0.34094635,0.5621255,0.08098186
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.013306847,0.1522888,0.4690825,0.36532182
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,False,0.033915076,0.2354173,0.38813752,0.34253016
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,False,0.05056554,0.21288888,0.4797525,0.25679302
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,False,0.15470977,0.25507328,0.5399901,0.05022691
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,True,0.013421324,0.16350521,0.5361129,0.28696057
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.019038219,0.07073557,0.760479,0.1497472
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,False,0.010126226,0.31501764,0.45834795,0.21650824
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,False,0.03561734,0.29822037,0.43390805,0.23225425
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,True,0.029132867,0.25965843,0.37780076,0.333408
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,True,0.05821378,0.29563397,0.58793837,0.05821378
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.014566333,0.13820152,0.61937624,0.22785579
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,False,0.060290746,0.16388723,0.64818656,0.12763551
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.07127846,0.46479392,0.28191176,0.18201591
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.012823486,0.13786547,0.42465553,0.42465553
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.035095386,0.7987673,0.13880494,0.027332315
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,True,0.06637548,0.67036855,0.21763681,0.045619152
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.042826094,0.2792612,0.46042386,0.21748883
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,True,0.024569895,0.16021585,0.633666,0.18154834
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,True,0.03493108,0.33141682,0.37554446,0.2581077
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,False,0.007428693,0.21709822,0.45959696,0.31587607
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,True,0.01921357,0.13336861,0.5274831,0.31993467
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,False,0.26193625,0.23115793,0.43185985,0.07504599
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,False,0.030764539,0.1467694,0.5804843,0.24198183
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.0022194267,0.12899183,0.5781012,0.29068756
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,False,0.10720508,0.3741825,0.42400432,0.09460815
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.03953433,0.54575455,0.33101687,0.083694175
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,False,0.10846834,0.334106,0.3785917,0.17883405
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,True,0.10480418,0.19579999,0.41450858,0.2848873
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,False,0.011368494,0.2754334,0.5830925,0.13010553
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.013110765,0.4621704,0.40786394,0.11685497
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.01474941,0.15857111,0.71066636,0.116013095
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,True,0.030595286,0.19950633,0.61452276,0.15537569
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.015525708,0.13837913,0.51414084,0.33195427
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,True,0.017634083,0.17809792,0.4272347,0.3770333
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,True,0.022144383,0.36873704,0.47346774,0.13565078
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,False,0.041396722,0.19749272,0.4737604,0.2873502
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,True,0.021314658,0.14795305,0.66307956,0.16765277
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,False,0.05824248,0.29577973,0.48765832,0.15831947
An airplane's black box is usually what color?,black,white,orange,purple,C,True,0.042657766,0.27816355,0.58887225,0.09030649
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.07593191,0.410484,0.31968525,0.1938989
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,True,0.012389634,0.21961151,0.6764511,0.0915477
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.03950098,0.6577504,0.18844865,0.114299886
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.0062107034,0.045891237,0.9217501,0.02614804
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,False,0.010022391,0.054180536,0.5824956,0.35330147
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.024925305,0.11891198,0.5329265,0.32323626
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,True,0.010800799,0.29652163,0.4888815,0.20379612
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,False,0.03928051,0.25614113,0.47853458,0.22604373
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,False,0.014339365,0.12006204,0.6909093,0.17468923
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,False,0.07283616,0.1979892,0.47495142,0.2542232
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,False,0.015345268,0.18694364,0.44845447,0.3492567
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,False,0.025665669,0.15722127,0.48427564,0.33283746
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.034798842,0.22691697,0.61682427,0.1214599
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,False,0.006744537,0.23775312,0.5703401,0.18516232
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,0.0020751264,0.07786854,0.8371657,0.08289063
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,False,0.013031603,0.2965979,0.45937982,0.23099068
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.02206795,0.28618154,0.36746436,0.32428616
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,False,0.015047046,0.19513305,0.46809986,0.32172003
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.0007729969,0.018728,0.9605632,0.019935852
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,False,0.028918678,0.16641551,0.45236424,0.35230163
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,False,0.011248122,0.39650998,0.50912887,0.08311301
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.0036841058,0.078769654,0.79554534,0.122000836
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,False,0.025457717,0.45124885,0.3101385,0.21315487
How many sides does a rhombus have?,4,6,8,10,A,False,0.048251368,0.26084444,0.43005976,0.26084444
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.008196761,0.06863064,0.34853518,0.57463735
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,False,0.021557275,0.33721253,0.5559695,0.08526068
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,False,0.02807561,0.266374,0.43917644,0.266374
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,True,0.004303081,0.0594022,0.4389262,0.49736854
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,False,0.024961926,0.23683217,0.5013737,0.23683217
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,True,0.04114533,0.2520457,0.5335807,0.1732283
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,False,0.010483651,0.197812,0.53770876,0.25399563
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,False,0.028639546,0.04721863,0.5752407,0.3489011
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,False,0.07117209,0.3189712,0.3614417,0.24841501
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,True,0.05765374,0.20123132,0.48272884,0.25838614
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,True,0.049957186,0.39294368,0.34677157,0.21032761
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,False,0.010402319,0.18438552,0.5012118,0.30400035
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.008760724,0.6959505,0.25602588,0.039262842
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,True,0.3833679,0.33832097,0.23252438,0.04578677
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,False,0.016130725,0.252327,0.56862766,0.16291456
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,True,0.020831153,0.5046927,0.3468699,0.12760629
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,True,0.011414291,0.58544147,0.3550882,0.04805596
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,True,0.019351881,0.11136238,0.8228629,0.04642275
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,False,0.05051464,0.3293968,0.3293968,0.29069167
In British currency how many pence make a pound?,10,100,500,1000,B,False,0.037100352,0.2575275,0.37470028,0.33067182
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,False,0.027287267,0.24320877,0.51487297,0.21463098
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,False,0.02010173,0.2448892,0.45751324,0.2774958
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,False,0.022835856,0.33557045,0.38025114,0.26134253
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.046923857,0.238299,0.504479,0.21029812
How many stars are on the American flag?,13,48,50,51,C,False,0.030049702,0.23635921,0.34390062,0.38969046
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,False,0.00298195,0.11189684,0.4425606,0.4425606
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,False,0.03646461,0.127274,0.39203152,0.4442299
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,True,0.006715899,0.056231536,0.68504035,0.25201228
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,False,0.023952259,0.21348415,0.45194596,0.31061763
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,False,0.07657493,0.38887957,0.26727277,0.26727277
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,True,0.024448149,0.20470184,0.4333538,0.33749628
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,False,0.14014696,0.33619508,0.261829,0.261829
In the children's game what color is 'Rover'?,Green,black,red,blue,C,True,0.063026465,0.3200748,0.46570608,0.15119262
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,True,0.017745582,0.2607694,0.6255533,0.09593171
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,True,0.008732984,0.2716752,0.44791666,0.2716752
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,False,0.026717437,0.17421958,0.47357792,0.32548502
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,False,0.030859828,0.2583862,0.48272896,0.228025
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,False,0.022835856,0.26134253,0.38025114,0.33557045
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.0071080104,0.12599249,0.30224028,0.5646592
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,False,0.010861146,0.28011265,0.46182767,0.24719855
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,True,0.014951873,0.19389883,0.59725046,0.19389883
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,0.039678875,0.20150594,0.33222714,0.4265881
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.00065813324,0.020473924,0.16103989,0.81782806
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,False,0.011937332,0.12056279,0.6122684,0.25523144
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.06782876,0.268268,0.50119054,0.16271274
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,False,0.010334305,0.26652524,0.43942583,0.28371465
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,True,0.0052983267,0.113283224,0.8370561,0.044362348
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,False,0.009220664,0.10552491,0.7797295,0.10552491
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,False,0.0045566508,0.16062747,0.49476746,0.34004837
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,False,0.005744131,0.40269467,0.5170702,0.074491024
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,False,0.011896025,0.41934937,0.4751851,0.093569495
According to a popular slogan what state should people not 'mess with'?,New York,Texas,Montana,Rhode Island,B,False,0.028918678,0.35230163,0.45236424,0.16641551
