0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptalpaca_correct,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptalpaca_choiceA_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptalpaca_choiceB_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptalpaca_choiceC_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptalpaca_choiceD_probs
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia,Babylonia and Europe,Palestine and Spain,Spain and France,A,True,0.41172534,0.28297442,0.13366765,0.17163265
" In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism,Hinduism,Judaism,Islam,A,False,0.2091965,0.23705068,0.16292238,0.3908305
"According to Hindu tradition, which age are we in currently?",Kali yuga,Maha yuga,Krita yuga,Satya yuga,A,False,0.13985822,0.07486071,0.15848011,0.626801
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,True,0.43754083,0.26538193,0.03169535,0.26538193
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,False,0.033521082,0.070964135,0.13257845,0.7629363
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,False,0.23694138,0.18453014,0.07692361,0.5016049
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,False,0.1832715,0.26665846,0.20767382,0.34239623
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.3614417,0.24841501,0.07117209,0.3189712
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,False,0.044740774,0.42448866,0.37460992,0.15616065
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,False,0.16702813,0.24302451,0.18926768,0.40067968
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,True,0.025259335,0.12827748,0.27156344,0.5748998
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.48406017,0.37698644,0.10800843,0.03094493
When was the current Dalai Lama born?,1935,2000,1965,1975,A,False,0.25948337,0.22899327,0.33318323,0.17834014
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,True,0.06416642,0.13584031,0.32586396,0.47412926
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,False,0.03266687,0.30993462,0.14640275,0.5109958
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,False,0.34565786,0.2096521,0.053008348,0.39168167
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,True,0.0051392536,0.10322467,0.21852663,0.6731094
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,False,0.16292238,0.23705068,0.2091965,0.3908305
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,True,0.08093168,0.17133236,0.21999511,0.52774084
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,False,0.12128649,0.10703495,0.15573493,0.6159436
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,True,0.18783589,0.51059085,0.088727385,0.21284594
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,False,0.042268302,0.27562398,0.16717438,0.51493335
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,False,0.24852721,0.2816182,0.15073937,0.31911525
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,False,0.08652382,0.26651213,0.20755985,0.43940422
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,False,0.21013694,0.26982117,0.12745449,0.39258745
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,True,0.020758675,0.36795634,0.28656468,0.32472032
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.018779898,0.293767,0.6219048,0.06554828
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,True,0.07333977,0.32868606,0.17593296,0.42204124
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,False,0.084021315,0.33231074,0.15697248,0.42669544
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,True,0.21936908,0.596307,0.08070137,0.103622615
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.10493966,0.17301625,0.25173718,0.47030693
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.097948045,0.7237436,0.11098968,0.06731865
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.052684285,0.14321074,0.16227902,0.641826
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.07210768,0.5328077,0.22210729,0.17297733
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.11344764,0.7397715,0.06880947,0.07797134
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,False,0.16041066,0.33958936,0.16041066,0.33958936
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,False,0.09421849,0.2902134,0.1370871,0.478481
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,False,0.28234574,0.17125136,0.08089341,0.46550944
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,False,0.1164768,0.16947274,0.19203778,0.52201277
 How many books are in the New Testament?,30,29,27,47,C,False,0.061061412,0.14647871,0.21312527,0.57933456
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,False,0.041587036,0.06856543,0.23931688,0.6505307
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,False,0.016291497,0.15456942,0.13640703,0.69273204
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,False,0.31897122,0.36144173,0.071172096,0.24841504
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,True,0.058855053,0.33868745,0.33868745,0.26377004
How many Jinas have appeared during our age?,7,42,24,13,C,False,0.13495152,0.13495152,0.19635332,0.5337436
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.26503736,0.34031472,0.16075328,0.23389466
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.051075283,0.17827025,0.7050725,0.06558196
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.006580599,0.07074811,0.46133563,0.46133563
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,False,0.31292415,0.1304462,0.24370557,0.31292415
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.023213236,0.6783902,0.10403451,0.19436206
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.109320104,0.8077724,0.058514837,0.024392612
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.0067927167,0.06444751,0.8896703,0.039089385
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.27607715,0.3128364,0.16744927,0.24363723
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.33075425,0.20061259,0.13787888,0.33075425
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,False,0.052207496,0.08607561,0.3004334,0.56128347
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.07331204,0.32856175,0.37230924,0.22581697
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,False,0.092529565,0.28501114,0.15255547,0.46990392
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,False,0.11976141,0.22374377,0.11976141,0.5367334
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.0645459,0.42089212,0.22528733,0.28927466
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.13366765,0.17163265,0.28297442,0.41172534
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.1363557,0.42000514,0.37065324,0.07298595
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,True,0.15527378,0.22592203,0.2900896,0.3287146
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.040917642,0.20779695,0.64005965,0.11122569
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,True,0.17082725,0.17082725,0.2485522,0.4097933
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,False,0.14696273,0.35254526,0.10100591,0.39948612
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,False,0.19090936,0.4041551,0.0901792,0.3147563
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.3607861,0.31839263,0.15039802,0.17042328
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,True,0.21439138,0.24293727,0.18919975,0.35347164
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.061294377,0.31127852,0.27470234,0.3527248
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,False,0.28168932,0.28168932,0.117425576,0.3191958
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.08043518,0.19295396,0.3181273,0.40848354
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.45513162,0.18972708,0.079090014,0.27605128
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,True,0.28620762,0.5347062,0.043891355,0.1351949
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.18575977,0.21049342,0.21049342,0.39325345
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,False,0.24363723,0.3128364,0.16744927,0.27607715
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,False,0.18338493,0.30235064,0.12603849,0.3882259
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.013321596,0.14322066,0.49988922,0.3435685
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.03675888,0.06060515,0.5074407,0.39519522
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.0055402503,0.040937226,0.56512094,0.38840157
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.24251826,0.35286197,0.12981066,0.27480918
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,False,0.0037898899,0.052317813,0.12550393,0.81838834
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,False,0.24591295,0.21701743,0.13162771,0.4054419
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.21732275,0.6694012,0.033327524,0.079948574
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.08547054,0.491849,0.1243589,0.29832152
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.033638395,0.21934989,0.5962548,0.15075684
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.03169535,0.26538193,0.26538193,0.43754083
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,True,0.039053362,0.09368415,0.17502503,0.69223744
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.3858721,0.34053093,0.06705452,0.20654246
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.015472297,0.84475875,0.07857481,0.06119412
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.83600324,0.12820525,0.013512733,0.022278732
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.123681486,0.33620113,0.2039163,0.33620113
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.0861992,0.26551223,0.0861992,0.5620894
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,False,0.4846426,0.17829005,0.10813838,0.22892895
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.0943499,0.22633363,0.2564696,0.42284688
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.049358822,0.3647151,0.2212109,0.3647151
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,True,0.06140154,0.1669067,0.18913007,0.5825616
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.050397716,0.4219749,0.15523589,0.37239152
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.052817814,0.26823097,0.23671302,0.44223812
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.060737543,0.24022163,0.34952042,0.34952042
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.050996497,0.22855045,0.42698842,0.29346457
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.19203778,0.52201277,0.1164768,0.16947274
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.16699392,0.35352612,0.07888234,0.40059757
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.03535379,0.1584447,0.7100999,0.09610157
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,False,0.13348038,0.15125309,0.2493742,0.46589231
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,False,0.38347945,0.38347945,0.0518983,0.18114287
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,False,0.15705618,0.33248794,0.17796798,0.33248794
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.68418014,0.2516958,0.03406332,0.030060777
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,True,0.021230938,0.1568766,0.20143352,0.62045896
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.24293727,0.35347164,0.18919975,0.21439138
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,False,0.09221641,0.17228293,0.1341741,0.6013265
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.06033959,0.16402,0.5052172,0.2704233
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,True,0.01773292,0.025801247,0.102045916,0.85441995
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.032388747,0.34821182,0.27118763,0.34821182
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.09376512,0.25488,0.17517631,0.47617856
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.0006794682,0.025496855,0.8443399,0.12948373
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.23671305,0.268231,0.44223818,0.05281782
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.39663112,0.39663112,0.14591244,0.060825355
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.0058643604,0.033747062,0.2825607,0.6778279
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,True,0.016592862,0.13893034,0.13893034,0.70554644
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.2523479,0.41605133,0.13507208,0.19652873
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.055663694,0.13353026,0.28268358,0.5281224
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,False,0.10906978,0.33595857,0.12359226,0.43137935
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,True,0.3037987,0.39008525,0.16261172,0.14350435
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,True,0.1110344,0.26635766,0.23505981,0.38754812
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,True,0.009089825,0.08624186,0.18257402,0.72209424
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.1748777,0.1748777,0.1748777,0.47536686
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.2188599,0.28102168,0.09123438,0.4088841
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.07764332,0.27100182,0.14505681,0.506298
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,False,0.029071238,0.10146859,0.3541602,0.51530004
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.0377044,0.7573132,0.10249119,0.10249119
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.525162,0.1931963,0.062721655,0.21892008
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.08043518,0.19295396,0.3181273,0.40848354
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.22567952,0.47776356,0.17575939,0.120797545
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,True,0.47495148,0.25422323,0.07283617,0.19798923
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,True,0.3882259,0.30235064,0.12603849,0.18338493
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,False,0.16800866,0.13084528,0.24445117,0.45669487
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,False,0.0645459,0.28927466,0.22528733,0.42089212
