0,1,2,3,4,5,llama_7B_llamatokenizer_ds_sharegpt_xc_52000/epoch3_correct,llama_7B_llamatokenizer_ds_sharegpt_xc_52000/epoch3_choiceA_probs,llama_7B_llamatokenizer_ds_sharegpt_xc_52000/epoch3_choiceB_probs,llama_7B_llamatokenizer_ds_sharegpt_xc_52000/epoch3_choiceC_probs,llama_7B_llamatokenizer_ds_sharegpt_xc_52000/epoch3_choiceD_probs
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",37%,47%,57%,67%,D,False,0.110989586,0.1829909,0.63870096,0.06731858
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",1%,3%,6%,10%,D,False,0.044075094,0.32567334,0.53694457,0.09330697
"As of 2019, about what share of electricity came from fossil fuels in the United States?",23%,43%,63%,83%,C,True,0.14107914,0.08556882,0.63227284,0.14107914
What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,10%,30%,50%,70%,D,False,0.03170944,0.20677152,0.49601912,0.26549992
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",26%,41%,56%,71%,C,True,0.118822694,0.092539206,0.6837774,0.10486066
"In 2018, about how many chickens were killed for meat production?",690 million,6.9 billion,69 billion,690 billion,C,True,0.3825645,0.15947662,0.4335024,0.024456533
"In 2016, what percentage of the population of South Sudan had access to electricity?",9%,29%,59%,79%,A,False,0.017011493,0.052399088,0.72334707,0.20724241
About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,31%,51%,71%,91%,B,False,0.09936737,0.21036072,0.50462914,0.18564269
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,C,True,0.045029044,0.29362625,0.62160677,0.03973799
Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,1,7,13,19,D,False,0.022784555,0.45764005,0.40386593,0.11570953
"As of 2019, about what percentage of Turks say God plays an important role in their life?",59%,69%,79%,89%,D,False,0.24265453,0.24265453,0.45333833,0.06135267
Which of the following was responsible for the most death in the 20th century?,Earthquakes,Volcanic activity,Wildfires,Floods,D,False,0.2008657,0.15643437,0.6187099,0.023989987
"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",15%,35%,55%,75%,B,False,0.058181565,0.15815389,0.62551075,0.15815389
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,D,False,0.06676426,0.26405776,0.6334416,0.03573633
"As of 2019, about what percentage of people from Turkey agree that the state is run for the benefit of all the people?",36%,51%,66%,81%,C,True,0.11341165,0.14562345,0.5759519,0.16501299
"As of 2015, what percentage of the global population over 15 years old was literate?",81%,86%,91%,96%,B,False,0.27950147,0.11651355,0.5917046,0.012280437
About what percentage of survey respondents from China report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,26%,46%,66%,86%,A,False,0.07758034,0.12790835,0.6495722,0.14493915
"As of 2019, which of the following had the lowest life expectancy?",Brazil,China,Mexico,Iran,C,True,0.0026731074,0.06894035,0.8398654,0.08852116
"As of 2019, unsafe water is responsible for about how many deaths each year?",1.2 million,2.4 million,3.6 million,4.8 million,A,False,0.2510088,0.13435534,0.6021388,0.012496992
Which of the following causes more deaths globally each year (as of 2017)?,Diarrheal diseases,Diabetes,Dementia,Road injuries,C,False,0.53747815,0.13589576,0.28769132,0.03893479
About how many people are infected by HIV/AIDS as of 2020?,3 million,14 million,42 million,124 million,C,True,0.08283661,0.1987147,0.6120844,0.10636432
What is the percentage of children aged 13-15 in the United States who reported being bullied at least once in the past couple of months as of 2015?,26%,46%,66%,86%,A,False,0.09412181,0.15518062,0.61375123,0.13694641
"As of 2019, about what percentage of South Koreans say it is necessary to believe in God in order to be moral and have good values?",25%,45%,65%,85%,B,False,0.10634545,0.09384953,0.69345945,0.10634545
What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?,6%,16%,36%,66%,C,True,0.06528473,0.33154318,0.42570987,0.17746228
"As of 2018, about what percentage of US adults say computer programs will always reflect human bias?",43%,58%,73%,88%,B,False,0.100623935,0.12920369,0.65615046,0.11402185
"As of 2017, the share of GDP spent on the military by China is about",0.50%,2%,6%,12%,B,False,0.032580324,0.3969096,0.509642,0.06086806
"The conjecture that inequality first increases with development, then decreases with further development (known as the “inverted U hypothesis”) has, as of 2020, been",strongly supported by most studies,"supported mainly by cross-section, not time-series studies","supported mainly by time-series, not cross-section studies",generally repudiated by empirical studies,B,False,0.34323543,0.23590204,0.3889367,0.03192587
"Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?",12 years,9 years,6 years,3 years,B,False,0.065318584,0.2927376,0.5469058,0.09503798
"As of 2017, the share of deaths in Greenland by suicide is about",0.90%,1.80%,3.60%,7.20%,D,False,0.052286062,0.340948,0.49607638,0.1106896
"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?",14%,24%,34%,44%,A,False,0.098922156,0.14393088,0.64505345,0.11209348
"As of 2019, about what percentage of Americans say the relationship between the U.S. and Germany is good?",60%,75%,90%,45%,B,False,0.15240169,0.0924363,0.6027604,0.15240169
"As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?",50%,60%,70%,80%,D,False,0.2568909,0.32985443,0.32985443,0.08340026
In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?,2%,25%,50%,75%,D,False,0.048555337,0.3587781,0.522019,0.07064759
"In Sub-Saharan Africa, as of 2020,",no nation has been able to grow in the past years.,the Democratic Republic of Congo has become poorer than it initially was in 1980.,some countries have had relatively significant growth rates.,"some countries have had relatively significant growth rates, but the Democratic Republic of Congo has become poorer than it initially was in 1980.",C,True,0.04391161,0.10533848,0.7783519,0.07239801
"World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?",15.50%,34.80%,48.10%,65.20%,B,False,0.07213321,0.25176963,0.603964,0.07213321
How many children between the ages of 5-14 worked globally as of 2012?,5 million,30 million,150 million,500 million,C,True,0.06672122,0.29902378,0.55864996,0.07560505
"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,","Colombia, Peru, Uruguay, and Costa Rica.","Bhutan, Niger, Cambodia, and Costa Rica.","Uruguay, Costa Rica, Timor-Leste, and Pakistan.","Bhutan, Cambodia, Uruguay and Costa Rica.",A,False,0.2709305,0.21100087,0.5061648,0.011903855
The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,10%,20%,40%,80%,B,False,0.11079656,0.34127745,0.386718,0.16120805
The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,38%,58%,78%,98%,C,False,0.06868393,0.44787547,0.3952487,0.08819191
"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?","True, True","True, False","False, True","False, False",B,False,0.019526262,0.30544212,0.646621,0.028410545
"In 2017, about how many people died from terrorism globally?",260,"2,600","26,000","260,000",C,True,0.071900524,0.2214692,0.6020157,0.10461464
In 1935 roughly how many Americans were in favor of Social Security act?,90%,70%,50%,30%,A,False,0.12562053,0.301348,0.49683884,0.07619271
Which of the following countries emitted the most CO2 per capita in 2017?,Japan,Canada,Russia,Iran,B,False,0.074039996,0.17761272,0.5470857,0.2012616
"As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?",59%,69%,79%,89%,C,True,0.19265416,0.19265416,0.5236883,0.09100338
"What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",9%,19%,39%,59%,B,False,0.065489516,0.29350364,0.4839057,0.15710118
The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,18%,38%,58%,78%,B,False,0.07499405,0.26175496,0.55413526,0.109115705
"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",24%,39%,54%,69%,A,False,0.11520106,0.07917645,0.75120527,0.05441713
"As of 2015, the global fertility rate was about",1.5 children per woman,2.5 children per woman,3.5 children per woman,4.5 children per woman,B,False,0.93377525,0.024884267,0.04102722,0.00031324668
What is the median international income as of 2020?,$300 ,"$1,000 ","$10,000 ","$30,000 ",C,True,0.03490713,0.1564429,0.7011284,0.10752153
Before being reelected for a third term as president how many Americans approved of running a third time?,20%,40%,60%,80%,C,True,0.053708408,0.14599459,0.65430236,0.14599459
"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?",41%,56%,71%,86%,B,False,0.1243589,0.29832152,0.491849,0.08547054
Public spending on education in the world is about what percentage of global GDP as of 2017?,1%,2%,4%,8%,C,True,0.040280037,0.33726063,0.55604875,0.06641056
"As of 2013, which of the following countries had the highest per capita rate of homelessness?",US,Chile,Ireland,Spain,A,False,0.15686953,0.09514617,0.7030404,0.04494387
"Overall, the growth rate of average incomes in less developed countries between 1960 and 1995",was approximately zero,exceeded that of high income countries,exceeded that of Britain during the industrial revolution,was approximately 3.0% per year,C,True,0.06479592,0.22616,0.6147666,0.094277516
"As of 2015, about what percentage of the world’s land area is forested?",15%,30%,45%,60%,B,False,0.11432106,0.028904889,0.8447247,0.012049351
The greatest population growth rate has taken place,"in Africa, which is the poorest region of the world with the lowest overall economic growth.","in Asia, which is the poorest region of the world with a steady overall economic growth.","in Asia, which is the poorest region of the world with the lowest overall economic growth.","in Africa, which is the poorest region of the world with a steady overall economic growth.",C,True,0.17718896,0.10747054,0.70079595,0.014544556
The global HIV/AIDS death rate is highest for which of these age groups?,Under 5,14-May,15-49,over 50,C,True,0.022548083,0.017560465,0.95876884,0.0011226028
"As of 2015, agriculture made up about what percentage of total US GDP?",1%,3%,9%,20%,A,False,0.08568666,0.20555161,0.63314354,0.075618215
"As of 2017, what percentage of Indians live in urban areas?",19%,34%,49%,64%,B,False,0.035359483,0.17957029,0.71021426,0.07485603
"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?","True, True","True, False","False, True","False, False",A,False,0.0335761,0.28112927,0.6743941,0.0109005645
"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?",80%,40%,-40%,-80%,B,False,0.024533998,0.2327721,0.63274014,0.109953746
"As of 2013, share of people in the United States who think political parties are corrupt is",36%,56%,76%,96%,C,True,0.13779613,0.33055574,0.48095575,0.05069236
Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,China,Japan,Chile,India,C,True,0.3855902,0.11047344,0.43693092,0.06700553
"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?","$150,000 ","$75,000 ","$35,000 ","$15,000 ",C,True,0.037115727,0.18848921,0.7454893,0.028905757
In 1943 how many Americans believed in the Holocaust?,30%,50%,70%,90%,B,False,0.059305154,0.16120812,0.43820912,0.3412776
Which of the following countries emitted the most CO2 in 2017?,Canada,Russia,Iran,Japan,D,False,0.059046775,0.43629992,0.49439257,0.010260791
"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.","India, Congo","India, South Korea","Congo, South Korea","South Korea, India",A,False,0.17516257,0.5395387,0.25486,0.03043869
"As of 2013, share of people in the India who think political parties are corrupt is",26%,46%,66%,86%,D,False,0.100629576,0.3099609,0.51103914,0.07837039
"As of 2019, about what percentage of French people say God plays an important role in their life?",11%,31%,51%,71%,B,False,0.0970779,0.07560434,0.71731406,0.11000368
"As of 2017, the share of GDP spent on the military by the United States is about",1%,3%,6%,10%,B,False,0.060304575,0.34702885,0.504924,0.087742634
"As of 2017, the share of global deaths by suicide is about",0.70%,1.40%,2.80%,5.60%,B,False,0.09330694,0.2874056,0.5369443,0.08234309
Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included,artificial political boundaries that covered diverse ethnic groups with little in common,inadequate access to higher education and training for nationals under the colonial administration,control of domestic commerce by foreign minority groups which had been brought in by the colonial power,all of the above,D,True,0.21869159,0.0380029,0.21869159,0.52461386
Which of the following mental disorders is most prevalent in the world?,Bipolar disorder,Schizophrenia,Alcohol use disorders,Anxiety disorders,D,False,0.36887348,0.05656858,0.28727895,0.28727895
"As of 2017, how many people in the world have some access to electricity?",60%,70%,80%,90%,C,True,0.17177075,0.24992497,0.5290912,0.04921315
Before Nixon resigned how many believed he should be removed from office?,79%,98%,33%,57%,D,False,0.06784725,0.3040703,0.50132716,0.12675536
