0,1,2,3,4,5,llama_7B_wizardlm_20000_largelogstep/ckp5k_correct,llama_7B_wizardlm_20000_largelogstep/ckp5k_choiceA_probs,llama_7B_wizardlm_20000_largelogstep/ckp5k_choiceB_probs,llama_7B_wizardlm_20000_largelogstep/ckp5k_choiceC_probs,llama_7B_wizardlm_20000_largelogstep/ckp5k_choiceD_probs
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,False,0.093305446,0.7339041,0.112547845,0.06024252
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,True,0.051604208,0.66921353,0.20409861,0.07508368
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,True,0.07501886,0.66863585,0.14015369,0.11619149
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.09185431,0.7224901,0.14226674,0.0433889
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.07572369,0.6340267,0.21911378,0.07113583
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.06316629,0.6791016,0.19456586,0.06316629
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.07919894,0.6631246,0.17847757,0.07919894
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,False,0.0875421,0.5708462,0.19727919,0.14433253
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,False,0.08123818,0.6002735,0.20744897,0.11103944
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,False,0.08451096,0.6244562,0.16807012,0.12296272
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,True,0.059577208,0.6405153,0.19534615,0.104561254
 How many books are in the New Testament?,30,29,27,47,C,False,0.071900524,0.6020157,0.2214692,0.10461464
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,False,0.053287316,0.6491724,0.19798641,0.099553816
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,True,0.07802366,0.6532841,0.15516856,0.11352375
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,False,0.08209805,0.68739855,0.15337935,0.077123985
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,True,0.068274446,0.6085235,0.22386329,0.09933873
How many Jinas have appeared during our age?,7,42,24,13,C,False,0.07334965,0.61414903,0.21224424,0.10025708
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.088361025,0.65290457,0.17572689,0.08300751
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,False,0.05663008,0.6088307,0.28759125,0.046947982
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,False,0.071664885,0.563688,0.2834401,0.081206955
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,False,0.09257381,0.603657,0.222073,0.08169609
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.05497146,0.75885755,0.12388009,0.06229082
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.058943953,0.71808434,0.16022627,0.06274551
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,False,0.05847982,0.5548411,0.31613895,0.07054013
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.06543202,0.70346045,0.15696324,0.074144185
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.09227495,0.6405151,0.19534607,0.0718638
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,False,0.117384635,0.6345753,0.15072484,0.09731528
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.058229815,0.66640496,0.17936046,0.09600474
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,False,0.05521951,0.63195384,0.23248284,0.08034392
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,False,0.06536664,0.7027576,0.17768495,0.054190848
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.0611098,0.74446976,0.12936945,0.06505104
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,True,0.09540785,0.5844439,0.18974116,0.13040707
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.05771271,0.70308477,0.17776766,0.06143486
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.107430995,0.5125246,0.21365204,0.16639237
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,False,0.086606905,0.5647479,0.3022878,0.046357334
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,False,0.07135048,0.6359399,0.18219984,0.11050978
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,False,0.07967838,0.7101657,0.13983992,0.07031593
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,False,0.06633832,0.71320415,0.14043823,0.08001929
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,False,0.09600474,0.66640496,0.17936046,0.058229815
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.066338226,0.6293996,0.18032601,0.12393613
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.07633816,0.6004461,0.16160788,0.16160788
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,True,0.10249116,0.6683263,0.15874141,0.070441075
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.061625037,0.70526123,0.16751422,0.065599516
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,False,0.08822165,0.6518747,0.18676524,0.07313832
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,True,0.07968598,0.75603956,0.115942426,0.04833199
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.07982182,0.5540732,0.21697818,0.14912678
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,False,0.089339636,0.7027106,0.13837193,0.069577776
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,False,0.07725057,0.64681107,0.16353945,0.11239891
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,False,0.05293071,0.644828,0.20934501,0.09289629
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,False,0.07936003,0.6644734,0.19037482,0.06579178
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,False,0.05171613,0.55600077,0.33723152,0.05505153
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.10051928,0.655468,0.16572826,0.07828449
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,False,0.061689906,0.7060036,0.1479864,0.084320106
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,False,0.061049838,0.6563476,0.18804674,0.09455584
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.09945866,0.69037986,0.12770744,0.082454115
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.062745504,0.7180843,0.16022627,0.058943946
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,False,0.05478123,0.626938,0.27820206,0.040078804
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.053433355,0.6509515,0.17520122,0.12041392
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.07793332,0.57585365,0.22550753,0.12070548
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,False,0.09664749,0.71413374,0.14062127,0.04859741
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.052196793,0.7670263,0.12521361,0.0555632
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,False,0.12141877,0.69871676,0.1292496,0.050614875
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.04914064,0.7221164,0.18257962,0.046163358
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.075550765,0.6733766,0.15994096,0.09113161
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,False,0.09600044,0.6260015,0.20323291,0.07476521
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.07519031,0.6701639,0.16944398,0.085201785
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.06838201,0.6487905,0.23867668,0.044150747
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.067685634,0.6421834,0.20848642,0.08164446
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.047105014,0.73684645,0.12804471,0.08800376
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.070657186,0.59160537,0.2625233,0.075214185
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.069712095,0.5836922,0.18949711,0.15709862
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,False,0.060076293,0.645881,0.23760635,0.05643645
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.051595245,0.7581866,0.13175307,0.05846507
When was the State of Israel established?,1947,1948,1945,1949,B,True,0.06764736,0.6832141,0.16227758,0.08686093
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,False,0.072160475,0.60419226,0.23660508,0.08704215
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,False,0.074898265,0.519897,0.29622838,0.10897633
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,True,0.0731068,0.65159386,0.1753741,0.09992516
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,False,0.0731068,0.65159386,0.1753741,0.09992516
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,False,0.06262985,0.59421545,0.19291352,0.1502412
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,False,0.05376435,0.5780212,0.21264213,0.15557231
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.057714302,0.66050524,0.16700187,0.1147786
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,False,0.07696292,0.6444026,0.17343861,0.105195835
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,False,0.055594493,0.56148446,0.3199242,0.06299681
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,False,0.088814646,0.6164958,0.20014687,0.0945427
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.05431647,0.70438665,0.15716991,0.084126994
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,True,0.07389194,0.6585917,0.16651806,0.10099831
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,False,0.0363586,0.605425,0.32406068,0.03415574
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,False,0.06725863,0.59946966,0.26601306,0.06725863
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.077123985,0.68739855,0.15337935,0.08209805
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,False,0.058376435,0.71117055,0.14003779,0.090415195
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,False,0.044202156,0.64954597,0.18609804,0.12015393
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.069012895,0.65477616,0.18759651,0.088614315
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.08777431,0.53768283,0.2385953,0.13594751
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,True,0.05787149,0.66230416,0.17825675,0.10156763
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,True,0.090071656,0.6655445,0.14850305,0.095880784
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,False,0.06727045,0.599575,0.16137342,0.17178111
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,False,0.05684559,0.65056336,0.18638954,0.10620155
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.06945406,0.6190373,0.2277311,0.083777584
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.061735764,0.663722,0.19015953,0.08438279
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,True,0.0799429,0.66935366,0.1801541,0.070549354
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,False,0.06696799,0.7199737,0.14177123,0.07128705
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.06507555,0.65723974,0.17689368,0.100790985
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,False,0.11172597,0.64293855,0.15271129,0.09262408
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,True,0.0731068,0.65159386,0.1753741,0.09992516
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.06017692,0.6886884,0.16357782,0.087556906
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,False,0.08129389,0.6806654,0.16167219,0.07636854
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,False,0.08028607,0.672227,0.18092746,0.06655949
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,False,0.092734605,0.6852212,0.13492806,0.0871161
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,False,0.06043459,0.6916373,0.15432514,0.093602926
 The theological term homoousios means which of the following?,of a similar substance,of the same substance,of like substance,of human substance,B,True,0.097829916,0.67907417,0.15152194,0.07157389
"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?",Es,Izanagi,Izanami,Kami,B,True,0.0853663,0.67145795,0.18072046,0.062455323
 The numen of Augustus referred to which of the following characteristics?,Divine power,Sexual virility,Military acumen,Philosophical intellect,A,False,0.08583763,0.5958312,0.19343807,0.12489301
