0,1,2,3,4,5,llama_7B_followturn_20000/ckp25k_correct,llama_7B_followturn_20000/ckp25k_choiceA_probs,llama_7B_followturn_20000/ckp25k_choiceB_probs,llama_7B_followturn_20000/ckp25k_choiceC_probs,llama_7B_followturn_20000/ckp25k_choiceD_probs
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,True,0.015545638,0.66101736,0.27555302,0.04788394
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,False,0.22466427,0.6920147,0.08264937,0.00067173404
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,False,0.116645075,0.35929212,0.52276695,0.0012958098
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,True,0.020816222,0.68933856,0.28735906,0.002486143
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.27286252,0.57764995,0.14605278,0.0034348322
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,False,0.40619266,0.5215617,0.0705857,0.0016600166
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.01261606,0.8844541,0.06406964,0.0388602
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.6132811,0.07324598,0.28969344,0.023779487
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.12233529,0.703991,0.13862404,0.035049647
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.25934926,0.70498437,0.035099104,0.0005673242
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,True,0.0031537646,0.22109596,0.77170074,0.004049514
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.007997149,0.92434466,0.06695931,0.000698783
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.13635568,0.37065318,0.42000508,0.07298594
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,False,0.0121790925,0.8538203,0.07941767,0.054582905
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.039089624,0.5396156,0.42025304,0.0010417032
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.006485236,0.74959135,0.24335667,0.0005666736
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,True,0.231153,0.628339,0.14020139,0.00030668927
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.1832715,0.34239623,0.20767382,0.26665846
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.0038514785,0.94242567,0.053168017,0.00055485807
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,False,0.02231765,0.9489706,0.02528921,0.0034225225
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,False,0.103212595,0.59394747,0.24759413,0.055245724
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,False,0.23157816,0.38180783,0.38180783,0.0048062513
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,False,0.20137352,0.6202741,0.17771152,0.00064092776
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.021577412,0.9174949,0.058653485,0.0022742425
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,False,0.3393944,0.3393944,0.2995145,0.021696758
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,True,0.809637,0.18065444,0.0079374015,0.0017710738
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,False,0.04308164,0.76364034,0.19307852,0.00019950759
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.0034219597,0.9488146,0.047238693,0.0005247745
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,False,0.44070134,0.05964244,0.49938005,0.0002761993
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.29198173,0.7004278,0.006866752,0.00072375033
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.15301731,0.22263888,0.4713265,0.15301731
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,True,0.35823798,0.1493358,0.24621314,0.24621314
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,False,0.021577412,0.9174949,0.058653485,0.0022742425
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,True,0.014479184,0.79053664,0.17639257,0.01859164
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,False,0.07457343,0.9084903,0.014684378,0.0022519224
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,False,0.0076137795,0.36685243,0.6048374,0.020696398
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.011382728,0.90424204,0.084107615,0.00026769607
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,True,0.5462674,0.13811803,0.25803843,0.057576157
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,False,0.14519231,0.73734736,0.11307588,0.004384428
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.025118442,0.9425626,0.032252718,6.627797e-05
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.0081539275,0.7339932,0.2382927,0.019560255
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.14035998,0.8077159,0.05163555,0.00028843383
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,False,0.04885876,0.86604226,0.080554485,0.004544573
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,True,0.24889165,0.5269036,0.21964611,0.00455861
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,False,0.14036691,0.8077558,0.0516381,0.00023913184
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.021045703,0.6150456,0.3292102,0.034698498
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,False,0.1740648,0.68843967,0.13556181,0.0019336853
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.46417063,0.24845265,0.28153372,0.005843046
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,False,0.010470258,0.9425026,0.046924442,0.0001026468
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,False,0.4015744,0.35438818,0.1896903,0.054347184
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,True,0.047969658,0.85028255,0.089619115,0.012128629
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,False,0.013817144,0.8548364,0.11568952,0.015656875
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,False,0.12992284,0.3531669,0.5138548,0.0030554924
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.13942587,0.8023405,0.045264952,0.012968626
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,False,0.043091144,0.8655088,0.07104529,0.020354817
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,True,0.08551327,0.12442107,0.55761653,0.23244914
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,False,0.0047406754,0.9034128,0.08403049,0.007816052
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,False,0.027527072,0.552896,0.26116958,0.15840736
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,False,0.03677642,0.65187764,0.3079252,0.00342074
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,False,0.05062513,0.09458019,0.15593638,0.6988583
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,True,0.22596192,0.5420545,0.22596192,0.0060216812
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,True,0.009837137,0.17436741,0.03433498,0.7814605
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,True,0.0060655153,0.9002023,0.08373186,0.010000343
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,True,0.58475953,0.24376403,0.16753642,0.003940079
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,True,0.27222368,0.3495421,0.028692164,0.3495421
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,False,0.049510363,0.8775922,0.049510363,0.02338704
A capacitor can store,charge,energy,Both of these,Neither of these,C,False,0.008556963,0.77027327,0.22068699,0.00048275082
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,True,0.04230518,0.84972227,0.10148486,0.0064877095
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,False,0.0051263417,0.97690785,0.017892692,7.312334e-05
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,False,0.06288122,0.24870002,0.6760367,0.012382044
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.026246903,0.36232734,0.59737676,0.014048955
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,False,0.21605703,0.45739275,0.31436116,0.012189104
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,False,0.023554295,0.4731007,0.4731007,0.030244315
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,True,0.2808375,0.10331434,0.5246735,0.09117459
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,False,0.18552,0.7337458,0.07733624,0.0033979171
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,False,0.017607113,0.9613158,0.019951472,0.001125585
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,True,0.20598923,0.49414247,0.29971257,0.00015572306
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,False,0.013561481,0.14579967,0.8390191,0.001619688
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,False,0.35745502,0.042691913,0.520094,0.079758994
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,False,0.047701657,0.45258072,0.1886637,0.31105387
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,False,0.031635944,0.92453784,0.024638098,0.01918817
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,True,0.048662182,0.7612046,0.16984771,0.020285415
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,True,0.40368173,0.27744612,0.31438765,0.004484499
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,False,0.26201704,0.15892139,0.5546901,0.024371384
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,False,0.036116153,0.72541237,0.2355069,0.0029645946
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,False,0.11754347,0.596935,0.2819721,0.0035495053
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.1822677,0.49545494,0.30050862,0.021768771
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,True,0.13258985,0.76300186,0.10326107,0.0011471269
"If two protons and two neutrons are removed from the nucleus of neon-20, a nucleus of which element remains?",Magnesium-22,Magnesium-20,Oxygen-18,Oxygen-16,D,False,0.03980464,0.7994976,0.15743041,0.003267364
"If a star that is 20 light-years from Earth explodes, gravitational waves from the explosion would reach Earth in",less than 20 years.,20 years.,more than 20 years.,None of these.,B,False,0.0590499,0.29988012,0.6348462,0.006223813
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",hydrogen,oxygen,nitrogen,All have same average speed,A,False,0.38297218,0.12433287,0.43396434,0.058730688
The mutual induction of electric and magnetic fields can produce,light,energy,Both of these,Neither of these,A,False,0.004918421,0.9372852,0.05287801,0.004918421
"When a model car speeds up to three times its original speed, its kinetic energy is",the same,twice as great,three times greater,None of these,D,False,0.0145400055,0.8995583,0.08367196,0.0022297823
"If an iron nucleus split in two, its fission fragments would have",less mass per nucleon,more mass per nucleon,the same mass per nucleon,either more or less mass per nucleon,B,False,0.0531163,0.08757397,0.83087873,0.028431106
The surface of Planet Earth loses energy to outer space due mostly to,conduction.,convection.,radiation.,radioactivity.,C,False,0.4622655,0.31771013,0.116879016,0.103145376
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,False,0.11788167,0.22023195,0.528309,0.13357744
A principal source of the Earth’s internal energy is,tidal friction.,gravitational pressure.,radioactivity.,solar radiation.,C,False,0.5346326,0.25254256,0.19668035,0.016144507
A diffraction grating relies on light,interference,amplitudes,variations in brightness,being composed of photons,A,False,0.12479865,0.5593087,0.20575818,0.110134415
A satellite in Earth orbit is above Earth’s,atmosphere,gravitational field,Both,Neither,A,False,0.05129191,0.8023405,0.13942587,0.0069416054
The time it takes for a pendulum swinging to and fro refers to its,frequency,period,wavelength,amplitude,B,True,0.16329874,0.8292994,0.0055877753,0.0018140851
"As entropy in a system increases, energy in the system",becomes more ordered,becomes less ordered,reaches equilibrium,moves toward destruction,B,False,0.33248714,0.33248714,0.33248714,0.0025385707
"When water changes to steam, energy is",absorbed by the water,released by the water,conserved as the phase change occurs,changed to a different form,A,False,0.16534144,0.16534144,0.65393806,0.0153791495
"According to Coulomb, a pair of charged particles placed twice as close to each other experience a force",twice as strong,four times as strong,half as strong,one-fourth as strong,B,False,0.01999563,0.31278428,0.66216433,0.005055687
"The factors, both of which will increase the magnetic field strength of an electromagnet, are",increased electrical current and fewer coils of wire,increased diameter of coil and an increase in the number of coils,an increase in the electrical current and using a strong ferromagnetic material like iron,using an air core instead of iron and increasing the diameter of the coil,C,False,0.08090883,0.7676416,0.117721654,0.033727817
The team that wins in a tug-of-war is the team that,produces more tension in the rope than the opponent,pushes hardest on the ground,Both,Neither,B,True,0.009495176,0.8547286,0.115674935,0.02010129
Which type of radiation from cosmic sources predominates on the inside of high-flying commercial airplanes?,Alpha,Beta,Gamma,None of these,C,False,0.05546736,0.8676555,0.062852755,0.014024345
Thermal convection involves mainly,radiant energy,fluids,insulators,All of these,B,True,0.023748206,0.6940243,0.2553173,0.026910244
A 10-Ω resistor carries 10 A. The voltage across the resistor is,0,more than 0 but less than 10 V,10 V,more than 10 V,D,False,0.12046695,0.78554314,0.09381975,0.00017014155
A cannonball is fired horizontally at 10 m/s from a cliff. Its speed one second after being fired is about,10 m/s,14 m/s,16 m/s,20 m/s,B,True,0.18593886,0.5054342,0.30656135,0.002065594
The average speed of a gazelle traveling a distance of 2 km in a time of one-half hour is,1 km/h,2 km/h,4 km/h,greater than 4 km/h,C,False,0.07608834,0.8180267,0.07608834,0.029796623
The metal detectors people walk through at airports operate via,Ohm’s law,Faraday’s law,Coulomb’s law,Newton’s laws,B,False,0.013204202,0.2652135,0.720925,0.0006573985
Sound travels in,solids,liquids,gases,All of these,D,False,0.06273447,0.8660226,0.071087465,0.0001555032
When a fusion reaction converts a pair of hydrogen isotopes to an alpha particle and a neutron most of the energy released is in the form of,gamma radiation.,kinetic energy of the alpha particle.,kinetic energy of the neutron.,All of these about equally.,C,True,0.34028423,0.04064116,0.4369336,0.18214102
Polarization is a property of,transverse waves.,longitudinal waves.,all waves.,None of these.,A,True,0.50510174,0.39337364,0.09946043,0.0020642355
The phenomenon of beats results from sound,reflection.,refraction.,interference.,All of these.,B,True,0.008314555,0.9610318,0.02561063,0.005043032
"The lowest possible temperature is absolute zero, at",0 kelvin,−273°C,Both are the same,None of these,C,True,0.31420004,0.27728057,0.40344083,0.0050785705
Refraction occurs when a wave crosses a boundary and changes,speed and direction,intensity,frequency,amplitude,A,False,0.10604742,0.8879242,0.002826068,0.0032023548
"When you tap a piece of wood, it will produce a characteristic sound related to its",wavelength,amplitude,period,natural frequency,D,False,0.042994194,0.8635615,0.091018714,0.0024255665
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",increases,decreases,isn’t affected,reduces to zero,B,True,0.017400384,0.9500287,0.028688382,0.0038825504
"When white light passes through a prism, the light that bends more than green is",red,yellow,blue,None of these,C,False,0.019124864,0.92148757,0.058908727,0.0004787816
"If you travel at high speed, then compared with your friends who “stay at home,” you are",older.,younger.,neither younger nor older.,longer.,B,True,0.07067143,0.52219516,0.406686,0.00044733004
The component of velocity that can remain constant for a tossed baseball is,horizontal,vertical,Either of these,None of these,A,False,0.041544694,0.30697608,0.64986837,0.0016108627
The crystals that make up minerals are composed of,atoms with a definite geometrical arrangement.,molecules that perpetually move.,X-ray patterns.,3-dimensional chessboards.,A,False,0.085159026,0.7130278,0.18028165,0.021531573
"Two vectors, one 3 N and the other 4 N, can have a resultant of",0 N,5 N,8 N,Any of these,B,True,0.18481079,0.5023678,0.30470148,0.008120019
Radioactivity has been around on Earth since the,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,False,0.58584666,0.35533395,0.04808922,0.010730156
"When the shadow of the Moon falls on Earth, we have a",lunar eclipse.,solar eclipse.,solar eclipse if it’s daytime and lunar eclipse if it’s nighttime.,very dangerous event.,B,True,0.17894481,0.4292663,0.37882617,0.012962719
"In both fission and fusion, energy is released while mass",decreases,remains unchanged; is conserved,increases,may decrease or increase,A,False,0.23437983,0.040729105,0.7219407,0.0029504066
"When relatively slow-moving molecules condense from the air, the temperature of the remaining air tends to",remain unchanged,decrease,increase,spread out uniformly,C,False,0.07721611,0.5705542,0.30539566,0.04683394
"If the volume of an object were to double, with no change in mass, its density would",halve.,double.,be the same.,None of these.,A,False,0.0047001336,0.8956869,0.064883344,0.03472955
The pressure at the bottom of a pond does NOT depend on the,acceleration due to gravity.,water density.,depth of the pond.,surface area of the pond.,D,False,0.06861208,0.7376493,0.18650696,0.0072316593
The blueness of the daytime sky is due mostly to light,absorption,transmission,reflection,scattering,D,False,0.12822913,0.73790765,0.12822913,0.0056339945
A galvanometer can be calibrated to read electric,current,voltage,Either of these,Neither of these,C,True,0.02123187,0.4264535,0.54757714,0.0047374708
Which of these temperatures is likely when a container of water at 20°C is mixed with water at 28°C?,19°C,22°C,30°C,Higher than 30°C,B,False,0.019463088,0.16296245,0.73034704,0.087227516
To view your full-face image in a steamy mirror compared with the height of your face the minimum height of the patch to wipe away is,one-quarter.,one-half.,the same.,dependent on your distance from the mirror.,B,False,0.08693013,0.26776367,0.64233166,0.0029745856
The vibrations in a transverse wave move in a direction,along the wave,perpendicular to the wave,Both of these,Neither of these,B,True,0.029048257,0.9619461,0.008322464,0.0006831495
A 1134-Hz tuning fork is sounded at the same time a piano note is struck. You hear three beats per second. The frequency of the piano string is,1131 Hz,1134 Hz,1137 Hz,More information is needed,D,False,0.015358766,0.83856016,0.1457199,0.00036120354
Huygens’ principle for light is primarily described by,waves,rays,particles,photons,A,True,0.6649267,0.089988045,0.1905047,0.05458051
"When the temperature of a strip of iron is increased, the length of the strip",also increases.,actually decreases.,may increase and may decrease.,decreases in width as it gets longer.,A,False,0.15410942,0.3696893,0.47469044,0.0015108357
"When light undergoes interference, it can sometimes",build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B,True,0.07125301,0.67602974,0.24869744,0.00401982
When the color yellow is seen on your TV screen the phosphors being activated on the screen are,mainly yellow.,blue and red.,green and yellow.,red and green.,D,False,0.019808691,0.95443624,0.025434865,0.0003201777
Which of these does NOT belong in the family of electromagnetic waves?,Light,Sound,Radio waves,X-rays,B,False,0.031222422,0.29623008,0.6271191,0.045428358
A math book and a physics book sitting on a table are tied together with a length of string. With the string taut one book is pushed off the edge of the table. As it falls the other book is dragged horizontally across the table surface. With no friction acceleration of the books is,zero,g/2,g,a value between zero and g,D,False,0.032393325,0.83543485,0.099778466,0.032393325
A motor and a generator are,similar devices,very different devices,forms of transformers,energy sources,A,True,0.8165054,0.16077945,0.02175913,0.00095602946
As more lamps are connected in parallel in a circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,A,False,0.14652768,0.5795282,0.27374974,0.00019441005
Newton’s law of cooling applies to objects that,cool,warm up,Both,Neither,C,False,0.002024807,0.49545395,0.49545395,0.007067271
The fact that the Moon always shows its same face to Earth is evidence that the Moon rotates about its axis about once per,day,month,year,None of these for the moon does not rotate about an axis,B,False,0.07934983,0.08991514,0.58632034,0.24441467
Consider a ball rolling in a horizontal circular path on the inside surface of a cone. The normal force on the ball,is mg,is greater than mg always,may be greater or less than mg,is less than mg always,B,True,0.03687259,0.65358233,0.30873042,0.0008146216
The compressions and rarefactions in sound normally travel,in the same direction,in opposite directions,at right angles to each other,None of these,A,False,0.016664956,0.8029626,0.17916518,0.0012072055
The power required to raise a 100-kg crate a vertical distance of 2 m in a time of 4 s is,200 W,500 W,800 W,2000 W,B,True,0.05177634,0.5566481,0.38257825,0.008997378
The phenomenon of beats is the result of sound,destruction,interference,resonance,amplification,B,True,0.011914312,0.94647104,0.041585036,2.9532628e-05
Interference is characteristic of,sound waves,light waves,water waves,All of these,D,False,0.21459706,0.7490173,0.029042551,0.007343107
"In either a fission event or a fusion event, a quantity that remains unchanged is the",kinetic energy,mass,number of nucleons,binding of nucleons,C,False,0.6194101,0.04486992,0.33154634,0.0041735526
The magnetic force on a moving charged particle can change the particle's,speed,direction,Both of these,Neither of these,B,True,0.0036752708,0.8993091,0.09478648,0.0022291646
"If you were to travel at a speed close to the speed of light, you could notice that your own",mass changes.,pulse decreases.,Both of these.,Neither of these.,D,False,0.012684706,0.19842218,0.78477496,0.004118121
Electricity and magnetism connect to form,mass,energy,ultrahigh-frequency sound,light,D,False,0.076003715,0.56159574,0.34062505,0.02177543
Sound travels in air by a series of,compressions,rarefactions,Both of these,Neither of these,C,False,0.007950463,0.81096935,0.18095173,0.00012850728
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",amounts of force,accelerations,Both,Neither,A,False,0.014545664,0.545822,0.42508662,0.014545664
The nucleus of an electrically neutral iron atom contains 26 protons. The number of electrons this iron atom has is,52,26,24,None.,B,False,0.54310316,0.373269,0.08328757,0.00034037727
To say that a rose petal is red is to say that it,absorbs red,reflects red,emits red,transmits red,B,True,0.07481252,0.6263975,0.29588923,0.0029007958
