0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_alpacagpt35_52000_correct,llama_7B_llamatokenizer_alpacacode_alpacagpt35_52000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_alpacagpt35_52000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_alpacagpt35_52000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_alpacagpt35_52000_choiceD_probs
"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,","Colombia, Peru, Uruguay, and Costa Rica.","Bhutan, Niger, Cambodia, and Costa Rica.","Uruguay, Costa Rica, Timor-Leste, and Pakistan.","Bhutan, Cambodia, Uruguay and Costa Rica.",A,True,0.6919211,0.28843564,0.0143603645,0.005282883
The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,10%,20%,40%,80%,B,True,0.15203655,0.7721053,0.06337826,0.012479919
The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,38%,58%,78%,98%,C,False,0.092285775,0.8755831,0.029960806,0.0021703537
"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?","True, True","True, False","False, True","False, False",B,False,0.9032557,0.095202446,0.0011984219,0.00034335366
"In 2017, about how many people died from terrorism globally?",260,"2,600","26,000","260,000",C,False,0.0752091,0.91623443,0.0069955364,0.0015609151
In 1935 roughly how many Americans were in favor of Social Security act?,90%,70%,50%,30%,A,True,0.64991957,0.3478769,0.0016109896,0.0005926499
Which of the following countries emitted the most CO2 per capita in 2017?,Japan,Canada,Russia,Iran,B,True,0.23116131,0.6283616,0.10919287,0.03128428
"As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?",59%,69%,79%,89%,C,False,0.5064867,0.44697297,0.041574962,0.004965421
"What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",9%,19%,39%,59%,B,True,0.07395678,0.900978,0.02401025,0.0010549368
The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,18%,38%,58%,78%,B,True,0.10179177,0.85229206,0.04243312,0.003483123
"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",24%,39%,54%,69%,A,False,0.14722429,0.74766666,0.10118568,0.0039233947
"As of 2015, the global fertility rate was about",1.5 children per woman,2.5 children per woman,3.5 children per woman,4.5 children per woman,B,False,0.8170916,0.18231778,0.00051209313,7.853202e-05
What is the median international income as of 2020?,$300 ,"$1,000 ","$10,000 ","$30,000 ",C,False,0.06685285,0.9228751,0.009047549,0.0012244526
Before being reelected for a third term as president how many Americans approved of running a third time?,20%,40%,60%,80%,C,False,0.17247906,0.68216795,0.13432683,0.011026218
"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?",41%,56%,71%,86%,B,True,0.16499235,0.7394444,0.08831404,0.007249257
Public spending on education in the world is about what percentage of global GDP as of 2017?,1%,2%,4%,8%,C,False,0.082947396,0.8917685,0.023764826,0.0015192345
"As of 2013, which of the following countries had the highest per capita rate of homelessness?",US,Chile,Ireland,Spain,A,False,0.4313488,0.5538628,0.013025605,0.001762824
"Overall, the growth rate of average incomes in less developed countries between 1960 and 1995",was approximately zero,exceeded that of high income countries,exceeded that of Britain during the industrial revolution,was approximately 3.0% per year,C,False,0.094842404,0.7007958,0.17718893,0.027172802
"As of 2015, about what percentage of the world’s land area is forested?",15%,30%,45%,60%,B,True,0.23061459,0.71034294,0.0583085,0.0007339957
The greatest population growth rate has taken place,"in Africa, which is the poorest region of the world with the lowest overall economic growth.","in Asia, which is the poorest region of the world with a steady overall economic growth.","in Asia, which is the poorest region of the world with the lowest overall economic growth.","in Africa, which is the poorest region of the world with a steady overall economic growth.",C,False,0.5492532,0.42775884,0.018794412,0.0041936003
The global HIV/AIDS death rate is highest for which of these age groups?,Under 5,14-May,15-49,over 50,C,True,0.024375329,0.2620595,0.71235156,0.0012135763
"As of 2015, agriculture made up about what percentage of total US GDP?",1%,3%,9%,20%,A,False,0.06890265,0.74077326,0.18729681,0.0030273711
"As of 2017, what percentage of Indians live in urban areas?",19%,34%,49%,64%,B,True,0.045429826,0.91248244,0.040091682,0.0019960473
"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?","True, True","True, False","False, True","False, False",A,True,0.96178126,0.037292305,0.00077397714,0.00015240513
"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?",80%,40%,-40%,-80%,B,True,0.24253675,0.7470658,0.008299151,0.002098354
"As of 2013, share of people in the United States who think political parties are corrupt is",36%,56%,76%,96%,C,False,0.07525532,0.91679746,0.006999835,0.0009473246
Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,China,Japan,Chile,India,C,False,0.9767368,0.022970648,0.00019873504,9.387579e-05
"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?","$150,000 ","$75,000 ","$35,000 ","$15,000 ",C,False,0.6778143,0.3201768,0.0013084895,0.0007003839
In 1943 how many Americans believed in the Holocaust?,30%,50%,70%,90%,B,True,0.03965989,0.79659027,0.15685792,0.0068918564
Which of the following countries emitted the most CO2 in 2017?,Canada,Russia,Iran,Japan,D,False,0.02928991,0.9699486,0.0006078927,0.00015369934
"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.","India, Congo","India, South Korea","Congo, South Korea","South Korea, India",A,False,0.34847343,0.65103406,0.00013246483,0.00036007675
"As of 2013, share of people in the India who think political parties are corrupt is",26%,46%,66%,86%,D,False,0.08188793,0.8803782,0.034135967,0.0035979045
"As of 2019, about what percentage of French people say God plays an important role in their life?",11%,31%,51%,71%,B,True,0.09165925,0.7674535,0.13336343,0.007523849
"As of 2017, the share of GDP spent on the military by the United States is about",1%,3%,6%,10%,B,True,0.09087572,0.86220485,0.04292665,0.0039928006
"As of 2017, the share of global deaths by suicide is about",0.70%,1.40%,2.80%,5.60%,B,True,0.16097574,0.81750226,0.019225812,0.0022961956
Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included,artificial political boundaries that covered diverse ethnic groups with little in common,inadequate access to higher education and training for nationals under the colonial administration,control of domestic commerce by foreign minority groups which had been brought in by the colonial power,all of the above,D,False,0.1640457,0.50529635,0.14476983,0.18588814
Which of the following mental disorders is most prevalent in the world?,Bipolar disorder,Schizophrenia,Alcohol use disorders,Anxiety disorders,D,False,0.075635284,0.9214264,0.0022839878,0.00065437343
"As of 2017, how many people in the world have some access to electricity?",60%,70%,80%,90%,C,False,0.12675531,0.56807786,0.30407017,0.0010966483
Before Nixon resigned how many believed he should be removed from office?,79%,98%,33%,57%,D,False,0.5263945,0.4645415,0.006626329,0.00243769
