0,1,2,3,4,5,alpacacode_llama2_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_correct,alpacacode_llama2_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceA_probs,alpacacode_llama2_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceB_probs,alpacacode_llama2_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceC_probs,alpacacode_llama2_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceD_probs
When was the current Dalai Lama born?,1935,2000,1965,1975,A,True,0.82484317,0.1264938,0.041066524,0.0075965426
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.29242745,0.3313637,0.0448452,0.3313637
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,False,0.2623137,0.43248218,0.2792315,0.025972573
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,True,0.9710378,0.02587728,0.001874544,0.0012102965
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,True,0.007726577,0.18719782,0.06469383,0.7403817
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,True,0.6757781,0.19361366,0.117432624,0.013175575
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,False,0.33863643,0.2988456,0.18125902,0.18125902
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,True,0.67600316,0.19367816,0.07125021,0.059068497
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,False,0.7263447,0.20810124,0.02193371,0.04362039
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,True,0.043054707,0.24776275,0.673489,0.03569361
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,False,0.9614692,0.025622286,0.010033832,0.0028747409
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,True,0.832717,0.10586809,0.044132385,0.01728249
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,True,0.90963197,0.07948276,0.0073930477,0.0034922285
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,True,0.010211773,0.97852,0.007952936,0.0033152772
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,False,0.08768273,0.60863876,0.25371838,0.04996011
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,False,0.6670946,0.2454104,0.02144372,0.06605131
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,True,0.6988042,0.29130492,0.006850835,0.0030400397
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,False,0.6936919,0.2891738,0.007239325,0.009894983
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.71109974,0.20373349,0.07040841,0.014758404
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.03942977,0.9552959,0.0041558673,0.0011185365
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,True,0.40985966,0.40985966,0.11742676,0.062854014
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.0258985,0.971834,0.001762415,0.00050494034
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.032697663,0.95556575,0.009368037,0.0023686108
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,True,0.85684776,0.13140187,0.0069640432,0.0047863126
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,True,0.75532246,0.16853523,0.054715376,0.021426849
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.982285,0.013162626,0.0033280333,0.0012243149
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,True,0.050064847,0.94465435,0.0038605866,0.0014202304
 How many books are in the New Testament?,30,29,27,47,C,False,0.70730054,0.26020133,0.027425017,0.0050731185
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,False,0.57504123,0.23971285,0.12830904,0.056936793
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,False,0.47285315,0.47285315,0.03217806,0.022115637
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.94769174,0.044324134,0.0056351814,0.002349093
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.7891939,0.1554015,0.041825745,0.013578831
How many Jinas have appeared during our age?,7,42,24,13,C,False,0.6216065,0.25912416,0.07424031,0.04502903
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.40047127,0.5142153,0.06537514,0.01993829
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,False,0.32212785,0.531099,0.13428286,0.012490252
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.024303617,0.054769047,0.91198653,0.008940801
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,True,0.09886415,0.16299944,0.7305128,0.0076235854
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.046436936,0.9327108,0.014162466,0.006689875
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.06701739,0.9251465,0.004284278,0.0035517914
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.013790749,0.313876,0.6644755,0.0078577325
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.94349897,0.041454453,0.006357246,0.008689324
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.69456047,0.25551453,0.0417116,0.0082135005
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,True,0.9828839,0.012372682,0.0021500497,0.0025934551
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,True,0.9018005,0.057650175,0.016517052,0.02403217
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,True,0.7851362,0.1864862,0.02370906,0.0046685906
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.9898112,0.008563545,0.001313262,0.00031192708
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,True,0.75068575,0.21507508,0.01658481,0.017654438
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.77112305,0.19497044,0.024787711,0.009118889
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.21959795,0.76647216,0.011638265,0.0022917103
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.2764213,0.35493198,0.29424894,0.07439779
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.049263388,0.4390798,0.4975426,0.014114197
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,False,0.47255307,0.28661793,0.15341552,0.087413535
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.6884643,0.22351162,0.044012047,0.044012047
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.95231766,0.04454049,0.0022175403,0.0009244084
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.96556425,0.031038014,0.0027120712,0.000685719
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.69486314,0.21192129,0.06071646,0.032499183
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,True,0.7231057,0.23475805,0.014098316,0.028037852
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,False,0.69772327,0.17641208,0.06489838,0.060966376
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,True,0.87707865,0.10475211,0.011040791,0.00712847
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.9576062,0.039525125,0.0025267568,0.00034195938
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.9013909,0.08384242,0.008301523,0.006465233
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,True,0.20495467,0.35970664,0.40760103,0.027737599
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.91972,0.06258773,0.0102171665,0.007475038
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.9460611,0.047101606,0.0032053047,0.0036320859
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.1361849,0.270836,0.57335985,0.019619295
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.051908582,0.124522224,0.81198686,0.01158237
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.007169291,0.04125642,0.9389918,0.012582497
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.29026902,0.6963192,0.0119808335,0.0014309065
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,True,0.9785942,0.017923579,0.0020109697,0.0014712568
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.7905776,0.1764017,0.022426961,0.010593745
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.26603422,0.723156,0.008033537,0.0027763161
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.08975059,0.9064488,0.003071096,0.00072944927
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.12868664,0.3087032,0.50896555,0.05364457
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.21128204,0.3947268,0.23941392,0.15457724
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.26175663,0.31573877,0.19150524,0.23099943
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.9912553,0.0075683277,0.00066131307,0.00051503116
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.01230071,0.9771664,0.007008733,0.0035242124
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.9781446,0.019070782,0.0017738593,0.0010107144
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.14343448,0.38989532,0.38989532,0.07677494
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.17739761,0.7016212,0.0837967,0.03718456
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,True,0.12945859,0.11424681,0.7449827,0.011311965
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.42796776,0.3776802,0.11518596,0.07916608
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.19899689,0.22549301,0.5409296,0.034580473
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.56285423,0.30127418,0.104117565,0.03175406
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.013077129,0.97590464,0.00844323,0.0025750396
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.648707,0.30642748,0.03438021,0.010485372
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.73444426,0.18569659,0.019572277,0.060286857
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.024021992,0.21410568,0.74730223,0.014570073
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.6437772,0.3445891,0.006718418,0.0049152994
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.84570175,0.14696093,0.0060658017,0.0012714611
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,False,0.41447434,0.46966097,0.09248173,0.023383042
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.13455291,0.2513779,0.6030243,0.011044776
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,False,0.767013,0.21975291,0.010940853,0.0022933274
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.9872479,0.011674666,0.00090025354,0.00017727044
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.9895308,0.009113263,0.0009023353,0.0004537227
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,False,0.02147594,0.4887901,0.10906381,0.3806701
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.60461676,0.25204176,0.08710331,0.056238122
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,True,0.17215815,0.32163376,0.4981561,0.008051943
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.07417667,0.2933744,0.6210736,0.01137536
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,True,0.06656117,0.13237269,0.08546623,0.71559995
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,False,0.47661126,0.47661126,0.030468738,0.01630874
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.7139973,0.23180099,0.04028097,0.013920731
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.038509123,0.11142985,0.7734764,0.07658454
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,False,0.78104454,0.1742746,0.03652994,0.008150931
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.242469,0.7468571,0.008296832,0.0023770826
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.025329845,0.06076314,0.02099918,0.8929078
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,False,0.5845217,0.21503353,0.03297646,0.16746828
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.8107902,0.1408942,0.040366866,0.007948707
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.28718963,0.53654087,0.119718455,0.05655099
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,True,0.19480014,0.7704495,0.029873569,0.004876726
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.9693124,0.0258313,0.0037213517,0.0011349481
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,True,0.13400832,0.18316767,0.04350613,0.6393179
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,False,0.009256979,0.14480352,0.83328676,0.012652791
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.7983108,0.15719672,0.039745554,0.0047469297
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.58985364,0.35776433,0.040140044,0.012242021
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.78554994,0.15468396,0.034514654,0.025251463
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,False,0.43589458,0.23331757,0.20590201,0.124885894
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.03294765,0.96287143,0.0025406498,0.0016403669
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.96239585,0.029061837,0.006902791,0.0016395566
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.9474461,0.041627876,0.0056337207,0.005292391
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.84026045,0.121051,0.009936471,0.028752131
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,True,0.8349506,0.14509267,0.015292655,0.0046639964
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,True,0.8771708,0.11871216,0.0026226933,0.0014943656
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,True,0.7464447,0.12971264,0.094899796,0.028942801
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,False,0.701147,0.22762911,0.057553653,0.01367019
 The theological term homoousios means which of the following?,of a similar substance,of the same substance,of like substance,of human substance,B,True,0.12423118,0.86233526,0.010855199,0.0025783358
