0,1,2,3,4,5,dp_llama_7B_sharegpt_xc_20000_correct,dp_llama_7B_sharegpt_xc_20000_choiceA_probs,dp_llama_7B_sharegpt_xc_20000_choiceB_probs,dp_llama_7B_sharegpt_xc_20000_choiceC_probs,dp_llama_7B_sharegpt_xc_20000_choiceD_probs
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.018758552,0.044999428,0.138608,0.79763395
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.29807472,0.29807472,0.26305002,0.14080052
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.36246708,0.36246708,0.17121732,0.10384856
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.23900674,0.3940555,0.23900674,0.12793109
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,False,0.09793718,0.43892398,0.30166775,0.16147111
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.03336835,0.7594601,0.116466984,0.090704575
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.044845197,0.33136368,0.33136368,0.29242742
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,False,0.13366765,0.41172534,0.28297442,0.17163265
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,True,0.045804597,0.33845276,0.43458194,0.1811607
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.10544079,0.4725528,0.28661776,0.13538864
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.07283617,0.25422323,0.47495148,0.19798923
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.27783656,0.31483006,0.19095409,0.21637933
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.032472603,0.73907304,0.12843163,0.10002266
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,False,0.169524,0.3588823,0.19209586,0.27949783
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,True,0.04790041,0.18944979,0.10140516,0.6612447
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,False,0.04653274,0.44149035,0.3034316,0.20854527
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,False,0.09695874,0.38347927,0.33841926,0.18114278
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.08868679,0.45038867,0.27317455,0.18774992
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,False,0.039398845,0.25691277,0.37380585,0.3298825
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,False,0.05854483,0.38176024,0.26237974,0.29731518
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,True,0.032499045,0.2721112,0.50837064,0.18701911
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,True,0.066301025,0.29714057,0.20422152,0.43233696
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,False,0.025607657,0.1669829,0.3535028,0.4539066
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.017035112,0.38771737,0.20753016,0.38771737
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.18414204,0.30359888,0.20866026,0.30359888
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,False,0.05913157,0.30029488,0.30029488,0.34027869
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,True,0.015701367,0.14897043,0.51995784,0.31537038
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,False,0.031175565,0.20329021,0.43036538,0.3351689
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,False,0.06215202,0.40528208,0.315634,0.21693188
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,False,0.038749054,0.25267556,0.5349142,0.17366122
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,False,0.041314565,0.18515904,0.64626855,0.12725782
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,False,0.16271265,0.44229883,0.2682678,0.12672074
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,False,0.09573572,0.4861861,0.1578415,0.26023668
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.07737384,0.57171965,0.2383282,0.11257827
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.02310482,0.40954274,0.3189522,0.24840023
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.048477996,0.5905829,0.1917342,0.16920485
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,True,0.03687516,0.24045624,0.57682455,0.14584409
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,False,0.055712897,0.28293344,0.41166574,0.2496879
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,False,0.029603275,0.4086606,0.28086805,0.28086805
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,True,0.041208882,0.26871565,0.34503773,0.34503773
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,False,0.056536432,0.53640276,0.15368196,0.25337872
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.12737429,0.5037751,0.2696514,0.099199206
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,False,0.18483344,0.56932706,0.20944372,0.03639586
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,True,0.04077651,0.11084205,0.1256005,0.72278094
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,True,0.043299146,0.46550965,0.3199398,0.17125143
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,True,0.08599609,0.23376162,0.34012115,0.34012115
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,True,0.08307929,0.541745,0.19929686,0.17587885
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.25300857,0.32486945,0.13542573,0.28669629
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,False,0.12603849,0.3882259,0.18338493,0.30235064
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,False,0.10872669,0.33490178,0.26082176,0.29554978
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,False,0.094264306,0.22612832,0.54245365,0.13715376
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,False,0.17076454,0.36150852,0.24846093,0.219266
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,False,0.0307957,0.15639348,0.33108503,0.48172584
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,True,0.028629592,0.12830894,0.44784218,0.39521933
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,False,0.38864994,0.38864994,0.111350074,0.111350074
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,True,0.022969425,0.19232064,0.19232064,0.5923893
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,False,0.026111722,0.19294098,0.3181059,0.46284136
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,False,0.14249271,0.5635696,0.18296427,0.11097344
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,True,0.15073937,0.31911525,0.2816182,0.24852721
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,False,0.09692767,0.26347673,0.4343997,0.20519587
A capacitor can store,charge,energy,Both of these,Neither of these,C,True,0.07392009,0.25800648,0.54619974,0.12187364
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,False,0.10322517,0.3179559,0.36029124,0.21852769
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,False,0.023388656,0.28493217,0.2219054,0.46977374
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,False,0.029603275,0.28086805,0.28086805,0.4086606
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.026498433,0.322817,0.36579958,0.284885
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,False,0.08294606,0.25549185,0.54087627,0.12068581
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,True,0.05002928,0.25406966,0.36966917,0.3262319
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,False,0.12981066,0.35286197,0.27480918,0.24251826
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,False,0.17432259,0.32567745,0.32567745,0.17432259
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,True,0.048783105,0.31810585,0.46284124,0.17026979
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,True,0.16473189,0.50740993,0.23968348,0.088174626
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,False,0.015440873,0.18810834,0.39822537,0.39822537
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,False,0.02243885,0.12912668,0.39773816,0.45069638
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,False,0.10843402,0.2601197,0.20258142,0.42886487
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,False,0.06394464,0.32473767,0.28658,0.32473767
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,False,0.09928284,0.26987875,0.23816717,0.39267126
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,False,0.031361915,0.20450538,0.38206634,0.38206634
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,False,0.16529618,0.27252734,0.34993201,0.2122445
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,False,0.06112063,0.45162377,0.21333195,0.27392367
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,False,0.07735682,0.27000183,0.30595216,0.34668922
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.08996438,0.35581604,0.2771098,0.2771098
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,True,0.017637225,0.45487005,0.31262732,0.21486539
"If two protons and two neutrons are removed from the nucleus of neon-20, a nucleus of which element remains?",Magnesium-22,Magnesium-20,Oxygen-18,Oxygen-16,D,False,0.15837798,0.48783854,0.2304386,0.1233449
"If a star that is 20 light-years from Earth explodes, gravitational waves from the explosion would reach Earth in",less than 20 years.,20 years.,more than 20 years.,None of these.,B,True,0.09849991,0.3895747,0.30340108,0.20852432
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",hydrogen,oxygen,nitrogen,All have same average speed,A,False,0.0478879,0.27557582,0.27557582,0.40096045
The mutual induction of electric and magnetic fields can produce,light,energy,Both of these,Neither of these,A,False,0.013456583,0.12767251,0.6483745,0.21049638
"When a model car speeds up to three times its original speed, its kinetic energy is",the same,twice as great,three times greater,None of these,D,False,0.0149339745,0.2999569,0.38515228,0.2999569
"If an iron nucleus split in two, its fission fragments would have",less mass per nucleon,more mass per nucleon,the same mass per nucleon,either more or less mass per nucleon,B,False,0.02893949,0.14696686,0.5129647,0.31112882
The surface of Planet Earth loses energy to outer space due mostly to,conduction.,convection.,radiation.,radioactivity.,C,True,0.044099145,0.09335789,0.6087699,0.25377303
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,False,0.14201483,0.3860363,0.20663035,0.26531863
A principal source of the Earth’s internal energy is,tidal friction.,gravitational pressure.,radioactivity.,solar radiation.,C,False,0.35289252,0.35289252,0.14710748,0.14710748
A diffraction grating relies on light,interference,amplitudes,variations in brightness,being composed of photons,A,False,0.1832715,0.20767382,0.26665846,0.34239623
A satellite in Earth orbit is above Earth’s,atmosphere,gravitational field,Both,Neither,A,False,0.15073937,0.2816182,0.31911525,0.24852721
The time it takes for a pendulum swinging to and fro refers to its,frequency,period,wavelength,amplitude,B,True,0.20528647,0.49245664,0.20528647,0.09697046
"As entropy in a system increases, energy in the system",becomes more ordered,becomes less ordered,reaches equilibrium,moves toward destruction,B,True,0.05409068,0.74669874,0.12975678,0.069453806
"When water changes to steam, energy is",absorbed by the water,released by the water,conserved as the phase change occurs,changed to a different form,A,False,0.021290148,0.17826024,0.62218934,0.17826024
"According to Coulomb, a pair of charged particles placed twice as close to each other experience a force",twice as strong,four times as strong,half as strong,one-fourth as strong,B,False,0.04937712,0.3648503,0.41342956,0.17234308
"The factors, both of which will increase the magnetic field strength of an electromagnet, are",increased electrical current and fewer coils of wire,increased diameter of coil and an increase in the number of coils,an increase in the electrical current and using a strong ferromagnetic material like iron,using an air core instead of iron and increasing the diameter of the coil,C,True,0.15705977,0.2589478,0.42693272,0.15705977
The team that wins in a tug-of-war is the team that,produces more tension in the rope than the opponent,pushes hardest on the ground,Both,Neither,B,False,0.046192963,0.30121595,0.38676894,0.26582214
Which type of radiation from cosmic sources predominates on the inside of high-flying commercial airplanes?,Alpha,Beta,Gamma,None of these,C,True,0.019260138,0.1827351,0.4967255,0.30127925
Thermal convection involves mainly,radiant energy,fluids,insulators,All of these,B,False,0.0149725815,0.2066901,0.3407744,0.43756297
A 10-Ω resistor carries 10 A. The voltage across the resistor is,0,more than 0 but less than 10 V,10 V,more than 10 V,D,False,0.116331935,0.27906582,0.3583276,0.24627472
A cannonball is fired horizontally at 10 m/s from a cliff. Its speed one second after being fired is about,10 m/s,14 m/s,16 m/s,20 m/s,B,True,0.18468855,0.4430448,0.20927955,0.16298708
The average speed of a gazelle traveling a distance of 2 km in a time of one-half hour is,1 km/h,2 km/h,4 km/h,greater than 4 km/h,C,True,0.05051464,0.29069167,0.3293968,0.3293968
The metal detectors people walk through at airports operate via,Ohm’s law,Faraday’s law,Coulomb’s law,Newton’s laws,B,False,0.08294606,0.25549185,0.54087627,0.12068581
Sound travels in,solids,liquids,gases,All of these,D,True,0.013321606,0.07666055,0.34356874,0.5664491
When a fusion reaction converts a pair of hydrogen isotopes to an alpha particle and a neutron most of the energy released is in the form of,gamma radiation.,kinetic energy of the alpha particle.,kinetic energy of the neutron.,All of these about equally.,C,True,0.016405927,0.13736515,0.42311445,0.42311445
Polarization is a property of,transverse waves.,longitudinal waves.,all waves.,None of these.,A,False,0.10598074,0.3699091,0.3699091,0.15420106
The phenomenon of beats results from sound,reflection.,refraction.,interference.,All of these.,B,False,0.021775417,0.14199357,0.4956062,0.34062484
"The lowest possible temperature is absolute zero, at",0 kelvin,−273°C,Both are the same,None of these,C,False,0.10872669,0.33490178,0.26082176,0.29554978
Refraction occurs when a wave crosses a boundary and changes,speed and direction,intensity,frequency,amplitude,A,False,0.16770889,0.51657975,0.16770889,0.14800258
"When you tap a piece of wood, it will produce a characteristic sound related to its",wavelength,amplitude,period,natural frequency,D,False,0.023948016,0.17695323,0.42448872,0.37460998
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",increases,decreases,isn’t affected,reduces to zero,B,True,0.17699106,0.54517084,0.15619406,0.121644065
"When white light passes through a prism, the light that bends more than green is",red,yellow,blue,None of these,C,False,0.010060724,0.22898102,0.3331654,0.42779285
"If you travel at high speed, then compared with your friends who “stay at home,” you are",older.,younger.,neither younger nor older.,longer.,B,False,0.05670863,0.32633564,0.41902325,0.19793256
The component of velocity that can remain constant for a tossed baseball is,horizontal,vertical,Either of these,None of these,A,False,0.0650629,0.22709183,0.48075342,0.22709183
The crystals that make up minerals are composed of,atoms with a definite geometrical arrangement.,molecules that perpetually move.,X-ray patterns.,3-dimensional chessboards.,A,True,0.80846447,0.1591961,0.024413511,0.007925906
"Two vectors, one 3 N and the other 4 N, can have a resultant of",0 N,5 N,8 N,Any of these,B,False,0.012920768,0.07435389,0.4278771,0.48484826
Radioactivity has been around on Earth since the,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,False,0.18639418,0.27120194,0.27120194,0.27120194
"When the shadow of the Moon falls on Earth, we have a",lunar eclipse.,solar eclipse.,solar eclipse if it’s daytime and lunar eclipse if it’s nighttime.,very dangerous event.,B,False,0.3632936,0.28293332,0.24968779,0.104085356
"In both fission and fusion, energy is released while mass",decreases,remains unchanged; is conserved,increases,may decrease or increase,A,False,0.07144695,0.5279255,0.24937434,0.1512532
"When relatively slow-moving molecules condense from the air, the temperature of the remaining air tends to",remain unchanged,decrease,increase,spread out uniformly,C,False,0.075310335,0.38245744,0.20471472,0.3375175
"If the volume of an object were to double, with no change in mass, its density would",halve.,double.,be the same.,None of these.,A,False,0.019995727,0.31278577,0.35443273,0.31278577
The pressure at the bottom of a pond does NOT depend on the,acceleration due to gravity.,water density.,depth of the pond.,surface area of the pond.,D,True,0.13414223,0.25061068,0.25061068,0.3646364
The blueness of the daytime sky is due mostly to light,absorption,transmission,reflection,scattering,D,False,0.03748784,0.5175036,0.16800882,0.27699974
A galvanometer can be calibrated to read electric,current,voltage,Either of these,Neither of these,C,True,0.08081263,0.15097788,0.5971291,0.17108035
Which of these temperatures is likely when a container of water at 20°C is mixed with water at 28°C?,19°C,22°C,30°C,Higher than 30°C,B,False,0.026111722,0.19294098,0.3181059,0.46284136
To view your full-face image in a steamy mirror compared with the height of your face the minimum height of the patch to wipe away is,one-quarter.,one-half.,the same.,dependent on your distance from the mirror.,B,False,0.04112017,0.12665904,0.39013728,0.44208348
The vibrations in a transverse wave move in a direction,along the wave,perpendicular to the wave,Both of these,Neither of these,B,True,0.039873365,0.6237244,0.17870004,0.15770222
A 1134-Hz tuning fork is sounded at the same time a piano note is struck. You hear three beats per second. The frequency of the piano string is,1131 Hz,1134 Hz,1137 Hz,More information is needed,D,False,0.1126384,0.2702055,0.3469507,0.2702055
Huygens’ principle for light is primarily described by,waves,rays,particles,photons,A,False,0.14345418,0.3441287,0.30369252,0.2087246
"When the temperature of a strip of iron is increased, the length of the strip",also increases.,actually decreases.,may increase and may decrease.,decreases in width as it gets longer.,A,False,0.16660261,0.45287284,0.21392198,0.16660261
"When light undergoes interference, it can sometimes",build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B,False,0.022093628,0.23752886,0.5028486,0.23752886
When the color yellow is seen on your TV screen the phosphors being activated on the screen are,mainly yellow.,blue and red.,green and yellow.,red and green.,D,False,0.12977205,0.5132584,0.2424461,0.11452343
Which of these does NOT belong in the family of electromagnetic waves?,Light,Sound,Radio waves,X-rays,B,False,0.020752238,0.119420886,0.5352073,0.32461962
A math book and a physics book sitting on a table are tied together with a length of string. With the string taut one book is pushed off the edge of the table. As it falls the other book is dragged horizontally across the table surface. With no friction acceleration of the books is,zero,g/2,g,a value between zero and g,D,True,0.03540842,0.1798188,0.2308919,0.5538809
A motor and a generator are,similar devices,very different devices,forms of transformers,energy sources,A,True,0.4888567,0.380722,0.08495056,0.04547076
As more lamps are connected in parallel in a circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,A,False,0.14192697,0.4953738,0.26515448,0.097544886
Newton’s law of cooling applies to objects that,cool,warm up,Both,Neither,C,True,0.027543202,0.29611734,0.38022217,0.29611734
The fact that the Moon always shows its same face to Earth is evidence that the Moon rotates about its axis about once per,day,month,year,None of these for the moon does not rotate about an axis,B,False,0.017925747,0.17007476,0.21838032,0.5936192
Consider a ball rolling in a horizontal circular path on the inside surface of a cone. The normal force on the ball,is mg,is greater than mg always,may be greater or less than mg,is less than mg always,B,False,0.07283617,0.25422323,0.47495148,0.19798923
The compressions and rarefactions in sound normally travel,in the same direction,in opposite directions,at right angles to each other,None of these,A,False,0.034563717,0.4771374,0.28939846,0.19890045
The power required to raise a 100-kg crate a vertical distance of 2 m in a time of 4 s is,200 W,500 W,800 W,2000 W,B,False,0.05854483,0.29731518,0.38176024,0.26237974
The phenomenon of beats is the result of sound,destruction,interference,resonance,amplification,B,True,0.06479591,0.61476654,0.22615997,0.09427751
Interference is characteristic of,sound waves,light waves,water waves,All of these,D,True,0.026341904,0.19464181,0.24992503,0.5290913
"In either a fission event or a fusion event, a quantity that remains unchanged is the",kinetic energy,mass,number of nucleons,binding of nucleons,C,True,0.025050692,0.18510097,0.44403416,0.34581414
The magnetic force on a moving charged particle can change the particle's,speed,direction,Both of these,Neither of these,B,False,0.04163975,0.23962021,0.507276,0.21146409
"If you were to travel at a speed close to the speed of light, you could notice that your own",mass changes.,pulse decreases.,Both of these.,Neither of these.,D,False,0.082270354,0.36871013,0.32538554,0.223634
Electricity and magnetism connect to form,mass,energy,ultrahigh-frequency sound,light,D,False,0.065826856,0.29501548,0.3788074,0.26035026
Sound travels in air by a series of,compressions,rarefactions,Both of these,Neither of these,C,True,0.054171864,0.24278145,0.51396835,0.18907839
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",amounts of force,accelerations,Both,Neither,A,False,0.029833447,0.22044101,0.46667364,0.28305188
The nucleus of an electrically neutral iron atom contains 26 protons. The number of electrons this iron atom has is,52,26,24,None.,B,True,0.030595286,0.61452276,0.15537569,0.19950633
To say that a rose petal is red is to say that it,absorbs red,reflects red,emits red,transmits red,B,True,0.09162794,0.4653251,0.19397636,0.24907058
"Compared with a sound of 60 decibels, a sound of 80 decibels has an intensity",10 times greater,100 times greater,1000 times greater,more than 1000 times greater,B,False,0.14014696,0.261829,0.33619508,0.261829
