0,1,2,3,4,5,llama_7B_ga_alpacafirstturn_20000/ckp7500_correct,llama_7B_ga_alpacafirstturn_20000/ckp7500_choiceA_probs,llama_7B_ga_alpacafirstturn_20000/ckp7500_choiceB_probs,llama_7B_ga_alpacafirstturn_20000/ckp7500_choiceC_probs,llama_7B_ga_alpacafirstturn_20000/ckp7500_choiceD_probs
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.11810219,0.104224816,0.00755002,0.770123
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,False,0.28184843,0.28184843,0.026215987,0.41008705
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,False,0.1297492,0.10104877,0.022547029,0.74665505
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,False,0.23883584,0.12783962,0.06038716,0.5729374
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.39181906,0.16333447,0.099067375,0.3457791
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.077058375,0.08731857,0.007167545,0.82845557
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,False,0.19434373,0.15135504,0.055680413,0.59862083
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,True,0.15766026,0.10835821,0.027397245,0.7065843
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,True,0.034037102,0.07205655,0.016077988,0.8778284
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,False,0.0388602,0.06406964,0.01261606,0.8844541
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,True,0.12011821,0.15423484,0.03441444,0.69123256
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,False,0.16985911,0.1322864,0.026048737,0.6718058
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,True,0.03515897,0.04514501,0.012934262,0.90676177
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,True,0.021535536,0.0851747,0.0851747,0.80811507
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,False,0.33832097,0.3833679,0.04578677,0.23252438
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,False,0.23347704,0.16046627,0.045974355,0.5600823
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.46275234,0.21858872,0.07096537,0.2476935
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,True,0.20321645,0.1396685,0.031164251,0.62595075
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.15036033,0.13269253,0.043078955,0.67386824
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,True,0.06514922,0.030774308,0.0047193933,0.89935714
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,True,0.119582266,0.15354666,0.119582266,0.60728884
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,False,0.08150825,0.17255296,0.063478686,0.6824602
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,False,0.1389142,0.045098837,0.016590934,0.79939604
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,False,0.15951154,0.12422771,0.08538037,0.63088036
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,True,0.43682727,0.14181705,0.035856966,0.3854987
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,False,0.3235463,0.22236991,0.038642097,0.41544166
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,False,0.09458019,0.15593638,0.05062513,0.6988583
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,False,0.5181911,0.2773677,0.013809325,0.19063185
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,False,0.48107302,0.17697687,0.011313753,0.33063635
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,False,0.24907061,0.19397637,0.091627955,0.46532515
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,False,0.1678857,0.13074952,0.11538605,0.5859787
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,False,0.043594282,0.13427985,0.04939879,0.77272713
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,True,0.7961833,0.12209867,0.024042653,0.057675328
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,False,0.16770887,0.14800256,0.16770887,0.5165797
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,False,0.14683011,0.078592494,0.028912563,0.74566483
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,True,0.12479865,0.20575818,0.110134415,0.5593087
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,True,0.3004334,0.08607561,0.052207496,0.56128347
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,False,0.09451754,0.08341143,0.03068535,0.79138565
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,False,0.3580779,0.3580779,0.037741132,0.24610312
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,True,0.5384504,0.19808485,0.03900522,0.22445953
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,False,0.062302426,0.11639626,0.062302426,0.75899893
What is the term for the extent to which competition in one country is influenced by competition in other countries?,International trade,Global economics,Global competition,Globalisation,D,True,0.16499734,0.14560965,0.036815885,0.65257716
As what are key factors that reflect the situation of an organisation referred to?,Administrations,Processes,Activities,Contingencies,D,True,0.04023652,0.12393722,0.02765413,0.80817217
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,False,0.048272617,0.07023624,0.02583847,0.85565263
What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D,True,0.20969173,0.26924953,0.077141285,0.44391742
What does the acronym SMART stand for?,"Suitable, measurable, actionable, rewarded and timely","Specific, measurable, actionable, resourced and timely","Standardised, measurable, achievable, rewarded, and timely","Specific, measurable, achievable, rewarded and timely",D,True,0.3068959,0.18614177,0.060431387,0.4465309
Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?,Merton,Weber,Gouldner,Mayo,C,False,0.1228412,0.13919732,0.031059122,0.7069023
What is the optimal span of control?,2,5,7,None of the above,D,True,0.116879016,0.31771013,0.103145376,0.4622655
What one of these is not a recognised type of authority?,Executive,Functional,Line management,Supplier,D,True,0.05409068,0.12975678,0.069453806,0.74669874
Which one of the following is not a characteristic of a team?,Minimal and formal knowledge sharing,Collective output,Individual and collective responsibility,Fluid dimension to roles and tasks,A,False,0.08539078,0.08539078,0.01905326,0.81016517
Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?,Ethical,Economic,Discretionary,Technical,D,True,0.02541002,0.10049858,0.03262711,0.8414643
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,Product development,Market penetration,Diversification,Market development,B,False,0.113052204,0.113052204,0.036702674,0.7371929
What is characteristic for the location of a virtual team?,In the same building,In the same industry,In the same country,remotely,D,True,0.10118616,0.04218067,0.009411779,0.8472214
"According to the Five Factor model, 'extraversion' as a personality type is characterised by what type of people?",Good natured,Calm and self-confident,Sensitive and curious,Assertive and sociable,D,True,0.07777516,0.16465002,0.019664641,0.7379102
What is the overriding philosophy underpinning the strategic direction of an organisation?,Vision statement,Mission statement,Strategy statement,Business statement,B,False,0.27573752,0.14759165,0.061525356,0.5151455
What is the term for the action in which managers at an organisation analyse the current situation of their organisation and then develop plans to accomplish its mission and achieve its goals?,Synergy planning,Strategy formulation,Functional planning,SWOT analysis,B,False,0.2994737,0.23323035,0.031564295,0.43573165
What is Frank Gilbreth`s work most noted for?,Working conditions,Time and motion studies,Work psychology,Work as a social setting,B,False,0.2583861,0.20123129,0.057653733,0.48272878
What is another name for contingency planning?,Synergy planning,Ad hoc planning,Business level planning,Scenario planning,D,True,0.034659807,0.05042972,0.021022236,0.8938882
Which feature does not form one of Fayol's 14 principles of management?,Esprit de corps,Initiative,Order,Individualism,D,True,0.038544737,0.063549526,0.02063151,0.87727416
What one of the following is not a characteristic of the job characteristics model?,Task identity,Autonomy,Reward,Feedback,C,False,0.06741089,0.08655729,0.02479908,0.82123274
Workers' acceptance of change is characteristic of what type of culture?,Team culture,Collaborative culture,Group culture,Collective culture,B,False,0.15253375,0.25148565,0.063585535,0.5323951
What is a virtual organisation?,An organisation that uses information and communications technologies (ICT's) to coordinate activities without physical boundaries between different functions,An organisation that uses internet technologies to sell products to customers,An organisation that manages the supply chain using digital technologies,An organisation that coordinates the workforce via video conferencing,A,False,0.40386593,0.11570953,0.022784555,0.45764005
From what does a chain of command extend?,Bottom to top,Top to bottom,Diagonally,Laterally,B,False,0.41166574,0.2496879,0.055712897,0.28293344
"What do you call a style of leadership that takes account of others' views, opinions and ideas?",Laissez-faire,People-oriented,Democratic,Autocratic,C,False,0.41680226,0.25280336,0.043930635,0.28646374
What is the guiding principle of scientific management?,Experimentation,Fluid working relationships,Freedom of association,One best way to do a job,D,True,0.2538313,0.17445552,0.03435233,0.53736085
What is the term Tuckman uses for reaching consensus as a group?,Storming,Performing,Forming,Norming,D,False,0.26871568,0.34503776,0.041208886,0.34503776
What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,Expectancy,Instrumental,Classical,Contingency,A,False,0.21732274,0.07994857,0.03332752,0.66940117
What is the term for decisions limited by human capacity to absorb and analyse information?,Cognitive rationality,Conscious rationality,Bounded rationality,Restricted rationality,C,False,0.22567952,0.17575939,0.120797545,0.47776356
What is a definition of an objective?,A defined specified outcome to be achieved in the long-term,A clear set of goals to be attained given a set number of resources,A clearly defined and measurable outcome to be achieved over a specified timeframe,A set standard of performance agreed by workers and managers,C,False,0.51386315,0.07880347,0.054160774,0.35317263
What is not a purpose of an organisational structure?,To coordinate people and resources,To organise lines of communication,To formalise authority,To limit workers' rights,D,False,0.40417522,0.21633941,0.022802005,0.35668337
To what time-frame do strategic plans relate?,Long-term,Medium-term,Short-term,Unspecified time it takes to achieve an aim,A,False,0.11882376,0.2850434,0.06360178,0.53253114
What is the term for organisational development through a formally designed organisational structure?,Organic,Mechanistic,Formal,Structured,B,False,0.13715376,0.22612832,0.094264306,0.54245365
'There is no discernible link between planning and performance'. Who is this position held by?,Michael Porter,Milton Friedman,Gary Hamel,Henry Mintzberg,D,True,0.016676351,0.045331024,0.027494656,0.91049796
What does situational theory of leadership emphasise?,Personality traits,Events,Environment,Political situation,B,False,0.14761534,0.18954185,0.0790128,0.58383
What is intuitive decision making based on?,Guesswork,Gambling,Instinct,Rationality,C,False,0.038146265,0.05550249,0.038146265,0.868205
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D,True,0.08473285,0.065990016,0.04535423,0.80392295
Which 18th century writer produced a famous book called 'The Wealth of Nations'?,Frederick Taylor,Henry Mintzberg,Adam Smith,Dr Samuel Johnson,C,False,0.17916435,0.29539207,0.29539207,0.23005158
Which one of these characteristics is most commonly associated with the 'rational goal' model of management?,Worker welfare,Health and safety,Interpersonal relationships,Productivity,D,True,0.081783436,0.09267278,0.04960416,0.77593964
In what order do managers typically perform the managerial functions?,"organising, planning, controlling, leading","organising, leading, planning, controlling","planning, organising, leading, controlling","planning, organising, controlling, leading",C,False,0.40002507,0.214118,0.032836057,0.35302088
How does lateral communication in an organisation occur?,Information passes upwards.,Information passes downwards.,Information is a two-way process.,Information passes between different departments and functions.,D,True,0.10544079,0.13538864,0.28661776,0.4725528
Of what is advertising a form?,Focusing strategy,Differentiation,Cost leadership,Growth,B,False,0.11537354,0.089853,0.04244355,0.75232995
What is not a component of an agile organisation?,Market focus and position,Human resources: multi-skilling,Organisational structure,Project-based culture,D,True,0.044297643,0.039092533,0.02686788,0.88974196
Of what is worker autonomy in decision making an example?,Worker freedom,Greater worker negotiation,Worker empowerment,Increased worker power,C,False,0.25148565,0.15253375,0.063585535,0.5323951
Vertical integration forwards is when a firm mergers or acquires another,Towards the source of supply,Towards the consumer,At the same stage of the supply chain,In another industry,B,False,0.29800048,0.20481254,0.15950817,0.3376788
What is the term for an autonomous business entity within an overall corporate enterprise which is set apart from other areas of the business?,Subsidiary,Strategic partnership,Strategic alliance,Strategic business unit,D,True,0.23516482,0.20753223,0.059458982,0.49784395
What is not a characteristic of a corporate social responsibility framework?,Retaining the status quo,Understanding society,Harnessing diversity,Building capacity,A,False,0.14007437,0.14007437,0.23094359,0.4889076
What is a whistleblower?,Someone who reports illegal or unethical acts,Someone who commits illegal or unethical acts,Someone who benefits from illegal or unethical acts,Someone who devises illegal or unethical acts,A,True,0.61371315,0.17583176,0.034623325,0.17583176
What is T-group training?,A group whose aim is transformational change,A group brought together to deliver training programmes,Team training for the purposes of advancing technology,Team building activities involving learning,D,False,0.50977015,0.2125038,0.03692763,0.24079837
What is a social enterprise concerned with?,Profit maximisation,Maximising market share,Providing public service,Running a business to create social benefits,D,True,0.04446194,0.073305346,0.09412593,0.78810674
Which of the following is not part of Schein's model of the formation of culture?,Shared values,Pre-conceptions,Shared beliefs,Norms,B,False,0.072011806,0.17274734,0.072011806,0.683229
What is not one of the layers of cultural influence?,Social,Business,Organisational,Company,D,True,0.091559626,0.19383173,0.11756489,0.59704375
