0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_26000_correct,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_26000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_26000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_26000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_26000_choiceD_probs
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.35347164,0.18919975,0.24293727,0.21439138
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.22210716,0.17297724,0.47020087,0.13471481
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,False,0.117701076,0.17125405,0.6773229,0.03372192
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.24196598,0.7453077,0.012046777,0.00067963265
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.52014494,0.21682866,0.13151324,0.13151324
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.09064094,0.8599773,0.04281575,0.0065660076
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.24902599,0.2821834,0.21976466,0.24902599
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.98082376,0.017964413,0.00078930124,0.00042248252
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.06579753,0.801578,0.05806612,0.07455837
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.98619395,0.009668305,0.004030349,0.00010740517
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.17883405,0.334106,0.10846834,0.3785917
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,True,0.16529618,0.34993201,0.27252734,0.2122445
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.1062544,0.13643335,0.69286567,0.064446546
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,True,0.11150443,0.059684023,0.8239125,0.004899163
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.005858955,0.008524729,0.9853247,0.00029170015
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.0027857842,0.00520453,0.9918079,0.00020180154
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.65705425,0.21331428,0.10076254,0.028868949
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.9332996,0.05265316,0.004897507,0.009149747
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.89590186,0.044604328,0.057273086,0.002220719
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.04810285,0.51715434,0.07930819,0.35543463
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.64076,0.34297413,0.01329855,0.0029673073
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.22604375,0.47853464,0.25614116,0.039280515
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.001907348,0.009686312,0.98803073,0.0003755791
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.013813697,0.013813697,0.96841496,0.0039576907
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.012139596,0.02001481,0.96436757,0.0034780526
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.056763213,0.020882022,0.8879261,0.03442863
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.09746745,0.6355676,0.1418143,0.12515068
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.42981502,0.37931043,0.13954051,0.051334087
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,True,0.072516866,0.22336768,0.41730574,0.28680977
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.5246736,0.28083754,0.103314355,0.091174595
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.07476521,0.09600044,0.6260015,0.20323291
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.6495712,0.041525695,0.30683568,0.0020674428
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.070912756,0.11691537,0.59374523,0.21842667
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.23480837,0.49708933,0.12568386,0.14241847
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,False,0.11127296,0.07647671,0.08665947,0.7255908
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.97704494,0.020277921,0.0024218524,0.00025526137
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.3030069,0.26740265,0.26740265,0.1621879
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.050130405,0.03445409,0.8885827,0.026832873
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.09368765,0.8888837,0.008714309,0.008714309
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.4243462,0.20044695,0.33048117,0.04472576
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.2603064,0.20272683,0.20272683,0.33424002
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,True,0.17281577,0.049512543,0.7745065,0.003165231
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.5896718,0.24581178,0.11611326,0.048403207
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.9834569,0.012379896,0.0035468994,0.0006163587
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.44898424,0.2723227,0.16517207,0.113520995
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.022053842,0.93775314,0.0038323828,0.036360636
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.04715825,0.94719875,0.004970443,0.0006726763
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,True,0.43706065,0.561197,0.0015762869,0.0001661394
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,True,0.3567797,0.40428436,0.14872791,0.09020804
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,True,0.033253845,0.079771824,0.8576279,0.029346414
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.08227218,0.17417021,0.1356439,0.60791373
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.0085870745,0.043608762,0.0718987,0.87590545
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.16709615,0.45421442,0.18934473,0.18934473
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.9942034,0.004063082,0.0016937446,3.9833056e-05
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.5468146,0.20116186,0.20116186,0.050861686
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.29520482,0.22990575,0.3790505,0.09583897
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.7261733,0.20805213,0.046422705,0.019351862
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.16426092,0.8341858,0.0014211355,0.00013218618
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.97093683,0.022834247,0.0027271616,0.0035017452
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.14181706,0.4368273,0.38549873,0.03585697
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,True,0.025453785,0.8429136,0.129265,0.0023675708
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.041990638,0.9557025,0.0016281537,0.0006787154
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.0051532807,0.010909495,0.9820415,0.001895786
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,False,0.33318326,0.22899328,0.2594834,0.17834015
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.01731162,0.02222856,0.9451824,0.01527745
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,False,0.16703644,0.66064197,0.042233426,0.13008812
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.15672188,0.79589933,0.030860366,0.016518364
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,True,0.32412055,0.3672767,0.17348923,0.13511355
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,True,0.22656325,0.10702089,0.6158627,0.05055309
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,True,0.39037353,0.5679901,0.013357848,0.028278563
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.70962965,0.26105818,0.02142896,0.007883273
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.12759718,0.8320381,0.025125373,0.0152393095
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,True,0.017689627,0.013776694,0.96582085,0.002712792
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.04115355,0.93665045,0.011790689,0.010405246
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.013969172,0.0058232173,0.97931457,0.0008930193
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,True,0.016495934,0.011337479,0.17734802,0.79481864
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.12727149,0.099119134,0.12727149,0.6463379
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,False,0.11079656,0.386718,0.16120805,0.34127745
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,False,0.37878898,0.37878898,0.084519245,0.15790273
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,False,0.04115802,0.046638153,0.6438198,0.268384
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,False,0.39663112,0.39663112,0.14591244,0.060825355
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.121644065,0.15619406,0.17699106,0.54517084
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,True,0.4597165,0.19163835,0.24606852,0.10257662
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,True,0.09412181,0.13694641,0.15518062,0.61375123
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,True,0.020722982,0.88116354,0.09287395,0.00523959
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,0.013865154,0.012235956,0.9720224,0.0018764447
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,True,0.2517814,0.47038957,0.19608754,0.08174145
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,True,0.098922156,0.11209348,0.14393088,0.64505345
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,True,0.0984999,0.30340105,0.2085243,0.38957468
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.0027857842,0.00520453,0.9918079,0.00020180154
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,False,0.23505981,0.26635766,0.1110344,0.38754812
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,0.015863076,0.9814138,0.0024326816,0.00029054238
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.0039422233,0.013759711,0.96463025,0.017667819
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,False,0.42049482,0.53992605,0.012697844,0.026881335
How many sides does a rhombus have?,4,6,8,10,A,True,0.8831957,0.072497115,0.023536367,0.020770773
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.042233426,0.16703644,0.13008812,0.66064197
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,True,0.24460955,0.75345045,0.001867617,7.2415365e-05
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,True,0.06264004,0.043051828,0.029589059,0.8647191
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,True,0.030159516,0.049724635,0.038725585,0.8813903
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,False,0.39327043,0.50496924,0.060309976,0.0414504
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,False,0.44972906,0.44972906,0.07815119,0.02239069
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,False,0.11542525,0.4028737,0.31375834,0.16794273
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,True,0.004769135,0.01468997,0.42930385,0.55123705
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,True,0.50615203,0.4466776,0.01050485,0.036665533
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,False,0.38793284,0.38793284,0.1832465,0.040887818
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,True,0.20751743,0.724307,0.046303395,0.021872176
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,False,0.027804114,0.2989224,0.6328187,0.040454745
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.10573143,0.8852784,0.007659159,0.0013309622
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,True,0.9614748,0.03728042,0.0009934896,0.00025119353
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,False,0.26305002,0.29807472,0.29807472,0.14080052
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,True,0.05334572,0.94557554,0.0006715235,0.0004072996
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,True,0.041795816,0.9512684,0.0064095957,0.00052613165
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,True,0.07555038,0.10992514,0.81224304,0.0022814234
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,False,0.26305002,0.29807472,0.14080052,0.29807472
In British currency how many pence make a pound?,10,100,500,1000,B,True,0.33986095,0.6349438,0.014932447,0.01026291
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,True,0.18624279,0.394276,0.394276,0.025205221
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,True,0.105630815,0.19734433,0.22362043,0.47340447
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,False,0.17916435,0.29539207,0.23005158,0.29539207
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.14853372,0.45751604,0.31444588,0.07950437
How many stars are on the American flag?,13,48,50,51,C,False,0.9174635,0.07530999,0.0054554376,0.0017711212
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,True,0.12783962,0.23883584,0.06038716,0.5729374
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,True,0.06833688,0.05322082,0.5721777,0.30626467
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,True,0.07560428,0.11000358,0.6330269,0.18136525
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,True,0.304894,0.34549016,0.11216423,0.23745169
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,False,0.18588813,0.16404569,0.14476982,0.5052963
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,False,0.20425668,0.4324114,0.15907528,0.20425668
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,True,0.54245365,0.22612832,0.13715376,0.094264306
In the children's game what color is 'Rover'?,Green,black,red,blue,C,True,0.22054549,0.19463073,0.52906114,0.055762634
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,True,0.04424084,0.22467352,0.6920432,0.039042406
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,False,0.12465151,0.4350765,0.29902342,0.14124866
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,True,0.23688284,0.6439143,0.032058604,0.08714432
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,True,0.32742006,0.47639337,0.17525533,0.020931264
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,False,0.064745985,0.54211146,0.13706724,0.25607532
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.013864796,0.02590285,0.10244776,0.85778457
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,True,0.075070575,0.8070847,0.051595196,0.06624954
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,True,0.07960307,0.115821786,0.58819157,0.21638359
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,0.14854282,0.13108858,0.054645848,0.6657227
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.0034985319,0.015679331,0.010776237,0.9700459
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,True,0.015458758,0.010624639,0.017517067,0.9563995
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.38754812,0.23505981,0.26635766,0.1110344
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,False,0.29190114,0.17704698,0.3748085,0.15624341
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,True,0.0083445795,0.025703115,0.9645023,0.0014500705
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,True,0.047176786,0.9475711,0.0043881247,0.000864073
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,False,0.07331204,0.32856175,0.22581697,0.37230924
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,True,0.012240999,0.972423,0.012240999,0.0030950094
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,True,0.04144479,0.943279,0.011874131,0.0034019954
According to a popular slogan what state should people not 'mess with'?,New York,Texas,Montana,Rhode Island,B,True,0.13030015,0.58396477,0.24343273,0.042302266
Each year in pro baseball the player voted as the best fielder at his position wins what?,a brand new car,the Gold Glove,the Silver Bat,the Brass Baseball,B,True,0.18151516,0.8134945,0.0037672268,0.0012230395
