0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_correct,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_choiceA_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_choiceB_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_choiceC_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_choiceD_probs
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.12731923,0.08220347,0.44438776,0.34608954
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.066154204,0.109069854,0.48881716,0.3359588
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,False,0.046730943,0.17362653,0.6060161,0.17362653
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,False,0.11185279,0.23679237,0.44238636,0.20896852
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,False,0.16660261,0.16660261,0.45287284,0.21392198
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.06518091,0.12962772,0.65830386,0.14688745
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.044144224,0.14474334,0.572471,0.23864143
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,False,0.12299502,0.12299502,0.5512254,0.20278451
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.045119464,0.18996005,0.5496676,0.21525292
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,False,0.11228196,0.08744528,0.73217034,0.06810246
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,True,0.10909328,0.07043591,0.7113775,0.10909328
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.052093018,0.20603187,0.5600527,0.1818225
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.05540276,0.17065251,0.52564675,0.24829793
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,True,0.1053932,0.14405541,0.606496,0.14405541
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.028197082,0.03854084,0.87718546,0.05607659
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.005709459,0.016520865,0.9601833,0.01758637
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.102520995,0.090474464,0.5899676,0.21703696
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,False,0.046212204,0.10414082,0.5288707,0.3207763
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.21671727,0.12348178,0.51987773,0.1399232
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,True,0.036856104,0.14576872,0.5087828,0.30859238
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,True,0.03745675,0.1307369,0.6639368,0.16786951
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.052767713,0.1434375,0.56730634,0.23648846
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.01290236,0.089560136,0.7498778,0.1476597
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.08014997,0.11661752,0.6710875,0.13214497
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.036552846,0.15389323,0.6897016,0.11985217
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.042490907,0.0658112,0.8017446,0.08995325
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,False,0.07309273,0.22514144,0.47662443,0.22514144
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.15097779,0.15097779,0.52696425,0.17108025
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,True,0.018130306,0.076331444,0.63911533,0.2664229
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,False,0.119843595,0.17437139,0.41829523,0.28748983
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.07230348,0.17344703,0.5018856,0.25236392
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,True,0.06992755,0.16774747,0.62325746,0.13906755
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.03266689,0.0783638,0.5790345,0.30993485
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,False,0.081771016,0.15276837,0.44204992,0.32341066
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,False,0.1687861,0.15855986,0.35732016,0.31533393
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,False,0.100623935,0.12920369,0.65615046,0.11402185
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,True,0.05926367,0.13355273,0.46614483,0.34103885
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.034042865,0.038575616,0.774812,0.15256953
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,False,0.060525548,0.22487968,0.53945833,0.17513648
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,False,0.08860118,0.12110344,0.57775223,0.21254317
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,True,0.06915087,0.1463924,0.5109597,0.27349702
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,True,0.066338286,0.123936236,0.7132038,0.09652164
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.05182201,0.12431454,0.6313213,0.19254214
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,False,0.17504266,0.093693584,0.6109589,0.120304935
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.15073937,0.31911525,0.2816182,0.24852721
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.047600206,0.088928886,0.5117504,0.35172057
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.11956677,0.60721016,0.22338013,0.049842846
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.12723036,0.36815324,0.41717228,0.08744406
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.08019708,0.14982787,0.52295065,0.24702439
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,True,0.09229972,0.1342953,0.56540436,0.20800065
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,True,0.059458982,0.20753223,0.49784395,0.23516482
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,False,0.03439569,0.11277913,0.505441,0.34738418
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,True,0.038084082,0.11730724,0.52573454,0.31887412
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,False,0.1369464,0.1551806,0.6137512,0.09412179
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,False,0.06204238,0.10229059,0.6670184,0.16864866
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.020394694,0.080662586,0.63446033,0.2644824
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,False,0.21170604,0.21170604,0.44818172,0.12840621
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,False,0.058058944,0.33410615,0.4290008,0.17883414
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,False,0.115767844,0.14864884,0.4578707,0.2777126
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,True,0.16947274,0.1164768,0.52201277,0.19203778
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,False,0.0379783,0.09698099,0.63239545,0.23264529
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,False,0.052767713,0.23648846,0.56730634,0.1434375
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.05995704,0.09885245,0.6445989,0.19659157
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,True,0.05637975,0.13524799,0.6452321,0.16314022
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.026398446,0.0674108,0.63957584,0.26661488
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,True,0.060391594,0.09956891,0.44623688,0.39380267
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,True,0.09046008,0.26175493,0.48902255,0.15876238
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,False,0.06915087,0.1463924,0.5109597,0.27349702
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,True,0.07056846,0.090611696,0.6695349,0.16928494
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,False,0.16198862,0.23569204,0.44033068,0.16198862
An airplane's black box is usually what color?,black,white,orange,purple,C,True,0.06518091,0.14688747,0.6583039,0.12962773
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.20331767,0.26106507,0.40434548,0.13127175
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,True,0.037840996,0.124075845,0.7140072,0.124075845
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,False,0.10326295,0.3180723,0.4084129,0.17025183
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.020925667,0.03909429,0.88978195,0.050198063
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,False,0.039414037,0.030695684,0.65630263,0.27358764
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.048186712,0.06586343,0.5514677,0.33448207
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,True,0.031133154,0.19071369,0.58743954,0.19071369
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,False,0.11340607,0.17564675,0.42135465,0.28959253
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,False,0.058271386,0.08478436,0.6264764,0.2304678
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,False,0.16178986,0.10445939,0.49834788,0.23540287
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,False,0.03377828,0.11789778,0.5987343,0.24958959
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,False,0.048377637,0.11605191,0.5201086,0.3154618
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.042960014,0.11677743,0.5930447,0.2472178
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,False,0.034055762,0.16247097,0.56707937,0.23639384
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,0.01646437,0.027145157,0.8989241,0.057466295
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,False,0.05905945,0.12502885,0.5964793,0.21943247
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.07150769,0.16114506,0.4662887,0.30105862
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,False,0.06360178,0.11882376,0.53253114,0.2850434
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.004418044,0.014486209,0.9540319,0.027063802
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,False,0.06033959,0.16402,0.5052172,0.2704233
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,False,0.052207496,0.3004334,0.56128347,0.08607561
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.020508194,0.07619719,0.76956433,0.13373023
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,False,0.059093744,0.2819205,0.41019186,0.24879394
How many sides does a rhombus have?,4,6,8,10,A,False,0.08547054,0.1243589,0.491849,0.29832152
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,True,0.041741427,0.06073341,0.4487626,0.4487626
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,False,0.093693584,0.17504266,0.6109589,0.120304935
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,False,0.051548585,0.07984001,0.58994234,0.27866903
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,True,0.018689733,0.07391933,0.4253764,0.4820146
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,False,0.07194484,0.12626712,0.56588995,0.23589802
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,True,0.111348905,0.1620117,0.5312159,0.19542341
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,False,0.021727884,0.13309942,0.59651023,0.24866246
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,False,0.079000175,0.061525397,0.5837367,0.2757377
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,False,0.089321,0.21426994,0.45360947,0.24279965
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,True,0.06554709,0.074274585,0.5842148,0.27596352
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,False,0.15249918,0.23619537,0.38942033,0.22188503
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,False,0.021751514,0.15098542,0.46506783,0.3621952
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.04312572,0.43555433,0.43555433,0.085765734
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,False,0.24537498,0.21654265,0.45842078,0.079661585
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,False,0.06507555,0.17689368,0.65723974,0.100790985
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,False,0.09460815,0.3741825,0.42400432,0.10720508
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,False,0.042657766,0.27816355,0.58887225,0.09030649
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,True,0.057495337,0.083655216,0.7936986,0.06515075
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,True,0.077141285,0.20969173,0.44391742,0.26924953
In British currency how many pence make a pound?,10,100,500,1000,B,False,0.10544079,0.13538864,0.4725528,0.28661776
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,False,0.06358553,0.15253374,0.53239506,0.25148562
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,False,0.08174153,0.16256244,0.47039002,0.28530598
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,False,0.052079245,0.21926181,0.40963498,0.31902406
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.09038921,0.1235474,0.62742543,0.15863799
How many stars are on the American flag?,13,48,50,51,C,True,0.06605625,0.08481791,0.5530822,0.2960436
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,False,0.033327524,0.079948574,0.6694012,0.21732275
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,True,0.10116242,0.074012004,0.5821495,0.24267602
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,True,0.038993217,0.07284892,0.6492954,0.23886243
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,False,0.054921765,0.16917095,0.4598543,0.31605294
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,True,0.088727385,0.18783589,0.51059085,0.21284594
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,True,0.04383706,0.20913489,0.4427386,0.3042895
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,False,0.138265,0.17753577,0.42588618,0.25831303
In the children's game what color is 'Rover'?,Green,black,red,blue,C,True,0.07200061,0.15242529,0.6028537,0.17272049
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,True,0.053261407,0.13600776,0.6907044,0.12002643
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,True,0.041342054,0.13555537,0.5361319,0.28697073
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,False,0.07623117,0.12568395,0.56327635,0.23480852
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,False,0.061797276,0.15780488,0.5507931,0.22960472
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,False,0.085180916,0.19195816,0.40637544,0.31648552
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.023313899,0.081373505,0.36469075,0.5306219
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,False,0.024835149,0.14291641,0.5652454,0.267003
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,True,0.05118638,0.12278975,0.6235778,0.20244606
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,False,0.08322861,0.12109691,0.42266974,0.37300473
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.00300467,0.018405834,0.28791568,0.6906738
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,False,0.039698515,0.10137372,0.58336544,0.27556232
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.112578206,0.14455327,0.5045405,0.23832805
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,False,0.055563603,0.09751717,0.5271728,0.31974646
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,True,0.02453489,0.055290226,0.8648847,0.055290226
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,False,0.03326342,0.058379125,0.8058989,0.10245855
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,False,0.015981108,0.13380818,0.5292216,0.32098913
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,False,0.08329222,0.27310467,0.5431335,0.1004696
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,False,0.07457101,0.2602784,0.48626405,0.17888655
According to a popular slogan what state should people not 'mess with'?,New York,Texas,Montana,Rhode Island,B,False,0.08483246,0.1584879,0.5531771,0.20350249
