0,1,2,3,4,5,alpacacode_llama2_7B_sharegpt_qy_vic_52000_gpt35_Tptalpaca_correct,alpacacode_llama2_7B_sharegpt_qy_vic_52000_gpt35_Tptalpaca_choiceA_probs,alpacacode_llama2_7B_sharegpt_qy_vic_52000_gpt35_Tptalpaca_choiceB_probs,alpacacode_llama2_7B_sharegpt_qy_vic_52000_gpt35_Tptalpaca_choiceC_probs,alpacacode_llama2_7B_sharegpt_qy_vic_52000_gpt35_Tptalpaca_choiceD_probs
About how many people are infected by HIV/AIDS as of 2020?,3 million,14 million,42 million,124 million,C,True,0.08443929,0.3339639,0.4859146,0.095682256
What is the percentage of children aged 13-15 in the United States who reported being bullied at least once in the past couple of months as of 2015?,26%,46%,66%,86%,A,False,0.17775631,0.62043047,0.15686938,0.044943836
"As of 2019, about what percentage of South Koreans say it is necessary to believe in God in order to be moral and have good values?",25%,45%,65%,85%,B,False,0.138265,0.25831303,0.42588618,0.17753577
What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?,6%,16%,36%,66%,C,False,0.10890725,0.626718,0.17955771,0.08481705
"As of 2018, about what percentage of US adults say computer programs will always reflect human bias?",43%,58%,73%,88%,B,True,0.12568386,0.49708933,0.23480837,0.14241847
"As of 2017, the share of GDP spent on the military by China is about",0.50%,2%,6%,12%,B,True,0.074111715,0.7031524,0.17778477,0.04495103
"The conjecture that inequality first increases with development, then decreases with further development (known as the “inverted U hypothesis”) has, as of 2020, been",strongly supported by most studies,"supported mainly by cross-section, not time-series studies","supported mainly by time-series, not cross-section studies",generally repudiated by empirical studies,B,True,0.21948178,0.6760515,0.04897301,0.055493686
"Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?",12 years,9 years,6 years,3 years,B,True,0.3445841,0.56812316,0.06785264,0.019440105
"As of 2017, the share of deaths in Greenland by suicide is about",0.90%,1.80%,3.60%,7.20%,D,False,0.16794273,0.4028737,0.31375834,0.11542525
"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?",14%,24%,34%,44%,A,False,0.1723843,0.32205626,0.22134583,0.28421366
"As of 2019, about what percentage of Americans say the relationship between the U.S. and Germany is good?",60%,75%,90%,45%,B,True,0.100022666,0.7390731,0.12843165,0.032472607
"As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?",50%,60%,70%,80%,D,False,0.15390794,0.47406983,0.17440055,0.1976217
In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?,2%,25%,50%,75%,D,False,0.11571631,0.35643134,0.45766687,0.07018549
"In Sub-Saharan Africa, as of 2020,",no nation has been able to grow in the past years.,the Democratic Republic of Congo has become poorer than it initially was in 1980.,some countries have had relatively significant growth rates.,"some countries have had relatively significant growth rates, but the Democratic Republic of Congo has become poorer than it initially was in 1980.",C,True,0.020602401,0.01102767,0.87603635,0.09233355
"World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?",15.50%,34.80%,48.10%,65.20%,B,True,0.09330694,0.5369443,0.2874056,0.08234309
How many children between the ages of 5-14 worked globally as of 2012?,5 million,30 million,150 million,500 million,C,False,0.1024911,0.6683259,0.19147858,0.037704367
"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,","Colombia, Peru, Uruguay, and Costa Rica.","Bhutan, Niger, Cambodia, and Costa Rica.","Uruguay, Costa Rica, Timor-Leste, and Pakistan.","Bhutan, Cambodia, Uruguay and Costa Rica.",A,False,0.2825783,0.5279257,0.15125325,0.038242813
The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,10%,20%,40%,80%,B,False,0.1389426,0.1389426,0.42797336,0.2941415
The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,38%,58%,78%,98%,C,True,0.109548815,0.29778457,0.43327397,0.1593926
"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?","True, True","True, False","False, True","False, False",B,False,0.58161074,0.35276476,0.032812234,0.032812234
"In 2017, about how many people died from terrorism globally?",260,"2,600","26,000","260,000",C,False,0.09108776,0.67305255,0.19283278,0.04302681
In 1935 roughly how many Americans were in favor of Social Security act?,90%,70%,50%,30%,A,True,0.5761025,0.39594907,0.017396789,0.0105516855
Which of the following countries emitted the most CO2 per capita in 2017?,Japan,Canada,Russia,Iran,B,False,0.24097842,0.27306432,0.08865101,0.39730623
"As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?",59%,69%,79%,89%,C,False,0.15907528,0.4324114,0.20425668,0.20425668
"What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",9%,19%,39%,59%,B,True,0.14357257,0.50111747,0.26822886,0.08708116
The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,18%,38%,58%,78%,B,True,0.061308097,0.58167505,0.24247824,0.11453861
"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",24%,39%,54%,69%,A,False,0.07392009,0.25800648,0.54619974,0.12187364
"As of 2015, the global fertility rate was about",1.5 children per woman,2.5 children per woman,3.5 children per woman,4.5 children per woman,B,False,0.758116,0.19168174,0.04276998,0.0074323076
What is the median international income as of 2020?,$300 ,"$1,000 ","$10,000 ","$30,000 ",C,False,0.030716252,0.79218256,0.13766068,0.039440446
Before being reelected for a third term as president how many Americans approved of running a third time?,20%,40%,60%,80%,C,True,0.13084528,0.24445117,0.45669487,0.16800866
"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?",41%,56%,71%,86%,B,False,0.13894258,0.29414147,0.4279733,0.13894258
Public spending on education in the world is about what percentage of global GDP as of 2017?,1%,2%,4%,8%,C,False,0.093276754,0.47369844,0.36891672,0.06410811
"As of 2013, which of the following countries had the highest per capita rate of homelessness?",US,Chile,Ireland,Spain,A,True,0.6367346,0.26543048,0.02178786,0.07604711
"Overall, the growth rate of average incomes in less developed countries between 1960 and 1995",was approximately zero,exceeded that of high income countries,exceeded that of Britain during the industrial revolution,was approximately 3.0% per year,C,False,0.067258485,0.72309685,0.067258485,0.14238621
"As of 2015, about what percentage of the world’s land area is forested?",15%,30%,45%,60%,B,True,0.12176702,0.70072085,0.13798012,0.039531965
The greatest population growth rate has taken place,"in Africa, which is the poorest region of the world with the lowest overall economic growth.","in Asia, which is the poorest region of the world with a steady overall economic growth.","in Asia, which is the poorest region of the world with the lowest overall economic growth.","in Africa, which is the poorest region of the world with a steady overall economic growth.",C,False,0.24621314,0.35823798,0.1493358,0.24621314
The global HIV/AIDS death rate is highest for which of these age groups?,Under 5,14-May,15-49,over 50,C,True,0.021960296,0.024884274,0.93377554,0.019379893
"As of 2015, agriculture made up about what percentage of total US GDP?",1%,3%,9%,20%,A,False,0.1053339,0.15325992,0.60615474,0.1352514
"As of 2017, what percentage of Indians live in urban areas?",19%,34%,49%,64%,B,True,0.04502903,0.6216065,0.25912416,0.07424031
"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?","True, True","True, False","False, True","False, False",A,True,0.72175086,0.2343182,0.024696955,0.01923401
"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?",80%,40%,-40%,-80%,B,True,0.18557777,0.64773005,0.14452812,0.022164103
"As of 2013, share of people in the United States who think political parties are corrupt is",36%,56%,76%,96%,C,False,0.12571384,0.49720788,0.2661362,0.11094208
Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,China,Japan,Chile,India,C,False,0.9194819,0.021624142,0.045778304,0.013115704
"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?","$150,000 ","$75,000 ","$35,000 ","$15,000 ",C,False,0.29128727,0.54419625,0.05735786,0.107158594
In 1943 how many Americans believed in the Holocaust?,30%,50%,70%,90%,B,True,0.1959358,0.32304353,0.2850849,0.1959358
Which of the following countries emitted the most CO2 in 2017?,Canada,Russia,Iran,Japan,D,False,0.5431364,0.057246156,0.19980873,0.19980873
"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.","India, Congo","India, South Korea","Congo, South Korea","South Korea, India",A,False,0.10435507,0.87375426,0.00588731,0.016003368
"As of 2013, share of people in the India who think political parties are corrupt is",26%,46%,66%,86%,D,False,0.064446546,0.13643335,0.69286567,0.1062544
"As of 2019, about what percentage of French people say God plays an important role in their life?",11%,31%,51%,71%,B,False,0.11970383,0.28715456,0.47343782,0.11970383
"As of 2017, the share of GDP spent on the military by the United States is about",1%,3%,6%,10%,B,True,0.08933888,0.74802524,0.06140165,0.101234205
"As of 2017, the share of global deaths by suicide is about",0.70%,1.40%,2.80%,5.60%,B,True,0.20739424,0.563756,0.1615188,0.06733105
Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included,artificial political boundaries that covered diverse ethnic groups with little in common,inadequate access to higher education and training for nationals under the colonial administration,control of domestic commerce by foreign minority groups which had been brought in by the colonial power,all of the above,D,True,0.015750878,0.0039824457,0.005794424,0.9744723
Which of the following mental disorders is most prevalent in the world?,Bipolar disorder,Schizophrenia,Alcohol use disorders,Anxiety disorders,D,False,0.108739905,0.62575495,0.03530268,0.23020239
"As of 2017, how many people in the world have some access to electricity?",60%,70%,80%,90%,C,False,0.11095631,0.56348264,0.26617035,0.05939063
Before Nixon resigned how many believed he should be removed from office?,79%,98%,33%,57%,D,False,0.13010207,0.848372,0.009424562,0.012101376
