0,1,2,3,4,5,llama_7B_firstturn_20000/ckp25k_correct,llama_7B_firstturn_20000/ckp25k_choiceA_probs,llama_7B_firstturn_20000/ckp25k_choiceB_probs,llama_7B_firstturn_20000/ckp25k_choiceC_probs,llama_7B_firstturn_20000/ckp25k_choiceD_probs
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,True,0.5408762,0.1206858,0.25549182,0.082946055
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,True,0.8612395,0.015774151,0.080107756,0.042878587
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,False,0.6253873,0.021399576,0.23006713,0.123146065
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.7397715,0.06880947,0.11344764,0.07797134
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,True,0.28976774,0.22567134,0.47774622,0.006814684
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,True,0.15205537,0.3647619,0.3647619,0.11842085
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.4924104,0.027779894,0.298662,0.18114766
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.8765441,0.014168016,0.104688264,0.0045996816
When was the current Dalai Lama born?,1935,2000,1965,1975,A,True,0.4809558,0.13779615,0.33055577,0.05069237
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.28863794,0.050157756,0.61104655,0.050157756
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,False,0.59183854,0.090761386,0.24671501,0.07068504
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,True,0.57577837,0.047262765,0.30819196,0.06876692
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,False,0.5469986,0.15671773,0.20122956,0.095054105
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,True,0.5409296,0.22549301,0.19899689,0.034580473
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,False,0.52573454,0.11730724,0.31887412,0.038084082
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,True,0.413622,0.020593027,0.413622,0.15216303
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,False,0.90135556,0.057621732,0.034949347,0.006073286
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,False,0.7908659,0.15573072,0.0446176,0.0087857265
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,False,0.5290639,0.049210608,0.41203538,0.009690143
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,True,0.9135606,0.021484887,0.058401976,0.00655252
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,True,0.80647206,0.04549804,0.1236765,0.024353346
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,False,0.2785029,0.03769127,0.66809374,0.01571206
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,False,0.6152984,0.13729163,0.22635563,0.021054354
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,False,0.41563836,0.049640924,0.41563836,0.119082384
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,True,0.49784395,0.23516482,0.20753223,0.059458982
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,False,0.8273761,0.019458022,0.11197318,0.041192632
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.55830973,0.09701969,0.29884169,0.045828853
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,False,0.47984308,0.057309084,0.42346004,0.03938792
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,True,0.49030277,0.007925007,0.2043886,0.29738367
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,False,0.45770618,0.09012769,0.4039243,0.048241876
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.5652454,0.267003,0.14291641,0.024835149
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,True,0.91159743,0.040052798,0.035346467,0.0130032385
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,False,0.3091285,0.12105646,0.32906556,0.24074952
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.5246735,0.10331434,0.2808375,0.09117459
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,False,0.3315741,0.13822065,0.48243746,0.047767777
 How many books are in the New Testament?,30,29,27,47,C,False,0.6000668,0.040835056,0.20737754,0.15172064
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,False,0.7399534,0.053602047,0.14570546,0.060739074
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,False,0.31115207,0.089146554,0.14697783,0.45272356
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.48957607,0.20408566,0.23125936,0.07507893
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.49209484,0.09689922,0.38324386,0.02776209
How many Jinas have appeared during our age?,7,42,24,13,C,True,0.37239152,0.050397716,0.4219749,0.15523589
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.5361111,0.056505695,0.32516783,0.08221531
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,False,0.5888168,0.2166136,0.16869885,0.025870806
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,False,0.48043954,0.023919675,0.3741667,0.12147414
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,False,0.7166787,0.06666151,0.1411224,0.075537376
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,False,0.6912943,0.12012894,0.10601342,0.08256333
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,False,0.86550885,0.04309115,0.080504864,0.010895149
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,False,0.556648,0.008997377,0.38257822,0.051776335
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.37554446,0.2581077,0.33141682,0.03493108
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.5925811,0.080197126,0.24702455,0.080197126
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,False,0.20753223,0.059458982,0.49784395,0.23516482
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,True,0.42779285,0.22898102,0.3331654,0.010060724
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,False,0.3412776,0.16120812,0.43820912,0.059305154
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.836878,0.047213424,0.047213424,0.06869513
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.16726689,0.06972721,0.6615534,0.1014525
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.58080995,0.00569406,0.35227904,0.061216917
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.5842281,0.2759698,0.13035892,0.009443168
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.6784313,0.02980819,0.22025438,0.07150613
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,False,0.6028537,0.07200061,0.15242529,0.17272049
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,False,0.34327456,0.00040193318,0.38898104,0.2673425
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.626718,0.17955771,0.10890725,0.08481705
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,False,0.34900096,0.18680675,0.3954699,0.06872237
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.72607917,0.013298604,0.20802517,0.052597
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.74654335,0.032800827,0.16657634,0.05407942
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,True,0.5441468,0.20018041,0.22683412,0.028838722
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,False,0.4944954,0.18191469,0.14167531,0.18191469
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.39521933,0.12830894,0.44784218,0.028629592
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.4818199,0.06520723,0.33114967,0.12182315
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.8259741,0.013350628,0.14353278,0.017142545
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.5321685,0.043683052,0.2513786,0.17276981
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.6158148,0.00995372,0.32962194,0.044609476
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.5053638,0.27050176,0.21066698,0.01346749
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,False,0.52764297,0.07140871,0.32003164,0.08091667
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.20739436,0.08645484,0.63881963,0.06733109
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,False,0.6199234,0.013695893,0.22805709,0.13832362
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,False,0.5089979,0.16524743,0.2121819,0.11357279
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,True,0.5133504,0.21399629,0.083802156,0.18885107
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,False,0.383667,0.040438205,0.43475166,0.1411432
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,False,0.90328807,0.06543397,0.0212433,0.010034624
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,False,0.38494214,0.01916514,0.5600875,0.035805196
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,False,0.7338116,0.025109652,0.16373551,0.07734317
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.6327066,0.20540975,0.10994792,0.051935717
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.60419524,0.026546486,0.17310484,0.19615348
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.6955814,0.073313735,0.13696809,0.0941367
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.74190384,0.12892355,0.10040577,0.028766733
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.9786416,0.010871726,0.009594264,0.00089240563
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.45491594,0.025664601,0.27592048,0.24349897
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.8170625,0.040679146,0.03168095,0.11057738
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,False,0.5369443,0.08234309,0.2874056,0.09330694
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.59364724,0.1810522,0.1700828,0.0552178
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.7992189,0.030989079,0.07433894,0.09545308
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.6666987,0.017766919,0.24526475,0.070269525
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,False,0.46778256,0.033886056,0.36430943,0.13402195
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.6411773,0.08677391,0.23587595,0.036172748
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.42120925,0.025295582,0.3280381,0.22545707
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,False,0.41450858,0.10480418,0.2848873,0.19579999
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.3745737,0.094707064,0.3745737,0.15614554
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.66953486,0.09061169,0.16928492,0.07056845
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.30197537,0.0062672985,0.63928187,0.052475452
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,False,0.5667289,0.16237055,0.18398993,0.086910695
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,False,0.5199402,0.13146147,0.31535968,0.033238664
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.7503974,0.11507717,0.10155524,0.03297016
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.7444202,0.12936082,0.10074631,0.025472658
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,False,0.5364028,0.25337875,0.15368198,0.05653644
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.8121545,0.058832277,0.109913155,0.019100042
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,True,0.39380267,0.09956891,0.44623688,0.060391594
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.24647972,0.16940288,0.5217976,0.062319838
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,False,0.5539126,0.013866929,0.09625557,0.33596498
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,False,0.38000062,0.123368144,0.43059713,0.06603421
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.3157641,0.033281293,0.45943406,0.1915206
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.2617311,0.07498722,0.62786025,0.03542145
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,False,0.59027886,0.07988556,0.31595352,0.013882029
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.87094015,0.014077436,0.10401897,0.010963518
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,False,0.50090194,0.0677897,0.34426454,0.0870437
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,False,0.15182507,0.15182507,0.4127033,0.28364655
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.72633183,0.16206655,0.08674797,0.024853708
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.43967623,0.04634153,0.38801292,0.12596935
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,False,0.33841926,0.09695874,0.38347927,0.18114278
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.81630284,0.075927995,0.09749347,0.010275736
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,False,0.1822677,0.021768771,0.49545494,0.30050862
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,False,0.4280538,0.009456941,0.2291207,0.33336863
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.44546232,0.11989456,0.3469264,0.08771673
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.52267337,0.08015456,0.31701744,0.08015456
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.7481022,0.047824573,0.08934807,0.11472519
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,False,0.3468667,0.14459555,0.27014005,0.23839776
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.4990959,0.036154386,0.30271697,0.16203271
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.4074675,0.014842004,0.3595888,0.21810165
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.5691259,0.14389756,0.23724696,0.049729664
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.5885335,0.27800354,0.10227179,0.031191135
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,True,0.64293087,0.14345726,0.1266006,0.08701123
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,True,0.67796654,0.01697256,0.24940996,0.055650882
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,True,0.8310929,0.077303685,0.077303685,0.014299743
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,False,0.54619974,0.12187364,0.25800648,0.07392009
 The theological term homoousios means which of the following?,of a similar substance,of the same substance,of like substance,of human substance,B,False,0.71056026,0.12347686,0.15854743,0.007415362
"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?",Es,Izanagi,Izanami,Kami,B,False,0.6784311,0.19437377,0.071506105,0.055689014
 The numen of Augustus referred to which of the following characteristics?,Divine power,Sexual virility,Military acumen,Philosophical intellect,A,True,0.4693395,0.046470903,0.36552197,0.11866761
