0,1,2,3,4,5,llama2_7B_ds_sharegpt_xc_52000/epoch2_correct,llama2_7B_ds_sharegpt_xc_52000/epoch2_choiceA_probs,llama2_7B_ds_sharegpt_xc_52000/epoch2_choiceB_probs,llama2_7B_ds_sharegpt_xc_52000/epoch2_choiceC_probs,llama2_7B_ds_sharegpt_xc_52000/epoch2_choiceD_probs
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.3940555,0.23900674,0.23900674,0.12793109
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.15705977,0.2589478,0.42693272,0.15705977
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,True,0.48433945,0.019991076,0.20190272,0.29376674
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.10544085,0.28661796,0.5354728,0.07246836
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,True,0.045264285,0.4294556,0.4294556,0.0958245
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.026025502,0.67120653,0.2798005,0.022967424
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.09790923,0.8197839,0.06729196,0.015014866
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.034228615,0.60671675,0.2865927,0.072461985
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,True,0.20218445,0.70569307,0.08428302,0.007839542
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.214118,0.35302088,0.40002507,0.032836057
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.12060589,0.694039,0.15486103,0.030493945
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,40%,55%,75%,D,False,0.34972736,0.21212037,0.34972736,0.08842492
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B,True,0.10823118,0.6228274,0.22912541,0.039816022
Which of the following is true as of 2020?,males are more likely to have depression and are more likely to have an alcohol use disorder than females.,females are more likely to have depression and are more likely to have an alcohol use disorder than males.,males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder.,females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder.,D,False,0.24599296,0.24599296,0.45957533,0.04843888
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",37%,47%,57%,67%,D,False,0.042869188,0.31676283,0.59179085,0.048577152
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",1%,3%,6%,10%,D,False,0.035545778,0.80901814,0.12406696,0.031369038
"As of 2019, about what share of electricity came from fossil fuels in the United States?",23%,43%,63%,83%,C,False,0.060141526,0.83022815,0.0875054,0.02212483
What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,10%,30%,50%,70%,D,False,0.06942866,0.74642843,0.14698048,0.037162483
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",26%,41%,56%,71%,C,False,0.10443321,0.5303556,0.3216769,0.043534238
"In 2018, about how many chickens were killed for meat production?",690 million,6.9 billion,69 billion,690 billion,C,False,0.5712838,0.39263725,0.03222963,0.00384928
"In 2016, what percentage of the population of South Sudan had access to electricity?",9%,29%,59%,79%,A,False,0.07879424,0.45342955,0.3531313,0.114644945
About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,31%,51%,71%,91%,B,False,0.064178586,0.22400527,0.5373607,0.17445548
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,C,False,0.12389953,0.55527914,0.26229528,0.058525987
Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,1,7,13,19,D,False,0.070370644,0.58920616,0.27832127,0.06210187
"As of 2019, about what percentage of Turks say God plays an important role in their life?",59%,69%,79%,89%,D,False,0.23832366,0.30601364,0.2700561,0.18560666
Which of the following was responsible for the most death in the 20th century?,Earthquakes,Volcanic activity,Wildfires,Floods,D,False,0.7095424,0.084742755,0.06599773,0.13971718
"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",15%,35%,55%,75%,B,True,0.25377303,0.6087699,0.09335789,0.044099145
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,D,False,0.12475748,0.55912423,0.26411158,0.05200666
"As of 2019, about what percentage of people from Turkey agree that the state is run for the benefit of all the people?",36%,51%,66%,81%,C,True,0.053220253,0.18575695,0.6483554,0.11266728
"As of 2015, what percentage of the global population over 15 years old was literate?",81%,86%,91%,96%,B,True,0.3445839,0.5013666,0.14364395,0.010405532
About what percentage of survey respondents from China report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,26%,46%,66%,86%,A,False,0.10255534,0.45962113,0.3579533,0.07987018
"As of 2019, which of the following had the lowest life expectancy?",Brazil,China,Mexico,Iran,C,False,0.24902599,0.24902599,0.21976466,0.2821834
"As of 2019, unsafe water is responsible for about how many deaths each year?",1.2 million,2.4 million,3.6 million,4.8 million,A,False,0.30823928,0.6525426,0.02867072,0.010547369
Which of the following causes more deaths globally each year (as of 2017)?,Diarrheal diseases,Diabetes,Dementia,Road injuries,C,False,0.8277896,0.08724838,0.02499708,0.05996488
About how many people are infected by HIV/AIDS as of 2020?,3 million,14 million,42 million,124 million,C,True,0.04502903,0.25912416,0.6216065,0.07424031
What is the percentage of children aged 13-15 in the United States who reported being bullied at least once in the past couple of months as of 2015?,26%,46%,66%,86%,A,False,0.16366705,0.73350483,0.087604664,0.015223406
"As of 2019, about what percentage of South Koreans say it is necessary to believe in God in order to be moral and have good values?",25%,45%,65%,85%,B,False,0.07737385,0.23832823,0.5717197,0.11257829
What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?,6%,16%,36%,66%,C,False,0.089853,0.75232995,0.11537354,0.04244355
"As of 2018, about what percentage of US adults say computer programs will always reflect human bias?",43%,58%,73%,88%,B,True,0.094842404,0.7007958,0.17718893,0.027172802
"As of 2017, the share of GDP spent on the military by China is about",0.50%,2%,6%,12%,B,True,0.048662182,0.7612046,0.16984771,0.020285415
"The conjecture that inequality first increases with development, then decreases with further development (known as the “inverted U hypothesis”) has, as of 2020, been",strongly supported by most studies,"supported mainly by cross-section, not time-series studies","supported mainly by time-series, not cross-section studies",generally repudiated by empirical studies,B,True,0.14430723,0.7328526,0.112386584,0.01045358
"Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?",12 years,9 years,6 years,3 years,B,True,0.33335584,0.48502988,0.15746614,0.024148215
"As of 2017, the share of deaths in Greenland by suicide is about",0.90%,1.80%,3.60%,7.20%,D,False,0.26257923,0.49056256,0.18046789,0.066390425
"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?",14%,24%,34%,44%,A,False,0.09252956,0.46990386,0.2850111,0.15255545
"As of 2019, about what percentage of Americans say the relationship between the U.S. and Germany is good?",60%,75%,90%,45%,B,True,0.06579339,0.80152756,0.108474955,0.024204036
"As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?",50%,60%,70%,80%,D,False,0.08819191,0.3952487,0.44787547,0.06868393
In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?,2%,25%,50%,75%,D,False,0.08167173,0.683829,0.1959203,0.03857899
"In Sub-Saharan Africa, as of 2020,",no nation has been able to grow in the past years.,the Democratic Republic of Congo has become poorer than it initially was in 1980.,some countries have had relatively significant growth rates.,"some countries have had relatively significant growth rates, but the Democratic Republic of Congo has become poorer than it initially was in 1980.",C,True,0.013811244,0.005757383,0.96824294,0.01218838
"World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?",15.50%,34.80%,48.10%,65.20%,B,True,0.07930815,0.5171541,0.31366983,0.089867905
How many children between the ages of 5-14 worked globally as of 2012?,5 million,30 million,150 million,500 million,C,False,0.17945515,0.7097589,0.09605542,0.0147305755
"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,","Colombia, Peru, Uruguay, and Costa Rica.","Bhutan, Niger, Cambodia, and Costa Rica.","Uruguay, Costa Rica, Timor-Leste, and Pakistan.","Bhutan, Cambodia, Uruguay and Costa Rica.",A,False,0.23796391,0.5708458,0.14433242,0.046857875
The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,10%,20%,40%,80%,B,True,0.1569381,0.62070227,0.1569381,0.06542154
The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,38%,58%,78%,98%,C,False,0.13798013,0.7007209,0.12176704,0.03953197
"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?","True, True","True, False","False, True","False, False",B,True,0.23910254,0.5061801,0.18621325,0.06850403
"In 2017, about how many people died from terrorism globally?",260,"2,600","26,000","260,000",C,False,0.17254108,0.6824132,0.11858564,0.026460031
In 1935 roughly how many Americans were in favor of Social Security act?,90%,70%,50%,30%,A,False,0.2829121,0.59892493,0.10407755,0.0140853645
Which of the following countries emitted the most CO2 per capita in 2017?,Japan,Canada,Russia,Iran,B,False,0.22585997,0.22585997,0.37238014,0.17589992
"As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?",59%,69%,79%,89%,C,True,0.25180578,0.25180578,0.32332504,0.17306343
"What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",9%,19%,39%,59%,B,True,0.08998813,0.75346136,0.101969905,0.05458056
The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,18%,38%,58%,78%,B,True,0.11400954,0.74343556,0.10061306,0.041941766
"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",24%,39%,54%,69%,A,False,0.0346136,0.225709,0.6952327,0.044444736
"As of 2015, the global fertility rate was about",1.5 children per woman,2.5 children per woman,3.5 children per woman,4.5 children per woman,B,False,0.9084061,0.06580472,0.018853366,0.006935766
What is the median international income as of 2020?,$300 ,"$1,000 ","$10,000 ","$30,000 ",C,False,0.04607297,0.5612837,0.34043577,0.05220752
Before being reelected for a third term as president how many Americans approved of running a third time?,20%,40%,60%,80%,C,True,0.063083835,0.28272215,0.5985228,0.055671293
"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?",41%,56%,71%,86%,B,False,0.10240481,0.315429,0.5200545,0.062111657
Public spending on education in the world is about what percentage of global GDP as of 2017?,1%,2%,4%,8%,C,False,0.033152398,0.58764035,0.3564219,0.02278529
"As of 2013, which of the following countries had the highest per capita rate of homelessness?",US,Chile,Ireland,Spain,A,True,0.76882935,0.17154902,0.029810749,0.029810749
"Overall, the growth rate of average incomes in less developed countries between 1960 and 1995",was approximately zero,exceeded that of high income countries,exceeded that of Britain during the industrial revolution,was approximately 3.0% per year,C,False,0.08026293,0.7615135,0.10305964,0.055163853
"As of 2015, about what percentage of the world’s land area is forested?",15%,30%,45%,60%,B,True,0.045744285,0.63148034,0.2982902,0.024485148
The greatest population growth rate has taken place,"in Africa, which is the poorest region of the world with the lowest overall economic growth.","in Asia, which is the poorest region of the world with a steady overall economic growth.","in Asia, which is the poorest region of the world with the lowest overall economic growth.","in Africa, which is the poorest region of the world with a steady overall economic growth.",C,False,0.3447859,0.20912322,0.20912322,0.23696765
The global HIV/AIDS death rate is highest for which of these age groups?,Under 5,14-May,15-49,over 50,C,True,0.052514963,0.013277862,0.93085,0.0033571695
"As of 2015, agriculture made up about what percentage of total US GDP?",1%,3%,9%,20%,A,False,0.04560788,0.49033087,0.43271548,0.031345803
"As of 2017, what percentage of Indians live in urban areas?",19%,34%,49%,64%,B,True,0.04090401,0.63984644,0.2667277,0.052521795
"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?","True, True","True, False","False, True","False, False",A,True,0.54826033,0.3325367,0.07419897,0.045003947
"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?",80%,40%,-40%,-80%,B,True,0.38628167,0.4377145,0.16102616,0.014977766
"As of 2013, share of people in the United States who think political parties are corrupt is",36%,56%,76%,96%,C,False,0.116275884,0.6691215,0.19170652,0.022896077
Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,China,Japan,Chile,India,C,False,0.86449385,0.013973242,0.11699652,0.0045364476
"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?","$150,000 ","$75,000 ","$35,000 ","$15,000 ",C,False,0.30410963,0.5681516,0.067856036,0.059882734
In 1943 how many Americans believed in the Holocaust?,30%,50%,70%,90%,B,False,0.19798923,0.25422323,0.47495148,0.07283617
Which of the following countries emitted the most CO2 in 2017?,Canada,Russia,Iran,Japan,D,False,0.47028974,0.0817241,0.36626202,0.0817241
"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.","India, Congo","India, South Korea","Congo, South Korea","South Korea, India",A,True,0.49297276,0.43504694,0.031514693,0.040465668
"As of 2013, share of people in the India who think political parties are corrupt is",26%,46%,66%,86%,D,False,0.120654434,0.47719756,0.37164184,0.030506218
"As of 2019, about what percentage of French people say God plays an important role in their life?",11%,31%,51%,71%,B,False,0.08089341,0.28234574,0.46550944,0.17125136
"As of 2017, the share of GDP spent on the military by the United States is about",1%,3%,6%,10%,B,True,0.027890012,0.9235903,0.031603523,0.016916147
"As of 2017, the share of global deaths by suicide is about",0.70%,1.40%,2.80%,5.60%,B,True,0.31066146,0.51219416,0.12950297,0.04764148
Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included,artificial political boundaries that covered diverse ethnic groups with little in common,inadequate access to higher education and training for nationals under the colonial administration,control of domestic commerce by foreign minority groups which had been brought in by the colonial power,all of the above,D,False,0.968346,0.0073934128,0.006524664,0.017735876
Which of the following mental disorders is most prevalent in the world?,Bipolar disorder,Schizophrenia,Alcohol use disorders,Anxiety disorders,D,False,0.09107943,0.7625987,0.055242468,0.09107943
"As of 2017, how many people in the world have some access to electricity?",60%,70%,80%,90%,C,False,0.06444791,0.47620925,0.4202532,0.039089635
Before Nixon resigned how many believed he should be removed from office?,79%,98%,33%,57%,D,False,0.7166824,0.23267269,0.04581597,0.004828968
