0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_alpaca_52000_correct,llama_7B_llamatokenizer_alpacacode_alpaca_52000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_alpaca_52000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_alpaca_52000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_alpaca_52000_choiceD_probs
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,False,0.9995639,0.00043055468,4.2210095e-06,1.3703612e-06
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.9997236,0.00026118636,8.937305e-06,6.1425144e-06
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,False,0.02594982,0.97375983,0.00028827644,2.067665e-06
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,False,0.00055218796,0.000910404,0.99837923,0.0001582045
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.027050404,0.4231395,0.17639078,0.3734193
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.9997253,0.0002611868,1.3003724e-05,5.0420914e-07
When was the current Dalai Lama born?,1935,2000,1965,1975,A,True,0.9649376,0.012146772,0.022693159,0.00022247588
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,True,0.17799748,0.012894094,0.011378998,0.7977294
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,False,0.00062627945,0.99928635,2.1430104e-05,6.6009365e-05
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,True,0.99978596,0.00020342482,3.7258555e-06,6.9608145e-06
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,True,0.00033316485,0.0045991987,0.0019172314,0.9931504
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,True,0.6814524,0.2212352,0.06338495,0.033927515
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,True,0.009637472,0.0045524193,0.0027611821,0.9830489
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,False,0.2205982,0.0066614887,0.0027769215,0.7699634
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,False,0.65125686,0.3485927,0.00013251018,1.7933302e-05
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,False,0.99686986,0.0024709934,0.00022983817,0.00042939425
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,False,0.999244,0.0007096375,2.751563e-05,1.8911198e-05
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,True,0.7935821,0.20064898,0.0032431886,0.0025257978
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,True,0.9970071,0.0021809442,0.00026047663,0.000551429
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,False,0.9967404,0.0031724062,6.584119e-05,2.1375505e-05
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.0024278313,0.017939381,0.97945696,0.00017587151
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,True,0.15395853,0.36932734,0.002488508,0.47422567
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,False,0.0035934402,0.9963613,3.9919512e-05,5.4025186e-06
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,True,0.04201884,0.95634437,7.544911e-06,0.0016292472
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.23505996,0.2663578,0.05943246,0.4391498
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.0059109842,0.99407464,1.2930224e-05,1.5442952e-06
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.18621325,0.5061801,0.06850403,0.23910254
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.14800154,0.85169005,0.00025213833,5.625967e-05
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.029299004,0.9702498,0.00036882004,8.229488e-05
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,True,0.9986406,0.0013249768,2.1416256e-05,1.2989615e-05
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,True,0.5433375,0.29082763,0.04459986,0.12123499
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.99962807,0.00033533786,5.4202314e-06,3.119128e-05
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,True,0.43536794,0.5590235,0.0022846013,0.0033240754
 How many books are in the New Testament?,30,29,27,47,C,False,0.23681939,0.20899238,0.052841548,0.50134665
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,True,0.006522291,0.0027188952,0.9679938,0.022765033
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,True,0.3077824,0.6515754,0.008202123,0.03244003
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.9998833,0.000108896056,6.1434953e-06,1.5533188e-06
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.21909234,0.015870996,0.7647074,0.000329392
How many Jinas have appeared during our age?,7,42,24,13,C,False,0.024573915,0.18157804,0.07569299,0.7181551
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.9006863,0.03081979,0.0652455,0.0032483821
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.00026094905,0.00091080164,0.9988153,1.2991888e-05
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.00017928456,0.0013247436,0.9984648,3.1154985e-05
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,False,0.8497048,0.0021062077,0.14765656,0.0005325327
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.00048785436,0.9995065,4.220767e-06,1.5527335e-06
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.0003353429,0.9996431,1.1474803e-05,1.0126479e-05
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,3.5354642e-05,4.006206e-05,0.9999192,5.42181e-06
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.9096791,0.084613346,0.0037176507,0.001989915
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.9960699,0.0024690107,0.00029488123,0.0011662779
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,True,0.9993917,0.0005527479,4.537231e-05,1.0123931e-05
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,True,0.99949336,0.00043052432,6.6023036e-05,1.0124962e-05
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,True,0.9965611,0.0021799686,0.00070773216,0.00055118237
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.9999219,7.4845986e-05,1.7602089e-06,1.370852e-06
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.16005753,0.20551795,0.63303983,0.001384769
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.11581654,0.35674006,0.008389722,0.5190537
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.006610102,0.9810261,0.012349296,1.445954e-05
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.008546561,0.0011566513,0.98784816,0.002448631
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.00279864,0.0008018238,0.99638486,1.4685915e-05
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,False,0.2653812,0.72138083,0.010289945,0.0029481186
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.96472967,0.03301123,0.0011295823,0.0011295823
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.9990707,0.0009110346,1.14682325e-05,6.9558346e-06
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.9201961,0.00095083646,0.0755343,0.0033187454
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.99399465,0.0031636672,0.00037784615,0.0024638665
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,True,0.98378825,0.015901456,0.00022682209,8.3443185e-05
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,False,0.5489639,0.4275335,0.008873175,0.014629392
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,True,0.8827348,0.0031836387,0.008654027,0.10542764
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.99993634,5.8290952e-05,2.5611257e-06,2.9021355e-06
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.9995604,0.0004305532,6.1415117e-06,2.9010446e-06
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.67495364,0.3188255,0.0016730429,0.004547802
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.9999455,5.144206e-05,1.7602504e-06,1.2098012e-06
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.9999639,3.120176e-05,7.3379505e-07,4.222699e-06
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.00029545056,0.0017002006,0.997993,1.1455862e-05
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.08456548,0.0061259028,0.9091646,0.00014406742
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,5.142753e-05,0.00026117056,0.9996631,2.4292644e-05
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.11900586,0.879341,0.0011666925,0.00048634977
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,True,0.99901235,0.00080393825,7.4777905e-05,0.00010880121
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.9930669,0.005211137,0.00022896136,0.0014930157
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.10668705,0.8932797,1.1619155e-05,2.1707438e-05
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.09532818,0.9044486,0.000111617825,0.000111617825
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.00012333939,0.00043049676,0.9994294,1.669217e-05
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.0030842451,0.02278966,0.0050850604,0.969041
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.19460548,0.41197982,0.02984372,0.36357093
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.9999814,1.3007056e-05,1.3709337e-06,4.2227725e-06
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.00033532444,0.9995881,4.5381228e-05,3.1190033e-05
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.99997485,2.430022e-05,6.4757893e-07,2.102381e-07
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.059869,0.9365087,0.00024467093,0.0033775778
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.18750922,0.65447146,0.011987063,0.14603232
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,False,0.9987282,0.000552381,0.0007092712,1.0117211e-05
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.9946009,0.0052191867,8.43603e-05,9.559274e-05
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.00029591852,0.00010886235,0.99957377,2.1436268e-05
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.09353769,0.0046569672,0.8874609,0.014344469
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.00029595077,0.99968266,1.66964e-05,4.783599e-06
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.9875031,0.01243083,2.1177408e-05,4.4832574e-05
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,True,0.002168833,0.0027848366,0.0035758012,0.9914705
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.04206464,0.00046729593,0.9573868,8.120386e-05
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,True,0.17582667,0.011240223,0.19923772,0.6136954
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.851144,0.14790665,0.00017318089,0.0007761429
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.10658414,0.00092213345,0.892418,7.569332e-05
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.028897764,0.002093347,0.9569625,0.012046381
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,False,0.9623983,0.03731623,0.00022189041,6.357267e-05
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.99982613,0.00015843377,1.0128332e-05,5.4213056e-06
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.9999763,2.14449e-05,1.2098385e-06,1.0676787e-06
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,True,0.00012325405,0.00033503928,0.0008037174,0.998738
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.98820287,0.009687999,0.000425661,0.001683522
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,False,0.3757868,0.10766473,0.25827426,0.25827426
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.0010299535,0.0014985735,0.9967636,0.00070787594
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,True,0.0024713916,0.00020286418,0.0002951656,0.9970305
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,False,0.0013538285,0.0949107,0.003247666,0.9004877
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,True,0.30045965,0.5613325,0.09754497,0.04066279
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,4.2224046e-06,9.610149e-05,0.99989426,5.421675e-06
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,False,0.6507044,0.0009782944,0.34829697,2.0303854e-05
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.4258923,0.5468565,0.027226383,2.4827248e-05
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.010521582,0.03672393,0.0056317975,0.9471227
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,True,0.00023028922,0.0008037884,0.00013967749,0.9988262
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.98276985,0.015884995,0.0010154938,0.00032968255
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.695476,0.009920432,0.0046860804,0.28991753
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,True,0.0035932672,0.9963134,3.5227153e-05,5.8079753e-05
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.9979347,0.0015003341,0.0005519421,1.2980434e-05
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,True,0.045917753,0.014907313,0.016892198,0.92228276
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,True,0.0007911558,0.005158984,0.010921569,0.9831283
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.98948914,0.0031493271,0.0045822435,0.0027792712
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.8484166,0.1474327,0.00022165611,0.003928948
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.99681264,0.0031726363,7.864179e-06,6.9401135e-06
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,True,0.022188157,0.032283574,0.9434644,0.0020638201
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.00020339558,0.99964225,5.8273807e-05,9.607727e-05
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.9998343,0.00013981847,2.4296804e-05,1.5532428e-06
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.9985141,0.00062579545,0.00043010252,0.00043010252
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.8207417,0.16161363,0.015032409,0.002612241
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,True,0.9914096,0.008577374,6.902496e-06,6.0914313e-06
