0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_52000_gpt35op_Tptalpaca_correct,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_52000_gpt35op_Tptalpaca_choiceA_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_52000_gpt35op_Tptalpaca_choiceB_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_52000_gpt35op_Tptalpaca_choiceC_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_52000_gpt35op_Tptalpaca_choiceD_probs
Pure Land Buddhism belongs to which school?,Vajrayana,Theravada,Mahayana,Mahavira,C,True,0.0031140295,0.013956112,0.978399,0.004530886
 Which Jaina group only allows women to lead a life of semi-renunciation?,Svetambara,Jina,Agama,Digambara,D,False,0.18715999,0.11351826,0.34966087,0.34966087
What is the most important prayer in Judaism?,The Shema,The Sefirot,Deuteronomy,The Decalogue,A,True,0.70031,0.06513898,0.057484943,0.17706609
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,Brahminic orthodoxy,Legalistic asceticism,Bhakti devotionals,Unorthodox practices,A,True,0.59061205,0.21727404,0.14933011,0.042783797
 Which early battle led to the conversion of Mecca?,The Battle of Uhud,The Battle of Camel,The Battle of the Trench,The Battle of Badr,C,False,0.4944954,0.14167531,0.18191469,0.18191469
 What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,Remembering the Divine Name,Meditating on the sacred hymns,Remembering that death is inevitable,Meditating on the goodness of the created world,A,True,0.70119196,0.10753127,0.08374544,0.10753127
" During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",Confucianism,Buddhism,Christianity,Daoism,A,True,0.2963333,0.20366672,0.2963333,0.20366672
"What is the meaning of the Punjabi word ""Sikh""?",Disciple,Faithful,Devotee,Enlightened,A,False,0.14000495,0.07493925,0.48866528,0.29639047
 Which of the following shuns politics?,The sages of the Zhuangzi,The Songs of the South,The Duke of Zhou,"The Confucian ""sage kings""",A,False,0.09793718,0.16147111,0.30166775,0.43892398
What does the Hebrew word mashiach mean?,Anointed one,God,Prophet,The line of David,A,True,0.9300923,0.024786118,0.028086353,0.017035235
"According to Jaina traditions, what does the term ajiva mean?",Soul,Sound,Non-matter,Non-soul,D,True,0.040465668,0.031514693,0.43504694,0.49297276
" In the Japanese Zen tradition, what is zazen?",A collection of statues,Veneration of ancestors,Seated meditation,Funeral rituals,C,True,0.00023013822,0.00042995482,0.9981712,0.0011687382
 What is a central component of tantric Buddhism?,Asceticism,Bodily pleasure,Music,Sexual union,D,True,0.035180505,0.20244981,0.33378333,0.42858627
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",Loving and forgiving,Wrathful and merciful,Judging and vengeful,Transcendent and immanent,B,True,0.059385132,0.6384503,0.26614568,0.0360189
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia,Babylonia and Europe,Palestine and Spain,Spain and France,A,True,0.968997,0.029261174,0.0011345788,0.0006072963
" In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism,Hinduism,Judaism,Islam,A,True,0.4576669,0.35643134,0.115716316,0.0701855
"According to Hindu tradition, which age are we in currently?",Kali yuga,Maha yuga,Krita yuga,Satya yuga,A,True,0.6888571,0.08227225,0.093226664,0.135644
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,True,0.94373274,0.02849826,0.010483923,0.017285068
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,True,0.5208125,0.07048431,0.19159622,0.21710695
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,True,0.60087514,0.28383332,0.04352725,0.071764305
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,False,0.6093856,0.19783854,0.11999514,0.072780736
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.83072245,0.11242606,0.028425759,0.028425759
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,True,0.05329434,0.08786751,0.83366376,0.025174465
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,True,0.13341728,0.6775488,0.13341728,0.055616595
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.03643255,0.04678032,0.73176736,0.18501976
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.7130278,0.18028165,0.085159026,0.021531573
When was the current Dalai Lama born?,1935,2000,1965,1975,A,True,0.9528633,0.022409197,0.0174523,0.007275201
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.04662232,0.028277867,0.8264004,0.09869946
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,True,0.050199408,0.32734126,0.5396945,0.082764834
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,True,0.9964437,0.002469937,0.00037877713,0.0007076488
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,False,0.0017555094,0.016655808,0.8025218,0.17906682
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,True,0.47432235,0.13589562,0.25388646,0.13589562
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,True,0.24613409,0.19168942,0.24613409,0.31604242
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,False,0.06916347,0.028831623,0.45100248,0.45100248
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,True,0.10578665,0.88574076,0.006762714,0.0017098819
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,True,0.0943499,0.22633363,0.42284688,0.2564696
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,True,0.3427134,0.1260772,0.38834515,0.1428642
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,False,0.23201755,0.20475478,0.38253227,0.18069544
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,True,0.4814834,0.08366927,0.25771952,0.17712785
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,True,0.03670044,0.6505309,0.2711816,0.041587047
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.01724089,0.036498964,0.94132066,0.0049395976
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,False,0.046243027,0.9288161,0.01324885,0.0116920695
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,False,0.07569299,0.7181551,0.18157804,0.024573915
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,False,0.42153674,0.42153674,0.10658118,0.050345387
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.5089979,0.11357279,0.16524743,0.2121819
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.032575876,0.9520067,0.011983996,0.0034334722
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.022785291,0.0331524,0.35642192,0.5876404
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.08293059,0.6943693,0.19894014,0.023760011
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.030969467,0.9050605,0.05106002,0.012909994
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,True,0.41098398,0.32007465,0.15119256,0.11774889
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,True,0.3017445,0.3017445,0.1615122,0.23499885
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.88704735,0.03439456,0.03439456,0.044163484
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,False,0.15856852,0.23071584,0.4310339,0.17968166
 How many books are in the New Testament?,30,29,27,47,C,True,0.14969505,0.13210543,0.35909978,0.35909978
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,False,0.40252653,0.13068123,0.2766522,0.19014007
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,False,0.0748879,0.1585377,0.43095013,0.3356243
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.78318006,0.1542173,0.044183996,0.01841863
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.21312527,0.14647871,0.57933456,0.061061412
How many Jinas have appeared during our age?,7,42,24,13,C,True,0.28920117,0.09388988,0.32770786,0.28920117
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.22869326,0.54860663,0.15717843,0.06552172
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.015723275,0.008416062,0.97276455,0.0030960965
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.005615017,0.013469725,0.94430065,0.036614507
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,True,0.11932131,0.038737956,0.77807266,0.06386809
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.024720605,0.9276339,0.03596827,0.011677188
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.09186268,0.87156886,0.033794392,0.0027740127
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.00029564803,0.0007092228,0.9986601,0.00033501314
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.8257019,0.1266255,0.028253965,0.019418648
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.49077803,0.20458671,0.18054715,0.124088116
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,True,0.8370573,0.02527694,0.1283669,0.009298867
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.083611324,0.083611324,0.79328215,0.039495192
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,False,0.15423235,0.47506908,0.28814396,0.08255462
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.89139307,0.050288957,0.02375482,0.03456306
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.12030493,0.6109588,0.17504263,0.09369357
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.20002012,0.17651713,0.4234426,0.20002012
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.04182483,0.7413628,0.21240401,0.0044083046
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.10061306,0.041941766,0.74343556,0.11400954
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.048525028,0.048525028,0.86012673,0.042823188
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,False,0.07019378,0.05466697,0.5186658,0.35647345
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.6278604,0.29658026,0.03542146,0.04013777
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.86040324,0.09068583,0.025981927,0.02292897
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.63793534,0.035989847,0.3013393,0.024735438
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.8184174,0.076124676,0.059285957,0.04617195
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.13019146,0.40101793,0.3538971,0.11489356
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,True,0.27702668,0.517554,0.0899374,0.115481906
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,True,0.5531771,0.08483246,0.1584879,0.20350249
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.9604145,0.017590607,0.015523655,0.0064712223
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.8745075,0.104445025,0.012474179,0.008573369
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,True,0.16529618,0.2122445,0.34993201,0.27252734
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.45504752,0.21494922,0.21494922,0.11505403
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.44238636,0.23679237,0.20896852,0.11185279
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.021311918,0.027365044,0.9062058,0.045117326
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.018945321,0.016719189,0.91283673,0.051498722
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.00013963098,0.0003349573,0.9984937,0.0010317412
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.16645652,0.5127222,0.2421928,0.078628495
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,False,0.1193675,0.0929635,0.25270098,0.534968
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.62378895,0.15771854,0.12283133,0.09566114
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.19738306,0.78066516,0.014298381,0.0076533714
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.02780784,0.9208692,0.045847375,0.0054756883
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.021855595,0.0317997,0.9293235,0.017021153
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,True,0.04984285,0.11956678,0.6072102,0.22338016
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.105078615,0.06373341,0.41559398,0.41559398
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.9577977,0.037137847,0.0023741433,0.0026902566
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.013383137,0.9382304,0.041222967,0.0071634776
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.99883455,0.0009108192,0.00020323123,5.1384905e-05
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,True,0.07847453,0.12938263,0.74454564,0.047597207
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.12675527,0.12675527,0.3040701,0.44241935
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,False,0.9620024,0.007344979,0.019965723,0.010686881
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,True,0.21644855,0.14876276,0.35686332,0.27792543
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.05896985,0.29947364,0.43573156,0.20582502
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.081614465,0.07202452,0.7743365,0.07202452
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.1674825,0.51588243,0.21505179,0.10158327
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.2702055,0.3469507,0.2702055,0.1126384
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.047885858,0.047885858,0.6610438,0.24318443
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.011997625,0.017456442,0.9530894,0.017456442
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.35352618,0.40059763,0.16699393,0.07888235
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.88432825,0.10561795,0.004095252,0.0059585567
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.07973817,0.3153706,0.5891898,0.015701378
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.066007085,0.066007085,0.709643,0.15834276
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,True,0.4277635,0.5492592,0.012917338,0.010060033
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.69815254,0.13747439,0.10706516,0.05730785
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.9076525,0.05120625,0.03105816,0.010083108
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,False,0.06605628,0.045399774,0.55308247,0.33546147
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.44972447,0.30909082,0.21243478,0.028749922
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,True,0.17698753,0.2918031,0.33065623,0.20055315
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.007480828,0.009605573,0.9797951,0.003118473
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,True,0.020075908,0.010745859,0.115528874,0.8536493
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.016888004,0.92205375,0.052018713,0.009039497
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.13507208,0.19652873,0.41605133,0.2523479
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.00080055895,0.0024658951,0.9948131,0.001920441
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.040375452,0.021611424,0.9189411,0.019072013
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,True,0.17669891,0.15593623,0.61673975,0.050625082
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,False,0.04264568,0.03321249,0.5195308,0.40461096
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,False,0.076594315,0.09834905,0.64131635,0.18374021
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.34668922,0.27000183,0.30595216,0.07735682
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,True,0.008159138,0.0469526,0.83225477,0.11263344
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,True,0.08933888,0.74802524,0.101234205,0.06140165
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.54642075,0.33142096,0.10759663,0.01456162
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,True,0.052740928,0.07673759,0.3035031,0.5670184
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,False,0.015704857,0.01079378,0.7567024,0.21679889
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,True,0.13116527,0.090148486,0.5878419,0.19084433
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.44623688,0.39380267,0.060391594,0.09956891
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,True,0.2188599,0.4088841,0.28102168,0.09123438
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,True,0.003055995,0.0039239754,0.9601651,0.03285504
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.023594396,0.8853732,0.082352534,0.008679893
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.9478561,0.032433853,0.015320667,0.0043894444
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.13154219,0.24575315,0.52025944,0.10244516
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,True,0.22121082,0.32185984,0.36471498,0.09221439
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,True,0.9408735,0.036481623,0.013420839,0.0092239985
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,False,0.22787347,0.25821447,0.37569985,0.13821225
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,False,0.010866131,0.0035277165,0.97813797,0.0074681756
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,True,0.1982895,0.22469144,0.28850952,0.28850952
