0,1,2,3,4,5,llama2_7B_alpacacode_sharegpt_qy_vic_52000_correct,llama2_7B_alpacacode_sharegpt_qy_vic_52000_choiceA_probs,llama2_7B_alpacacode_sharegpt_qy_vic_52000_choiceB_probs,llama2_7B_alpacacode_sharegpt_qy_vic_52000_choiceC_probs,llama2_7B_alpacacode_sharegpt_qy_vic_52000_choiceD_probs
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,True,0.73193645,0.14412683,0.07714553,0.04679113
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.3339639,0.4859146,0.095682256,0.08443929
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.54234374,0.12101325,0.19951712,0.13712597
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.50529635,0.1640457,0.14476983,0.18588814
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.102114394,0.85499334,0.022784801,0.020107517
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,True,0.16513176,0.2402653,0.44887465,0.14572826
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.12956539,0.8448724,0.019869495,0.0056927055
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.15624341,0.3748085,0.29190114,0.17704698
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.63314354,0.20555161,0.08568666,0.075618215
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.21732275,0.6694012,0.079948574,0.033327524
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.8275901,0.11200214,0.028318577,0.03208915
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.44898424,0.16517207,0.2723227,0.113520995
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.38258857,0.07533616,0.38258857,0.15948664
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.11591839,0.8565275,0.020143596,0.007410415
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,True,0.2696514,0.099199206,0.12737429,0.5037751
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,False,0.107293375,0.7927968,0.03483306,0.06507672
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,True,0.5174188,0.19034775,0.19034775,0.1018858
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,True,0.33318326,0.22899328,0.2594834,0.17834015
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.26887184,0.44329473,0.14391673,0.14391673
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,True,0.16388722,0.06029074,0.1276355,0.6481865
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,True,0.32304353,0.2850849,0.1959358,0.1959358
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,False,0.3447859,0.23696765,0.20912322,0.20912322
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.24937452,0.5982184,0.071447,0.08096005
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,False,0.25354847,0.15378492,0.36891085,0.22375575
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.30689576,0.39406195,0.18614168,0.112900645
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.38453156,0.29947346,0.11017014,0.20582493
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,True,0.36815858,0.3248988,0.15347132,0.15347132
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,False,0.33012268,0.29133224,0.2570998,0.12144535
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,True,0.10335695,0.86539716,0.02035219,0.010893743
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,True,0.5859787,0.11538605,0.1678857,0.13074952
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,True,0.57293737,0.23883583,0.12783961,0.060387153
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.7856306,0.13652213,0.05691089,0.020936346
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,True,0.6839964,0.15262023,0.08169172,0.08169172
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,False,0.1482449,0.24441451,0.51742554,0.089915074
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.13134252,0.66701233,0.13134252,0.07030258
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.3067599,0.50576156,0.09959036,0.08788818
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.3047693,0.6451966,0.025016988,0.025016988
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,False,0.31911525,0.24852721,0.2816182,0.15073937
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,True,0.32007465,0.41098398,0.15119256,0.11774889
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,True,0.30340105,0.0984999,0.2085243,0.38957468
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.4859146,0.3339639,0.08443929,0.095682256
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,True,0.07968598,0.115942426,0.75603956,0.04833199
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.5971291,0.17108035,0.15097788,0.08081263
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,False,0.27084988,0.6497351,0.032348406,0.047066655
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,False,0.5808696,0.18858075,0.12960954,0.100940004
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,True,0.30834767,0.4486432,0.16504662,0.0779625
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,False,0.8065967,0.09633424,0.051564,0.045505073
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,False,0.66626555,0.11577959,0.11577959,0.10217513
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.68041116,0.104344435,0.1339809,0.08126353
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,True,0.39008525,0.3037987,0.16261172,0.14350435
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,False,0.45421442,0.18934473,0.16709615,0.18934473
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,True,0.49264666,0.33859077,0.10992433,0.058838256
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,True,0.5666417,0.20845583,0.09846756,0.12643485
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,True,0.15486352,0.1988487,0.4209627,0.22532511
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,True,0.124909796,0.18174268,0.6343443,0.05900321
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,False,0.40452573,0.2780262,0.1488167,0.1686314
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,False,0.4721576,0.41667762,0.038757056,0.072407715
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,False,0.83394265,0.087896906,0.036640882,0.04151956
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,False,0.225709,0.6952327,0.044444736,0.0346136
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,True,0.15054877,0.5954319,0.15054877,0.10347056
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,True,0.43095013,0.3356243,0.1585377,0.0748879
A capacitor can store,charge,energy,Both of these,Neither of these,C,False,0.86907864,0.07133832,0.055558335,0.0040246323
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,False,0.48534,0.17854661,0.15756683,0.17854661
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,True,0.5321078,0.3227397,0.081601374,0.06355121
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,False,0.24621314,0.35823798,0.1493358,0.24621314
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.07691486,0.82691264,0.06787712,0.028295394
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,False,0.13455771,0.36576578,0.46965256,0.030023882
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,False,0.29660174,0.2617501,0.2617501,0.17989805
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,True,0.29038692,0.13716908,0.3728642,0.19957982
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,True,0.57339746,0.23902762,0.09964154,0.087933354
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,False,0.28865874,0.6924563,0.011192514,0.0076924944
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,False,0.24846093,0.17076454,0.36150852,0.219266
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,True,0.16212347,0.6412108,0.09833287,0.09833287
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,True,0.15506029,0.7874611,0.03053318,0.026945436
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,True,0.8676871,0.03364388,0.043199595,0.05546938
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,False,0.47506908,0.28814396,0.15423235,0.08255462
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,False,0.39672047,0.30896622,0.053690277,0.24062313
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,False,0.2874056,0.5369443,0.09330694,0.08234309
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,False,0.28748983,0.17437139,0.41829523,0.119843595
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,False,0.334106,0.3785917,0.10846834,0.17883405
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,True,0.40388215,0.40388215,0.09011829,0.1021174
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.17965467,0.71054804,0.058325335,0.05147193
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,True,0.0832099,0.8945907,0.0144597115,0.007739726
"If two protons and two neutrons are removed from the nucleus of neon-20, a nucleus of which element remains?",Magnesium-22,Magnesium-20,Oxygen-18,Oxygen-16,D,False,0.510184,0.350644,0.078239255,0.06093279
"If a star that is 20 light-years from Earth explodes, gravitational waves from the explosion would reach Earth in",less than 20 years.,20 years.,more than 20 years.,None of these.,B,False,0.37878898,0.37878898,0.15790273,0.084519245
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",hydrogen,oxygen,nitrogen,All have same average speed,A,False,0.30790406,0.5752405,0.08821599,0.028639536
The mutual induction of electric and magnetic fields can produce,light,energy,Both of these,Neither of these,A,False,0.21884143,0.67407906,0.09122668,0.01585282
"When a model car speeds up to three times its original speed, its kinetic energy is",the same,twice as great,three times greater,None of these,D,False,0.22528735,0.42089215,0.28927466,0.06454591
"If an iron nucleus split in two, its fission fragments would have",less mass per nucleon,more mass per nucleon,the same mass per nucleon,either more or less mass per nucleon,B,False,0.47506908,0.28814396,0.15423235,0.08255462
The surface of Planet Earth loses energy to outer space due mostly to,conduction.,convection.,radiation.,radioactivity.,C,True,0.03536147,0.031206386,0.9119843,0.021447817
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,False,0.19654687,0.605407,0.105203964,0.09284218
A principal source of the Earth’s internal energy is,tidal friction.,gravitational pressure.,radioactivity.,solar radiation.,C,False,0.12022355,0.783956,0.03903087,0.056789584
A diffraction grating relies on light,interference,amplitudes,variations in brightness,being composed of photons,A,True,0.5553636,0.1404179,0.18030016,0.12391837
A satellite in Earth orbit is above Earth’s,atmosphere,gravitational field,Both,Neither,A,False,0.31535968,0.5199402,0.13146147,0.033238664
The time it takes for a pendulum swinging to and fro refers to its,frequency,period,wavelength,amplitude,B,False,0.546522,0.4256318,0.016503535,0.011342702
"As entropy in a system increases, energy in the system",becomes more ordered,becomes less ordered,reaches equilibrium,moves toward destruction,B,True,0.14582989,0.83919305,0.009322592,0.0056544384
"When water changes to steam, energy is",absorbed by the water,released by the water,conserved as the phase change occurs,changed to a different form,A,False,0.26822886,0.50111747,0.08708116,0.14357257
"According to Coulomb, a pair of charged particles placed twice as close to each other experience a force",twice as strong,four times as strong,half as strong,one-fourth as strong,B,False,0.50529635,0.1640457,0.18588814,0.14476983
"The factors, both of which will increase the magnetic field strength of an electromagnet, are",increased electrical current and fewer coils of wire,increased diameter of coil and an increase in the number of coils,an increase in the electrical current and using a strong ferromagnetic material like iron,using an air core instead of iron and increasing the diameter of the coil,C,False,0.5941354,0.19288751,0.13256954,0.080407485
The team that wins in a tug-of-war is the team that,produces more tension in the rope than the opponent,pushes hardest on the ground,Both,Neither,B,False,0.3895747,0.20852432,0.30340108,0.09849991
Which type of radiation from cosmic sources predominates on the inside of high-flying commercial airplanes?,Alpha,Beta,Gamma,None of these,C,True,0.14000496,0.2963905,0.48866534,0.07493926
Thermal convection involves mainly,radiant energy,fluids,insulators,All of these,B,True,0.22025438,0.6784313,0.02980819,0.07150613
A 10-Ω resistor carries 10 A. The voltage across the resistor is,0,more than 0 but less than 10 V,10 V,more than 10 V,D,False,0.12737429,0.2696514,0.5037751,0.099199206
A cannonball is fired horizontally at 10 m/s from a cliff. Its speed one second after being fired is about,10 m/s,14 m/s,16 m/s,20 m/s,B,True,0.06665364,0.81200755,0.07552847,0.04581033
The average speed of a gazelle traveling a distance of 2 km in a time of one-half hour is,1 km/h,2 km/h,4 km/h,greater than 4 km/h,C,False,0.15086666,0.67613745,0.117495075,0.055500742
The metal detectors people walk through at airports operate via,Ohm’s law,Faraday’s law,Coulomb’s law,Newton’s laws,B,False,0.44910848,0.30866745,0.11355241,0.12867174
Sound travels in,solids,liquids,gases,All of these,D,False,0.20500466,0.09683735,0.55726045,0.14089751
When a fusion reaction converts a pair of hydrogen isotopes to an alpha particle and a neutron most of the energy released is in the form of,gamma radiation.,kinetic energy of the alpha particle.,kinetic energy of the neutron.,All of these about equally.,C,False,0.32003164,0.52764297,0.08091667,0.07140871
Polarization is a property of,transverse waves.,longitudinal waves.,all waves.,None of these.,A,True,0.6612447,0.18944979,0.10140516,0.04790041
The phenomenon of beats results from sound,reflection.,refraction.,interference.,All of these.,B,False,0.1352514,0.15325992,0.60615474,0.1053339
"The lowest possible temperature is absolute zero, at",0 kelvin,−273°C,Both are the same,None of these,C,False,0.46147263,0.35939524,0.062453527,0.11667855
Refraction occurs when a wave crosses a boundary and changes,speed and direction,intensity,frequency,amplitude,A,True,0.50740993,0.16473189,0.088174626,0.23968348
"When you tap a piece of wood, it will produce a characteristic sound related to its",wavelength,amplitude,period,natural frequency,D,True,0.2900896,0.15527378,0.22592203,0.3287146
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",increases,decreases,isn’t affected,reduces to zero,B,False,0.5060781,0.34782207,0.06849022,0.0776096
"When white light passes through a prism, the light that bends more than green is",red,yellow,blue,None of these,C,False,0.47412932,0.32586402,0.13584033,0.06416643
"If you travel at high speed, then compared with your friends who “stay at home,” you are",older.,younger.,neither younger nor older.,longer.,B,True,0.30889943,0.3500289,0.21230327,0.12876844
The component of velocity that can remain constant for a tossed baseball is,horizontal,vertical,Either of these,None of these,A,True,0.49078408,0.33731064,0.096641116,0.07526418
The crystals that make up minerals are composed of,atoms with a definite geometrical arrangement.,molecules that perpetually move.,X-ray patterns.,3-dimensional chessboards.,A,True,0.9317464,0.036127727,0.01706553,0.015060279
"Two vectors, one 3 N and the other 4 N, can have a resultant of",0 N,5 N,8 N,Any of these,B,True,0.2267152,0.47995612,0.13750973,0.15581894
Radioactivity has been around on Earth since the,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,False,0.5731663,0.12789069,0.11286314,0.18607986
"When the shadow of the Moon falls on Earth, we have a",lunar eclipse.,solar eclipse.,solar eclipse if it’s daytime and lunar eclipse if it’s nighttime.,very dangerous event.,B,False,0.7167463,0.23269345,0.035684694,0.014875594
"In both fission and fusion, energy is released while mass",decreases,remains unchanged; is conserved,increases,may decrease or increase,A,False,0.18782635,0.6555784,0.078297675,0.078297675
"When relatively slow-moving molecules condense from the air, the temperature of the remaining air tends to",remain unchanged,decrease,increase,spread out uniformly,C,False,0.24961132,0.5284272,0.10405348,0.117908046
"If the volume of an object were to double, with no change in mass, its density would",halve.,double.,be the same.,None of these.,A,False,0.27014005,0.3468667,0.23839776,0.14459555
The pressure at the bottom of a pond does NOT depend on the,acceleration due to gravity.,water density.,depth of the pond.,surface area of the pond.,D,False,0.32074422,0.41184372,0.13370608,0.13370608
The blueness of the daytime sky is due mostly to light,absorption,transmission,reflection,scattering,D,False,0.12372373,0.38109592,0.33631596,0.15886441
A galvanometer can be calibrated to read electric,current,voltage,Either of these,Neither of these,C,False,0.5497592,0.33344582,0.065659374,0.051135574
Which of these temperatures is likely when a container of water at 20°C is mixed with water at 28°C?,19°C,22°C,30°C,Higher than 30°C,B,True,0.23097682,0.62786007,0.06617596,0.074987195
To view your full-face image in a steamy mirror compared with the height of your face the minimum height of the patch to wipe away is,one-quarter.,one-half.,the same.,dependent on your distance from the mirror.,B,False,0.52432233,0.15022087,0.19288741,0.13256945
The vibrations in a transverse wave move in a direction,along the wave,perpendicular to the wave,Both of these,Neither of these,B,False,0.374448,0.3304492,0.20042758,0.09467528
A 1134-Hz tuning fork is sounded at the same time a piano note is struck. You hear three beats per second. The frequency of the piano string is,1131 Hz,1134 Hz,1137 Hz,More information is needed,D,False,0.121752985,0.79392916,0.039527405,0.044790417
Huygens’ principle for light is primarily described by,waves,rays,particles,photons,A,True,0.5749919,0.27160692,0.099918604,0.053482577
"When the temperature of a strip of iron is increased, the length of the strip",also increases.,actually decreases.,may increase and may decrease.,decreases in width as it gets longer.,A,True,0.47038957,0.2517814,0.08174145,0.19608754
"When light undergoes interference, it can sometimes",build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B,False,0.48902234,0.14010724,0.2617548,0.10911564
When the color yellow is seen on your TV screen the phosphors being activated on the screen are,mainly yellow.,blue and red.,green and yellow.,red and green.,D,False,0.43932247,0.18313685,0.26646256,0.11107811
Which of these does NOT belong in the family of electromagnetic waves?,Light,Sound,Radio waves,X-rays,B,False,0.3567797,0.14872791,0.09020804,0.40428436
A math book and a physics book sitting on a table are tied together with a length of string. With the string taut one book is pushed off the edge of the table. As it falls the other book is dragged horizontally across the table surface. With no friction acceleration of the books is,zero,g/2,g,a value between zero and g,D,False,0.16759048,0.40202868,0.21519046,0.21519046
A motor and a generator are,similar devices,very different devices,forms of transformers,energy sources,A,True,0.5037751,0.2696514,0.12737429,0.099199206
As more lamps are connected in parallel in a circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,A,False,0.219266,0.17076454,0.36150852,0.24846093
Newton’s law of cooling applies to objects that,cool,warm up,Both,Neither,C,False,0.3516043,0.27382973,0.27382973,0.10073633
The fact that the Moon always shows its same face to Earth is evidence that the Moon rotates about its axis about once per,day,month,year,None of these for the moon does not rotate about an axis,B,False,0.5463491,0.13813868,0.17737359,0.13813868
Consider a ball rolling in a horizontal circular path on the inside surface of a cone. The normal force on the ball,is mg,is greater than mg always,may be greater or less than mg,is less than mg always,B,False,0.17753577,0.25831303,0.42588618,0.138265
The compressions and rarefactions in sound normally travel,in the same direction,in opposite directions,at right angles to each other,None of these,A,True,0.5940327,0.17019323,0.10322741,0.13254662
The power required to raise a 100-kg crate a vertical distance of 2 m in a time of 4 s is,200 W,500 W,800 W,2000 W,B,True,0.21445353,0.5829451,0.10130067,0.10130067
The phenomenon of beats is the result of sound,destruction,interference,resonance,amplification,B,True,0.010833809,0.9752284,0.010833809,0.0031039384
Interference is characteristic of,sound waves,light waves,water waves,All of these,D,False,0.2197446,0.766984,0.0066357115,0.0066357115
"In either a fission event or a fusion event, a quantity that remains unchanged is the",kinetic energy,mass,number of nucleons,binding of nucleons,C,False,0.15611468,0.79281574,0.027128663,0.023940962
The magnetic force on a moving charged particle can change the particle's,speed,direction,Both of these,Neither of these,B,True,0.27828395,0.5199028,0.13145202,0.0703612
"If you were to travel at a speed close to the speed of light, you could notice that your own",mass changes.,pulse decreases.,Both of these.,Neither of these.,D,False,0.42886487,0.10843402,0.2601197,0.20258142
Electricity and magnetism connect to form,mass,energy,ultrahigh-frequency sound,light,D,False,0.29034916,0.6146692,0.04452649,0.05045512
Sound travels in air by a series of,compressions,rarefactions,Both of these,Neither of these,C,False,0.42025325,0.4762093,0.064447924,0.039089642
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",amounts of force,accelerations,Both,Neither,A,False,0.20123132,0.25838614,0.48272884,0.05765374
The nucleus of an electrically neutral iron atom contains 26 protons. The number of electrons this iron atom has is,52,26,24,None.,B,True,0.17695932,0.79307663,0.018651376,0.01131263
To say that a rose petal is red is to say that it,absorbs red,reflects red,emits red,transmits red,B,True,0.3596772,0.52332723,0.09094064,0.026054928
