0,1,2,3,4,5,llama_7B_ga_alpacagpt4_20000/ckp10000_correct,llama_7B_ga_alpacagpt4_20000/ckp10000_choiceA_probs,llama_7B_ga_alpacagpt4_20000/ckp10000_choiceB_probs,llama_7B_ga_alpacagpt4_20000/ckp10000_choiceC_probs,llama_7B_ga_alpacagpt4_20000/ckp10000_choiceD_probs
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.03573633,0.26405776,0.06676426,0.6334416
How many Jinas have appeared during our age?,7,42,24,13,C,False,0.068267636,0.34669167,0.013442695,0.57159793
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,True,0.08652382,0.20755985,0.43940422,0.26651213
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,False,0.033802953,0.063152224,0.13369326,0.7693516
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,False,0.085192576,0.07518219,0.0313406,0.8082847
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,False,0.114043616,0.03267404,0.010607709,0.8426747
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.06782875,0.5011905,0.16271272,0.26826796
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,False,0.19468556,0.1718094,0.033831276,0.59967375
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,False,0.119718455,0.05655099,0.28718963,0.53654087
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.007550013,0.11810207,0.1947174,0.6796305
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.013723073,0.14753693,0.089485675,0.74925435
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,False,0.02941182,0.04279395,0.16925335,0.75854087
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.024561493,0.051996678,0.11007697,0.8133649
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,False,0.18114278,0.33841926,0.09695874,0.38347927
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,False,0.18855964,0.14685039,0.0064521558,0.6581378
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.020439928,0.46521062,0.103802525,0.41054693
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.104358636,0.06329671,0.15184093,0.6805038
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.0058984007,0.09226651,0.026434798,0.87540025
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,True,0.015730647,0.054905348,0.07049987,0.8588642
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,False,0.5976949,0.049061783,0.13336375,0.21987966
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,True,0.0012951698,0.0051224963,0.13211092,0.8614714
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,False,0.014205481,0.28532472,0.28532472,0.415145
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,False,0.07835826,0.5789936,0.069150925,0.27349722
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,False,0.39563677,0.022320297,0.0063948724,0.57564807
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.11079656,0.386718,0.34127745,0.16120805
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.0077751838,0.06510082,0.22722417,0.69989973
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,False,0.09040854,0.27847788,0.3155568,0.3155568
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.005534545,0.031849105,0.031849105,0.9307673
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.894946,0.023849502,0.0077428,0.07346164
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.22656325,0.10702089,0.05055309,0.6158627
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.08684191,0.12635423,0.05968551,0.7271184
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,False,0.011028159,0.1343505,0.08148769,0.7731337
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,False,0.012979916,0.05817195,0.018885667,0.9099624
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,False,0.03831343,0.018097982,0.07157891,0.87200963
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,False,0.022586098,0.042196386,0.275155,0.66006255
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,False,0.0027790999,0.005883354,0.11817033,0.8731672
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,False,0.024561493,0.11007697,0.051996678,0.8133649
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,False,0.18740119,0.06084026,0.010572451,0.7411861
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,False,0.15274183,0.11895546,0.04376127,0.6845414
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,False,0.38297197,0.38297197,0.10972331,0.12433279
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,False,0.12035259,0.030429898,0.0644201,0.78479743
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,False,0.0030312517,0.032589026,0.011988834,0.95239097
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.0043672905,0.046952795,0.005607712,0.94307214
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,True,0.01360379,0.025415227,0.007281584,0.95369935
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,False,0.32887974,0.09422562,0.03466367,0.542231
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.012987792,0.70910937,0.074739575,0.20316324
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.8149384,0.007989375,0.05209727,0.12497486
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.28689548,0.08219693,0.023549816,0.60735774
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.09012769,0.4039243,0.048241876,0.45770618
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,False,0.09056898,0.1026281,0.04847808,0.7583248
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.0021748543,0.322777,0.07202128,0.6030268
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.6082978,0.0019360788,0.020814806,0.3689513
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,True,0.0004963416,0.01862508,0.08347183,0.8974067
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,False,0.10371392,0.17099534,0.048990987,0.6762997
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.010818426,0.009547227,0.0057906862,0.97384363
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,True,9.3471215e-05,0.0014621357,0.025916977,0.9725274
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,False,0.04244355,0.11537354,0.089853,0.75232995
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,True,0.0004834459,0.005889577,0.0031524634,0.9904745
When was the State of Israel established?,1947,1948,1945,1949,B,True,0.011581065,0.71649516,0.06664444,0.2052793
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,False,0.20573923,0.035752118,0.12478716,0.6337215
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,False,0.07227064,0.026586883,0.020705884,0.8804366
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,True,0.16120805,0.386718,0.11079656,0.34127745
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,False,0.0071360883,0.03624005,0.021980701,0.93464315
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.77168095,0.071777515,0.004588583,0.151953
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,True,0.0056395065,0.14544478,0.011938835,0.83697695
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.0112225525,0.42112318,0.026921503,0.54073286
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,False,0.17247227,0.033961803,0.020598873,0.77296704
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,False,0.107117355,0.15585482,0.25696117,0.48006666
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,True,0.04142603,0.0038532207,0.011868755,0.942852
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,False,0.00434613,0.010425824,0.046725303,0.9385028
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.0016768089,0.038163997,0.09155066,0.86860853
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,False,0.043199595,0.03364388,0.05546938,0.8676871
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,False,0.07699193,0.041210808,0.23715183,0.6446455
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.06942866,0.14698048,0.037162483,0.74642843
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.0004635186,0.032495163,0.017393408,0.94964784
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,True,0.001148186,0.017960653,0.0002727181,0.9806184
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.07173683,0.36430967,0.033886075,0.53006744
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.3860056,0.16091107,0.06707772,0.3860056
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,False,0.033284646,0.09047705,0.017815987,0.85842234
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.44238636,0.20896852,0.11185279,0.23679237
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,True,0.001542405,0.008875927,0.08421246,0.9053692
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,True,0.02402204,0.03960565,0.034951866,0.9014205
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.000936066,0.07436093,0.018801387,0.9059016
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.75745046,0.102509774,0.008414514,0.13162516
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.21315718,0.061070554,0.069202,0.6565703
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,False,0.0025330323,0.02403274,0.17757927,0.79585505
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,True,0.03602449,0.14247961,0.09792471,0.7235712
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,False,0.30834767,0.0779625,0.16504662,0.4486432
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.034658242,0.026991867,0.04450206,0.8938478
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,True,0.035180505,0.33378333,0.42858627,0.20244981
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,False,0.14299054,0.017077785,0.017077785,0.8228538
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,False,0.107117355,0.15585482,0.25696117,0.48006666
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,False,0.15039802,0.17042328,0.31839263,0.3607861
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,False,0.0059386427,0.056344274,0.056344274,0.88137275
 The theological term homoousios means which of the following?,of a similar substance,of the same substance,of like substance,of human substance,B,False,0.08442999,0.10841025,0.42877084,0.37838894
"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?",Es,Izanagi,Izanami,Kami,B,False,0.033397224,0.06239423,0.042882882,0.86132574
 The numen of Augustus referred to which of the following characteristics?,Divine power,Sexual virility,Military acumen,Philosophical intellect,A,False,0.0023041365,0.046279814,0.021861037,0.92955494
