0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceD_probs
" Which tradition is known to promote ""gradual enlightenment""?",Bushido,Shinto,Nichiren,Soto Zen,D,True,0.002337126,0.0016062816,0.05319274,0.9428639
What is the communal meal offered at the place of worship called in Sikhism?,Sangat,Langar,Gurdwara,Panth,B,True,3.319174e-05,0.9992907,0.00012332227,0.00055269204
To which tradition do the anti-Han rebel group known as the Celestial Masters belong?,Buddhism,Daoism,Confucianism,Shamanism,B,True,0.04549804,0.80647206,0.024353346,0.1236765
"What does the word ""Islam"" mean in Arabic?",Worship,Submission,Obedience,Faith,B,True,0.0007795316,0.9686835,0.0012852303,0.029251708
What does the term anatman mean?,Suffering,Soul,Impermanence,No-self,D,True,6.6045206e-05,2.014265e-05,8.480373e-05,0.99982893
 What genre of Sikh literature is denoted by the term janam-sakhis?,Spiritual narratives,Redemption narratives,Birth narratives,Theological narratives,C,True,0.010128547,0.003288258,0.9117428,0.074840404
Pure Land Buddhism belongs to which school?,Vajrayana,Theravada,Mahayana,Mahavira,C,True,0.016470311,0.044770945,0.8992485,0.03951022
 Which Jaina group only allows women to lead a life of semi-renunciation?,Svetambara,Jina,Agama,Digambara,D,True,0.058260806,0.018914515,0.011472234,0.9113524
What is the most important prayer in Judaism?,The Shema,The Sefirot,Deuteronomy,The Decalogue,A,True,0.98985076,0.0021652898,0.00042637083,0.007557604
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,Brahminic orthodoxy,Legalistic asceticism,Bhakti devotionals,Unorthodox practices,A,True,0.55797726,0.14107874,0.0022803256,0.2986637
 Which early battle led to the conversion of Mecca?,The Battle of Uhud,The Battle of Camel,The Battle of the Trench,The Battle of Badr,C,False,0.5896478,0.10246543,0.029356835,0.2785299
 What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,Remembering the Divine Name,Meditating on the sacred hymns,Remembering that death is inevitable,Meditating on the goodness of the created world,A,True,0.8270841,0.052873716,0.008108447,0.11193366
" During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",Confucianism,Buddhism,Christianity,Daoism,A,True,0.82032,0.06733596,0.036042348,0.07630165
"What is the meaning of the Punjabi word ""Sikh""?",Disciple,Faithful,Devotee,Enlightened,A,True,0.73295856,0.011847172,0.017237533,0.2379568
 Which of the following shuns politics?,The sages of the Zhuangzi,The Songs of the South,The Duke of Zhou,"The Confucian ""sage kings""",A,False,0.22347485,0.13554433,0.22347485,0.41750595
What does the Hebrew word mashiach mean?,Anointed one,God,Prophet,The line of David,A,True,0.99574274,0.001321132,0.00013924629,0.0027968364
"According to Jaina traditions, what does the term ajiva mean?",Soul,Sound,Non-matter,Non-soul,D,False,0.0009331796,0.00056600204,0.7969902,0.20151068
" In the Japanese Zen tradition, what is zazen?",A collection of statues,Veneration of ancestors,Seated meditation,Funeral rituals,C,True,0.0002001704,0.00010714349,0.98379123,0.015901504
 What is a central component of tantric Buddhism?,Asceticism,Bodily pleasure,Music,Sexual union,D,False,0.00032707045,0.59135723,0.0018821605,0.4064335
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",Loving and forgiving,Wrathful and merciful,Judging and vengeful,Transcendent and immanent,B,False,0.023121929,0.36168784,0.15077393,0.46441638
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia,Babylonia and Europe,Palestine and Spain,Spain and France,A,False,0.13641883,0.2887987,0.1545828,0.4201996
" In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism,Hinduism,Judaism,Islam,A,False,0.08817027,0.50738484,0.0092930775,0.3951517
"According to Hindu tradition, which age are we in currently?",Kali yuga,Maha yuga,Krita yuga,Satya yuga,A,True,0.5272625,0.0066372557,0.0007927071,0.46530753
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,True,0.99862874,0.001169274,2.2797212e-05,0.000179314
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,True,0.98816454,0.010977516,0.00048231843,0.00037562998
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,True,0.95218444,0.017439866,0.0016221603,0.028753478
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,True,0.0009903044,0.95839226,0.0034565022,0.0371609
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.995678,0.002468039,0.00015777645,0.0016962568
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,True,0.0012990503,0.0021417718,0.8640524,0.13250673
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,True,0.015773823,0.5223573,0.10285825,0.35901058
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,True,0.0018857282,0.0010093575,0.020273488,0.9768314
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.97877425,0.010873199,0.0058200047,0.004532624
When was the current Dalai Lama born?,1935,2000,1965,1975,A,False,0.119575046,0.018337427,0.6881069,0.17398067
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,True,0.06603625,0.01147538,0.29595393,0.62653446
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,False,0.0012525058,0.73520267,0.09949886,0.1640459
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,True,0.9990398,0.0009110064,1.38329015e-05,3.5323552e-05
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,True,5.8282472e-05,2.753069e-05,0.00012338399,0.99979085
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,False,0.011168112,0.0098558245,0.69094664,0.2880294
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,True,0.000904102,0.0035757928,0.0040519037,0.9914682
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,False,0.002177906,0.0014968514,0.00070706254,0.9956182
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,True,0.00057715253,0.9208998,0.0029310223,0.075592056
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,False,0.002732542,0.0016573706,0.40554523,0.5900648
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,False,0.42720148,0.0069050686,0.42720148,0.138692
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,True,0.9439894,0.011883073,0.0026514719,0.041476
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,True,0.9584965,0.0154926535,0.00046783758,0.025543066
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,True,0.00015329094,0.75338954,0.001867466,0.24458978
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.000943176,0.0013723129,0.9127825,0.084902
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,True,0.021110414,0.17675534,0.009971853,0.7921624
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,False,0.0012675028,0.9553222,0.0014362688,0.04197393
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,False,0.35438797,0.35438797,0.18969022,0.10153385
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,True,0.25180578,0.32332504,0.17306343,0.25180578
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.00012244271,0.99216354,0.00013874577,0.0075752623
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.38267282,0.014837835,0.04570375,0.55678564
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.0005412133,0.9785366,0.00061327504,0.020308878
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.00025476643,0.9751506,0.0016612859,0.022933343
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,True,0.978508,0.0051347385,0.0005411975,0.01581611
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,False,0.053711917,0.18747301,0.30909076,0.44972438
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.99801046,0.0006254798,3.9985585e-05,0.0013241407
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,True,0.0014571586,0.66613233,0.017751826,0.3146586
 How many books are in the New Testament?,30,29,27,47,C,False,0.025064249,0.099131025,0.30534506,0.57045966
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,True,0.00169625,0.00070710224,0.77543175,0.22216493
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,True,0.00054730463,0.98955005,0.00020134213,0.009701207
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.9616406,0.03728685,0.00019566345,0.0008769027
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,True,0.16917098,0.45985436,0.31605297,0.054921772
How many Jinas have appeared during our age?,7,42,24,13,C,True,0.043095786,0.13274436,0.46332332,0.36083657
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.007145604,0.9358894,0.032024376,0.024940608
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.00023319975,0.0005594171,0.8926014,0.10660604
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,8.259339e-05,0.00019813124,0.97376925,0.02595007
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,True,0.013841461,0.00839527,0.519397,0.45836625
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.000113219015,0.9765919,0.0003276101,0.02296724
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,9.579613e-05,0.99671715,1.4690812e-05,0.0031723324
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.00013805268,0.00022761036,0.98720723,0.012427106
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.1571279,0.20175622,0.1571279,0.48398802
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.039501153,0.61790204,0.050720487,0.29187626
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,True,0.9972126,0.0016988711,5.8132173e-05,0.0010304174
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.0012901957,0.00036964728,0.025914272,0.97242594
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,True,0.75701153,0.21688744,0.012235952,0.0138651505
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.99894196,0.00080388156,7.477263e-05,0.00017937024
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.0014988794,0.00062482595,0.00090911635,0.99696714
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.7748338,0.22199361,0.0003781927,0.0027944872
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.0011654195,0.9953367,0.0013205933,0.0021772902
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.056675047,0.05001555,0.47453433,0.41877508
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.0015746152,0.0012263117,0.5606019,0.4365972
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,True,0.091662586,0.012405182,0.026261773,0.86967045
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,False,0.23199666,0.040314976,0.013088357,0.7146
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.9990693,0.00080398406,3.4976083e-06,0.00012329494
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.8427039,0.004422104,0.14643997,0.0064341235
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.12913413,0.06912052,0.4507224,0.35102296
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.00968775,0.014095593,0.10415313,0.87206346
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,False,0.057653733,0.2583861,0.20123129,0.48272878
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.11039041,0.027911065,0.04601757,0.8156809
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.9971198,0.0028007042,2.1383641e-05,5.8126763e-05
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,True,0.31002158,0.6563157,0.0009867307,0.032676034
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.10461464,0.071900524,0.2214692,0.6020157
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.98483133,0.012397197,0.0006172201,0.0021543098
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.9954027,0.0031681487,0.00010840808,0.0013206808
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,9.844568e-05,0.00036577007,0.9622262,0.037309557
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.0014091199,0.0014091199,0.9372644,0.059917305
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,8.3606865e-05,0.00013784441,0.985718,0.014060512
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.00087208673,0.9563592,0.00568672,0.03708207
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,True,0.9978963,0.0015002764,5.133664e-05,0.00055192085
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.9832555,0.009639498,0.00047992234,0.0066251233
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.00033049515,0.9851922,0.00042436417,0.014053011
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.00037755616,0.9932318,0.0004847917,0.0059059723
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,4.231976e-05,0.00010806729,0.9922735,0.007576102
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.050196443,0.13644807,0.120415,0.6929405
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,True,0.124525964,0.035677284,0.027785497,0.81201124
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.99920124,0.00055264257,1.5677264e-05,0.00023037569
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,True,0.0006197797,0.008555794,0.0019090559,0.9889154
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.98265636,0.004550602,0.0004232719,0.012369818
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.00093324156,0.00049952825,0.20152406,0.79704314
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.0073951203,0.0083797695,0.01565547,0.96856964
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,True,0.0021555885,0.0014815128,0.9854159,0.010946982
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,True,0.016112551,0.012548467,0.604619,0.36672
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.0002867771,0.00036822906,0.7544205,0.24492449
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.0331524,0.022785291,0.5876404,0.35642192
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.0005875148,0.9374337,0.002050628,0.05992813
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.003100869,0.974264,0.0024149593,0.020220203
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,True,0.002154604,0.01239889,0.00048075712,0.9849658
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.00083269505,0.0010692015,0.913161,0.08493721
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,True,0.0051928116,0.0027795117,0.0024529106,0.98957473
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.4937732,0.4937732,0.0008412018,0.011612433
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.043547925,0.13413705,0.6011605,0.2211546
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.0008490692,0.00058355613,0.9311174,0.06744992
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,True,0.014003518,0.9817224,0.0011494787,0.0031246075
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.99846077,0.001501125,2.7222811e-06,3.5303077e-05
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.9993315,0.00037987484,5.8255693e-05,0.00023040573
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,True,3.120076e-05,1.6700564e-05,2.0144726e-05,0.99993193
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.096521646,0.06633829,0.12393624,0.71320385
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,True,0.0017613982,0.00094280846,0.9124268,0.08486892
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.00063378824,0.0003392424,0.89244026,0.10658679
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,True,7.4835574e-05,1.8921397e-05,0.00012338301,0.99978286
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.021739315,0.7199072,0.02463387,0.23371965
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,True,0.0076762903,0.60980326,0.012656063,0.36986437
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.00031079885,0.00011433651,0.5619375,0.4376374
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.009629883,0.0014767904,0.9822748,0.006618515
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.0012823493,0.96651214,0.009475351,0.022730188
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.00048767636,3.5327157e-05,0.00033517473,0.9991418
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,True,5.143954e-05,1.6699973e-05,3.535384e-05,0.9998965
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,True,0.021227332,0.2930343,0.6203536,0.06538478
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.010392861,0.07679343,0.18421789,0.72859585
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,True,0.00028956507,0.97811264,0.0012977407,0.02030008
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.67826855,0.32039136,0.0007941708,0.0005458251
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,True,0.0019255966,0.00029529977,0.00029529977,0.99748373
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,True,0.00012336961,2.2821083e-05,0.00017950173,0.9996743
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.0066664517,0.00037609547,0.0035682945,0.9893891
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,True,0.010201073,0.011559331,0.7151505,0.26308915
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.003237883,0.20032072,0.004157524,0.79228383
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,False,0.03500636,0.0113649005,0.15688762,0.79674107
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,5.4504206e-05,0.9952785,5.8019425e-05,0.0046090535
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.9974605,0.0011679061,4.8205242e-05,0.001323411
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.054691363,0.27774563,0.07957546,0.58798754
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.043755632,0.22220944,0.04958163,0.68445325
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,False,0.004530886,0.978399,0.0031140295,0.013956112
