0,1,2,3,4,5,llama_7B_llamatokenizer_ds_alpaca_52000/epoch3_correct,llama_7B_llamatokenizer_ds_alpaca_52000/epoch3_choiceA_probs,llama_7B_llamatokenizer_ds_alpaca_52000/epoch3_choiceB_probs,llama_7B_llamatokenizer_ds_alpaca_52000/epoch3_choiceC_probs,llama_7B_llamatokenizer_ds_alpaca_52000/epoch3_choiceD_probs
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.43242338,0.3816123,0.14038731,0.045577087
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.17182438,0.19470254,0.52925634,0.104216754
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,True,0.9758664,0.012284345,0.010840896,0.0010083604
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,True,0.20978922,0.39193785,0.39193785,0.0063350853
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.07131972,0.15098384,0.7667592,0.0109372325
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.02923967,0.11564513,0.8545084,0.00060684996
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,True,0.24132465,0.10059908,0.6559884,0.0020878674
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.81381863,0.1602504,0.016890267,0.009040709
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.10261495,0.025945121,0.8591844,0.012255606
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.09048287,0.14918102,0.75760376,0.0027323458
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.22500502,0.15464354,0.61162704,0.0087243905
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,40%,55%,75%,D,False,0.42413357,0.29150248,0.25725,0.027113952
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B,True,0.20938396,0.502286,0.26885435,0.019475741
Which of the following is true as of 2020?,males are more likely to have depression and are more likely to have an alcohol use disorder than females.,females are more likely to have depression and are more likely to have an alcohol use disorder than males.,males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder.,females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder.,D,False,0.54728055,0.25851703,0.17767598,0.01652644
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",37%,47%,57%,67%,D,False,0.044485334,0.25599542,0.6958677,0.0036515787
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",1%,3%,6%,10%,D,False,0.388495,0.388495,0.20794639,0.015063586
"As of 2019, about what share of electricity came from fossil fuels in the United States?",23%,43%,63%,83%,C,True,0.10859752,0.17904702,0.7081447,0.0042107827
What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,10%,30%,50%,70%,D,False,0.16854636,0.4043217,0.4043217,0.02281027
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",26%,41%,56%,71%,C,True,0.1426808,0.34227344,0.4980049,0.017040791
"In 2018, about how many chickens were killed for meat production?",690 million,6.9 billion,69 billion,690 billion,C,False,0.12908004,0.8417075,0.028801648,0.00041083345
"In 2016, what percentage of the population of South Sudan had access to electricity?",9%,29%,59%,79%,A,False,0.02374841,0.0828901,0.89115256,0.0022089465
About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,31%,51%,71%,91%,B,False,0.22959225,0.26016212,0.48604682,0.024198845
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,C,True,0.22467805,0.28849235,0.47564346,0.011186062
Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,1,7,13,19,D,False,0.26352683,0.49233294,0.2325616,0.011578561
"As of 2019, about what percentage of Turks say God plays an important role in their life?",59%,69%,79%,89%,D,False,0.26420355,0.49359718,0.2331588,0.009040548
Which of the following was responsible for the most death in the 20th century?,Earthquakes,Volcanic activity,Wildfires,Floods,D,False,0.9454766,0.007218803,0.047072507,0.00023204803
"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",15%,35%,55%,75%,B,False,0.09020755,0.1487271,0.75529855,0.0057667755
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,D,False,0.21233453,0.27264294,0.50936407,0.0056585236
"As of 2019, about what percentage of people from Turkey agree that the state is run for the benefit of all the people?",36%,51%,66%,81%,C,True,0.0864877,0.18309447,0.7241527,0.0062651485
"As of 2015, what percentage of the global population over 15 years old was literate?",81%,86%,91%,96%,B,False,0.50452936,0.18560599,0.30601254,0.0038521292
About what percentage of survey respondents from China report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,26%,46%,66%,86%,A,False,0.11438661,0.21370232,0.6582495,0.013661532
"As of 2019, which of the following had the lowest life expectancy?",Brazil,China,Mexico,Iran,C,False,0.54289657,0.2905916,0.08325589,0.08325589
"As of 2019, unsafe water is responsible for about how many deaths each year?",1.2 million,2.4 million,3.6 million,4.8 million,A,True,0.44577086,0.23860396,0.30637354,0.009251678
Which of the following causes more deaths globally each year (as of 2017)?,Diarrheal diseases,Diabetes,Dementia,Road injuries,C,False,0.9465691,0.0013368872,0.0049671386,0.047126897
About how many people are infected by HIV/AIDS as of 2020?,3 million,14 million,42 million,124 million,C,True,0.111119404,0.16167778,0.7245895,0.0026132779
What is the percentage of children aged 13-15 in the United States who reported being bullied at least once in the past couple of months as of 2015?,26%,46%,66%,86%,A,False,0.21129642,0.27131,0.5068738,0.01051983
"As of 2019, about what percentage of South Koreans say it is necessary to believe in God in order to be moral and have good values?",25%,45%,65%,85%,B,False,0.047737658,0.10106063,0.84617025,0.0050315126
What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?,6%,16%,36%,66%,C,False,0.16333455,0.39181924,0.39181924,0.053026967
"As of 2018, about what percentage of US adults say computer programs will always reflect human bias?",43%,58%,73%,88%,B,False,0.17695324,0.37461004,0.42448878,0.023948018
"As of 2017, the share of GDP spent on the military by China is about",0.50%,2%,6%,12%,B,True,0.18086073,0.63126594,0.18086073,0.007012731
"The conjecture that inequality first increases with development, then decreases with further development (known as the “inverted U hypothesis”) has, as of 2020, been",strongly supported by most studies,"supported mainly by cross-section, not time-series studies","supported mainly by time-series, not cross-section studies",generally repudiated by empirical studies,B,False,0.27354556,0.21303748,0.51105034,0.0023666325
"Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?",12 years,9 years,6 years,3 years,B,False,0.49042818,0.43280134,0.0752096,0.0015609255
"As of 2017, the share of deaths in Greenland by suicide is about",0.90%,1.80%,3.60%,7.20%,D,False,0.376605,0.42674938,0.1778956,0.018750058
"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?",14%,24%,34%,44%,A,False,0.018367771,0.08231865,0.8850088,0.014304835
"As of 2019, about what percentage of Americans say the relationship between the U.S. and Germany is good?",60%,75%,90%,45%,B,False,0.082676984,0.22473934,0.6922459,0.00033788194
"As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?",50%,60%,70%,80%,D,False,0.28513134,0.3661159,0.28513134,0.0636214
In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?,2%,25%,50%,75%,D,False,0.036556456,0.5046463,0.4453488,0.013448368
"In Sub-Saharan Africa, as of 2020,",no nation has been able to grow in the past years.,the Democratic Republic of Congo has become poorer than it initially was in 1980.,some countries have had relatively significant growth rates.,"some countries have had relatively significant growth rates, but the Democratic Republic of Congo has become poorer than it initially was in 1980.",C,False,0.15691593,0.15691593,0.13847782,0.5476904
"World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?",15.50%,34.80%,48.10%,65.20%,B,True,0.33811712,0.4919575,0.1597152,0.010210251
How many children between the ages of 5-14 worked globally as of 2012?,5 million,30 million,150 million,500 million,C,False,0.35961774,0.28007057,0.31736153,0.042950217
"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,","Colombia, Peru, Uruguay, and Costa Rica.","Bhutan, Niger, Cambodia, and Costa Rica.","Uruguay, Costa Rica, Timor-Leste, and Pakistan.","Bhutan, Cambodia, Uruguay and Costa Rica.",A,True,0.3376788,0.15950817,0.20481254,0.29800048
The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,10%,20%,40%,80%,B,False,0.18057,0.20461263,0.5561948,0.058622498
The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,38%,58%,78%,98%,C,True,0.1875188,0.21248664,0.5775986,0.022395927
"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?","True, True","True, False","False, True","False, False",B,False,0.91073596,0.08471164,0.00372197,0.0008304837
"In 2017, about how many people died from terrorism globally?",260,"2,600","26,000","260,000",C,False,0.42028072,0.47624046,0.07303384,0.030445034
In 1935 roughly how many Americans were in favor of Social Security act?,90%,70%,50%,30%,A,True,0.726172,0.26714376,0.0062826187,0.00040163437
Which of the following countries emitted the most CO2 per capita in 2017?,Japan,Canada,Russia,Iran,B,False,0.69917595,0.2269892,0.057391856,0.016443042
"As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?",59%,69%,79%,89%,C,False,0.22580315,0.4218558,0.32854164,0.023799475
"What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",9%,19%,39%,59%,B,False,0.12874204,0.3965534,0.44935387,0.025350811
The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,18%,38%,58%,78%,B,False,0.10020659,0.14579974,0.74043214,0.013561488
"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",24%,39%,54%,69%,A,False,0.04291822,0.19234613,0.7607437,0.0039920164
"As of 2015, the global fertility rate was about",1.5 children per woman,2.5 children per woman,3.5 children per woman,4.5 children per woman,B,False,0.9449968,0.05331307,0.0016099153,8.015296e-05
What is the median international income as of 2020?,$300 ,"$1,000 ","$10,000 ","$30,000 ",C,True,0.098922156,0.14393088,0.64505345,0.11209348
Before being reelected for a third term as president how many Americans approved of running a third time?,20%,40%,60%,80%,C,True,0.00512358,0.017883051,0.9763815,0.00061192433
"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?",41%,56%,71%,86%,B,True,0.067097634,0.81741655,0.1106253,0.0048605367
Public spending on education in the world is about what percentage of global GDP as of 2017?,1%,2%,4%,8%,C,False,0.43607056,0.43607056,0.0757777,0.0520812
"As of 2013, which of the following countries had the highest per capita rate of homelessness?",US,Chile,Ireland,Spain,A,True,0.5744872,0.3948389,0.028602034,0.0020719245
"Overall, the growth rate of average incomes in less developed countries between 1960 and 1995",was approximately zero,exceeded that of high income countries,exceeded that of Britain during the industrial revolution,was approximately 3.0% per year,C,False,0.33378333,0.20244981,0.035180505,0.42858627
"As of 2015, about what percentage of the world’s land area is forested?",15%,30%,45%,60%,B,False,0.2037156,0.15865386,0.6274882,0.010142402
The greatest population growth rate has taken place,"in Africa, which is the poorest region of the world with the lowest overall economic growth.","in Asia, which is the poorest region of the world with a steady overall economic growth.","in Asia, which is the poorest region of the world with the lowest overall economic growth.","in Africa, which is the poorest region of the world with a steady overall economic growth.",C,True,0.3285247,0.19926031,0.42183408,0.050380897
The global HIV/AIDS death rate is highest for which of these age groups?,Under 5,14-May,15-49,over 50,C,True,0.0005518377,0.0016997798,0.99774593,2.4006847e-06
"As of 2015, agriculture made up about what percentage of total US GDP?",1%,3%,9%,20%,A,False,0.13448024,0.32260132,0.53187966,0.01103881
"As of 2017, what percentage of Indians live in urban areas?",19%,34%,49%,64%,B,False,0.03530149,0.051363368,0.91043746,0.002897723
"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?","True, True","True, False","False, True","False, False",A,True,0.9755972,0.022943847,0.0012944032,0.0001645649
"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?",80%,40%,-40%,-80%,B,False,0.6182359,0.29203394,0.083669126,0.006060971
"As of 2013, share of people in the United States who think political parties are corrupt is",36%,56%,76%,96%,C,False,0.39631498,0.24037719,0.34974673,0.013561153
Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,China,Japan,Chile,India,C,False,0.90425324,0.057806972,0.035061702,0.00287804
"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?","$150,000 ","$75,000 ","$35,000 ","$15,000 ",C,False,0.90716505,0.07446464,0.014662957,0.0037073763
In 1943 how many Americans believed in the Holocaust?,30%,50%,70%,90%,B,False,0.26276955,0.1593778,0.5562832,0.021569438
Which of the following countries emitted the most CO2 in 2017?,Canada,Russia,Iran,Japan,D,False,0.7967631,0.20145327,0.0010571297,0.0007265539
"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.","India, Congo","India, South Korea","Congo, South Korea","South Korea, India",A,True,0.77321935,0.22153106,0.0024609878,0.0027886645
"As of 2013, share of people in the India who think political parties are corrupt is",26%,46%,66%,86%,D,False,0.2409585,0.1656082,0.5780294,0.015403962
"As of 2019, about what percentage of French people say God plays an important role in their life?",11%,31%,51%,71%,B,False,0.01879639,0.07434116,0.9056608,0.001201613
"As of 2017, the share of GDP spent on the military by the United States is about",1%,3%,6%,10%,B,False,0.39560065,0.34911636,0.23994392,0.015339102
"As of 2017, the share of global deaths by suicide is about",0.70%,1.40%,2.80%,5.60%,B,False,0.28530884,0.17304854,0.53302705,0.008615579
Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included,artificial political boundaries that covered diverse ethnic groups with little in common,inadequate access to higher education and training for nationals under the colonial administration,control of domestic commerce by foreign minority groups which had been brought in by the colonial power,all of the above,D,False,0.55604875,0.06641056,0.040280037,0.33726063
Which of the following mental disorders is most prevalent in the world?,Bipolar disorder,Schizophrenia,Alcohol use disorders,Anxiety disorders,D,False,0.97847384,0.0051345597,0.0005760816,0.015815556
"As of 2017, how many people in the world have some access to electricity?",60%,70%,80%,90%,C,True,0.36796704,0.09303664,0.5353889,0.0036074219
Before Nixon resigned how many believed he should be removed from office?,79%,98%,33%,57%,D,False,0.18187495,0.8151069,0.0029397346,7.8341276e-05
