0,1,2,3,4,5,llama_7B_ga_wizardlm_20000/ckp7500_correct,llama_7B_ga_wizardlm_20000/ckp7500_choiceA_probs,llama_7B_ga_wizardlm_20000/ckp7500_choiceB_probs,llama_7B_ga_wizardlm_20000/ckp7500_choiceC_probs,llama_7B_ga_wizardlm_20000/ckp7500_choiceD_probs
About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,31%,51%,71%,91%,B,False,0.06525982,0.33141673,0.37554434,0.22777916
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,C,False,0.061294377,0.3527248,0.31127852,0.27470234
Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,1,7,13,19,D,False,0.06639042,0.2625792,0.4905625,0.18046786
"As of 2019, about what percentage of Turks say God plays an important role in their life?",59%,69%,79%,89%,D,False,0.0636214,0.28513134,0.3661159,0.28513134
Which of the following was responsible for the most death in the 20th century?,Earthquakes,Volcanic activity,Wildfires,Floods,D,False,0.14459555,0.27014005,0.3468667,0.23839776
"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",15%,35%,55%,75%,B,False,0.077141285,0.26924953,0.44391742,0.20969173
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,D,False,0.06525982,0.37554434,0.33141673,0.22777916
"As of 2019, about what percentage of people from Turkey agree that the state is run for the benefit of all the people?",36%,51%,66%,81%,C,True,0.052023508,0.29937464,0.38440463,0.2641972
"As of 2015, what percentage of the global population over 15 years old was literate?",81%,86%,91%,96%,B,True,0.06525982,0.37554434,0.33141673,0.22777916
About what percentage of survey respondents from China report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,26%,46%,66%,86%,A,False,0.04527555,0.2952337,0.42956248,0.22992824
"As of 2019, which of the following had the lowest life expectancy?",Brazil,China,Mexico,Iran,C,True,0.03661663,0.21071416,0.4460819,0.3065873
"As of 2019, unsafe water is responsible for about how many deaths each year?",1.2 million,2.4 million,3.6 million,4.8 million,A,False,0.0478879,0.27557582,0.40096045,0.27557582
Which of the following causes more deaths globally each year (as of 2017)?,Diarrheal diseases,Diabetes,Dementia,Road injuries,C,False,0.062453527,0.11667855,0.35939524,0.46147263
About how many people are infected by HIV/AIDS as of 2020?,3 million,14 million,42 million,124 million,C,True,0.055712897,0.28293344,0.41166574,0.2496879
What is the percentage of children aged 13-15 in the United States who reported being bullied at least once in the past couple of months as of 2015?,26%,46%,66%,86%,A,False,0.077141285,0.26924953,0.44391742,0.20969173
"As of 2019, about what percentage of South Koreans say it is necessary to believe in God in order to be moral and have good values?",25%,45%,65%,85%,B,True,0.044989347,0.3766912,0.3766912,0.20162827
What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?,6%,16%,36%,66%,C,True,0.07042242,0.2785261,0.40525305,0.24579841
"As of 2018, about what percentage of US adults say computer programs will always reflect human bias?",43%,58%,73%,88%,B,False,0.05656858,0.28727895,0.36887348,0.28727895
"As of 2017, the share of GDP spent on the military by China is about",0.50%,2%,6%,12%,B,False,0.048392218,0.3155569,0.35757282,0.278478
"The conjecture that inequality first increases with development, then decreases with further development (known as the “inverted U hypothesis”) has, as of 2020, been",strongly supported by most studies,"supported mainly by cross-section, not time-series studies","supported mainly by time-series, not cross-section studies",generally repudiated by empirical studies,B,True,0.116331935,0.3583276,0.27906582,0.24627472
"Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?",12 years,9 years,6 years,3 years,B,True,0.05805894,0.42900077,0.33410615,0.17883413
"As of 2017, the share of deaths in Greenland by suicide is about",0.90%,1.80%,3.60%,7.20%,D,False,0.051568814,0.3362709,0.38104486,0.2311154
"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?",14%,24%,34%,44%,A,False,0.04527555,0.2952337,0.42956248,0.22992824
"As of 2019, about what percentage of Americans say the relationship between the U.S. and Germany is good?",60%,75%,90%,45%,B,False,0.05854483,0.29731518,0.38176024,0.26237974
"As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?",50%,60%,70%,80%,D,False,0.06394464,0.32473767,0.28658,0.32473767
In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?,2%,25%,50%,75%,D,False,0.03493108,0.33141682,0.37554446,0.2581077
"In Sub-Saharan Africa, as of 2020,",no nation has been able to grow in the past years.,the Democratic Republic of Congo has become poorer than it initially was in 1980.,some countries have had relatively significant growth rates.,"some countries have had relatively significant growth rates, but the Democratic Republic of Congo has become poorer than it initially was in 1980.",C,True,0.049078777,0.21995582,0.41093156,0.32003382
"World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?",15.50%,34.80%,48.10%,65.20%,B,True,0.059666153,0.38907218,0.38907218,0.16218941
How many children between the ages of 5-14 worked globally as of 2012?,5 million,30 million,150 million,500 million,C,True,0.06889337,0.27247855,0.3498694,0.30875865
"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,","Colombia, Peru, Uruguay, and Costa Rica.","Bhutan, Niger, Cambodia, and Costa Rica.","Uruguay, Costa Rica, Timor-Leste, and Pakistan.","Bhutan, Cambodia, Uruguay and Costa Rica.",A,False,0.026717437,0.47357792,0.32548502,0.17421958
The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,10%,20%,40%,80%,B,False,0.10257662,0.19163835,0.4597165,0.24606852
The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,38%,58%,78%,98%,C,True,0.10766472,0.25827423,0.37578678,0.25827423
"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?","True, True","True, False","False, True","False, False",B,False,0.16344157,0.30534908,0.34600583,0.18520358
"In 2017, about how many people died from terrorism globally?",260,"2,600","26,000","260,000",C,False,0.051203974,0.4287256,0.26003522,0.26003522
In 1935 roughly how many Americans were in favor of Social Security act?,90%,70%,50%,30%,A,False,0.04949045,0.28479788,0.41437846,0.25133324
Which of the following countries emitted the most CO2 per capita in 2017?,Japan,Canada,Russia,Iran,B,False,0.040334534,0.2630142,0.43363708,0.2630142
"As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?",59%,69%,79%,89%,C,True,0.046662044,0.30427474,0.34478846,0.30427474
"What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",9%,19%,39%,59%,B,False,0.05943246,0.23505996,0.4391498,0.2663578
The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,18%,38%,58%,78%,B,False,0.077141285,0.26924953,0.44391742,0.20969173
"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",24%,39%,54%,69%,A,False,0.042840637,0.35870028,0.40646067,0.19199842
"As of 2015, the global fertility rate was about",1.5 children per woman,2.5 children per woman,3.5 children per woman,4.5 children per woman,B,False,0.11538357,0.31364506,0.35540643,0.2155649
What is the median international income as of 2020?,$300 ,"$1,000 ","$10,000 ","$30,000 ",C,True,0.04299186,0.24740107,0.46220604,0.24740107
Before being reelected for a third term as president how many Americans approved of running a third time?,20%,40%,60%,80%,C,True,0.03928051,0.25614113,0.47853458,0.22604373
"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?",41%,56%,71%,86%,B,False,0.052548543,0.30239597,0.34265953,0.30239597
Public spending on education in the world is about what percentage of global GDP as of 2017?,1%,2%,4%,8%,C,True,0.04527555,0.2952337,0.42956248,0.22992824
"As of 2013, which of the following countries had the highest per capita rate of homelessness?",US,Chile,Ireland,Spain,A,False,0.043095786,0.36083657,0.46332332,0.13274436
"Overall, the growth rate of average incomes in less developed countries between 1960 and 1995",was approximately zero,exceeded that of high income countries,exceeded that of Britain during the industrial revolution,was approximately 3.0% per year,C,False,0.06408246,0.6079975,0.15372583,0.1741942
"As of 2015, about what percentage of the world’s land area is forested?",15%,30%,45%,60%,B,False,0.046192963,0.26582214,0.38676894,0.30121595
The greatest population growth rate has taken place,"in Africa, which is the poorest region of the world with the lowest overall economic growth.","in Asia, which is the poorest region of the world with a steady overall economic growth.","in Asia, which is the poorest region of the world with the lowest overall economic growth.","in Africa, which is the poorest region of the world with a steady overall economic growth.",C,False,0.04062524,0.38544157,0.34015098,0.23378213
The global HIV/AIDS death rate is highest for which of these age groups?,Under 5,14-May,15-49,over 50,C,True,0.0440243,0.17411949,0.6077367,0.17411949
"As of 2015, agriculture made up about what percentage of total US GDP?",1%,3%,9%,20%,A,False,0.056315467,0.32407314,0.36722296,0.25238842
"As of 2017, what percentage of Indians live in urban areas?",19%,34%,49%,64%,B,False,0.043930635,0.28646374,0.4168023,0.25280336
"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?","True, True","True, False","False, True","False, False",A,False,0.13511355,0.3672767,0.32412055,0.17348923
"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?",80%,40%,-40%,-80%,B,True,0.07885403,0.35339925,0.35339925,0.21434748
"As of 2013, share of people in the United States who think political parties are corrupt is",36%,56%,76%,96%,C,True,0.07657493,0.26727277,0.38887957,0.26727277
Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,China,Japan,Chile,India,C,True,0.060339585,0.27042326,0.50521713,0.16401999
"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?","$150,000 ","$75,000 ","$35,000 ","$15,000 ",C,False,0.06525982,0.37554434,0.33141673,0.22777916
In 1943 how many Americans believed in the Holocaust?,30%,50%,70%,90%,B,False,0.052023508,0.2641972,0.38440463,0.29937464
Which of the following countries emitted the most CO2 in 2017?,Canada,Russia,Iran,Japan,D,False,0.039678875,0.33222714,0.4265881,0.20150594
"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.","India, Congo","India, South Korea","Congo, South Korea","South Korea, India",A,False,0.08652382,0.43940422,0.26651213,0.20755985
"As of 2013, share of people in the India who think political parties are corrupt is",26%,46%,66%,86%,D,False,0.08138654,0.22123155,0.41331494,0.28406695
"As of 2019, about what percentage of French people say God plays an important role in their life?",11%,31%,51%,71%,B,False,0.04299186,0.24740107,0.46220604,0.24740107
"As of 2017, the share of GDP spent on the military by the United States is about",1%,3%,6%,10%,B,False,0.060407214,0.30677313,0.3939045,0.23891516
"As of 2017, the share of global deaths by suicide is about",0.70%,1.40%,2.80%,5.60%,B,True,0.053985983,0.3520328,0.3520328,0.24194838
Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included,artificial political boundaries that covered diverse ethnic groups with little in common,inadequate access to higher education and training for nationals under the colonial administration,control of domestic commerce by foreign minority groups which had been brought in by the colonial power,all of the above,D,True,0.06269215,0.28096673,0.1931054,0.4632358
Which of the following mental disorders is most prevalent in the world?,Bipolar disorder,Schizophrenia,Alcohol use disorders,Anxiety disorders,D,False,0.04811276,0.24433675,0.5172609,0.19028966
"As of 2017, how many people in the world have some access to electricity?",60%,70%,80%,90%,C,False,0.053985983,0.3520328,0.3520328,0.24194838
Before Nixon resigned how many believed he should be removed from office?,79%,98%,33%,57%,D,False,0.055736206,0.2830518,0.46667352,0.19453846
