0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptllama2chat_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptllama2chat_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptllama2chat_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptllama2chat_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptllama2chat_choiceD_probs
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,True,0.00029536666,0.99770963,0.00029536666,0.001699718
 How many books are in the New Testament?,30,29,27,47,C,False,0.009751544,0.17285025,0.2849819,0.5324163
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,False,0.023098608,0.10352079,0.40943265,0.46394798
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,True,0.0012242121,0.9822025,0.00069753506,0.015875824
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.9431061,0.03656819,0.0019380432,0.018387642
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,True,0.11826634,0.6805758,0.15185699,0.049300745
How many Jinas have appeared during our age?,7,42,24,13,C,False,0.024266051,0.058211233,0.43012607,0.4873967
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.04709378,0.6107214,0.015289111,0.32689562
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.00049813837,0.003918162,0.9006553,0.09492837
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.00020331159,0.001099092,0.9386892,0.060008388
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,True,0.007908267,0.0054352675,0.8066652,0.17999133
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.0017610338,0.9710723,0.0012883997,0.0258782
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.0011379695,0.9718929,0.0010690235,0.025900068
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.0003065914,0.00088715163,0.9728799,0.02592637
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.31687278,0.4068727,0.02947376,0.24678077
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.07168448,0.36404383,0.15175605,0.4125157
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,True,0.9911606,0.003154647,0.00048378075,0.0052011334
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.00075105147,0.0011632512,0.004600748,0.9934849
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,False,0.12763551,0.64818656,0.060290746,0.16388723
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.9982705,0.0009690145,0.00035648054,0.00040394533
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.0037543802,0.007466477,0.010863659,0.97791547
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.67305017,0.17017373,0.0065983515,0.15017779
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.005466885,0.8636857,0.01396018,0.11688715
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,True,0.008909811,0.010096138,0.17895834,0.8020356
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.00023009349,0.002323862,0.9375128,0.059933186
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,True,0.035505164,0.024402319,0.024402319,0.91569024
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.38255286,0.29793248,0.021582155,0.29793248
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.9656433,0.01560817,0.0010621493,0.017686374
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,False,0.1745692,0.0086912885,0.78236485,0.034374714
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,True,0.05818156,0.15815388,0.15815388,0.6255107
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.04494387,0.09514617,0.15686953,0.7030404
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,False,0.04064116,0.34028423,0.18214102,0.4369336
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.039583314,0.13815935,0.027205188,0.7950522
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.9959253,0.002468652,0.00075289636,0.0008531433
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,True,0.12006204,0.6909093,0.014339365,0.17468923
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,True,0.0052124285,0.009148098,0.8234855,0.16215391
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.949496,0.0153471725,0.0026669388,0.032489967
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.94388807,0.01346384,0.0011764572,0.04147155
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.00049352384,0.0023544708,0.9498612,0.047290806
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.00213873,0.0039956737,0.9184727,0.07539283
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.0005261473,0.00081491284,0.9512966,0.047362268
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,True,0.0061098384,0.8518414,0.011414681,0.13063411
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,True,0.98179954,0.0035409222,0.0006550047,0.014004618
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.6963873,0.06477411,0.012754778,0.22608384
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,True,0.0005837186,0.9914453,0.00040118356,0.0075697782
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.0006654413,0.9974431,0.00029528775,0.0015963105
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.0006379452,0.0011196287,0.9562287,0.042013757
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,False,0.021234358,0.074115194,0.10783697,0.7968134
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,True,0.005527774,0.0037991796,0.0010884831,0.9895845
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.9906149,0.0014893293,0.00033231426,0.0075634383
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,True,0.0002954758,0.00045764187,0.0011686294,0.9980782
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.7473412,0.032835882,0.0057060206,0.21411686
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.0017061298,0.005594184,0.34609994,0.64659977
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.0014056476,0.08169544,0.038590193,0.8783087
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,True,0.0007764432,0.0013627002,0.9648457,0.033015203
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,False,0.018080214,0.13359572,0.24958964,0.59873444
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.004415204,0.0053257523,0.7904117,0.19984737
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.014821631,0.06642595,0.7141462,0.20460631
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.0014701274,0.9185985,0.0045283115,0.075403154
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.0053264983,0.953552,0.0041482807,0.036973223
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,True,0.0077968775,0.24255374,0.0025312754,0.7471181
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.00070098886,0.004865827,0.9272625,0.06717067
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,True,0.04885317,0.40904257,0.016883204,0.52522105
When was the State of Israel established?,1947,1948,1945,1949,B,True,0.14722429,0.74766666,0.0039233947,0.10118568
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.00057365483,0.008973471,0.91531897,0.07513396
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,True,0.00025404862,0.0012901654,0.91348815,0.084967636
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,True,0.010738498,0.96664876,0.0025506169,0.020062154
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.97769755,0.013946106,0.0008915448,0.007464813
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.96921843,0.0034955475,0.0014571609,0.025828796
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,True,0.00016837369,0.00024498225,0.0014097757,0.99817693
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.12877126,0.12877126,0.0885031,0.6539544
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,True,0.013647063,0.028890833,0.6999608,0.2575012
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.0007440783,0.0009554154,0.98426086,0.014039727
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,True,0.00040398206,0.00020313494,0.0010316044,0.9983613
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.005916921,0.8781489,0.011054263,0.10487993
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.39413646,0.21096605,0.08794373,0.3069538
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,False,0.00022729825,0.0005804264,0.43746984,0.5617224
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.023746742,0.014403128,0.7863841,0.17546602
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.0016577487,0.9730743,0.009539684,0.015728282
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.00055186794,0.0004037552,0.0012436536,0.99780065
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,True,0.00020311073,0.00023015459,0.0013244483,0.99824226
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,True,0.15407519,0.15407519,0.6093792,0.0824705
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,False,0.020045063,0.42858234,0.06572523,0.4856474
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,True,0.00085761695,0.9404912,0.0055923653,0.05305888
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.62805355,0.33617285,0.004504719,0.031268943
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,True,0.005462704,0.009587344,0.007014251,0.9779357
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,True,0.00031096395,0.0005126929,0.012421411,0.98675495
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.016384857,0.030610943,0.2563023,0.6967018
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,True,0.0070607844,0.020431058,0.8687507,0.10375748
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,True,0.0047624097,0.8009141,0.015615338,0.17870809
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,False,0.01687074,0.040470805,0.3839763,0.5586822
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,True,0.0005671777,0.29380533,0.00082523865,0.70480233
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.939048,0.022084292,0.0067353286,0.032132454
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.59448165,0.09116672,0.03353836,0.28081325
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.03658627,0.445712,0.0126438765,0.5050579
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,False,0.00480851,0.9754387,0.003986395,0.015766498
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,False,0.052041907,0.81407243,0.009043528,0.124842055
