0,1,2,3,4,5,alpacacode_llama_7B_correct,alpacacode_llama_7B_choiceA_probs,alpacacode_llama_7B_choiceB_probs,alpacacode_llama_7B_choiceC_probs,alpacacode_llama_7B_choiceD_probs
To which tradition do the anti-Han rebel group known as the Celestial Masters belong?,Buddhism,Daoism,Confucianism,Shamanism,B,True,0.24194632,0.2741611,0.24194632,0.24194632
"What does the word ""Islam"" mean in Arabic?",Worship,Submission,Obedience,Faith,B,False,0.37569985,0.22787347,0.13821225,0.25821447
What does the term anatman mean?,Suffering,Soul,Impermanence,No-self,D,False,0.1595629,0.1595629,0.3827715,0.29810274
 What genre of Sikh literature is denoted by the term janam-sakhis?,Spiritual narratives,Redemption narratives,Birth narratives,Theological narratives,C,False,0.37354502,0.19994426,0.22656651,0.19994426
Pure Land Buddhism belongs to which school?,Vajrayana,Theravada,Mahayana,Mahavira,C,True,0.18575977,0.21049342,0.39325345,0.21049342
 Which Jaina group only allows women to lead a life of semi-renunciation?,Svetambara,Jina,Agama,Digambara,D,False,0.3447859,0.20912322,0.20912322,0.23696765
What is the most important prayer in Judaism?,The Shema,The Sefirot,Deuteronomy,The Decalogue,A,True,0.4430448,0.20927955,0.16298708,0.18468855
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,Brahminic orthodoxy,Legalistic asceticism,Bhakti devotionals,Unorthodox practices,A,True,0.32545507,0.2236818,0.25346467,0.19739848
 Which early battle led to the conversion of Mecca?,The Battle of Uhud,The Battle of Camel,The Battle of the Trench,The Battle of Badr,C,False,0.3081768,0.24000832,0.24000832,0.21180661
 What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,Remembering the Divine Name,Meditating on the sacred hymns,Remembering that death is inevitable,Meditating on the goodness of the created world,A,False,0.25346467,0.19739848,0.2236818,0.32545507
" During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",Confucianism,Buddhism,Christianity,Daoism,A,True,0.29068938,0.22638911,0.25653246,0.22638911
"What is the meaning of the Punjabi word ""Sikh""?",Disciple,Faithful,Devotee,Enlightened,A,True,0.31483006,0.19095409,0.21637933,0.27783656
 Which of the following shuns politics?,The sages of the Zhuangzi,The Songs of the South,The Duke of Zhou,"The Confucian ""sage kings""",A,False,0.18414204,0.20866026,0.30359888,0.30359888
What does the Hebrew word mashiach mean?,Anointed one,God,Prophet,The line of David,A,True,0.43103397,0.15856855,0.17968169,0.23071587
"According to Jaina traditions, what does the term ajiva mean?",Soul,Sound,Non-matter,Non-soul,D,False,0.29863346,0.20524758,0.23257597,0.2635431
" In the Japanese Zen tradition, what is zazen?",A collection of statues,Veneration of ancestors,Seated meditation,Funeral rituals,C,True,0.10130067,0.10130067,0.5829451,0.21445353
 What is a central component of tantric Buddhism?,Asceticism,Bodily pleasure,Music,Sexual union,D,True,0.2091965,0.16292238,0.23705068,0.3908305
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",Loving and forgiving,Wrathful and merciful,Judging and vengeful,Transcendent and immanent,B,False,0.27312723,0.27312723,0.24103393,0.2127117
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia,Babylonia and Europe,Palestine and Spain,Spain and France,A,True,0.39325345,0.21049342,0.21049342,0.18575977
" In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism,Hinduism,Judaism,Islam,A,True,0.35347164,0.21439138,0.24293727,0.18919975
"According to Hindu tradition, which age are we in currently?",Kali yuga,Maha yuga,Krita yuga,Satya yuga,A,True,0.3354456,0.20345806,0.23054817,0.23054817
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,True,0.39325345,0.21049342,0.18575977,0.21049342
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,False,0.26503736,0.16075328,0.23389466,0.34031472
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,True,0.37354502,0.19994426,0.19994426,0.22656651
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,False,0.32659805,0.22446734,0.22446734,0.22446734
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.40067968,0.24302451,0.16702813,0.18926768
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,True,0.24363722,0.27607712,0.31283638,0.16744925
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,False,0.31483006,0.19095409,0.27783656,0.21637933
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.21180658,0.2400083,0.30817676,0.2400083
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.51750344,0.24445131,0.16800876,0.07003647
When was the current Dalai Lama born?,1935,2000,1965,1975,A,True,0.3537031,0.16707751,0.3121419,0.16707751
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.22899327,0.17834014,0.33318323,0.25948337
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,False,0.27312723,0.27312723,0.24103393,0.2127117
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,True,0.47406983,0.15390794,0.17440055,0.1976217
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,False,0.12398545,0.23163532,0.38190207,0.26247722
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,True,0.2656047,0.23439533,0.2656047,0.23439533
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,False,0.29068938,0.22638911,0.25653246,0.22638911
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,True,0.34366152,0.18394876,0.23619488,0.23619488
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,False,0.2963333,0.2963333,0.20366672,0.20366672
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,False,0.24194632,0.2741611,0.24194632,0.24194632
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,False,0.33318326,0.22899328,0.2594834,0.17834015
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,True,0.26463422,0.26463422,0.26463422,0.20609733
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,True,0.3447859,0.20912322,0.23696765,0.20912322
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,False,0.24613409,0.24613409,0.31604242,0.19168942
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.23839775,0.27014002,0.34686667,0.14459553
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,False,0.22638911,0.22638911,0.29068938,0.25653246
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,True,0.2741611,0.24194632,0.24194632,0.24194632
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,False,0.33318326,0.2594834,0.22899328,0.17834015
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.3081768,0.21180661,0.24000832,0.24000832
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,0.2816182,0.31911525,0.24852721,0.15073937
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,False,0.20524755,0.23257595,0.29863343,0.26354307
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.28421366,0.32205626,0.22134583,0.1723843
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.28287002,0.3632123,0.2202994,0.13361834
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,True,0.3447859,0.23696765,0.20912322,0.20912322
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,False,0.2127117,0.27312723,0.24103393,0.27312723
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.4287649,0.13919958,0.2025342,0.22950132
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,False,0.30601364,0.18560666,0.2700561,0.23832366
 How many books are in the New Testament?,30,29,27,47,C,True,0.23257595,0.20524755,0.29863343,0.26354307
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,True,0.24363723,0.16744927,0.3128364,0.27607715
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,False,0.20272683,0.20272683,0.2603064,0.33424002
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.35347164,0.24293727,0.18919975,0.21439138
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.20767382,0.26665846,0.34239623,0.1832715
How many Jinas have appeared during our age?,7,42,24,13,C,True,0.21891177,0.21891177,0.28108826,0.28108826
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,False,0.33318326,0.22899328,0.2594834,0.17834015
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.18780005,0.18780005,0.51049346,0.11390649
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.17238429,0.2213458,0.32205623,0.28421363
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,False,0.3509605,0.18785562,0.2733283,0.18785562
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.22585997,0.37238014,0.22585997,0.17589992
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,0.33416668,0.37866044,0.20268233,0.08449057
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.12854616,0.16505654,0.6528113,0.053586014
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,False,0.29863346,0.2635431,0.23257597,0.20524758
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.36385828,0.2206912,0.2206912,0.19475931
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,False,0.24613409,0.19168942,0.31604242,0.24613409
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.24000832,0.24000832,0.3081768,0.21180661
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,True,0.2821834,0.21976466,0.24902599,0.24902599
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.29863346,0.23257597,0.20524758,0.2635431
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,False,0.23832364,0.27005607,0.3060136,0.18560664
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,False,0.31483006,0.19095409,0.27783656,0.21637933
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,False,0.29692274,0.29692274,0.29692274,0.10923178
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,False,0.29539207,0.17916435,0.29539207,0.23005158
 What is the title for the religious and administrative leaders who succeeded the Prophet?,Rasul,Nabi,Caliph,Mahdi,C,True,0.24621314,0.24621314,0.35823798,0.1493358
Which of the following is NOT included in the Islamic understanding of jurisprudence?,Consensus,Personal reasoning,Interpretation,Divine inspiration,D,False,0.29258946,0.15661186,0.29258946,0.2582093
Why is Mahavira a significant person in the Jaina traditions?,He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A,True,0.3070239,0.27094764,0.21101426,0.21101426
 The Tibetan Book of the Dead is also known as which of the following?,Bardo Thodol,Bardo Ngawang,Bardo Gyaltsen,Bardo Chogye,A,True,0.37354502,0.19994426,0.19994426,0.22656651
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?",Deepavali,Holi,Diwali,Navaratri,A,True,0.32205626,0.22134583,0.28421366,0.1723843
What hours are set aside as the ambrosial hours for the Sikhs?,5–7 a.m.,9–11 p.m.,3–6 p.m.,3–6 a.m.,D,False,0.34366152,0.23619488,0.23619488,0.18394876
 Self-sacrifice is an important theme for which Buddhist thinker?,Thich Nhat Hanh,The Dalai Lama,Daisetsu T. Suzuki,Shaku Soyen,A,False,0.2263891,0.25653246,0.29068935,0.2263891
 How many times a day is the Fatihah recited?,Exactly 17,At least 17,At least 13,Exactly 24,B,True,0.27783656,0.31483006,0.21637933,0.19095409
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?",Conservative,Reformed,Reconstructionism,Orthodox,A,False,0.27094764,0.21101426,0.3070239,0.21101426
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",Khalsa,Rahit,Panj Kakke,Shabad,A,True,0.4234426,0.20002012,0.17651713,0.20002012
Who is the founder of Sikhism?,Guru Gobind Singh,Guru Nanak,Guru Kabir,Guru Hargobind,B,False,0.35278094,0.31132808,0.18883003,0.14706098
Which term is usually associated with women in Hindu traditions?,Polluted,Ideal,Auspiciousness,Kind,C,False,0.31712013,0.21795328,0.24697341,0.21795328
What is another name for Enuma Elish?,Epic of Creation,Epic of Destruction,Epic of Egypt,Epic of Origins,A,True,0.35466126,0.21511292,0.21511292,0.21511292
 What was the most important female-centered festival in cities throughout Greece?,Thesmophoria,Oracle Days,Isthmian Games,Feast of Athrodite,A,True,0.31712013,0.24697341,0.21795328,0.21795328
Speaking in tongues is a feature of which Christian denomination?,Evangelicalism,Pietism,Pentecostalism,Fundamentalism,C,True,0.18069544,0.20475478,0.38253227,0.23201755
 Charism can be defined as which of the following?,An oil,Prophecy,A spiritual gift,Authority,C,True,0.25346467,0.19739848,0.32545507,0.2236818
" In Islam, what is the qiblah?",Almsgiving,Pilgrimage,Direction of prayer,Revelation,C,True,0.14334826,0.111639746,0.44154376,0.3034683
"In Tendai Buddhism, what does the term honji mean?",Trace,Original ground,Manifestation,True sign,B,False,0.34239623,0.26665846,0.20767382,0.1832715
 What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,Hizmet,Nation of Islam,Muslim Brotherhood,Sufism,A,False,0.17238429,0.2213458,0.28421363,0.32205623
For whom are the Hindu Vedas most significant?,Brahmins,Kshatriyas,Shiva,Yogis,A,True,0.3447859,0.20912322,0.23696765,0.20912322
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?",Hwanin,Hwanung,Joseon,Yi,B,False,0.38834518,0.34271342,0.14286421,0.12607722
" In Buddhism, what are ordained women known as?",Bhikshus,Bhikshunis,The Sangha,Arhats,B,True,0.23832366,0.30601364,0.2700561,0.18560666
 What is the name of the most authoritative Kabbalah text?,Gemarah,Midrash,Zohar,Septuagint,C,True,0.23696765,0.20912322,0.3447859,0.20912322
 Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?,Dao,Xunzi,Mencius,Confucius,C,True,0.23257595,0.26354307,0.29863343,0.20524755
 Which of the following does the Qur'an permit?,Honor Killing,Stoning,Adultery,Polygyny,D,False,0.24721283,0.19252954,0.28012884,0.28012884
 Which is the main form of Buddhism in Sri Lanka?,Theravada,Mahayana,Pure Land,Zen,A,True,0.37106892,0.2550317,0.19861889,0.17528054
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,False,0.20663035,0.3860363,0.26531863,0.14201483
What are the two sacraments that all Christians celebrate?,Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A,True,0.52925634,0.19470254,0.17182438,0.104216754
What is the most important festival for Sikhs?,Holi,Divali,Baisakhi Day,Hola Mahalla,C,False,0.25,0.25,0.25,0.25
 Who declared Muhammad a prophet?,Khadijah,Gabriel,Waraqah,Abu Bakr,C,False,0.28012884,0.24721283,0.19252954,0.28012884
The Jataka tales are a collection of which genre of stories?,Life stories,Warrior stories,Birth stories,Hero stories,C,False,0.4336343,0.18076567,0.20483434,0.18076567
 Which of the following is the timespan for Japan's closure to Christianity and Europe?,1749-1945,1052-1616,1641-1853,1517-1870,C,True,0.23342535,0.23342535,0.29972407,0.23342535
" In Yiddish, what is the word for covenant?",Haggadah,Halakhah,Brit,Bris,D,False,0.29068938,0.22638911,0.25653246,0.22638911
"According to the Sumerian King List, where does kingship come from?",Through initiation into the mystery cults,By military victories,Direct lineage of ancestors,Descends from heaven,D,False,0.25562707,0.19908255,0.2896634,0.25562707
What is the name of the Hindu community associated with environmental activism?,Puranas,Bishnoi,Rajasthan,Jambho,B,True,0.24194632,0.2741611,0.24194632,0.24194632
 Which bodhisattva is known for conducting the souls of dead children to salvation?,Guan-yin,Kannon,Ojizo-sama,Amitabha,C,False,0.2575662,0.22730139,0.2575662,0.2575662
 The Gospel of John is associated with which theological concept?,Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D,False,0.23619486,0.18394874,0.3436615,0.23619486
Which god supplanted the earlier Mesopotamian supreme god Enil?,Horus,Inanna,Marduk,Isis,C,True,0.26740265,0.26740265,0.3030069,0.1621879
Which of the following movements was founded by Mordechai Kaplan?,Liberal Judaism,Reform Judaism,Conservative Judaism,Reconstructionist Judaism,D,False,0.29539207,0.29539207,0.23005158,0.17916435
When was the State of Israel established?,1947,1948,1945,1949,B,False,0.37238014,0.22585997,0.22585997,0.17589992
 Icons are a main feature of which church?,Anglican,Catholic,Orthodox,Lutheran,C,True,0.22532511,0.1988487,0.4209627,0.15486352
The first of the Four Noble Truths teaches which of the following cannot be escaped?,Pride,Hatred,Suffering,Fate,C,False,0.27312723,0.2127117,0.27312723,0.24103393
 The Continental Reformation started in what year?,1545,1517,1492,1705,B,False,0.39564237,0.27192077,0.18688822,0.1455487
The minimalism of Haiku is said to be derived from which tradition?,Zen Buddhism,Shinto,Pure Land Buddhism,Confucianism,A,True,0.32545507,0.2236818,0.25346467,0.19739848
Which deity is the Roman counterpart to the Greek god Zeus?,Jupiter,Juno,Dionysius,Neptune,A,True,0.47030693,0.25173718,0.17301625,0.10493966
The philosopher Laozi is associated with which tradition?,Jainism,Buddhism,Confucianism,Daoism,D,False,0.17796798,0.15705618,0.33248794,0.33248794
 Which Egyptian gods did Akhenaten make a determined effort to eliminate?,Shu and Set,Horus and Isis,Amun and Mut,Khonsu and Nekhbet,C,False,0.3128364,0.27607715,0.24363723,0.16744927
The term xin refers to which of the following?,Piety,Non-action,Heart-mind,World,C,False,0.29863346,0.20524758,0.23257597,0.2635431
 Which term in the dharma texts of the classical period denotes the four stages of life?,Kama,Samnyasin,Ashramas,Arthas,C,True,0.21519046,0.16759048,0.40202868,0.21519046
"What is the term for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,False,0.29807472,0.14080052,0.26305002,0.29807472
 With which branch of Islam are the Isma'ilis are associated?,The Sunni,The Shi'a,The Sufi,The Ahmadiyya,B,True,0.23832366,0.30601364,0.2700561,0.18560666
 The term mappo is associated with which of the following?,The dharma,An age of decline,The golden age,Samurai,B,False,0.2575662,0.2575662,0.22730139,0.2575662
 What is the name of the bodhisattva in Japan known for a commitment to alleviating suffering?,Amaterasu,Izanami,Kannon,Guanyin,C,True,0.08040749,0.13256955,0.59413546,0.19288754
Who was the first significant anchorite hermit?,Pachomius,Athanasius,Anthony,Basil,C,True,0.2900896,0.22592203,0.3287146,0.15527378
Which are the synoptic Gospels?,"Peter, John, Mark","Matthew, Mark, John","Matthew, Mark, Luke","John, Luke, Mark",C,False,0.31911525,0.2816182,0.24852721,0.15073937
What is the English title for the divination text also known as the Yijing?,The Classic of Documents,The Lotus Sutra,The Flower Garland Sutra,The Classic of Changes,D,True,0.17883405,0.10846834,0.334106,0.3785917
 Where was the most famous site of the mystery cults in Greece?,Ephesus,Corinth,Athens,Eleusis,D,False,0.24902599,0.21976466,0.2821834,0.24902599
"When did the Babylonian captivity of ""Exile"" begin?",515 BCE,535 BCE,586 BCE,70 CE,C,False,0.3030069,0.26740265,0.26740265,0.1621879
 The term vajrya means diamond and which of the following?,Emerald,Brilliance,Thunderbolt,Lightning,C,True,0.2700561,0.18560666,0.30601364,0.23832366
" In Jainism, what is the cycle that one must liberate oneself from?",Punya,Samsara,Samayika,Jiva,B,False,0.29068938,0.25653246,0.22638911,0.22638911
 The classic text Daodejing is known by what title in English?,Classic of Changes,Classic of the Way and Power,Classic of Women,Classic of Philosophy,B,False,0.38253227,0.23201755,0.20475478,0.18069544
 The Communidades de Base is associated with which of the following?,Bishop Oscar Romero,Resistance and renewal,Dignity of all human beings,All of the above,D,False,0.23439533,0.23439533,0.2656047,0.2656047
What does the term matsuri mean?,Amulets,Meditation,Rituals,Grand festivals,D,True,0.21101423,0.21101423,0.27094764,0.30702388
 Which Roman statesman encouraged civic religion in his work The Laws?,Varro,Plato,Cicero,Augustus,C,False,0.3447859,0.20912322,0.23696765,0.20912322
" What does ""Svetambara"" mean?","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C,False,0.33424002,0.2603064,0.20272683,0.20272683
"What is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,False,0.30601364,0.23832366,0.2700561,0.18560666
 What is the purpose for hearing the Guru's Vak in the morning?,Prayers on behalf of people outside of the Sikh community,Communal confession to cleanse the community,Inspiration for personal meditation throughout the day,Doctrinal instruction for discussion in the community,C,True,0.15624341,0.17704698,0.3748085,0.29190114
 What are the rabbinical commentaries produced after the Mishnah called?,Septuagint,Talmud,Yeshiva,Gemarah,D,False,0.23705068,0.3908305,0.2091965,0.16292238
What is a mohel?,A ritual circumciser,A type of oil lame,A teacher,A covenant,A,True,0.46455002,0.17089841,0.19365326,0.17089841
"The ""Flower Sermon"" is associated with which form of Buddhism?",Theravada,Chan-Zen,Pure Land,Yogicara,B,False,0.2635431,0.20524758,0.29863346,0.23257597
 When was the major shift by Greek philosophers who rejected the anthropomorphic view of the divine?,Early Third Century BCE,Second and First Century BCE,Late Sixth Century BCE,Fourth and Third Century BCE,C,False,0.30040756,0.34040636,0.23395765,0.12522851
 What is the foremost reason for wearing the hijab in the present day?,Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A,True,0.41371897,0.195427,0.195427,0.195427
"The Oral Torah, in its written form, is known as what?",Mishnah,Midrash,Tanakh,Pentateuch,A,True,0.36150852,0.219266,0.24846093,0.17076454
What has been a central focus of religious traditions in China and Korea?,Peace and harmony,Power and influence,Truth and love,Wisdom and ethics,A,True,0.31483006,0.19095409,0.27783656,0.21637933
 To whom did ordinary folk appeal during a drought in the time of the Han Dynasty?,The Buddha,Laozi,The Queen Mother of the West,Confucius,C,True,0.25653246,0.2263891,0.29068935,0.2263891
 The theological term homoousios means which of the following?,of a similar substance,of the same substance,of like substance,of human substance,B,False,0.37106892,0.2550317,0.19861889,0.17528054
"According to the Japanese origin myth, who gives birth to Amaterasu from his left eye?",Es,Izanagi,Izanami,Kami,B,True,0.29164848,0.42434603,0.20044687,0.083558686
 The numen of Augustus referred to which of the following characteristics?,Divine power,Sexual virility,Military acumen,Philosophical intellect,A,True,0.33424002,0.20272683,0.20272683,0.2603064
